#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
CAI7722367.1         -           1004 2334at5820           -            693         0 1270.8  58.7   1   5  3.8e-177  1.2e-173  577.5  24.4     1   304     1   317     1   330 0.96 | transcript=PVPAM_120060300_t1 | gene=PVPAM_120060300 | organism=Plasmodium_vivax_PAM | gene_product=ribosome biogenesis protein TSR1, putative | transcript_product=ribosome biogenesis protein TSR1, putative | location=CASCJQ010000012:2241252-2244266(+) | protein_length=1004 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7722367.1         -           1004 2334at5820           -            693         0 1270.8  58.7   2   5   1.7e-08   5.6e-05   20.1   0.3   294   346   343   403   337   420 0.68 | transcript=PVPAM_120060300_t1 | gene=PVPAM_120060300 | organism=Plasmodium_vivax_PAM | gene_product=ribosome biogenesis protein TSR1, putative | transcript_product=ribosome biogenesis protein TSR1, putative | location=CASCJQ010000012:2241252-2244266(+) | protein_length=1004 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7722367.1         -           1004 2334at5820           -            693         0 1270.8  58.7   3   5   6.9e-10   2.2e-06   24.7   0.1   347   375   511   539   498   556 0.90 | transcript=PVPAM_120060300_t1 | gene=PVPAM_120060300 | organism=Plasmodium_vivax_PAM | gene_product=ribosome biogenesis protein TSR1, putative | transcript_product=ribosome biogenesis protein TSR1, putative | location=CASCJQ010000012:2241252-2244266(+) | protein_length=1004 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7722367.1         -           1004 2334at5820           -            693         0 1270.8  58.7   4   5    7e-122  2.3e-118  394.8   6.5   371   579   604   820   592   826 0.94 | transcript=PVPAM_120060300_t1 | gene=PVPAM_120060300 | organism=Plasmodium_vivax_PAM | gene_product=ribosome biogenesis protein TSR1, putative | transcript_product=ribosome biogenesis protein TSR1, putative | location=CASCJQ010000012:2241252-2244266(+) | protein_length=1004 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7722367.1         -           1004 2334at5820           -            693         0 1270.8  58.7   5   5   9.8e-85   3.2e-81  272.1   1.9   573   693   881  1001   866  1001 0.98 | transcript=PVPAM_120060300_t1 | gene=PVPAM_120060300 | organism=Plasmodium_vivax_PAM | gene_product=ribosome biogenesis protein TSR1, putative | transcript_product=ribosome biogenesis protein TSR1, putative | location=CASCJQ010000012:2241252-2244266(+) | protein_length=1004 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7717927.1         -           1204 2334at5820           -            693     2e-11   41.4  48.1   1   4   4.7e-09   1.5e-05   22.0   9.0    32   250    30   257     1   268 0.57 | transcript=PVPAM_020015900_t1 | gene=PVPAM_020015900 | organism=Plasmodium_vivax_PAM | gene_product=small ribosomal subunit assembling AARP2 protein | transcript_product=small ribosomal subunit assembling AARP2 protein | location=CASCJQ010000002:458969-462583(-) | protein_length=1204 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7717927.1         -           1204 2334at5820           -            693     2e-11   41.4  48.1   2   4   0.00011      0.35    7.5   0.0   258   296   297   335   286   357 0.84 | transcript=PVPAM_020015900_t1 | gene=PVPAM_020015900 | organism=Plasmodium_vivax_PAM | gene_product=small ribosomal subunit assembling AARP2 protein | transcript_product=small ribosomal subunit assembling AARP2 protein | location=CASCJQ010000002:458969-462583(-) | protein_length=1204 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7717927.1         -           1204 2334at5820           -            693     2e-11   41.4  48.1   3   4   9.9e-13   3.2e-09   34.1   9.8   463   671   830  1047   821  1061 0.84 | transcript=PVPAM_020015900_t1 | gene=PVPAM_020015900 | organism=Plasmodium_vivax_PAM | gene_product=small ribosomal subunit assembling AARP2 protein | transcript_product=small ribosomal subunit assembling AARP2 protein | location=CASCJQ010000002:458969-462583(-) | protein_length=1204 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7717927.1         -           1204 2334at5820           -            693     2e-11   41.4  48.1   4   4         2   6.5e+03   -9.7  10.4     8    70  1104  1165  1098  1192 0.62 | transcript=PVPAM_020015900_t1 | gene=PVPAM_020015900 | organism=Plasmodium_vivax_PAM | gene_product=small ribosomal subunit assembling AARP2 protein | transcript_product=small ribosomal subunit assembling AARP2 protein | location=CASCJQ010000002:458969-462583(-) | protein_length=1204 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/2334at5820.hmm
# Target file:     /v3/inputs/annotations/plasmodb-68/PAM.proteins.fa
# Option settings: hmmsearch --domtblout /v3/work/00_inventory/busco/PAM_proteins/run_plasmodium_odb10/hmmer_output/initial_run_results/2334at5820.out --cpu 1 /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/2334at5820.hmm /v3/inputs/annotations/plasmodb-68/PAM.proteins.fa 
# Current dir:     /v3/work/00_inventory/busco
# Date:            Tue May 19 17:35:14 2026
# [ok]
