#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
CAI7723380.1         -            297 9909at5820           -            251  5.9e-144  476.4  42.4   1   2   9.6e-28   5.2e-25   86.8   8.2     1    59     7    68     7    73 0.86 | transcript=PVPAM_140029900_t1 | gene=PVPAM_140029900 | organism=Plasmodium_vivax_PAM | gene_product=palmitoyltransferase DHHC8, putative | transcript_product=palmitoyltransferase DHHC8, putative | location=CASCJQ010000014:1083862-1086487(+) | protein_length=297 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7723380.1         -            297 9909at5820           -            251  5.9e-144  476.4  42.4   2   2  9.3e-121    5e-118  391.5  27.4    45   251    67   293    61   293 0.96 | transcript=PVPAM_140029900_t1 | gene=PVPAM_140029900 | organism=Plasmodium_vivax_PAM | gene_product=palmitoyltransferase DHHC8, putative | transcript_product=palmitoyltransferase DHHC8, putative | location=CASCJQ010000014:1083862-1086487(+) | protein_length=297 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7723392.1         -           1013 9909at5820           -            251     3e-36  123.6  35.1   1   1   4.7e-38   2.5e-35  120.6  35.1    10   246    21   301    12   304 0.72 | transcript=PVPAM_140031100_t1 | gene=PVPAM_140031100 | organism=Plasmodium_vivax_PAM | gene_product=palmitoyltransferase DHHC4, putative | transcript_product=palmitoyltransferase DHHC4, putative | location=CASCJQ010000014:1148101-1151923(+) | protein_length=1013 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7720493.1         -            289 9909at5820           -            251     9e-20   69.6  34.8   1   1   2.8e-21   1.5e-18   65.6  34.8    29   233    29   254    17   271 0.65 | transcript=PVPAM_090025800_t1 | gene=PVPAM_090025800 | organism=Plasmodium_vivax_PAM | gene_product=palmitoyltransferase DHHC3, putative | transcript_product=palmitoyltransferase DHHC3, putative | location=CASCJQ010000009:944948-946649(+) | protein_length=289 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7720442.1         -            294 9909at5820           -            251   4.8e-16   57.4   9.4   1   1   8.8e-19   4.8e-16   57.4   9.4   100   235    91   239    39   246 0.72 | transcript=PVPAM_090020700_t1 | gene=PVPAM_090020700 | organism=Plasmodium_vivax_PAM | gene_product=palmitoyltransferase DHHC9, putative | transcript_product=palmitoyltransferase DHHC9, putative | location=CASCJQ010000009:747788-750049(+) | protein_length=294 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7720269.1         -            611 9909at5820           -            251   2.6e-15   55.0  18.9   1   2       3.7     2e+03   -3.6   2.4   132   163   254   285   235   316 0.71 | transcript=PVPAM_080049200_t1 | gene=PVPAM_080049200 | organism=Plasmodium_vivax_PAM | gene_product=palmitoyltransferase DHHC1, putative | transcript_product=palmitoyltransferase DHHC1, putative | location=CASCJQ010000008:1907073-1909842(-) | protein_length=611 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7720269.1         -            611 9909at5820           -            251   2.6e-15   55.0  18.9   2   2   4.8e-18   2.6e-15   55.0  18.9   106   223   432   548   423   570 0.79 | transcript=PVPAM_080049200_t1 | gene=PVPAM_080049200 | organism=Plasmodium_vivax_PAM | gene_product=palmitoyltransferase DHHC1, putative | transcript_product=palmitoyltransferase DHHC1, putative | location=CASCJQ010000008:1907073-1909842(-) | protein_length=611 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7721534.1         -            284 9909at5820           -            251   3.4e-13   48.1  33.1   1   1   6.5e-14   3.5e-11   41.5  33.1    99   236    92   250    19   259 0.74 | transcript=PVPAM_110043900_t1 | gene=PVPAM_110043900 | organism=Plasmodium_vivax_PAM | gene_product=palmitoyltransferase DHHC2, putative | transcript_product=palmitoyltransferase DHHC2, putative | location=CASCJQ010000011:1610925-1612592(+) | protein_length=284 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7718451.1         -            272 9909at5820           -            251   8.9e-13   46.7  24.8   1   1   1.3e-14     7e-12   43.8  24.2   105   177    93   164    15   206 0.78 | transcript=PVPAM_040019700_t1 | gene=PVPAM_040019700 | organism=Plasmodium_vivax_PAM | gene_product=palmitoyltransferase DHHC11, putative | transcript_product=palmitoyltransferase DHHC11, putative | location=CASCJQ010000004:629271-631608(+) | protein_length=272 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7720850.1         -            437 9909at5820           -            251   3.5e-12   44.7  20.5   1   2      0.74     4e+02   -1.3   5.1    43    92   141   189   125   199 0.68 | transcript=PVPAM_100011600_t1 | gene=PVPAM_100011600 | organism=Plasmodium_vivax_PAM | gene_product=palmitoyltransferase DHHC7, putative | transcript_product=palmitoyltransferase DHHC7, putative | location=CASCJQ010000010:301705-304636(-) | protein_length=437 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7720850.1         -            437 9909at5820           -            251   3.5e-12   44.7  20.5   2   2   6.6e-15   3.5e-12   44.7  20.5    69   230   208   382   185   396 0.61 | transcript=PVPAM_100011600_t1 | gene=PVPAM_100011600 | organism=Plasmodium_vivax_PAM | gene_product=palmitoyltransferase DHHC7, putative | transcript_product=palmitoyltransferase DHHC7, putative | location=CASCJQ010000010:301705-304636(-) | protein_length=437 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
