#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
CAI7717793.1         -            564 5519at5820           -            481         0 1080.1   6.3   1   1         0         0 1077.0   6.3     1   481     1   564     1   564 0.99 | transcript=PVPAM_010030700_t1 | gene=PVPAM_010030700 | organism=Plasmodium_vivax_PAM | gene_product=serine/threonine protein phosphatase 2B catalytic subunit A, putative | transcript_product=serine/threonine protein phosphatase 2B catalytic subunit A, putative | location=CASCJQ010000001:1141578-1143819(-) | protein_length=564 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7722988.1         -            304 5519at5820           -            481   3.7e-67  225.0   0.7   1   1   7.8e-70   5.1e-67  224.6   0.7    67   327    42   287    26   296 0.93 | transcript=PVPAM_130049400_t1 | gene=PVPAM_130049400 | organism=Plasmodium_vivax_PAM | gene_product=serine/threonine protein phosphatase PP1, putative | transcript_product=serine/threonine protein phosphatase PP1, putative | location=CASCJQ010000013:1956130-1958285(-) | protein_length=304 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7719695.1         -            510 5519at5820           -            481     5e-62  208.1   0.5   1   1   1.1e-64     7e-62  207.6   0.5    62   324   227   480   193   497 0.88 | transcript=PVPAM_070030900_t1 | gene=PVPAM_070030900 | organism=Plasmodium_vivax_PAM | gene_product=protein phosphatase-beta, putative | transcript_product=protein phosphatase-beta, putative | location=CASCJQ010000007:1119834-1121534(-) | protein_length=510 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7721302.1         -            692 5519at5820           -            481   2.4e-60  202.6   0.9   1   2      0.48   3.1e+02   -2.3   0.1    23    69   215   261   198   275 0.75 | transcript=PVPAM_110020400_t1 | gene=PVPAM_110020400 | organism=Plasmodium_vivax_PAM | gene_product=serine/threonine protein phosphatase 5, putative | transcript_product=serine/threonine protein phosphatase 5, putative | location=CASCJQ010000011:658207-660285(-) | protein_length=692 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7721302.1         -            692 5519at5820           -            481   2.4e-60  202.6   0.9   2   2   3.8e-63   2.4e-60  202.6   0.9    53   336   399   672   386   688 0.90 | transcript=PVPAM_110020400_t1 | gene=PVPAM_110020400 | organism=Plasmodium_vivax_PAM | gene_product=serine/threonine protein phosphatase 5, putative | transcript_product=serine/threonine protein phosphatase 5, putative | location=CASCJQ010000011:658207-660285(-) | protein_length=692 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7720159.1         -            308 5519at5820           -            481   4.9e-60  201.5   1.0   1   1     1e-62   6.5e-60  201.2   1.0    57   340    25   293     5   306 0.90 | transcript=PVPAM_080038100_t1 | gene=PVPAM_080038100 | organism=Plasmodium_vivax_PAM | gene_product=serine/threonine protein phosphatase 6, putative | transcript_product=serine/threonine protein phosphatase 6, putative | location=CASCJQ010000008:1509355-1510281(+) | protein_length=308 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7719719.1         -            307 5519at5820           -            481   6.5e-59  197.8   1.5   1   1   1.7e-61   1.1e-58  197.1   1.5    45   328    11   279     6   290 0.91 | transcript=PVPAM_070033300_t1 | gene=PVPAM_070033300 | organism=Plasmodium_vivax_PAM | gene_product=serine/threonine protein phosphatase 4, putative | transcript_product=serine/threonine protein phosphatase 4, putative | location=CASCJQ010000007:1222988-1223911(-) | protein_length=307 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7722220.1         -            878 5519at5820           -            481     3e-49  166.0   0.6   1   1   1.5e-51   9.4e-49  164.4   0.6    63   323   547   827   513   841 0.83 | transcript=PVPAM_120045800_t1 | gene=PVPAM_120045800 | organism=Plasmodium_vivax_PAM | gene_product=protein phosphatase containing kelch-like domains, putative | transcript_product=protein phosphatase containing kelch-like domains, putative | location=CASCJQ010000012:1628851-1631615(-) | protein_length=878 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7722905.1         -            956 5519at5820           -            481   3.7e-30  103.0   3.0   1   1   1.1e-32   7.2e-30  102.1   3.0    81   333   240   488   221   497 0.84 | transcript=PVPAM_130040700_t1 | gene=PVPAM_130040700 | organism=Plasmodium_vivax_PAM | gene_product=serine/threonine protein phosphatase 7, putative | transcript_product=serine/threonine protein phosphatase 7, putative | location=CASCJQ010000013:1580920-1586294(-) | protein_length=956 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7719134.1         -           2062 5519at5820           -            481   2.3e-23   80.6   0.2   1   2    0.0049       3.2    4.3   0.0    61   126  1141  1209  1129  1217 0.77 | transcript=PVPAM_060014100_t1 | gene=PVPAM_060014100 | organism=Plasmodium_vivax_PAM | gene_product=serine/threonine protein phosphatase 8, putative | transcript_product=serine/threonine protein phosphatase 8, putative | location=CASCJQ010000006:378525-384867(-) | protein_length=2062 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7719134.1         -           2062 5519at5820           -            481   2.3e-23   80.6   0.2   2   2   7.1e-24   4.6e-21   73.0   0.2   106   319  1256  1502  1251  1525 0.67 | transcript=PVPAM_060014100_t1 | gene=PVPAM_060014100 | organism=Plasmodium_vivax_PAM | gene_product=serine/threonine protein phosphatase 8, putative | transcript_product=serine/threonine protein phosphatase 8, putative | location=CASCJQ010000006:378525-384867(-) | protein_length=2062 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7722188.1         -            381 5519at5820           -            481   7.9e-07   26.1   0.9   1   1   1.7e-09   1.1e-06   25.6   0.9    75   217    67   233    42   259 0.69 | transcript=PVPAM_120042600_t1 | gene=PVPAM_120042600 | organism=Plasmodium_vivax_PAM | gene_product=shewanella-like protein phosphatase 1, putative | transcript_product=shewanella-like protein phosphatase 1, putative | location=CASCJQ010000012:1474919-1476064(+) | protein_length=381 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/5519at5820.hmm
# Target file:     /v3/inputs/annotations/plasmodb-68/PAM.proteins.fa
