#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
CAI7722739.1         -           1005 3536at5820           -            688         0 1156.7 106.1   1   5   8.8e-18   1.4e-14   51.9   3.2    18    69    67   121    54   124 0.85 | transcript=PVPAM_130024000_t1 | gene=PVPAM_130024000 | organism=Plasmodium_vivax_PAM | gene_product=cGMP-specific 3',5'-cyclic phosphodiesterase alpha, putative | transcript_product=cGMP-specific 3',5'-cyclic phosphodiesterase alpha, putative | location=CASCJQ010000013:862745-866256(+) | protein_length=1005 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7722739.1         -           1005 3536at5820           -            688         0 1156.7 106.1   2   5     6e-40   9.8e-37  125.2  13.1    72   181   229   346   223   352 0.92 | transcript=PVPAM_130024000_t1 | gene=PVPAM_130024000 | organism=Plasmodium_vivax_PAM | gene_product=cGMP-specific 3',5'-cyclic phosphodiesterase alpha, putative | transcript_product=cGMP-specific 3',5'-cyclic phosphodiesterase alpha, putative | location=CASCJQ010000013:862745-866256(+) | protein_length=1005 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7722739.1         -           1005 3536at5820           -            688         0 1156.7 106.1   3   5   6.4e-14     1e-10   39.2  16.8   177   223   382   428   378   437 0.86 | transcript=PVPAM_130024000_t1 | gene=PVPAM_130024000 | organism=Plasmodium_vivax_PAM | gene_product=cGMP-specific 3',5'-cyclic phosphodiesterase alpha, putative | transcript_product=cGMP-specific 3',5'-cyclic phosphodiesterase alpha, putative | location=CASCJQ010000013:862745-866256(+) | protein_length=1005 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7722739.1         -           1005 3536at5820           -            688         0 1156.7 106.1   4   5   0.00075       1.2    5.9   1.8   200   234   432   465   424   468 0.74 | transcript=PVPAM_130024000_t1 | gene=PVPAM_130024000 | organism=Plasmodium_vivax_PAM | gene_product=cGMP-specific 3',5'-cyclic phosphodiesterase alpha, putative | transcript_product=cGMP-specific 3',5'-cyclic phosphodiesterase alpha, putative | location=CASCJQ010000013:862745-866256(+) | protein_length=1005 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7722739.1         -           1005 3536at5820           -            688         0 1156.7 106.1   5   5  1.7e-291  2.7e-288  956.6  43.3   231   688   536  1001   527  1001 0.98 | transcript=PVPAM_130024000_t1 | gene=PVPAM_130024000 | organism=Plasmodium_vivax_PAM | gene_product=cGMP-specific 3',5'-cyclic phosphodiesterase alpha, putative | transcript_product=cGMP-specific 3',5'-cyclic phosphodiesterase alpha, putative | location=CASCJQ010000013:862745-866256(+) | protein_length=1005 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7723381.1         -           1164 3536at5820           -            688   3.1e-55  186.3  79.6   1   2         4   6.5e+03   -7.2  16.3    65   168   421   526   358   549 0.68 | transcript=PVPAM_140030000_t1 | gene=PVPAM_140030000 | organism=Plasmodium_vivax_PAM | gene_product=3',5'-cyclic nucleotide phosphodiesterase beta, putative | transcript_product=3',5'-cyclic nucleotide phosphodiesterase beta, putative | location=CASCJQ010000014:1087357-1092596(-) | protein_length=1164 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7723381.1         -           1164 3536at5820           -            688   3.1e-55  186.3  79.6   2   2     6e-58   9.8e-55  184.7  68.4    97   675   488  1130   485  1148 0.68 | transcript=PVPAM_140030000_t1 | gene=PVPAM_140030000 | organism=Plasmodium_vivax_PAM | gene_product=3',5'-cyclic nucleotide phosphodiesterase beta, putative | transcript_product=3',5'-cyclic nucleotide phosphodiesterase beta, putative | location=CASCJQ010000014:1087357-1092596(-) | protein_length=1164 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7723382.1         -            783 3536at5820           -            688   6.3e-48  162.2  20.6   1   3     0.011        18    2.0   0.9   312   351    29    73     4    77 0.68 | transcript=PVPAM_140030100_t1 | gene=PVPAM_140030100 | organism=Plasmodium_vivax_PAM | gene_product=cGMP-specific 3',5'-cyclic phosphodiesterase gamma, putative | transcript_product=cGMP-specific 3',5'-cyclic phosphodiesterase gamma, putative | location=CASCJQ010000014:1095927-1099706(+) | protein_length=783 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7723382.1         -            783 3536at5820           -            688   6.3e-48  162.2  20.6   2   3         4   6.5e+03   -6.5  30.6   105   331   129   365   121   379 0.70 | transcript=PVPAM_140030100_t1 | gene=PVPAM_140030100 | organism=Plasmodium_vivax_PAM | gene_product=cGMP-specific 3',5'-cyclic phosphodiesterase gamma, putative | transcript_product=cGMP-specific 3',5'-cyclic phosphodiesterase gamma, putative | location=CASCJQ010000014:1095927-1099706(+) | protein_length=783 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7723382.1         -            783 3536at5820           -            688   6.3e-48  162.2  20.6   3   3   3.9e-51   6.3e-48  162.2  20.6   376   676   459   753   453   762 0.92 | transcript=PVPAM_140030100_t1 | gene=PVPAM_140030100 | organism=Plasmodium_vivax_PAM | gene_product=cGMP-specific 3',5'-cyclic phosphodiesterase gamma, putative | transcript_product=cGMP-specific 3',5'-cyclic phosphodiesterase gamma, putative | location=CASCJQ010000014:1095927-1099706(+) | protein_length=783 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7722176.1         -            803 3536at5820           -            688   9.8e-38  128.5  67.2   1   2   1.8e-40   2.9e-37  126.9  57.1    98   607    91   630    66   676 0.69 | transcript=PVPAM_120041400_t1 | gene=PVPAM_120041400 | organism=Plasmodium_vivax_PAM | gene_product=cGMP-specific 3',5'-cyclic phosphodiesterase delta, putative | transcript_product=cGMP-specific 3',5'-cyclic phosphodiesterase delta, putative | location=CASCJQ010000012:1429403-1432762(-) | protein_length=803 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
