#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
CAI7718802.1         -           1445 2730at5820           -            759  3.9e-281  933.7  38.0   1  11   4.5e-16   2.9e-12   44.6   0.1     1    46    13    58    13    62 0.95 | transcript=PVPAM_050019600_t1 | gene=PVPAM_050019600 | organism=Plasmodium_vivax_PAM | gene_product=phosphorylated CTD interacting factor 1 WW domain-containing protein, putative | transcript_product=phosphorylated CTD interacting factor 1 WW domain-containing protein, putative | location=CASCJQ010000005:645328-650091(-) | protein_length=1445 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7718802.1         -           1445 2730at5820           -            759  3.9e-281  933.7  38.0   2  11   4.9e-20   3.2e-16   57.7   0.0    44   101   120   177   108   189 0.91 | transcript=PVPAM_050019600_t1 | gene=PVPAM_050019600 | organism=Plasmodium_vivax_PAM | gene_product=phosphorylated CTD interacting factor 1 WW domain-containing protein, putative | transcript_product=phosphorylated CTD interacting factor 1 WW domain-containing protein, putative | location=CASCJQ010000005:645328-650091(-) | protein_length=1445 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7718802.1         -           1445 2730at5820           -            759  3.9e-281  933.7  38.0   3  11   4.2e-05      0.27    8.4   0.0    96   132   222   260   217   267 0.85 | transcript=PVPAM_050019600_t1 | gene=PVPAM_050019600 | organism=Plasmodium_vivax_PAM | gene_product=phosphorylated CTD interacting factor 1 WW domain-containing protein, putative | transcript_product=phosphorylated CTD interacting factor 1 WW domain-containing protein, putative | location=CASCJQ010000005:645328-650091(-) | protein_length=1445 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7718802.1         -           1445 2730at5820           -            759  3.9e-281  933.7  38.0   4  11   1.3e-12   8.4e-09   33.2   0.0   123   181   326   384   304   389 0.85 | transcript=PVPAM_050019600_t1 | gene=PVPAM_050019600 | organism=Plasmodium_vivax_PAM | gene_product=phosphorylated CTD interacting factor 1 WW domain-containing protein, putative | transcript_product=phosphorylated CTD interacting factor 1 WW domain-containing protein, putative | location=CASCJQ010000005:645328-650091(-) | protein_length=1445 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7718802.1         -           1445 2730at5820           -            759  3.9e-281  933.7  38.0   5  11   2.8e-20   1.8e-16   58.5   0.1   181   250   427   504   420   507 0.81 | transcript=PVPAM_050019600_t1 | gene=PVPAM_050019600 | organism=Plasmodium_vivax_PAM | gene_product=phosphorylated CTD interacting factor 1 WW domain-containing protein, putative | transcript_product=phosphorylated CTD interacting factor 1 WW domain-containing protein, putative | location=CASCJQ010000005:645328-650091(-) | protein_length=1445 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7718802.1         -           1445 2730at5820           -            759  3.9e-281  933.7  38.0   6  11   2.1e-09   1.3e-05   22.6   0.0   253   297   559   610   555   618 0.86 | transcript=PVPAM_050019600_t1 | gene=PVPAM_050019600 | organism=Plasmodium_vivax_PAM | gene_product=phosphorylated CTD interacting factor 1 WW domain-containing protein, putative | transcript_product=phosphorylated CTD interacting factor 1 WW domain-containing protein, putative | location=CASCJQ010000005:645328-650091(-) | protein_length=1445 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7718802.1         -           1445 2730at5820           -            759  3.9e-281  933.7  38.0   7  11   5.7e-05      0.37    7.9   0.0   297   327   677   708   671   717 0.87 | transcript=PVPAM_050019600_t1 | gene=PVPAM_050019600 | organism=Plasmodium_vivax_PAM | gene_product=phosphorylated CTD interacting factor 1 WW domain-containing protein, putative | transcript_product=phosphorylated CTD interacting factor 1 WW domain-containing protein, putative | location=CASCJQ010000005:645328-650091(-) | protein_length=1445 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7718802.1         -           1445 2730at5820           -            759  3.9e-281  933.7  38.0   8  11   7.4e-23   4.8e-19   67.1   0.0   309   387   775   855   763   857 0.83 | transcript=PVPAM_050019600_t1 | gene=PVPAM_050019600 | organism=Plasmodium_vivax_PAM | gene_product=phosphorylated CTD interacting factor 1 WW domain-containing protein, putative | transcript_product=phosphorylated CTD interacting factor 1 WW domain-containing protein, putative | location=CASCJQ010000005:645328-650091(-) | protein_length=1445 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7718802.1         -           1445 2730at5820           -            759  3.9e-281  933.7  38.0   9  11    0.0081        52    0.8   0.0   401   436   946   980   933   985 0.77 | transcript=PVPAM_050019600_t1 | gene=PVPAM_050019600 | organism=Plasmodium_vivax_PAM | gene_product=phosphorylated CTD interacting factor 1 WW domain-containing protein, putative | transcript_product=phosphorylated CTD interacting factor 1 WW domain-containing protein, putative | location=CASCJQ010000005:645328-650091(-) | protein_length=1445 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7718802.1         -           1445 2730at5820           -            759  3.9e-281  933.7  38.0  10  11   1.7e-50   1.1e-46  158.4   8.9   429   536  1054  1170  1026  1173 0.85 | transcript=PVPAM_050019600_t1 | gene=PVPAM_050019600 | organism=Plasmodium_vivax_PAM | gene_product=phosphorylated CTD interacting factor 1 WW domain-containing protein, putative | transcript_product=phosphorylated CTD interacting factor 1 WW domain-containing protein, putative | location=CASCJQ010000005:645328-650091(-) | protein_length=1445 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7718802.1         -           1445 2730at5820           -            759  3.9e-281  933.7  38.0  11  11  4.5e-147  2.9e-143  477.8   8.1   533   759  1195  1422  1193  1422 0.99 | transcript=PVPAM_050019600_t1 | gene=PVPAM_050019600 | organism=Plasmodium_vivax_PAM | gene_product=phosphorylated CTD interacting factor 1 WW domain-containing protein, putative | transcript_product=phosphorylated CTD interacting factor 1 WW domain-containing protein, putative | location=CASCJQ010000005:645328-650091(-) | protein_length=1445 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
