#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
CAI7721541.1         -           5785 90at5820             -           3291         0 5183.4 402.6   1  25   2.8e-80   1.8e-76  255.8  18.8     1   167    15   183    15   197 0.97 | transcript=PVPAM_110044600_t1 | gene=PVPAM_110044600 | organism=Plasmodium_vivax_PAM | gene_product=nucleoporin NUP637, putative | transcript_product=nucleoporin NUP637, putative | location=CASCJQ010000011:1641314-1658671(-) | protein_length=5785 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7721541.1         -           5785 90at5820             -           3291         0 5183.4 402.6   2  25   4.5e-79   2.9e-75  251.8   9.7   167   337   241   428   235   435 0.91 | transcript=PVPAM_110044600_t1 | gene=PVPAM_110044600 | organism=Plasmodium_vivax_PAM | gene_product=nucleoporin NUP637, putative | transcript_product=nucleoporin NUP637, putative | location=CASCJQ010000011:1641314-1658671(-) | protein_length=5785 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7721541.1         -           5785 90at5820             -           3291         0 5183.4 402.6   3  25   4.7e-63     3e-59  198.6   8.4   336   464   580   721   569   727 0.88 | transcript=PVPAM_110044600_t1 | gene=PVPAM_110044600 | organism=Plasmodium_vivax_PAM | gene_product=nucleoporin NUP637, putative | transcript_product=nucleoporin NUP637, putative | location=CASCJQ010000011:1641314-1658671(-) | protein_length=5785 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7721541.1         -           5785 90at5820             -           3291         0 5183.4 402.6   4  25   3.3e-48   2.2e-44  149.4   1.2   467   560   762   855   744   859 0.94 | transcript=PVPAM_110044600_t1 | gene=PVPAM_110044600 | organism=Plasmodium_vivax_PAM | gene_product=nucleoporin NUP637, putative | transcript_product=nucleoporin NUP637, putative | location=CASCJQ010000011:1641314-1658671(-) | protein_length=5785 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7721541.1         -           5785 90at5820             -           3291         0 5183.4 402.6   5  25   2.8e-37   1.8e-33  113.1   0.7   560   627   924   991   919   995 0.96 | transcript=PVPAM_110044600_t1 | gene=PVPAM_110044600 | organism=Plasmodium_vivax_PAM | gene_product=nucleoporin NUP637, putative | transcript_product=nucleoporin NUP637, putative | location=CASCJQ010000011:1641314-1658671(-) | protein_length=5785 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7721541.1         -           5785 90at5820             -           3291         0 5183.4 402.6   6  25   4.8e-71   3.1e-67  225.2   1.2   617   749  1015  1147  1010  1161 0.94 | transcript=PVPAM_110044600_t1 | gene=PVPAM_110044600 | organism=Plasmodium_vivax_PAM | gene_product=nucleoporin NUP637, putative | transcript_product=nucleoporin NUP637, putative | location=CASCJQ010000011:1641314-1658671(-) | protein_length=5785 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7721541.1         -           5785 90at5820             -           3291         0 5183.4 402.6   7  25   2.7e-31   1.7e-27   93.3   0.9   756   845  1220  1329  1217  1335 0.81 | transcript=PVPAM_110044600_t1 | gene=PVPAM_110044600 | organism=Plasmodium_vivax_PAM | gene_product=nucleoporin NUP637, putative | transcript_product=nucleoporin NUP637, putative | location=CASCJQ010000011:1641314-1658671(-) | protein_length=5785 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7721541.1         -           5785 90at5820             -           3291         0 5183.4 402.6   8  25   1.4e-98   8.9e-95  316.6  14.7   847  1048  1392  1605  1361  1609 0.93 | transcript=PVPAM_110044600_t1 | gene=PVPAM_110044600 | organism=Plasmodium_vivax_PAM | gene_product=nucleoporin NUP637, putative | transcript_product=nucleoporin NUP637, putative | location=CASCJQ010000011:1641314-1658671(-) | protein_length=5785 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7721541.1         -           5785 90at5820             -           3291         0 5183.4 402.6   9  25    8e-111  5.2e-107  357.2  15.6  1048  1260  1652  1869  1649  1873 0.96 | transcript=PVPAM_110044600_t1 | gene=PVPAM_110044600 | organism=Plasmodium_vivax_PAM | gene_product=nucleoporin NUP637, putative | transcript_product=nucleoporin NUP637, putative | location=CASCJQ010000011:1641314-1658671(-) | protein_length=5785 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7721541.1         -           5785 90at5820             -           3291         0 5183.4 402.6  10  25   5.1e-10   3.3e-06   22.7   0.4  1258  1287  1902  1931  1890  1940 0.89 | transcript=PVPAM_110044600_t1 | gene=PVPAM_110044600 | organism=Plasmodium_vivax_PAM | gene_product=nucleoporin NUP637, putative | transcript_product=nucleoporin NUP637, putative | location=CASCJQ010000011:1641314-1658671(-) | protein_length=5785 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7721541.1         -           5785 90at5820             -           3291         0 5183.4 402.6  11  25   1.6e-79     1e-75  253.3   6.8  1279  1428  2014  2163  2007  2181 0.93 | transcript=PVPAM_110044600_t1 | gene=PVPAM_110044600 | organism=Plasmodium_vivax_PAM | gene_product=nucleoporin NUP637, putative | transcript_product=nucleoporin NUP637, putative | location=CASCJQ010000011:1641314-1658671(-) | protein_length=5785 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7721541.1         -           5785 90at5820             -           3291         0 5183.4 402.6  12  25  3.2e-133  2.1e-129  431.5   0.6  1446  1699  2823  3101  2817  3107 0.92 | transcript=PVPAM_110044600_t1 | gene=PVPAM_110044600 | organism=Plasmodium_vivax_PAM | gene_product=nucleoporin NUP637, putative | transcript_product=nucleoporin NUP637, putative | location=CASCJQ010000011:1641314-1658671(-) | protein_length=5785 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7721541.1         -           5785 90at5820             -           3291         0 5183.4 402.6  13  25   1.2e-73   7.5e-70  233.9   9.1  1699  1826  3147  3274  3143  3288 0.98 | transcript=PVPAM_110044600_t1 | gene=PVPAM_110044600 | organism=Plasmodium_vivax_PAM | gene_product=nucleoporin NUP637, putative | transcript_product=nucleoporin NUP637, putative | location=CASCJQ010000011:1641314-1658671(-) | protein_length=5785 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7721541.1         -           5785 90at5820             -           3291         0 5183.4 402.6  14  25     0.015        97   -2.1   0.0  1826  1843  3301  3318  3298  3320 0.90 | transcript=PVPAM_110044600_t1 | gene=PVPAM_110044600 | organism=Plasmodium_vivax_PAM | gene_product=nucleoporin NUP637, putative | transcript_product=nucleoporin NUP637, putative | location=CASCJQ010000011:1641314-1658671(-) | protein_length=5785 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7721541.1         -           5785 90at5820             -           3291         0 5183.4 402.6  15  25   1.1e-63   7.1e-60  200.7  13.3  1843  1970  3490  3630  3486  3637 0.90 | transcript=PVPAM_110044600_t1 | gene=PVPAM_110044600 | organism=Plasmodium_vivax_PAM | gene_product=nucleoporin NUP637, putative | transcript_product=nucleoporin NUP637, putative | location=CASCJQ010000011:1641314-1658671(-) | protein_length=5785 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7721541.1         -           5785 90at5820             -           3291         0 5183.4 402.6  16  25    7e-100   4.5e-96  320.9   6.8  1969  2178  3740  3970  3730  3977 0.92 | transcript=PVPAM_110044600_t1 | gene=PVPAM_110044600 | organism=Plasmodium_vivax_PAM | gene_product=nucleoporin NUP637, putative | transcript_product=nucleoporin NUP637, putative | location=CASCJQ010000011:1641314-1658671(-) | protein_length=5785 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7721541.1         -           5785 90at5820             -           3291         0 5183.4 402.6  17  25   2.6e-64   1.7e-60  202.8  10.8  2177  2300  4041  4164  4037  4171 0.95 | transcript=PVPAM_110044600_t1 | gene=PVPAM_110044600 | organism=Plasmodium_vivax_PAM | gene_product=nucleoporin NUP637, putative | transcript_product=nucleoporin NUP637, putative | location=CASCJQ010000011:1641314-1658671(-) | protein_length=5785 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7721541.1         -           5785 90at5820             -           3291         0 5183.4 402.6  18  25   4.7e-48     3e-44  148.9  18.2  2295  2391  4203  4314  4188  4325 0.91 | transcript=PVPAM_110044600_t1 | gene=PVPAM_110044600 | organism=Plasmodium_vivax_PAM | gene_product=nucleoporin NUP637, putative | transcript_product=nucleoporin NUP637, putative | location=CASCJQ010000011:1641314-1658671(-) | protein_length=5785 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7721541.1         -           5785 90at5820             -           3291         0 5183.4 402.6  19  25   8.3e-08   0.00053   15.3   0.3  2392  2416  4383  4407  4374  4412 0.92 | transcript=PVPAM_110044600_t1 | gene=PVPAM_110044600 | organism=Plasmodium_vivax_PAM | gene_product=nucleoporin NUP637, putative | transcript_product=nucleoporin NUP637, putative | location=CASCJQ010000011:1641314-1658671(-) | protein_length=5785 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7721541.1         -           5785 90at5820             -           3291         0 5183.4 402.6  20  25   3.5e-72   2.2e-68  229.0  22.7  2415  2545  4450  4580  4443  4586 0.96 | transcript=PVPAM_110044600_t1 | gene=PVPAM_110044600 | organism=Plasmodium_vivax_PAM | gene_product=nucleoporin NUP637, putative | transcript_product=nucleoporin NUP637, putative | location=CASCJQ010000011:1641314-1658671(-) | protein_length=5785 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7721541.1         -           5785 90at5820             -           3291         0 5183.4 402.6  21  25   8.6e-14   5.5e-10   35.2   0.1  2542  2582  4635  4675  4628  4677 0.93 | transcript=PVPAM_110044600_t1 | gene=PVPAM_110044600 | organism=Plasmodium_vivax_PAM | gene_product=nucleoporin NUP637, putative | transcript_product=nucleoporin NUP637, putative | location=CASCJQ010000011:1641314-1658671(-) | protein_length=5785 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7721541.1         -           5785 90at5820             -           3291         0 5183.4 402.6  22  25   5.2e-69   3.3e-65  218.4  13.0  2581  2706  4740  4880  4729  4882 0.92 | transcript=PVPAM_110044600_t1 | gene=PVPAM_110044600 | organism=Plasmodium_vivax_PAM | gene_product=nucleoporin NUP637, putative | transcript_product=nucleoporin NUP637, putative | location=CASCJQ010000011:1641314-1658671(-) | protein_length=5785 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7721541.1         -           5785 90at5820             -           3291         0 5183.4 402.6  23  25  6.6e-136  4.2e-132  440.4  30.9  2706  2945  4928  5178  4926  5181 0.94 | transcript=PVPAM_110044600_t1 | gene=PVPAM_110044600 | organism=Plasmodium_vivax_PAM | gene_product=nucleoporin NUP637, putative | transcript_product=nucleoporin NUP637, putative | location=CASCJQ010000011:1641314-1658671(-) | protein_length=5785 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7721541.1         -           5785 90at5820             -           3291         0 5183.4 402.6  24  25   5.9e-28   3.8e-24   82.2   0.8  2938  2995  5215  5272  5212  5280 0.94 | transcript=PVPAM_110044600_t1 | gene=PVPAM_110044600 | organism=Plasmodium_vivax_PAM | gene_product=nucleoporin NUP637, putative | transcript_product=nucleoporin NUP637, putative | location=CASCJQ010000011:1641314-1658671(-) | protein_length=5785 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7721541.1         -           5785 90at5820             -           3291         0 5183.4 402.6  25  25  3.1e-159    2e-155  517.8  26.1  3000  3291  5458  5783  5452  5783 0.93 | transcript=PVPAM_110044600_t1 | gene=PVPAM_110044600 | organism=Plasmodium_vivax_PAM | gene_product=nucleoporin NUP637, putative | transcript_product=nucleoporin NUP637, putative | location=CASCJQ010000011:1641314-1658671(-) | protein_length=5785 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/90at5820.hmm
# Target file:     /v3/inputs/annotations/plasmodb-68/PAM.proteins.fa
# Option settings: hmmsearch --domtblout /v3/work/00_inventory/busco/PAM_proteins/run_plasmodium_odb10/hmmer_output/initial_run_results/90at5820.out --cpu 1 /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/90at5820.hmm /v3/inputs/annotations/plasmodb-68/PAM.proteins.fa 
# Current dir:     /v3/work/00_inventory/busco
# Date:            Tue May 19 17:49:49 2026
# [ok]
