#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
CAI7721889.1         -            363 7201at5820           -            178  2.3e-104  345.0   8.5   1   1  1.8e-106  1.2e-103  342.6   8.5     1   178    88   289    88   289 0.93 | transcript=PVPAM_120012300_t1 | gene=PVPAM_120012300 | organism=Plasmodium_vivax_PAM | gene_product=WD repeat-containing protein 92, putative | transcript_product=WD repeat-containing protein 92, putative | location=CASCJQ010000012:302613-304872(+) | protein_length=363 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7717887.1         -            447 7201at5820           -            178   6.7e-08   30.7   0.9   1   3    0.0012      0.79    7.7   0.1    22    60   151   189   135   198 0.84 | transcript=PVPAM_020011900_t1 | gene=PVPAM_020011900 | organism=Plasmodium_vivax_PAM | gene_product=chromatin assembly factor 1 subunit C, putative | transcript_product=chromatin assembly factor 1 subunit C, putative | location=CASCJQ010000002:329433-330776(+) | protein_length=447 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7717887.1         -            447 7201at5820           -            178   6.7e-08   30.7   0.9   2   3   8.5e-07   0.00055   18.0   0.4     2    98   227   330   226   374 0.77 | transcript=PVPAM_020011900_t1 | gene=PVPAM_020011900 | organism=Plasmodium_vivax_PAM | gene_product=chromatin assembly factor 1 subunit C, putative | transcript_product=chromatin assembly factor 1 subunit C, putative | location=CASCJQ010000002:329433-330776(+) | protein_length=447 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7717887.1         -            447 7201at5820           -            178   6.7e-08   30.7   0.9   3   3      0.19   1.2e+02    0.6   0.0    21    73   393   446   378   447 0.79 | transcript=PVPAM_020011900_t1 | gene=PVPAM_020011900 | organism=Plasmodium_vivax_PAM | gene_product=chromatin assembly factor 1 subunit C, putative | transcript_product=chromatin assembly factor 1 subunit C, putative | location=CASCJQ010000002:329433-330776(+) | protein_length=447 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7723717.1         -            511 7201at5820           -            178   1.1e-05   23.5   1.5   1   4     0.014       9.3    4.2   0.0    22    56   286   319   275   324 0.70 | transcript=PVPAM_140064100_t1 | gene=PVPAM_140064100 | organism=Plasmodium_vivax_PAM | gene_product=periodic tryptophan protein 1, putative | transcript_product=periodic tryptophan protein 1, putative | location=CASCJQ010000014:2541864-2543718(+) | protein_length=511 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7723717.1         -            511 7201at5820           -            178   1.1e-05   23.5   1.5   2   4   2.2e-06    0.0014   16.6   0.2     2    62   310   368   309   380 0.85 | transcript=PVPAM_140064100_t1 | gene=PVPAM_140064100 | organism=Plasmodium_vivax_PAM | gene_product=periodic tryptophan protein 1, putative | transcript_product=periodic tryptophan protein 1, putative | location=CASCJQ010000014:2541864-2543718(+) | protein_length=511 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7723717.1         -            511 7201at5820           -            178   1.1e-05   23.5   1.5   3   4      0.61   3.9e+02   -1.1   0.0    36    58   384   406   371   421 0.80 | transcript=PVPAM_140064100_t1 | gene=PVPAM_140064100 | organism=Plasmodium_vivax_PAM | gene_product=periodic tryptophan protein 1, putative | transcript_product=periodic tryptophan protein 1, putative | location=CASCJQ010000014:2541864-2543718(+) | protein_length=511 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7723717.1         -            511 7201at5820           -            178   1.1e-05   23.5   1.5   4   4     0.053        34    2.4   0.0    35    56   434   455   421   489 0.83 | transcript=PVPAM_140064100_t1 | gene=PVPAM_140064100 | organism=Plasmodium_vivax_PAM | gene_product=periodic tryptophan protein 1, putative | transcript_product=periodic tryptophan protein 1, putative | location=CASCJQ010000014:2541864-2543718(+) | protein_length=511 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7720871.1         -            329 7201at5820           -            178   0.00021   19.3   6.3   1   2   4.2e-05     0.027   12.5   1.1     1    67    38   105    38   140 0.67 | transcript=PVPAM_100013900_t1 | gene=PVPAM_100013900 | organism=Plasmodium_vivax_PAM | gene_product=WD repeat-containing protein 55, putative | transcript_product=WD repeat-containing protein 55, putative | location=CASCJQ010000010:395158-396147(+) | protein_length=329 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7720871.1         -            329 7201at5820           -            178   0.00021   19.3   6.3   2   2   0.00048      0.31    9.0   0.2   116   142   201   227   109   247 0.67 | transcript=PVPAM_100013900_t1 | gene=PVPAM_100013900 | organism=Plasmodium_vivax_PAM | gene_product=WD repeat-containing protein 55, putative | transcript_product=WD repeat-containing protein 55, putative | location=CASCJQ010000010:395158-396147(+) | protein_length=329 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7721327.1         -            513 7201at5820           -            178    0.0003   18.9   4.3   1   4     0.029        19    3.2   0.1   119   142   199   222   131   238 0.89 | transcript=PVPAM_110023000_t1 | gene=PVPAM_110023000 | organism=Plasmodium_vivax_PAM | gene_product=ribosome biogenesis protein YTM1, putative | transcript_product=ribosome biogenesis protein YTM1, putative | location=CASCJQ010000011:752353-753894(-) | protein_length=513 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7721327.1         -            513 7201at5820           -            178    0.0003   18.9   4.3   2   4   0.00044      0.28    9.2   0.3    37   101   361   427   333   432 0.60 | transcript=PVPAM_110023000_t1 | gene=PVPAM_110023000 | organism=Plasmodium_vivax_PAM | gene_product=ribosome biogenesis protein YTM1, putative | transcript_product=ribosome biogenesis protein YTM1, putative | location=CASCJQ010000011:752353-753894(-) | protein_length=513 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7721327.1         -            513 7201at5820           -            178    0.0003   18.9   4.3   3   4   0.00063      0.41    8.6   0.1    30    75   394   439   387   454 0.78 | transcript=PVPAM_110023000_t1 | gene=PVPAM_110023000 | organism=Plasmodium_vivax_PAM | gene_product=ribosome biogenesis protein YTM1, putative | transcript_product=ribosome biogenesis protein YTM1, putative | location=CASCJQ010000011:752353-753894(-) | protein_length=513 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7721327.1         -            513 7201at5820           -            178    0.0003   18.9   4.3   4   4    0.0098       6.3    4.8   0.0    35    61   448   474   428   487 0.77 | transcript=PVPAM_110023000_t1 | gene=PVPAM_110023000 | organism=Plasmodium_vivax_PAM | gene_product=ribosome biogenesis protein YTM1, putative | transcript_product=ribosome biogenesis protein YTM1, putative | location=CASCJQ010000011:752353-753894(-) | protein_length=513 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7721552.1         -            361 7201at5820           -            178   0.00067   17.7   0.3   1   2       4.3   2.8e+03   -3.9   0.1    79    89   167   177   165   181 0.81 | transcript=PVPAM_110045700_t1 | gene=PVPAM_110045700 | organism=Plasmodium_vivax_PAM | gene_product=diphthine methyltransferase, putative | transcript_product=diphthine methyltransferase, putative | location=CASCJQ010000011:1691106-1693660(+) | protein_length=361 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
