#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
CAI7723246.1         -            713 5598at5820           -            537  4.7e-263  872.3 113.8   1   2   6.4e-81   5.9e-78  261.4  67.5     2   237     6   346     5   351 0.78 | transcript=PVPAM_140016500_t1 | gene=PVPAM_140016500 | organism=Plasmodium_vivax_PAM | gene_product=conserved Plasmodium protein, unknown function | transcript_product=conserved Plasmodium protein, unknown function | location=CASCJQ010000014:527469-529610(+) | protein_length=713 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7723246.1         -            713 5598at5820           -            537  4.7e-263  872.3 113.8   2   2  1.4e-183  1.3e-180  600.2  38.3   231   537   365   713   361   713 0.97 | transcript=PVPAM_140016500_t1 | gene=PVPAM_140016500 | organism=Plasmodium_vivax_PAM | gene_product=conserved Plasmodium protein, unknown function | transcript_product=conserved Plasmodium protein, unknown function | location=CASCJQ010000014:527469-529610(+) | protein_length=713 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7720474.1         -            368 5598at5820           -            537     0.095    9.9  15.2   1   2     9e-06    0.0083   13.4  10.6    84   182    44   161    18   206 0.61 | transcript=PVPAM_090023900_t1 | gene=PVPAM_090023900 | organism=Plasmodium_vivax_PAM | gene_product=tRNA m(1)G methyltransferase, putative | transcript_product=tRNA m(1)G methyltransferase, putative | location=CASCJQ010000009:868031-869664(+) | protein_length=368 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7720474.1         -            368 5598at5820           -            537     0.095    9.9  15.2   2   2      0.63   5.8e+02   -2.6   0.1   223   265   271   313   250   322 0.65 | transcript=PVPAM_090023900_t1 | gene=PVPAM_090023900 | organism=Plasmodium_vivax_PAM | gene_product=tRNA m(1)G methyltransferase, putative | transcript_product=tRNA m(1)G methyltransferase, putative | location=CASCJQ010000009:868031-869664(+) | protein_length=368 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7718753.1         -           1206 5598at5820           -            537       0.5    7.5   7.9   1   1   0.00095      0.88    6.7   7.9    80   141  1029  1091  1000  1101 0.59 | transcript=PVPAM_050014700_t1 | gene=PVPAM_050014700 | organism=Plasmodium_vivax_PAM | gene_product=conserved Plasmodium protein, unknown function | transcript_product=conserved Plasmodium protein, unknown function | location=CASCJQ010000005:444899-448519(-) | protein_length=1206 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7718593.1         -            263 5598at5820           -            537      0.93    6.6  17.0   1   1    0.0014       1.3    6.1  17.0    72   157    99   185    74   210 0.48 | transcript=PVPAM_040033800_t1 | gene=PVPAM_040033800 | organism=Plasmodium_vivax_PAM | gene_product=Plasmodium exported protein, unknown function | transcript_product=Plasmodium exported protein, unknown function | location=CASCJQ010000004:1191535-1192596(-) | protein_length=263 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7717684.1         -            162 5598at5820           -            537       1.7    5.7   8.5   1   1    0.0023       2.2    5.4   8.5    69   146     7    84     2    97 0.44 | transcript=PVPAM_010019400_t1 | gene=PVPAM_010019400 | organism=Plasmodium_vivax_PAM | gene_product=conserved Plasmodium protein, unknown function | transcript_product=conserved Plasmodium protein, unknown function | location=CASCJQ010000001:696866-697563(+) | protein_length=162 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7720855.1         -            667 5598at5820           -            537       2.1    5.5  20.6   1   1     0.004       3.7    4.6  20.6    60   164    47   156    29   181 0.49 | transcript=PVPAM_100012100_t1 | gene=PVPAM_100012100 | organism=Plasmodium_vivax_PAM | gene_product=ATP-dependent RNA helicase DDX41, putative | transcript_product=ATP-dependent RNA helicase DDX41, putative | location=CASCJQ010000010:321156-323159(-) | protein_length=667 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7723254.1         -            467 5598at5820           -            537         4    4.5  11.7   1   1     0.007       6.5    3.8  11.7    71   131    75   136    64   146 0.55 | transcript=PVPAM_140017300_t1 | gene=PVPAM_140017300 | organism=Plasmodium_vivax_PAM | gene_product=tyrosine recombinase, putative | transcript_product=tyrosine recombinase, putative | location=CASCJQ010000014:572490-575580(-) | protein_length=467 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/5598at5820.hmm
# Target file:     /v3/inputs/annotations/plasmodb-68/PAM.proteins.fa
# Option settings: hmmsearch --domtblout /v3/work/00_inventory/busco/PAM_proteins/run_plasmodium_odb10/hmmer_output/initial_run_results/5598at5820.out --cpu 1 /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/5598at5820.hmm /v3/inputs/annotations/plasmodb-68/PAM.proteins.fa 
# Current dir:     /v3/work/00_inventory/busco
# Date:            Tue May 19 17:42:30 2026
# [ok]
