#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
CAI7723377.1         -           2825 366at5820            -           2063         0 2876.7  55.6   1   1         0         0 2874.6  55.6     1  2062     1  2820     1  2821 0.85 | transcript=PVPAM_140029600_t1 | gene=PVPAM_140029600 | organism=Plasmodium_vivax_PAM | gene_product=protein kinase domain-containing protein, putative | transcript_product=protein kinase domain-containing protein, putative | location=CASCJQ010000014:1060661-1069898(-) | protein_length=2825 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7722911.1         -            974 366at5820            -           2063   0.00035   16.3  12.5   1   1   3.3e-06   0.00061   15.5  12.5   450   669   518   744   485   853 0.59 | transcript=PVPAM_130041300_t1 | gene=PVPAM_130041300 | organism=Plasmodium_vivax_PAM | gene_product=unspecified product | transcript_product=unspecified product | location=CASCJQ010000013:1607004-1609928(-) | protein_length=974 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7721332.1         -            282 366at5820            -           2063     0.019   10.5   1.7   1   1   0.00013     0.025   10.2   1.7   658   761    35   151    25   161 0.71 | transcript=PVPAM_110023500_t1 | gene=PVPAM_110023500 | organism=Plasmodium_vivax_PAM | gene_product=CPW-WPC family protein | transcript_product=CPW-WPC family protein | location=CASCJQ010000011:776712-778978(+) | protein_length=282 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7718405.1         -            552 366at5820            -           2063     0.021   10.4  35.5   1   1   0.00017     0.031    9.8  35.5   441   703    91   434    39   541 0.33 | transcript=PVPAM_040015100_t1 | gene=PVPAM_040015100 | organism=Plasmodium_vivax_PAM | gene_product=Plasmodium exported protein, unknown function | transcript_product=Plasmodium exported protein, unknown function | location=CASCJQ010000004:447212-449017(-) | protein_length=552 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7720611.1         -            404 366at5820            -           2063     0.035    9.6  10.1   1   1   0.00021     0.039    9.5  10.1   511   619   273   384    89   400 0.39 | transcript=PVPAM_090037500_t1 | gene=PVPAM_090037500 | organism=Plasmodium_vivax_PAM | gene_product=pre-mRNA-splicing factor 38A, putative | transcript_product=pre-mRNA-splicing factor 38A, putative | location=CASCJQ010000009:1439359-1440739(-) | protein_length=404 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7717928.1         -            292 366at5820            -           2063     0.051    9.1   4.1   1   1   0.00028     0.051    9.1   4.1   455   524    65   134    37   229 0.55 | transcript=PVPAM_020016000_t1 | gene=PVPAM_020016000 | organism=Plasmodium_vivax_PAM | gene_product=conserved Plasmodium protein, unknown function | transcript_product=conserved Plasmodium protein, unknown function | location=CASCJQ010000002:463722-464600(-) | protein_length=292 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7718579.1         -            376 366at5820            -           2063     0.089    8.3  36.5   1   1   0.00054       0.1    8.1  36.5   437   700    94   329    19   374 0.32 | transcript=PVPAM_040032300_t1 | gene=PVPAM_040032300 | organism=Plasmodium_vivax_PAM | gene_product=protein MAK16, putative | transcript_product=protein MAK16, putative | location=CASCJQ010000004:1130504-1131876(+) | protein_length=376 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7720321.1         -            393 366at5820            -           2063       0.1    8.1  49.5   1   1   0.00066      0.12    7.9  49.5   455   699   111   367    51   388 0.35 | transcript=PVPAM_090008500_t1 | gene=PVPAM_090008500 | organism=Plasmodium_vivax_PAM | gene_product=conserved Plasmodium protein, unknown function | transcript_product=conserved Plasmodium protein, unknown function | location=CASCJQ010000009:256647-258008(+) | protein_length=393 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7718130.1         -            843 366at5820            -           2063       0.1    8.1  11.0   1   1    0.0007      0.13    7.8  11.0   451   607    62   289    37   545 0.48 | transcript=PVPAM_030012600_t1 | gene=PVPAM_030012600 | organism=Plasmodium_vivax_PAM | gene_product=perforin-like protein 1 | transcript_product=perforin-like protein 1 | location=CASCJQ010000003:352504-356442(-) | protein_length=843 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7719224.1         -           1763 366at5820            -           2063       0.1    8.1   2.2   1   1   0.00074      0.14    7.7   2.2   496   658  1130  1291  1085  1456 0.55 | transcript=PVPAM_060023100_t1 | gene=PVPAM_060023100 | organism=Plasmodium_vivax_PAM | gene_product=conserved Plasmodium protein, unknown function | transcript_product=conserved Plasmodium protein, unknown function | location=CASCJQ010000006:779641-784932(-) | protein_length=1763 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7723243.1         -            424 366at5820            -           2063      0.21    7.1  26.0   1   1    0.0013      0.23    6.9  26.0   479   673    90   273    60   381 0.43 | transcript=PVPAM_140016200_t1 | gene=PVPAM_140016200 | organism=Plasmodium_vivax_PAM | gene_product=centrosomal protein CEP170, putative | transcript_product=centrosomal protein CEP170, putative | location=CASCJQ010000014:514801-516530(-) | protein_length=424 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7722415.1         -            527 366at5820            -           2063      0.37    6.2  58.6   1   1    0.0025      0.46    5.9  58.6   436   757   122   483    56   523 0.60 | transcript=PVPAM_120065100_t1 | gene=PVPAM_120065100 | organism=Plasmodium_vivax_PAM | gene_product=unspecified product | transcript_product=unspecified product | location=CASCJQ010000012:2451820-2453557(-) | protein_length=527 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7722359.1         -            318 366at5820            -           2063      0.52    5.8  26.3   1   1    0.0033      0.62    5.5  26.3   341   604    24   290    21   318 0.39 | transcript=PVPAM_120059500_t1 | gene=PVPAM_120059500 | organism=Plasmodium_vivax_PAM | gene_product=U1 snRNP-associated protein, putative | transcript_product=U1 snRNP-associated protein, putative | location=CASCJQ010000012:2201136-2203532(-) | protein_length=318 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7718974.1         -            298 366at5820            -           2063       0.6    5.6  50.8   1   1    0.0039      0.72    5.3  50.8   588   721   157   291    71   298 0.41 | transcript=PVPAM_050036600_t1 | gene=PVPAM_050036600 | organism=Plasmodium_vivax_PAM | gene_product=ran-specific GTPase-activating protein 1, putative | transcript_product=ran-specific GTPase-activating protein 1, putative | location=CASCJQ010000005:1316265-1317533(+) | protein_length=298 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7722005.1         -            456 366at5820            -           2063      0.89    5.0  10.4   1   1    0.0054         1    4.8  10.4   538   660    40   271    26   404 0.39 | transcript=PVPAM_120024400_t1 | gene=PVPAM_120024400 | organism=Plasmodium_vivax_PAM | gene_product=MSP7-like protein | transcript_product=MSP7-like protein | location=CASCJQ010000012:788893-790263(+) | protein_length=456 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7720548.1         -            318 366at5820            -           2063      0.93    4.9  26.3   1   1    0.0057       1.1    4.7  26.3   458   663    74   282     9   313 0.31 | transcript=PVPAM_090031400_t1 | gene=PVPAM_090031400 | organism=Plasmodium_vivax_PAM | gene_product=mediator of RNA polymerase II transcription subunit 21, putative | transcript_product=mediator of RNA polymerase II transcription subunit 21, putative | location=CASCJQ010000009:1198966-1200328(+) | protein_length=318 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7718911.1         -            421 366at5820            -           2063         1    4.8  10.1   1   1    0.0063       1.2    4.6  10.1   593   667    91   199    37   313 0.48 | transcript=PVPAM_050030300_t1 | gene=PVPAM_050030300 | organism=Plasmodium_vivax_PAM | gene_product=Plasmodium exported protein (PHIST), unknown function | transcript_product=Plasmodium exported protein (PHIST), unknown function | location=CASCJQ010000005:1046207-1047662(-) | protein_length=421 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7720307.1         -            366 366at5820            -           2063       1.7    4.1  20.4   1   1     0.011         2    3.8  20.4   552   690   189   350    84   361 0.34 | transcript=PVPAM_090007100_t1 | gene=PVPAM_090007100 | organism=Plasmodium_vivax_PAM | gene_product=unspecified product | transcript_product=unspecified product | location=CASCJQ010000009:160427-161645(+) | protein_length=366 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7721043.1         -            143 366at5820            -           2063       1.9    3.9  12.4   1   1     0.011       2.1    3.8  12.4   532   630    37   129     2   136 0.43 | transcript=PVPAM_100031100_t1 | gene=PVPAM_100031100 | organism=Plasmodium_vivax_PAM | gene_product=conserved Plasmodium protein, unknown function | transcript_product=conserved Plasmodium protein, unknown function | location=CASCJQ010000010:1135167-1135857(+) | protein_length=143 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7721107.1         -            450 366at5820            -           2063       2.4    3.6  29.1   1   1     0.016       2.9    3.3  29.1   429   650    67   374    20   439 0.29 | transcript=PVPAM_100037500_t1 | gene=PVPAM_100037500 | organism=Plasmodium_vivax_PAM | gene_product=merozoite surface protein 3 | transcript_product=merozoite surface protein 3 | location=CASCJQ010000010:1394731-1396083(-) | protein_length=450 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7717726.1         -            282 366at5820            -           2063       2.4    3.5  26.5   1   1     0.015       2.7    3.4  26.5   532   676    66   224    12   281 0.32 | transcript=PVPAM_010024000_t1 | gene=PVPAM_010024000 | organism=Plasmodium_vivax_PAM | gene_product=conserved Plasmodium protein, unknown function | transcript_product=conserved Plasmodium protein, unknown function | location=CASCJQ010000001:883024-883872(-) | protein_length=282 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7721102.1         -            328 366at5820            -           2063       2.7    3.4  27.7   1   1     0.016         3    3.2  27.7   408   663    54   323    27   328 0.33 | transcript=PVPAM_100037000_t1 | gene=PVPAM_100037000 | organism=Plasmodium_vivax_PAM | gene_product=serine/arginine-rich splicing factor 12, putative | transcript_product=serine/arginine-rich splicing factor 12, putative | location=CASCJQ010000010:1378622-1379608(+) | protein_length=328 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7720004.1         -            381 366at5820            -           2063       2.9    3.3  22.8   1   1     0.017       3.2    3.2  22.8   562   721    93   222     3   281 0.37 | transcript=PVPAM_080022600_t1 | gene=PVPAM_080022600 | organism=Plasmodium_vivax_PAM | gene_product=MORN repeat protein, putative | transcript_product=MORN repeat protein, putative | location=CASCJQ010000008:819982-822067(-) | protein_length=381 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7720939.1         -            739 366at5820            -           2063       3.2    3.2  17.0   1   1     0.021       3.8    2.9  17.0   553   689   382   537   208   650 0.46 | transcript=PVPAM_100020700_t1 | gene=PVPAM_100020700 | organism=Plasmodium_vivax_PAM | gene_product=zinc finger protein, putative | transcript_product=zinc finger protein, putative | location=CASCJQ010000010:696076-698295(-) | protein_length=739 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7721800.1         -            504 366at5820            -           2063       3.4    3.1  14.3   1   1     0.022       4.1    2.8  14.3   471   697   110   384    10   449 0.38 | transcript=PVPAM_110070000_t1 | gene=PVPAM_110070000 | organism=Plasmodium_vivax_PAM | gene_product=PIR protein | transcript_product=PIR protein | location=CASCJQ010000011:2789929-2791536(-) | protein_length=504 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7723888.1         -            504 366at5820            -           2063       3.4    3.1  14.3   1   1     0.022       4.1    2.8  14.3   471   697   110   384    10   449 0.38 | transcript=PVPAM_140081400_t1 | gene=PVPAM_140081400 | organism=Plasmodium_vivax_PAM | gene_product=PIR protein | transcript_product=PIR protein | location=CASCJQ010000014:3236721-3238328(-) | protein_length=504 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7722827.1         -           1676 366at5820            -           2063       3.7    2.9  26.3   1   1      0.04       7.3    2.0  26.3   497   706   539   647   503   875 0.37 | transcript=PVPAM_130032900_t1 | gene=PVPAM_130032900 | organism=Plasmodium_vivax_PAM | gene_product=unspecified product | transcript_product=unspecified product | location=CASCJQ010000013:1275657-1280876(-) | protein_length=1676 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7721360.1         -            519 366at5820            -           2063       4.8    2.6  17.2   1   1     0.028       5.1    2.5  17.2   508   683   169   354    38   440 0.45 | transcript=PVPAM_110026300_t1 | gene=PVPAM_110026300 | organism=Plasmodium_vivax_PAM | gene_product=E3 ubiquitin-protein ligase RNF5, putative | transcript_product=E3 ubiquitin-protein ligase RNF5, putative | location=CASCJQ010000011:934966-936525(+) | protein_length=519 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7718227.1         -            893 366at5820            -           2063       5.1    2.5   8.6   1   1     0.048       8.8    1.7   8.6   512   650    43   293     5   390 0.30 | transcript=PVPAM_030022700_t1 | gene=PVPAM_030022700 | organism=Plasmodium_vivax_PAM | gene_product=ubiquitin C-terminal hydrolase, putative | transcript_product=ubiquitin C-terminal hydrolase, putative | location=CASCJQ010000003:731204-733885(-) | protein_length=893 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7719731.1         -           2088 366at5820            -           2063       5.2    2.5  34.8   1   1     0.038       7.1    2.0  34.8   406   656   334   628   322   739 0.49 | transcript=PVPAM_070034500_t1 | gene=PVPAM_070034500 | organism=Plasmodium_vivax_PAM | gene_product=conserved Plasmodium protein, unknown function | transcript_product=conserved Plasmodium protein, unknown function | location=CASCJQ010000007:1250317-1256583(-) | protein_length=2088 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7719003.1         -            584 366at5820            -           2063       5.4    2.4  61.8   1   1     0.039       7.2    2.0  61.8   408   741   208   567   181   575 0.37 | transcript=PVPAM_050039500_t1 | gene=PVPAM_050039500 | organism=Plasmodium_vivax_PAM | gene_product=conserved Plasmodium protein, unknown function | transcript_product=conserved Plasmodium protein, unknown function | location=CASCJQ010000005:1457905-1459659(-) | protein_length=584 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7723781.1         -            205 366at5820            -           2063       5.9    2.3  32.0   1   1     0.037       6.9    2.0  32.0   582   704    45   179    14   201 0.28 | transcript=PVPAM_140070400_t1 | gene=PVPAM_140070400 | organism=Plasmodium_vivax_PAM | gene_product=(malaria parasite P. vivax) hypothetical protein [Source:UniProtKB/TrEMBL;Acc:A0A1G4H5X8] | transcript_product=(malaria parasite P. vivax) hypothetical protein [Source:UniProtKB/TrEMBL;Acc:A0A1G4H5X8] | location=CASCJQ010000014:2791558-2792523(+) | protein_length=205 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7723673.1         -            159 366at5820            -           2063       7.1    2.0  12.0   1   1     0.042       7.8    1.9  12.0   436   518    72   142    30   158 0.30 | transcript=PVPAM_140059700_t1 | gene=PVPAM_140059700 | organism=Plasmodium_vivax_PAM | gene_product=unspecified product | transcript_product=unspecified product | location=CASCJQ010000014:2356786-2357265(+) | protein_length=159 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7718549.1         -            390 366at5820            -           2063         8    1.8  16.9   1   1     0.053       9.7    1.6  16.9   551   739    93   320    32   346 0.31 | transcript=PVPAM_040029300_t1 | gene=PVPAM_040029300 | organism=Plasmodium_vivax_PAM | gene_product=merozoite surface protein 5 | transcript_product=merozoite surface protein 5 | location=CASCJQ010000004:1023978-1025460(+) | protein_length=390 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7719968.1         -            525 366at5820            -           2063       9.7    1.5  22.7   1   1     0.072        13    1.1  22.7   550   679   382   503   362   524 0.37 | transcript=PVPAM_080019000_t1 | gene=PVPAM_080019000 | organism=Plasmodium_vivax_PAM | gene_product=rho GTPase-activating protein, putative | transcript_product=rho GTPase-activating protein, putative | location=CASCJQ010000008:650867-653155(-) | protein_length=525 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/366at5820.hmm
# Target file:     /v3/inputs/annotations/plasmodb-68/PAM.proteins.fa
