#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
CAI7719579.1         -            922 3597at5820           -            590  1.9e-240  797.6  36.3   1   6   7.4e-39   2.4e-35  120.3   0.0     1    89    90   182    90   198 0.89 | transcript=PVPAM_070019300_t1 | gene=PVPAM_070019300 | organism=Plasmodium_vivax_PAM | gene_product=arginine--tRNA ligase, putative | transcript_product=arginine--tRNA ligase, putative | location=CASCJQ010000007:677663-680528(-) | protein_length=922 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7719579.1         -            922 3597at5820           -            590  1.9e-240  797.6  36.3   2   6   1.6e-37   5.2e-34  115.9   0.3    96   162   223   292   207   313 0.89 | transcript=PVPAM_070019300_t1 | gene=PVPAM_070019300 | organism=Plasmodium_vivax_PAM | gene_product=arginine--tRNA ligase, putative | transcript_product=arginine--tRNA ligase, putative | location=CASCJQ010000007:677663-680528(-) | protein_length=922 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7719579.1         -            922 3597at5820           -            590  1.9e-240  797.6  36.3   3   6   2.1e-58   6.6e-55  184.9   0.1   161   291   363   496   357   510 0.94 | transcript=PVPAM_070019300_t1 | gene=PVPAM_070019300 | organism=Plasmodium_vivax_PAM | gene_product=arginine--tRNA ligase, putative | transcript_product=arginine--tRNA ligase, putative | location=CASCJQ010000007:677663-680528(-) | protein_length=922 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7719579.1         -            922 3597at5820           -            590  1.9e-240  797.6  36.3   4   6   8.3e-70   2.7e-66  222.5   4.3   292   426   528   666   524   671 0.96 | transcript=PVPAM_070019300_t1 | gene=PVPAM_070019300 | organism=Plasmodium_vivax_PAM | gene_product=arginine--tRNA ligase, putative | transcript_product=arginine--tRNA ligase, putative | location=CASCJQ010000007:677663-680528(-) | protein_length=922 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7719579.1         -            922 3597at5820           -            590  1.9e-240  797.6  36.3   5   6   5.2e-41   1.7e-37  127.4   6.9   424   556   686   828   681   863 0.84 | transcript=PVPAM_070019300_t1 | gene=PVPAM_070019300 | organism=Plasmodium_vivax_PAM | gene_product=arginine--tRNA ligase, putative | transcript_product=arginine--tRNA ligase, putative | location=CASCJQ010000007:677663-680528(-) | protein_length=922 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7719579.1         -            922 3597at5820           -            590  1.9e-240  797.6  36.3   6   6   2.5e-15   8.1e-12   42.6   0.2   548   590   868   910   859   910 0.91 | transcript=PVPAM_070019300_t1 | gene=PVPAM_070019300 | organism=Plasmodium_vivax_PAM | gene_product=arginine--tRNA ligase, putative | transcript_product=arginine--tRNA ligase, putative | location=CASCJQ010000007:677663-680528(-) | protein_length=922 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7723529.1         -            591 3597at5820           -            590     4e-39  132.8  31.4   1   3   1.7e-26   5.6e-23   79.5  12.6    96   285   128   301    58   306 0.87 | transcript=PVPAM_140045300_t1 | gene=PVPAM_140045300 | organism=Plasmodium_vivax_PAM | gene_product=arginine--tRNA ligase, putative | transcript_product=arginine--tRNA ligase, putative | location=CASCJQ010000014:1689767-1692985(-) | protein_length=591 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7723529.1         -            591 3597at5820           -            590     4e-39  132.8  31.4   2   3   2.6e-18   8.6e-15   52.4   0.1   336   423   315   404   302   418 0.81 | transcript=PVPAM_140045300_t1 | gene=PVPAM_140045300 | organism=Plasmodium_vivax_PAM | gene_product=arginine--tRNA ligase, putative | transcript_product=arginine--tRNA ligase, putative | location=CASCJQ010000014:1689767-1692985(-) | protein_length=591 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7723529.1         -            591 3597at5820           -            590     4e-39  132.8  31.4   3   3    0.0013       4.3    3.9   5.5   411   523   422   548   414   574 0.69 | transcript=PVPAM_140045300_t1 | gene=PVPAM_140045300 | organism=Plasmodium_vivax_PAM | gene_product=arginine--tRNA ligase, putative | transcript_product=arginine--tRNA ligase, putative | location=CASCJQ010000014:1689767-1692985(-) | protein_length=591 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/3597at5820.hmm
# Target file:     /v3/inputs/annotations/plasmodb-68/PAM.proteins.fa
# Option settings: hmmsearch --domtblout /v3/work/00_inventory/busco/PAM_proteins/run_plasmodium_odb10/hmmer_output/initial_run_results/3597at5820.out --cpu 1 /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/3597at5820.hmm /v3/inputs/annotations/plasmodb-68/PAM.proteins.fa 
# Current dir:     /v3/work/00_inventory/busco
# Date:            Tue May 19 17:37:34 2026
# [ok]
