#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
CAI7722834.1         -            953 7873at5820           -            702    2e-256  851.2   0.1   1   2   4.9e-76   2.2e-73  246.2   0.1     2   233    11   288    10   318 0.78 | transcript=PVPAM_130033600_t1 | gene=PVPAM_130033600 | organism=Plasmodium_vivax_PAM | gene_product=surface-related antigen SRA, putative | transcript_product=surface-related antigen SRA, putative | location=CASCJQ010000013:1302763-1305935(+) | protein_length=953 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7722834.1         -            953 7873at5820           -            702    2e-256  851.2   0.1   2   2  6.2e-184  2.9e-181  602.8   0.0   242   690   386   926   361   948 0.76 | transcript=PVPAM_130033600_t1 | gene=PVPAM_130033600 | organism=Plasmodium_vivax_PAM | gene_product=surface-related antigen SRA, putative | transcript_product=surface-related antigen SRA, putative | location=CASCJQ010000013:1302763-1305935(+) | protein_length=953 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7720306.1         -            343 7873at5820           -            702   0.00021   18.2  18.4   1   1   7.7e-07   0.00036   17.4  18.4   163   214   101   152    92   193 0.39 | transcript=PVPAM_090007000_t1 | gene=PVPAM_090007000 | organism=Plasmodium_vivax_PAM | gene_product=unspecified product | transcript_product=unspecified product | location=CASCJQ010000009:151890-153042(+) | protein_length=343 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7723827.1         -            400 7873at5820           -            702   0.00021   18.2  29.8   1   2   4.7e-06    0.0021   14.8   2.2   167   301    74   211    57   215 0.44 | transcript=PVPAM_140075000_t1 | gene=PVPAM_140075000 | organism=Plasmodium_vivax_PAM | gene_product=THUMP domain-containing protein, putative | transcript_product=THUMP domain-containing protein, putative | location=CASCJQ010000014:2942224-2943949(+) | protein_length=400 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7723827.1         -            400 7873at5820           -            702   0.00021   18.2  29.8   2   2   0.00026      0.12    9.1  20.0   135   221   240   314   219   362 0.39 | transcript=PVPAM_140075000_t1 | gene=PVPAM_140075000 | organism=Plasmodium_vivax_PAM | gene_product=THUMP domain-containing protein, putative | transcript_product=THUMP domain-containing protein, putative | location=CASCJQ010000014:2942224-2943949(+) | protein_length=400 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7720305.1         -            350 7873at5820           -            702   0.00085   16.2  10.2   1   2   1.8e-06   0.00085   16.2  10.2   162   238   120   196   110   229 0.34 | transcript=PVPAM_090006900_t1 | gene=PVPAM_090006900 | organism=Plasmodium_vivax_PAM | gene_product=unspecified product | transcript_product=unspecified product | location=CASCJQ010000009:143764-144939(+) | protein_length=350 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7720305.1         -            350 7873at5820           -            702   0.00085   16.2  10.2   2   2       4.8   2.2e+03   -5.0   0.8   451   462   318   329   313   336 0.41 | transcript=PVPAM_090006900_t1 | gene=PVPAM_090006900 | organism=Plasmodium_vivax_PAM | gene_product=unspecified product | transcript_product=unspecified product | location=CASCJQ010000009:143764-144939(+) | protein_length=350 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7721589.1         -            709 7873at5820           -            702    0.0061   13.3   0.6   1   1   2.3e-05      0.01   12.6   0.6   157   217   291   349   282   415 0.54 | transcript=PVPAM_110049400_t1 | gene=PVPAM_110049400 | organism=Plasmodium_vivax_PAM | gene_product=conserved Plasmodium protein, unknown function | transcript_product=conserved Plasmodium protein, unknown function | location=CASCJQ010000011:1847928-1850057(-) | protein_length=709 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7720335.1         -            630 7873at5820           -            702    0.0063   13.3  49.8   1   2   4.1e-05     0.019   11.7  21.9   464   555   204   295   196   307 0.60 | transcript=PVPAM_090010100_t1 | gene=PVPAM_090010100 | organism=Plasmodium_vivax_PAM | gene_product=radial spoke head protein, putative | transcript_product=radial spoke head protein, putative | location=CASCJQ010000009:324938-326830(+) | protein_length=630 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7720335.1         -            630 7873at5820           -            702    0.0063   13.3  49.8   2   2   0.00091      0.42    7.3  20.0   454   548   383   477   377   497 0.46 | transcript=PVPAM_090010100_t1 | gene=PVPAM_090010100 | organism=Plasmodium_vivax_PAM | gene_product=radial spoke head protein, putative | transcript_product=radial spoke head protein, putative | location=CASCJQ010000009:324938-326830(+) | protein_length=630 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7719007.1         -            294 7873at5820           -            702      0.39    7.4  19.9   1   1    0.0013       0.6    6.8  19.9   161   256    52   162    35   185 0.52 | transcript=PVPAM_050039900_t1 | gene=PVPAM_050039900 | organism=Plasmodium_vivax_PAM | gene_product=conserved Plasmodium protein, unknown function | transcript_product=conserved Plasmodium protein, unknown function | location=CASCJQ010000005:1474687-1475707(-) | protein_length=294 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7717684.1         -            162 7873at5820           -            702      0.49    7.0  11.9   1   1    0.0013      0.61    6.7  11.9   498   573     6    82     1    88 0.61 | transcript=PVPAM_010019400_t1 | gene=PVPAM_010019400 | organism=Plasmodium_vivax_PAM | gene_product=conserved Plasmodium protein, unknown function | transcript_product=conserved Plasmodium protein, unknown function | location=CASCJQ010000001:696866-697563(+) | protein_length=162 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7721036.1         -            759 7873at5820           -            702       0.8    6.3  61.5   1   3      0.22     1e+02   -0.6   0.3   245   263    60    79     9   114 0.59 | transcript=PVPAM_100030400_t1 | gene=PVPAM_100030400 | organism=Plasmodium_vivax_PAM | gene_product=conserved Plasmodium protein, unknown function | transcript_product=conserved Plasmodium protein, unknown function | location=CASCJQ010000010:1104262-1107287(-) | protein_length=759 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7721036.1         -            759 7873at5820           -            702       0.8    6.3  61.5   2   3   0.00067      0.31    7.7  40.1   139   240   252   363   239   388 0.35 | transcript=PVPAM_100030400_t1 | gene=PVPAM_100030400 | organism=Plasmodium_vivax_PAM | gene_product=conserved Plasmodium protein, unknown function | transcript_product=conserved Plasmodium protein, unknown function | location=CASCJQ010000010:1104262-1107287(-) | protein_length=759 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7721036.1         -            759 7873at5820           -            702       0.8    6.3  61.5   3   3   0.00046      0.21    8.3   7.7   165   204   450   489   435   622 0.73 | transcript=PVPAM_100030400_t1 | gene=PVPAM_100030400 | organism=Plasmodium_vivax_PAM | gene_product=conserved Plasmodium protein, unknown function | transcript_product=conserved Plasmodium protein, unknown function | location=CASCJQ010000010:1104262-1107287(-) | protein_length=759 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7719702.1         -           3230 7873at5820           -            702       1.4    5.5  13.0   1   1    0.0058       2.7    4.6  13.0   139   220    32   111    18   148 0.55 | transcript=PVPAM_070031600_t1 | gene=PVPAM_070031600 | organism=Plasmodium_vivax_PAM | gene_product=protein kinase, putative | transcript_product=protein kinase, putative | location=CASCJQ010000007:1146503-1156195(-) | protein_length=3230 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7718108.1         -            824 7873at5820           -            702       2.4    4.8  28.2   1   1     0.015       7.1    3.2  28.2   160   217   311   387   276   397 0.37 | transcript=PVPAM_030010400_t1 | gene=PVPAM_030010400 | organism=Plasmodium_vivax_PAM | gene_product=NYN domain-containing protein, putative | transcript_product=NYN domain-containing protein, putative | location=CASCJQ010000003:267451-270102(-) | protein_length=824 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
