#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
CAI7722048.1         -            456 6503at5820           -            386  1.7e-257  852.2   3.9   1   1  5.7e-260    2e-257  852.0   3.9     1   386    61   456    61   456 0.98 | transcript=PVPAM_120028600_t1 | gene=PVPAM_120028600 | organism=Plasmodium_vivax_PAM | gene_product=elongation factor Tu, putative | transcript_product=elongation factor Tu, putative | location=CASCJQ010000012:912230-913600(+) | protein_length=456 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7723907.1         -            409 6503at5820           -            386    5e-120  399.7  16.4   1   1  1.8e-122  6.1e-120  399.4  16.4     5   386     5   408     2   408 0.89 | transcript=PVPAM_API0007200_t1 | gene=PVPAM_API0007200 | organism=Plasmodium_vivax_PAM | gene_product=elongation factor Tu, putative | transcript_product=elongation factor Tu, putative | location=CASCJQ010000015:9513-10742(+) | protein_length=409 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7721286.1         -            443 6503at5820           -            386   1.8e-48  164.1   1.4   1   1   5.1e-50   1.7e-47  160.9   1.4     8   384     3   426     1   428 0.76 | transcript=PVPAM_110018800_t1 | gene=PVPAM_110018800 | organism=Plasmodium_vivax_PAM | gene_product=elongation factor 1-alpha, putative | transcript_product=elongation factor 1-alpha, putative | location=CASCJQ010000011:582675-584006(-) | protein_length=443 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7721287.1         -            443 6503at5820           -            386   1.8e-48  164.1   1.4   1   1   5.1e-50   1.7e-47  160.9   1.4     8   384     3   426     1   428 0.76 | transcript=PVPAM_110018900_t1 | gene=PVPAM_110018900 | organism=Plasmodium_vivax_PAM | gene_product=elongation factor 1-alpha, putative | transcript_product=elongation factor 1-alpha, putative | location=CASCJQ010000011:585419-586750(+) | protein_length=443 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7720517.1         -            547 6503at5820           -            386   5.9e-23   80.1   0.1   1   3   9.6e-23   3.3e-20   71.1   0.1    10   139   109   265   104   326 0.77 | transcript=PVPAM_090028200_t1 | gene=PVPAM_090028200 | organism=Plasmodium_vivax_PAM | gene_product=eukaryotic peptide chain release factor GTP-binding subunit, putative | transcript_product=eukaryotic peptide chain release factor GTP-binding subunit, putative | location=CASCJQ010000009:1083019-1084861(+) | protein_length=547 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7720517.1         -            547 6503at5820           -            386   5.9e-23   80.1   0.1   2   3     0.083        28    2.2   0.0   223   292   361   435   351   454 0.78 | transcript=PVPAM_090028200_t1 | gene=PVPAM_090028200 | organism=Plasmodium_vivax_PAM | gene_product=eukaryotic peptide chain release factor GTP-binding subunit, putative | transcript_product=eukaryotic peptide chain release factor GTP-binding subunit, putative | location=CASCJQ010000009:1083019-1084861(+) | protein_length=547 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7720517.1         -            547 6503at5820           -            386   5.9e-23   80.1   0.1   3   3      0.31   1.1e+02    0.3   0.0   366   383   526   543   507   545 0.85 | transcript=PVPAM_090028200_t1 | gene=PVPAM_090028200 | organism=Plasmodium_vivax_PAM | gene_product=eukaryotic peptide chain release factor GTP-binding subunit, putative | transcript_product=eukaryotic peptide chain release factor GTP-binding subunit, putative | location=CASCJQ010000009:1083019-1084861(+) | protein_length=547 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7723026.1         -            465 6503at5820           -            386   5.7e-16   57.1   2.5   1   2     3e-06     0.001   16.8   0.4    10    37    33    60    28    74 0.82 | transcript=PVPAM_130053200_t1 | gene=PVPAM_130053200 | organism=Plasmodium_vivax_PAM | gene_product=eukaryotic translation initiation factor 2 subunit gamma, putative | transcript_product=eukaryotic translation initiation factor 2 subunit gamma, putative | location=CASCJQ010000013:2118437-2119834(-) | protein_length=465 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7723026.1         -            465 6503at5820           -            386   5.7e-16   57.1   2.5   2   2   2.9e-13   9.8e-11   39.9   0.1    72   188   122   237   112   275 0.87 | transcript=PVPAM_130053200_t1 | gene=PVPAM_130053200 | organism=Plasmodium_vivax_PAM | gene_product=eukaryotic translation initiation factor 2 subunit gamma, putative | transcript_product=eukaryotic translation initiation factor 2 subunit gamma, putative | location=CASCJQ010000013:2118437-2119834(-) | protein_length=465 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7717892.1         -            770 6503at5820           -            386   2.4e-14   51.8   1.2   1   3   3.8e-05     0.013   13.2   0.0    13    62     4    47     2    60 0.87 | transcript=PVPAM_020012400_t1 | gene=PVPAM_020012400 | organism=Plasmodium_vivax_PAM | gene_product=selenocysteine-specific elongation factor, putative | transcript_product=selenocysteine-specific elongation factor, putative | location=CASCJQ010000002:347732-350044(+) | protein_length=770 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7717892.1         -            770 6503at5820           -            386   2.4e-14   51.8   1.2   2   3   3.3e-07   0.00011   19.9   0.3    75   140   123   187   115   206 0.85 | transcript=PVPAM_020012400_t1 | gene=PVPAM_020012400 | organism=Plasmodium_vivax_PAM | gene_product=selenocysteine-specific elongation factor, putative | transcript_product=selenocysteine-specific elongation factor, putative | location=CASCJQ010000002:347732-350044(+) | protein_length=770 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
