#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
CAI7721966.1         -            571 5037at5820           -            422  1.1e-217  721.4  33.1   1   3     0.051        33    1.7   0.0     7    47    28    74    25   101 0.60 | transcript=PVPAM_120020400_t1 | gene=PVPAM_120020400 | organism=Plasmodium_vivax_PAM | gene_product=CPW-WPC family protein | transcript_product=CPW-WPC family protein | location=CASCJQ010000012:648418-651882(+) | protein_length=571 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7721966.1         -            571 5037at5820           -            422  1.1e-217  721.4  33.1   2   3     3e-96   1.9e-93  312.1   6.3    22   197   101   288    85   306 0.91 | transcript=PVPAM_120020400_t1 | gene=PVPAM_120020400 | organism=Plasmodium_vivax_PAM | gene_product=CPW-WPC family protein | transcript_product=CPW-WPC family protein | location=CASCJQ010000012:648418-651882(+) | protein_length=571 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7721966.1         -            571 5037at5820           -            422  1.1e-217  721.4  33.1   3   3  1.3e-126  8.5e-124  412.1  18.9   193   419   311   550   301   553 0.95 | transcript=PVPAM_120020400_t1 | gene=PVPAM_120020400 | organism=Plasmodium_vivax_PAM | gene_product=CPW-WPC family protein | transcript_product=CPW-WPC family protein | location=CASCJQ010000012:648418-651882(+) | protein_length=571 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7723687.1         -           1108 5037at5820           -            422   2.2e-44  150.5  60.8   1   6   2.1e-17   1.4e-14   52.3  15.4   224   405    97   280    93   290 0.84 | transcript=PVPAM_140061100_t1 | gene=PVPAM_140061100 | organism=Plasmodium_vivax_PAM | gene_product=upregulated in late gametocytes ULG8, putative | transcript_product=upregulated in late gametocytes ULG8, putative | location=CASCJQ010000014:2426236-2429704(-) | protein_length=1108 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7723687.1         -           1108 5037at5820           -            422   2.2e-44  150.5  60.8   2   6   9.5e-12   6.2e-09   33.7   3.8   236   339   308   409   285   417 0.83 | transcript=PVPAM_140061100_t1 | gene=PVPAM_140061100 | organism=Plasmodium_vivax_PAM | gene_product=upregulated in late gametocytes ULG8, putative | transcript_product=upregulated in late gametocytes ULG8, putative | location=CASCJQ010000014:2426236-2429704(-) | protein_length=1108 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7723687.1         -           1108 5037at5820           -            422   2.2e-44  150.5  60.8   3   6   5.3e-05     0.034   11.5   0.1   284   356   658   727   651   729 0.77 | transcript=PVPAM_140061100_t1 | gene=PVPAM_140061100 | organism=Plasmodium_vivax_PAM | gene_product=upregulated in late gametocytes ULG8, putative | transcript_product=upregulated in late gametocytes ULG8, putative | location=CASCJQ010000014:2426236-2429704(-) | protein_length=1108 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7723687.1         -           1108 5037at5820           -            422   2.2e-44  150.5  60.8   4   6   4.5e-14   2.9e-11   41.4   2.2   259   358   715   812   712   820 0.88 | transcript=PVPAM_140061100_t1 | gene=PVPAM_140061100 | organism=Plasmodium_vivax_PAM | gene_product=upregulated in late gametocytes ULG8, putative | transcript_product=upregulated in late gametocytes ULG8, putative | location=CASCJQ010000014:2426236-2429704(-) | protein_length=1108 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7723687.1         -           1108 5037at5820           -            422   2.2e-44  150.5  60.8   5   6   3.9e-10   2.5e-07   28.4   9.4   257   363   902  1003   889  1025 0.85 | transcript=PVPAM_140061100_t1 | gene=PVPAM_140061100 | organism=Plasmodium_vivax_PAM | gene_product=upregulated in late gametocytes ULG8, putative | transcript_product=upregulated in late gametocytes ULG8, putative | location=CASCJQ010000014:2426236-2429704(-) | protein_length=1108 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7723687.1         -           1108 5037at5820           -            422   2.2e-44  150.5  60.8   6   6    0.0056       3.6    4.8   0.0   186   221  1025  1064  1015  1077 0.64 | transcript=PVPAM_140061100_t1 | gene=PVPAM_140061100 | organism=Plasmodium_vivax_PAM | gene_product=upregulated in late gametocytes ULG8, putative | transcript_product=upregulated in late gametocytes ULG8, putative | location=CASCJQ010000014:2426236-2429704(-) | protein_length=1108 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7720324.1         -            585 5037at5820           -            422   6.6e-38  129.2  50.3   1   4     2e-12   1.3e-09   36.0  10.5    39   191   153   317   111   317 0.65 | transcript=PVPAM_090009000_t1 | gene=PVPAM_090009000 | organism=Plasmodium_vivax_PAM | gene_product=CPW-WPC family protein | transcript_product=CPW-WPC family protein | location=CASCJQ010000009:271675-275319(-) | protein_length=585 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7720324.1         -            585 5037at5820           -            422   6.6e-38  129.2  50.3   2   4   6.8e-28   4.4e-25   86.9  15.5   236   405   254   423   249   427 0.90 | transcript=PVPAM_090009000_t1 | gene=PVPAM_090009000 | organism=Plasmodium_vivax_PAM | gene_product=CPW-WPC family protein | transcript_product=CPW-WPC family protein | location=CASCJQ010000009:271675-275319(-) | protein_length=585 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7720324.1         -            585 5037at5820           -            422   6.6e-38  129.2  50.3   3   4   6.8e-11   4.4e-08   30.9   3.0   288   355   431   497   421   507 0.87 | transcript=PVPAM_090009000_t1 | gene=PVPAM_090009000 | organism=Plasmodium_vivax_PAM | gene_product=CPW-WPC family protein | transcript_product=CPW-WPC family protein | location=CASCJQ010000009:271675-275319(-) | protein_length=585 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
