#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
CAI7719750.1         -           1718 1702at5820           -           1168         0 1486.0 180.7   1   7   6.5e-82   8.4e-79  264.0   8.9     1   182     1   211     1   219 0.87 | transcript=PVPAM_070036400_t1 | gene=PVPAM_070036400 | organism=Plasmodium_vivax_PAM | gene_product=merozoite surface protein 1 | transcript_product=merozoite surface protein 1 | location=CASCJQ010000007:1313510-1318666(+) | protein_length=1718 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7719750.1         -           1718 1702at5820           -           1168         0 1486.0 180.7   2   7   1.1e-34   1.4e-31  107.6  13.4   175   277   266   388   262   401 0.83 | transcript=PVPAM_070036400_t1 | gene=PVPAM_070036400 | organism=Plasmodium_vivax_PAM | gene_product=merozoite surface protein 1 | transcript_product=merozoite surface protein 1 | location=CASCJQ010000007:1313510-1318666(+) | protein_length=1718 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7719750.1         -           1718 1702at5820           -           1168         0 1486.0 180.7   3   7   5.7e-78   7.4e-75  251.0  36.4   275   512   412   693   410   697 0.87 | transcript=PVPAM_070036400_t1 | gene=PVPAM_070036400 | organism=Plasmodium_vivax_PAM | gene_product=merozoite surface protein 1 | transcript_product=merozoite surface protein 1 | location=CASCJQ010000007:1313510-1318666(+) | protein_length=1718 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7719750.1         -           1718 1702at5820           -           1168         0 1486.0 180.7   4   7   1.5e-52   1.9e-49  166.8  12.5   511   622   792   908   787   912 0.93 | transcript=PVPAM_070036400_t1 | gene=PVPAM_070036400 | organism=Plasmodium_vivax_PAM | gene_product=merozoite surface protein 1 | transcript_product=merozoite surface protein 1 | location=CASCJQ010000007:1313510-1318666(+) | protein_length=1718 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7719750.1         -           1718 1702at5820           -           1168         0 1486.0 180.7   5   7   1.3e-99   1.6e-96  322.7  31.0   616   848   979  1227   972  1240 0.93 | transcript=PVPAM_070036400_t1 | gene=PVPAM_070036400 | organism=Plasmodium_vivax_PAM | gene_product=merozoite surface protein 1 | transcript_product=merozoite surface protein 1 | location=CASCJQ010000007:1313510-1318666(+) | protein_length=1718 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7719750.1         -           1718 1702at5820           -           1168         0 1486.0 180.7   6   7   2.3e-56     3e-53  179.4   6.3   846   984  1316  1467  1313  1472 0.89 | transcript=PVPAM_070036400_t1 | gene=PVPAM_070036400 | organism=Plasmodium_vivax_PAM | gene_product=merozoite surface protein 1 | transcript_product=merozoite surface protein 1 | location=CASCJQ010000007:1313510-1318666(+) | protein_length=1718 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7719750.1         -           1718 1702at5820           -           1168         0 1486.0 180.7   7   7   2.5e-69   3.2e-66  222.4  26.7   947  1168  1465  1716  1463  1716 0.85 | transcript=PVPAM_070036400_t1 | gene=PVPAM_070036400 | organism=Plasmodium_vivax_PAM | gene_product=merozoite surface protein 1 | transcript_product=merozoite surface protein 1 | location=CASCJQ010000007:1313510-1318666(+) | protein_length=1718 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7721124.1         -            487 1702at5820           -           1168   2.3e-15   53.9  19.6   1   2      0.22   2.9e+02   -2.7   2.1   655   725   189   262   175   268 0.68 | transcript=PVPAM_100039200_t1 | gene=PVPAM_100039200 | organism=Plasmodium_vivax_PAM | gene_product=merozoite surface protein 8 | transcript_product=merozoite surface protein 8 | location=CASCJQ010000010:1457174-1458637(+) | protein_length=487 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7721124.1         -            487 1702at5820           -           1168   2.3e-15   53.9  19.6   2   2   1.8e-18   2.3e-15   53.9  19.6   969  1167   275   483   272   486 0.74 | transcript=PVPAM_100039200_t1 | gene=PVPAM_100039200 | organism=Plasmodium_vivax_PAM | gene_product=merozoite surface protein 8 | transcript_product=merozoite surface protein 8 | location=CASCJQ010000010:1457174-1458637(+) | protein_length=487 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7721427.1         -            479 1702at5820           -           1168   2.3e-11   40.7  13.5   1   1   2.4e-14   3.1e-11   40.3  13.5  1064  1165   361   473   321   476 0.78 | transcript=PVPAM_110033300_t1 | gene=PVPAM_110033300 | organism=Plasmodium_vivax_PAM | gene_product=merozoite surface protein 10, putative | transcript_product=merozoite surface protein 10, putative | location=CASCJQ010000011:1207710-1209149(+) | protein_length=479 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7723101.1         -            358 1702at5820           -           1168   8.3e-06   22.3   9.0   1   1   8.1e-09     1e-05   21.9   9.0  1090  1166   265   355   225   357 0.73 | transcript=PVPAM_130060700_t1 | gene=PVPAM_130060700 | organism=Plasmodium_vivax_PAM | gene_product=EGF domain-containing protein, putative | transcript_product=EGF domain-containing protein, putative | location=CASCJQ010000013:2449583-2450659(+) | protein_length=358 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
