#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
CAI7723778.1         -           1277 3678at5820           -            717         0 1104.6  84.8   1   8    5e-105  1.1e-101  339.8  15.6     5   196    60   264    57   274 0.92 | transcript=PVPAM_140070100_t1 | gene=PVPAM_140070100 | organism=Plasmodium_vivax_PAM | gene_product=RNA-binding protein, putative | transcript_product=RNA-binding protein, putative | location=CASCJQ010000014:2778683-2782665(+) | protein_length=1277 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7723778.1         -           1277 3678at5820           -            717         0 1104.6  84.8   2   8   7.4e-82   1.6e-78  263.1   4.4   192   339   299   457   294   460 0.94 | transcript=PVPAM_140070100_t1 | gene=PVPAM_140070100 | organism=Plasmodium_vivax_PAM | gene_product=RNA-binding protein, putative | transcript_product=RNA-binding protein, putative | location=CASCJQ010000014:2778683-2782665(+) | protein_length=1277 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7723778.1         -           1277 3678at5820           -            717         0 1104.6  84.8   3   8     0.032        68   -0.1   0.0   319   347   545   573   537   581 0.78 | transcript=PVPAM_140070100_t1 | gene=PVPAM_140070100 | organism=Plasmodium_vivax_PAM | gene_product=RNA-binding protein, putative | transcript_product=RNA-binding protein, putative | location=CASCJQ010000014:2778683-2782665(+) | protein_length=1277 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7723778.1         -           1277 3678at5820           -            717         0 1104.6  84.8   4   8      0.48     1e+03   -4.0   0.4   348   362   649   663   628   673 0.70 | transcript=PVPAM_140070100_t1 | gene=PVPAM_140070100 | organism=Plasmodium_vivax_PAM | gene_product=RNA-binding protein, putative | transcript_product=RNA-binding protein, putative | location=CASCJQ010000014:2778683-2782665(+) | protein_length=1277 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7723778.1         -           1277 3678at5820           -            717         0 1104.6  84.8   5   8   1.1e-05     0.024   11.3   0.0   354   384   698   729   687   751 0.77 | transcript=PVPAM_140070100_t1 | gene=PVPAM_140070100 | organism=Plasmodium_vivax_PAM | gene_product=RNA-binding protein, putative | transcript_product=RNA-binding protein, putative | location=CASCJQ010000014:2778683-2782665(+) | protein_length=1277 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7723778.1         -           1277 3678at5820           -            717         0 1104.6  84.8   6   8   5.6e-18   1.2e-14   52.0   0.1   383   422   779   818   773   837 0.88 | transcript=PVPAM_140070100_t1 | gene=PVPAM_140070100 | organism=Plasmodium_vivax_PAM | gene_product=RNA-binding protein, putative | transcript_product=RNA-binding protein, putative | location=CASCJQ010000014:2778683-2782665(+) | protein_length=1277 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7723778.1         -           1277 3678at5820           -            717         0 1104.6  84.8   7   8     9e-97   1.9e-93  312.5  17.5   415   592   910  1088   904  1092 0.96 | transcript=PVPAM_140070100_t1 | gene=PVPAM_140070100 | organism=Plasmodium_vivax_PAM | gene_product=RNA-binding protein, putative | transcript_product=RNA-binding protein, putative | location=CASCJQ010000014:2778683-2782665(+) | protein_length=1277 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7723778.1         -           1277 3678at5820           -            717         0 1104.6  84.8   8   8   9.1e-49     2e-45  153.8   7.9   577   717  1118  1277  1111  1277 0.90 | transcript=PVPAM_140070100_t1 | gene=PVPAM_140070100 | organism=Plasmodium_vivax_PAM | gene_product=RNA-binding protein, putative | transcript_product=RNA-binding protein, putative | location=CASCJQ010000014:2778683-2782665(+) | protein_length=1277 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7719197.1         -            181 3678at5820           -            717   1.1e-07   29.0   0.8   1   1   6.7e-11   1.4e-07   28.6   0.8    86   159    78   153    65   160 0.87 | transcript=PVPAM_060020400_t1 | gene=PVPAM_060020400 | organism=Plasmodium_vivax_PAM | gene_product=RNA-binding protein, putative | transcript_product=RNA-binding protein, putative | location=CASCJQ010000006:677528-678073(-) | protein_length=181 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7721263.1         -            513 3678at5820           -            717    0.0099   12.6   0.1   1   2      0.14   3.1e+02   -2.2   0.0    91   125    95   128    90   155 0.68 | transcript=PVPAM_110016500_t1 | gene=PVPAM_110016500 | organism=Plasmodium_vivax_PAM | gene_product=CUGBP Elav-like family member 1, putative | transcript_product=CUGBP Elav-like family member 1, putative | location=CASCJQ010000011:487415-489137(+) | protein_length=513 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7721263.1         -            513 3678at5820           -            717    0.0099   12.6   0.1   2   2   1.6e-05     0.034   10.8   0.0    78   147   181   250   168   255 0.83 | transcript=PVPAM_110016500_t1 | gene=PVPAM_110016500 | organism=Plasmodium_vivax_PAM | gene_product=CUGBP Elav-like family member 1, putative | transcript_product=CUGBP Elav-like family member 1, putative | location=CASCJQ010000011:487415-489137(+) | protein_length=513 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/3678at5820.hmm
# Target file:     /v3/inputs/annotations/plasmodb-68/PAM.proteins.fa
# Option settings: hmmsearch --domtblout /v3/work/00_inventory/busco/PAM_proteins/run_plasmodium_odb10/hmmer_output/initial_run_results/3678at5820.out --cpu 1 /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/3678at5820.hmm /v3/inputs/annotations/plasmodb-68/PAM.proteins.fa 
# Current dir:     /v3/work/00_inventory/busco
# Date:            Tue May 19 17:38:14 2026
# [ok]
