#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
CAI7717739.1         -            545 5689at5820           -            427  2.4e-243  806.0   8.8   1   2     6e-36   5.6e-33  112.9   0.9     1    86    26   125    26   138 0.87 | transcript=PVPAM_010025300_t1 | gene=PVPAM_010025300 | organism=Plasmodium_vivax_PAM | gene_product=plasmepsin X, putative | transcript_product=plasmepsin X, putative | location=CASCJQ010000001:917382-919019(+) | protein_length=545 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7717739.1         -            545 5689at5820           -            427  2.4e-243  806.0   8.8   2   2  2.1e-213  1.9e-210  697.6   1.5    93   427   186   534   156   534 0.95 | transcript=PVPAM_010025300_t1 | gene=PVPAM_010025300 | organism=Plasmodium_vivax_PAM | gene_product=plasmepsin X, putative | transcript_product=plasmepsin X, putative | location=CASCJQ010000001:917382-919019(+) | protein_length=545 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7722846.1         -            723 5689at5820           -            427  3.5e-107  357.3  11.3   1   3       1.6   1.5e+03   -3.9   0.1   316   338    68    90    65   101 0.81 | transcript=PVPAM_130034800_t1 | gene=PVPAM_130034800 | organism=Plasmodium_vivax_PAM | gene_product=plasmepsin IX, putative | transcript_product=plasmepsin IX, putative | location=CASCJQ010000013:1341467-1344868(-) | protein_length=723 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7722846.1         -            723 5689at5820           -            427  3.5e-107  357.3  11.3   2   3   4.3e-84     4e-81  271.5   1.9   106   324   246   465   229   486 0.94 | transcript=PVPAM_130034800_t1 | gene=PVPAM_130034800 | organism=Plasmodium_vivax_PAM | gene_product=plasmepsin IX, putative | transcript_product=plasmepsin IX, putative | location=CASCJQ010000013:1341467-1344868(-) | protein_length=723 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7722846.1         -            723 5689at5820           -            427  3.5e-107  357.3  11.3   3   3   1.1e-29   1.1e-26   92.2   0.4   316   426   581   702   572   703 0.90 | transcript=PVPAM_130034800_t1 | gene=PVPAM_130034800 | organism=Plasmodium_vivax_PAM | gene_product=plasmepsin IX, putative | transcript_product=plasmepsin IX, putative | location=CASCJQ010000013:1341467-1344868(-) | protein_length=723 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7723053.1         -            450 5689at5820           -            427   4.6e-39  132.9   7.8   1   1   7.4e-42   6.8e-39  132.3   7.8   110   426   129   448    94   449 0.87 | transcript=PVPAM_130055900_t1 | gene=PVPAM_130055900 | organism=Plasmodium_vivax_PAM | gene_product=plasmepsin IV, putative | transcript_product=plasmepsin IV, putative | location=CASCJQ010000013:2265818-2267170(-) | protein_length=450 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7720186.1         -            438 5689at5820           -            427   4.3e-38  129.7   0.1   1   1   5.7e-41   5.3e-38  129.4   0.1    73   426    56   434    48   435 0.76 | transcript=PVPAM_080040800_t1 | gene=PVPAM_080040800 | organism=Plasmodium_vivax_PAM | gene_product=plasmepsin VI, putative | transcript_product=plasmepsin VI, putative | location=CASCJQ010000008:1583584-1586747(-) | protein_length=438 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7722225.1         -            373 5689at5820           -            427   1.7e-35  121.2   1.5   1   1   2.4e-38   2.3e-35  120.7   1.5   117   425    47   371    21   373 0.80 | transcript=PVPAM_120046200_t1 | gene=PVPAM_120046200 | organism=Plasmodium_vivax_PAM | gene_product=plasmepsin VIII, putative | transcript_product=plasmepsin VIII, putative | location=CASCJQ010000012:1662294-1665066(+) | protein_length=373 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7719293.1         -            479 5689at5820           -            427   1.5e-13   48.9   3.1   1   1   4.8e-16   4.5e-13   47.3   3.1   118   416    84   427    60   437 0.68 | transcript=PVPAM_060030000_t1 | gene=PVPAM_060030000 | organism=Plasmodium_vivax_PAM | gene_product=aspartyl protease, putative | transcript_product=aspartyl protease, putative | location=CASCJQ010000006:1026755-1029335(+) | protein_length=479 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7722121.1         -            540 5689at5820           -            427    0.0044   14.4   4.1   1   2   7.3e-06    0.0068   13.7   0.2   123   279    65   232    58   240 0.59 | transcript=PVPAM_120035900_t1 | gene=PVPAM_120035900 | organism=Plasmodium_vivax_PAM | gene_product=plasmepsin V | transcript_product=plasmepsin V | location=CASCJQ010000012:1228490-1230112(-) | protein_length=540 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7722121.1         -            540 5689at5820           -            427    0.0044   14.4   4.1   2   2     0.065        60    0.7   0.4   292   357   283   352   276   359 0.76 | transcript=PVPAM_120035900_t1 | gene=PVPAM_120035900 | organism=Plasmodium_vivax_PAM | gene_product=plasmepsin V | transcript_product=plasmepsin V | location=CASCJQ010000012:1228490-1230112(-) | protein_length=540 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
