#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
CAI7723478.1         -            586 4915at5820           -            487  7.6e-300  993.0  36.4   1   2     2e-07   0.00018   18.8   9.1     1    44     1    43     1    65 0.65 | transcript=PVPAM_140040100_t1 | gene=PVPAM_140040100 | organism=Plasmodium_vivax_PAM | gene_product=kelch domain-containing protein, putative | transcript_product=kelch domain-containing protein, putative | location=CASCJQ010000014:1520948-1522708(-) | protein_length=586 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7723478.1         -            586 4915at5820           -            487  7.6e-300  993.0  36.4   2   2  9.4e-299  8.7e-296  979.6  19.6    31   486    83   542    59   543 0.93 | transcript=PVPAM_140040100_t1 | gene=PVPAM_140040100 | organism=Plasmodium_vivax_PAM | gene_product=kelch domain-containing protein, putative | transcript_product=kelch domain-containing protein, putative | location=CASCJQ010000014:1520948-1522708(-) | protein_length=586 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7720542.1         -            566 4915at5820           -            487   8.4e-56  188.1  15.4   1   1   1.2e-58   1.1e-55  187.7  15.4    36   475   103   532    89   545 0.84 | transcript=PVPAM_090030800_t1 | gene=PVPAM_090030800 | organism=Plasmodium_vivax_PAM | gene_product=kelch domain-containing protein, putative | transcript_product=kelch domain-containing protein, putative | location=CASCJQ010000009:1176622-1178912(-) | protein_length=566 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7720541.1         -            559 4915at5820           -            487   1.7e-39  134.2  15.1   1   1   2.6e-42   2.4e-39  133.8  15.1    71   432    61   424    14   470 0.85 | transcript=PVPAM_090030700_t1 | gene=PVPAM_090030700 | organism=Plasmodium_vivax_PAM | gene_product=kelch domain-containing protein, putative | transcript_product=kelch domain-containing protein, putative | location=CASCJQ010000009:1172849-1175347(-) | protein_length=559 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7722220.1         -            878 4915at5820           -            487     4e-14   50.6   0.0   1   2   7.6e-06     0.007   13.5   0.0   304   357    15    69     5    79 0.79 | transcript=PVPAM_120045800_t1 | gene=PVPAM_120045800 | organism=Plasmodium_vivax_PAM | gene_product=protein phosphatase containing kelch-like domains, putative | transcript_product=protein phosphatase containing kelch-like domains, putative | location=CASCJQ010000012:1628851-1631615(-) | protein_length=878 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7722220.1         -            878 4915at5820           -            487     4e-14   50.6   0.0   2   2   3.4e-12   3.1e-09   34.4   0.0   157   331    88   266    68   275 0.77 | transcript=PVPAM_120045800_t1 | gene=PVPAM_120045800 | organism=Plasmodium_vivax_PAM | gene_product=protein phosphatase containing kelch-like domains, putative | transcript_product=protein phosphatase containing kelch-like domains, putative | location=CASCJQ010000012:1628851-1631615(-) | protein_length=878 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7719180.1         -            874 4915at5820           -            487   1.1e-10   39.2   6.9   1   7    0.0028       2.6    5.1   4.5    36   106     5    76     2    84 0.83 | transcript=PVPAM_060018700_t1 | gene=PVPAM_060018700 | organism=Plasmodium_vivax_PAM | gene_product=kelch protein K10, putative | transcript_product=kelch protein K10, putative | location=CASCJQ010000006:602393-605017(+) | protein_length=874 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7719180.1         -            874 4915at5820           -            487   1.1e-10   39.2   6.9   2   7   3.5e-09   3.3e-06   24.5   0.5   271   355    97   182    80   187 0.84 | transcript=PVPAM_060018700_t1 | gene=PVPAM_060018700 | organism=Plasmodium_vivax_PAM | gene_product=kelch protein K10, putative | transcript_product=kelch protein K10, putative | location=CASCJQ010000006:602393-605017(+) | protein_length=874 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7719180.1         -            874 4915at5820           -            487   1.1e-10   39.2   6.9   3   7   6.4e-10   5.9e-07   26.9   1.0   273   358   153   242   150   256 0.87 | transcript=PVPAM_060018700_t1 | gene=PVPAM_060018700 | organism=Plasmodium_vivax_PAM | gene_product=kelch protein K10, putative | transcript_product=kelch protein K10, putative | location=CASCJQ010000006:602393-605017(+) | protein_length=874 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7719180.1         -            874 4915at5820           -            487   1.1e-10   39.2   6.9   4   7      0.37   3.5e+02   -2.0   0.1   270   307   314   349   269   391 0.62 | transcript=PVPAM_060018700_t1 | gene=PVPAM_060018700 | organism=Plasmodium_vivax_PAM | gene_product=kelch protein K10, putative | transcript_product=kelch protein K10, putative | location=CASCJQ010000006:602393-605017(+) | protein_length=874 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7719180.1         -            874 4915at5820           -            487   1.1e-10   39.2   6.9   5   7     0.066        61    0.5   0.1   137   196   393   454   387   464 0.70 | transcript=PVPAM_060018700_t1 | gene=PVPAM_060018700 | organism=Plasmodium_vivax_PAM | gene_product=kelch protein K10, putative | transcript_product=kelch protein K10, putative | location=CASCJQ010000006:602393-605017(+) | protein_length=874 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7719180.1         -            874 4915at5820           -            487   1.1e-10   39.2   6.9   6   7       1.9   1.8e+03   -4.3   2.3     9    46   563   600   548   616 0.63 | transcript=PVPAM_060018700_t1 | gene=PVPAM_060018700 | organism=Plasmodium_vivax_PAM | gene_product=kelch protein K10, putative | transcript_product=kelch protein K10, putative | location=CASCJQ010000006:602393-605017(+) | protein_length=874 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7719180.1         -            874 4915at5820           -            487   1.1e-10   39.2   6.9   7   7       1.3   1.2e+03   -3.8   0.1   272   304   701   736   694   739 0.58 | transcript=PVPAM_060018700_t1 | gene=PVPAM_060018700 | organism=Plasmodium_vivax_PAM | gene_product=kelch protein K10, putative | transcript_product=kelch protein K10, putative | location=CASCJQ010000006:602393-605017(+) | protein_length=874 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7722282.1         -            647 4915at5820           -            487   3.2e-10   37.7  12.4   1   3   2.6e-08   2.4e-05   21.6   1.1    94   196    83   179    71   194 0.53 | transcript=PVPAM_120051900_t1 | gene=PVPAM_120051900 | organism=Plasmodium_vivax_PAM | gene_product=kelch domain-containing protein, putative | transcript_product=kelch domain-containing protein, putative | location=CASCJQ010000012:1898527-1900470(-) | protein_length=647 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7722282.1         -            647 4915at5820           -            487   3.2e-10   37.7  12.4   2   3   1.2e-06    0.0011   16.1   0.4   272   357   200   278   193   285 0.83 | transcript=PVPAM_120051900_t1 | gene=PVPAM_120051900 | organism=Plasmodium_vivax_PAM | gene_product=kelch domain-containing protein, putative | transcript_product=kelch domain-containing protein, putative | location=CASCJQ010000012:1898527-1900470(-) | protein_length=647 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7722282.1         -            647 4915at5820           -            487   3.2e-10   37.7  12.4   3   3   0.00082      0.76    6.8   0.3   309   361   343   393   332   430 0.72 | transcript=PVPAM_120051900_t1 | gene=PVPAM_120051900 | organism=Plasmodium_vivax_PAM | gene_product=kelch domain-containing protein, putative | transcript_product=kelch domain-containing protein, putative | location=CASCJQ010000012:1898527-1900470(-) | protein_length=647 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7720601.1         -           2386 4915at5820           -            487   1.5e-06   25.7   0.2   1   2      0.33     3e+02   -1.8   0.0   272   308  1324  1362  1315  1365 0.83 | transcript=PVPAM_090036500_t1 | gene=PVPAM_090036500 | organism=Plasmodium_vivax_PAM | gene_product=kelch domain-containing protein, putative | transcript_product=kelch domain-containing protein, putative | location=CASCJQ010000009:1392224-1399384(+) | protein_length=2386 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
