#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
CAI7723408.1         -            943 4272at5820           -            672         0 1062.7  49.0   1   5   7.4e-21     4e-18   63.5   0.2     7    73    11    79     3    87 0.89 | transcript=PVPAM_140033000_t1 | gene=PVPAM_140033000 | organism=Plasmodium_vivax_PAM | gene_product=heptatricopeptide repeat and RAP domain-containing protein, putative | transcript_product=heptatricopeptide repeat and RAP domain-containing protein, putative | location=CASCJQ010000014:1205621-1208452(-) | protein_length=943 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7723408.1         -            943 4272at5820           -            672         0 1062.7  49.0   2   5   5.2e-18   2.8e-15   54.1   1.5    66   168   132   243   107   249 0.67 | transcript=PVPAM_140033000_t1 | gene=PVPAM_140033000 | organism=Plasmodium_vivax_PAM | gene_product=heptatricopeptide repeat and RAP domain-containing protein, putative | transcript_product=heptatricopeptide repeat and RAP domain-containing protein, putative | location=CASCJQ010000014:1205621-1208452(-) | protein_length=943 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7723408.1         -            943 4272at5820           -            672         0 1062.7  49.0   3   5    3e-157  1.6e-154  514.3  11.2   164   400   265   501   254   526 0.94 | transcript=PVPAM_140033000_t1 | gene=PVPAM_140033000 | organism=Plasmodium_vivax_PAM | gene_product=heptatricopeptide repeat and RAP domain-containing protein, putative | transcript_product=heptatricopeptide repeat and RAP domain-containing protein, putative | location=CASCJQ010000014:1205621-1208452(-) | protein_length=943 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7723408.1         -            943 4272at5820           -            672         0 1062.7  49.0   4   5  5.8e-134  3.1e-131  437.3   7.6   417   636   637   856   628   868 0.95 | transcript=PVPAM_140033000_t1 | gene=PVPAM_140033000 | organism=Plasmodium_vivax_PAM | gene_product=heptatricopeptide repeat and RAP domain-containing protein, putative | transcript_product=heptatricopeptide repeat and RAP domain-containing protein, putative | location=CASCJQ010000014:1205621-1208452(-) | protein_length=943 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7723408.1         -            943 4272at5820           -            672         0 1062.7  49.0   5   5   6.6e-06    0.0035   14.1   0.9   627   661   881   915   876   940 0.80 | transcript=PVPAM_140033000_t1 | gene=PVPAM_140033000 | organism=Plasmodium_vivax_PAM | gene_product=heptatricopeptide repeat and RAP domain-containing protein, putative | transcript_product=heptatricopeptide repeat and RAP domain-containing protein, putative | location=CASCJQ010000014:1205621-1208452(-) | protein_length=943 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7720519.1         -            730 4272at5820           -            672   1.1e-11   42.3   0.0   1   3       9.3     5e+03   -6.2   7.0    61   172   104   216    61   243 0.51 | transcript=PVPAM_090028400_t1 | gene=PVPAM_090028400 | organism=Plasmodium_vivax_PAM | gene_product=RAP protein, putative | transcript_product=RAP protein, putative | location=CASCJQ010000009:1092205-1094397(+) | protein_length=730 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7720519.1         -            730 4272at5820           -            672   1.1e-11   42.3   0.0   2   3       0.7   3.8e+02   -2.5   0.1   441   494   434   486   426   502 0.77 | transcript=PVPAM_090028400_t1 | gene=PVPAM_090028400 | organism=Plasmodium_vivax_PAM | gene_product=RAP protein, putative | transcript_product=RAP protein, putative | location=CASCJQ010000009:1092205-1094397(+) | protein_length=730 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7720519.1         -            730 4272at5820           -            672   1.1e-11   42.3   0.0   3   3     2e-14   1.1e-11   42.3   0.0   512   606   562   656   551   660 0.92 | transcript=PVPAM_090028400_t1 | gene=PVPAM_090028400 | organism=Plasmodium_vivax_PAM | gene_product=RAP protein, putative | transcript_product=RAP protein, putative | location=CASCJQ010000009:1092205-1094397(+) | protein_length=730 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7720427.1         -            681 4272at5820           -            672   1.2e-09   35.5   3.0   1   1   3.4e-12   1.8e-09   34.9   3.0   471   600   493   622   479   640 0.93 | transcript=PVPAM_090019200_t1 | gene=PVPAM_090019200 | organism=Plasmodium_vivax_PAM | gene_product=RAP protein, putative | transcript_product=RAP protein, putative | location=CASCJQ010000009:691943-693988(-) | protein_length=681 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7723553.1         -            836 4272at5820           -            672   7.1e-09   33.0   3.8   1   4   1.3e-11   7.1e-09   33.0   3.8   243   378   110   245    94   250 0.90 | transcript=PVPAM_140047700_t1 | gene=PVPAM_140047700 | organism=Plasmodium_vivax_PAM | gene_product=heptatricopeptide repeat-containing protein, putative | transcript_product=heptatricopeptide repeat-containing protein, putative | location=CASCJQ010000014:1815230-1817740(+) | protein_length=836 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7723553.1         -            836 4272at5820           -            672   7.1e-09   33.0   3.8   2   4   2.3e-05     0.012   12.3  23.3   196   389   251   456   246   463 0.83 | transcript=PVPAM_140047700_t1 | gene=PVPAM_140047700 | organism=Plasmodium_vivax_PAM | gene_product=heptatricopeptide repeat-containing protein, putative | transcript_product=heptatricopeptide repeat-containing protein, putative | location=CASCJQ010000014:1815230-1817740(+) | protein_length=836 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
