#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
CAI7719650.1         -            480 7792at5820           -            318  1.2e-152  506.0  20.8   1   2  2.5e-150  6.1e-148  490.5  18.8     1   291    77   389    77   394 0.95 | transcript=PVPAM_070026400_t1 | gene=PVPAM_070026400 | organism=Plasmodium_vivax_PAM | gene_product=U4/U6 snRNA-associated-splicing factor, putative | transcript_product=U4/U6 snRNA-associated-splicing factor, putative | location=CASCJQ010000007:946281-947918(+) | protein_length=480 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7719650.1         -            480 7792at5820           -            318  1.2e-152  506.0  20.8   2   2     1e-05    0.0026   15.4   0.0   289   318   438   480   432   480 0.75 | transcript=PVPAM_070026400_t1 | gene=PVPAM_070026400 | organism=Plasmodium_vivax_PAM | gene_product=U4/U6 snRNA-associated-splicing factor, putative | transcript_product=U4/U6 snRNA-associated-splicing factor, putative | location=CASCJQ010000007:946281-947918(+) | protein_length=480 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7723581.1         -            883 7792at5820           -            318   2.2e-18   64.9  13.7   1   4   8.9e-07   0.00022   18.9   0.0    24    90    16    83    10    88 0.87 | transcript=PVPAM_140050500_t1 | gene=PVPAM_140050500 | organism=Plasmodium_vivax_PAM | gene_product=polyadenylate-binding protein 1, putative | transcript_product=polyadenylate-binding protein 1, putative | location=CASCJQ010000014:1969494-1972145(+) | protein_length=883 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7723581.1         -            883 7792at5820           -            318   2.2e-18   64.9  13.7   2   4   1.5e-05    0.0038   14.8   0.9    25    85   105   165    97   188 0.81 | transcript=PVPAM_140050500_t1 | gene=PVPAM_140050500 | organism=Plasmodium_vivax_PAM | gene_product=polyadenylate-binding protein 1, putative | transcript_product=polyadenylate-binding protein 1, putative | location=CASCJQ010000014:1969494-1972145(+) | protein_length=883 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7723581.1         -            883 7792at5820           -            318   2.2e-18   64.9  13.7   3   4     5e-07   0.00012   19.7   0.6    25    89   194   256   182   262 0.89 | transcript=PVPAM_140050500_t1 | gene=PVPAM_140050500 | organism=Plasmodium_vivax_PAM | gene_product=polyadenylate-binding protein 1, putative | transcript_product=polyadenylate-binding protein 1, putative | location=CASCJQ010000014:1969494-1972145(+) | protein_length=883 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7723581.1         -            883 7792at5820           -            318   2.2e-18   64.9  13.7   4   4   1.8e-06   0.00046   17.8   0.3   193   294   432   529   426   543 0.76 | transcript=PVPAM_140050500_t1 | gene=PVPAM_140050500 | organism=Plasmodium_vivax_PAM | gene_product=polyadenylate-binding protein 1, putative | transcript_product=polyadenylate-binding protein 1, putative | location=CASCJQ010000014:1969494-1972145(+) | protein_length=883 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7719609.1         -            340 7792at5820           -            318   1.3e-11   42.6   3.2   1   2   9.9e-08   2.5e-05   22.0   0.1   206   268    83   141    26   158 0.74 | transcript=PVPAM_070022300_t1 | gene=PVPAM_070022300 | organism=Plasmodium_vivax_PAM | gene_product=RNA-binding protein musashi, putative | transcript_product=RNA-binding protein musashi, putative | location=CASCJQ010000007:784356-785378(-) | protein_length=340 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7719609.1         -            340 7792at5820           -            318   1.3e-11   42.6   3.2   2   2   2.3e-07   5.6e-05   20.8   0.7   206   287   166   243   151   270 0.77 | transcript=PVPAM_070022300_t1 | gene=PVPAM_070022300 | organism=Plasmodium_vivax_PAM | gene_product=RNA-binding protein musashi, putative | transcript_product=RNA-binding protein musashi, putative | location=CASCJQ010000007:784356-785378(-) | protein_length=340 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7723515.1         -           1116 7792at5820           -            318   1.1e-10   39.5  30.3   1   4    0.0038      0.94    6.9   0.4   207   242   709   744   697   771 0.83 | transcript=PVPAM_140043900_t1 | gene=PVPAM_140043900 | organism=Plasmodium_vivax_PAM | gene_product=multiple RNA-binding domain-containing protein 1, putative | transcript_product=multiple RNA-binding domain-containing protein 1, putative | location=CASCJQ010000014:1630544-1633894(+) | protein_length=1116 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7723515.1         -           1116 7792at5820           -            318   1.1e-10   39.5  30.3   2   4   2.8e-08     7e-06   23.8  10.8   192   301   839   964   828   965 0.73 | transcript=PVPAM_140043900_t1 | gene=PVPAM_140043900 | organism=Plasmodium_vivax_PAM | gene_product=multiple RNA-binding domain-containing protein 1, putative | transcript_product=multiple RNA-binding domain-containing protein 1, putative | location=CASCJQ010000014:1630544-1633894(+) | protein_length=1116 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7723515.1         -           1116 7792at5820           -            318   1.1e-10   39.5  30.3   3   4   1.8e-10   4.5e-08   31.0  11.6   188   289   952  1050   946  1079 0.74 | transcript=PVPAM_140043900_t1 | gene=PVPAM_140043900 | organism=Plasmodium_vivax_PAM | gene_product=multiple RNA-binding domain-containing protein 1, putative | transcript_product=multiple RNA-binding domain-containing protein 1, putative | location=CASCJQ010000014:1630544-1633894(+) | protein_length=1116 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7723515.1         -           1116 7792at5820           -            318   1.1e-10   39.5  30.3   4   4      0.69   1.7e+02   -0.5   2.3   142   206  1038  1108  1030  1113 0.72 | transcript=PVPAM_140043900_t1 | gene=PVPAM_140043900 | organism=Plasmodium_vivax_PAM | gene_product=multiple RNA-binding domain-containing protein 1, putative | transcript_product=multiple RNA-binding domain-containing protein 1, putative | location=CASCJQ010000014:1630544-1633894(+) | protein_length=1116 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7720552.1         -           1054 7792at5820           -            318   2.8e-10   38.3   0.0   1   1   1.1e-12   2.8e-10   38.3   0.0   207   292     3    86     1    98 0.91 | transcript=PVPAM_090031800_t1 | gene=PVPAM_090031800 | organism=Plasmodium_vivax_PAM | gene_product=alternative splicing factor SR-MG, putative | transcript_product=alternative splicing factor SR-MG, putative | location=CASCJQ010000009:1220788-1223952(+) | protein_length=1054 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7719680.1         -            202 7792at5820           -            318   3.3e-10   38.0   0.2   1   1   1.7e-12   4.2e-10   37.7   0.2   177   286    38   144    17   155 0.81 | transcript=PVPAM_070029400_t1 | gene=PVPAM_070029400 | organism=Plasmodium_vivax_PAM | gene_product=polyadenylate-binding protein 2, putative | transcript_product=polyadenylate-binding protein 2, putative | location=CASCJQ010000007:1062772-1064247(-) | protein_length=202 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7719920.1         -            322 7792at5820           -            318   1.8e-09   35.5   0.7   1   1   1.1e-11   2.8e-09   35.0   0.7   196   285    76   163    66   172 0.82 | transcript=PVPAM_080014300_t1 | gene=PVPAM_080014300 | organism=Plasmodium_vivax_PAM | gene_product=transformer-2 protein homolog beta, putative | transcript_product=transformer-2 protein homolog beta, putative | location=CASCJQ010000008:471177-474279(+) | protein_length=322 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7718881.1         -            269 7792at5820           -            318   1.8e-08   32.3   1.1   1   1     7e-11   1.8e-08   32.3   1.1   203   271   181   246   146   256 0.80 | transcript=PVPAM_050027300_t1 | gene=PVPAM_050027300 | organism=Plasmodium_vivax_PAM | gene_product=eukaryotic translation initiation factor 3 subunit G, putative | transcript_product=eukaryotic translation initiation factor 3 subunit G, putative | location=CASCJQ010000005:938613-940758(+) | protein_length=269 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7718894.1         -            361 7792at5820           -            318   5.5e-08   30.7   1.5   1   2   0.00021     0.053   11.1   0.2   223   266   131   171   121   195 0.77 | transcript=PVPAM_050028600_t1 | gene=PVPAM_050028600 | organism=Plasmodium_vivax_PAM | gene_product=RNA-binding protein, putative | transcript_product=RNA-binding protein, putative | location=CASCJQ010000005:988086-990499(-) | protein_length=361 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7718894.1         -            361 7792at5820           -            318   5.5e-08   30.7   1.5   2   2   1.2e-06    0.0003   18.4   0.0    24    85   202   263   193   277 0.86 | transcript=PVPAM_050028600_t1 | gene=PVPAM_050028600 | organism=Plasmodium_vivax_PAM | gene_product=RNA-binding protein, putative | transcript_product=RNA-binding protein, putative | location=CASCJQ010000005:988086-990499(-) | protein_length=361 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7723034.1         -            507 7792at5820           -            318   9.3e-08   29.9   8.9   1   3     0.069        17    2.8   0.2    25    82    87   145    83   153 0.77 | transcript=PVPAM_130054000_t1 | gene=PVPAM_130054000 | organism=Plasmodium_vivax_PAM | gene_product=CUGBP Elav-like family member 2, putative | transcript_product=CUGBP Elav-like family member 2, putative | location=CASCJQ010000013:2166321-2167844(-) | protein_length=507 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7723034.1         -            507 7792at5820           -            318   9.3e-08   29.9   8.9   2   3   1.7e-06   0.00042   17.9   0.5    21    84   181   244   163   260 0.85 | transcript=PVPAM_130054000_t1 | gene=PVPAM_130054000 | organism=Plasmodium_vivax_PAM | gene_product=CUGBP Elav-like family member 2, putative | transcript_product=CUGBP Elav-like family member 2, putative | location=CASCJQ010000013:2166321-2167844(-) | protein_length=507 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7723034.1         -            507 7792at5820           -            318   9.3e-08   29.9   8.9   3   3   6.8e-05     0.017   12.7   0.1   239   272   424   457   404   497 0.78 | transcript=PVPAM_130054000_t1 | gene=PVPAM_130054000 | organism=Plasmodium_vivax_PAM | gene_product=CUGBP Elav-like family member 2, putative | transcript_product=CUGBP Elav-like family member 2, putative | location=CASCJQ010000013:2166321-2167844(-) | protein_length=507 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7721248.1         -            392 7792at5820           -            318   9.6e-08   29.9   8.8   1   3    0.0097       2.4    5.6   1.8    19    90    13    80     1    92 0.78 | transcript=PVPAM_110015000_t1 | gene=PVPAM_110015000 | organism=Plasmodium_vivax_PAM | gene_product=RNA-binding protein, putative | transcript_product=RNA-binding protein, putative | location=CASCJQ010000011:398694-401365(+) | protein_length=392 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7721248.1         -            392 7792at5820           -            318   9.6e-08   29.9   8.8   2   3     4e-05      0.01   13.4   0.7   148   271    56   175    52   206 0.73 | transcript=PVPAM_110015000_t1 | gene=PVPAM_110015000 | organism=Plasmodium_vivax_PAM | gene_product=RNA-binding protein, putative | transcript_product=RNA-binding protein, putative | location=CASCJQ010000011:398694-401365(+) | protein_length=392 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7721248.1         -            392 7792at5820           -            318   9.6e-08   29.9   8.8   3   3   2.2e-06   0.00055   17.6   0.1    26    99   211   285   201   292 0.86 | transcript=PVPAM_110015000_t1 | gene=PVPAM_110015000 | organism=Plasmodium_vivax_PAM | gene_product=RNA-binding protein, putative | transcript_product=RNA-binding protein, putative | location=CASCJQ010000011:398694-401365(+) | protein_length=392 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7719800.1         -            192 7792at5820           -            318   1.5e-07   29.3   0.5   1   2   0.00052      0.13    9.8   0.7    24    81    10    69     5   108 0.76 | transcript=PVPAM_070041400_t1 | gene=PVPAM_070041400 | organism=Plasmodium_vivax_PAM | gene_product=U2 small nuclear ribonucleoprotein B'', putative | transcript_product=U2 small nuclear ribonucleoprotein B'', putative | location=CASCJQ010000007:1480328-1480906(-) | protein_length=192 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7719800.1         -            192 7792at5820           -            318   1.5e-07   29.3   0.5   2   2   1.9e-06   0.00048   17.7   0.0    25    90   121   181    80   189 0.90 | transcript=PVPAM_070041400_t1 | gene=PVPAM_070041400 | organism=Plasmodium_vivax_PAM | gene_product=U2 small nuclear ribonucleoprotein B'', putative | transcript_product=U2 small nuclear ribonucleoprotein B'', putative | location=CASCJQ010000007:1480328-1480906(-) | protein_length=192 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
