#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
CAI7718202.1         -           2684 341at5820            -           1530         0 2088.8  73.7   1  14   1.7e-66   1.1e-62  210.5   0.1     3   126     9   146     7   151 0.93 | transcript=PVPAM_030020200_t1 | gene=PVPAM_030020200 | organism=Plasmodium_vivax_PAM | gene_product=conserved Plasmodium protein, unknown function | transcript_product=conserved Plasmodium protein, unknown function | location=CASCJQ010000003:655429-663625(+) | protein_length=2684 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7718202.1         -           2684 341at5820            -           1530         0 2088.8  73.7   2  14   4.6e-32     3e-28   96.4   0.1   127   204   188   278   185   282 0.86 | transcript=PVPAM_030020200_t1 | gene=PVPAM_030020200 | organism=Plasmodium_vivax_PAM | gene_product=conserved Plasmodium protein, unknown function | transcript_product=conserved Plasmodium protein, unknown function | location=CASCJQ010000003:655429-663625(+) | protein_length=2684 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7718202.1         -           2684 341at5820            -           1530         0 2088.8  73.7   3  14   9.8e-12   6.3e-08   29.0   1.1   200   236   365   401   359   406 0.89 | transcript=PVPAM_030020200_t1 | gene=PVPAM_030020200 | organism=Plasmodium_vivax_PAM | gene_product=conserved Plasmodium protein, unknown function | transcript_product=conserved Plasmodium protein, unknown function | location=CASCJQ010000003:655429-663625(+) | protein_length=2684 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7718202.1         -           2684 341at5820            -           1530         0 2088.8  73.7   4  14   5.5e-38   3.5e-34  116.0   0.0   232   307   478   555   468   575 0.88 | transcript=PVPAM_030020200_t1 | gene=PVPAM_030020200 | organism=Plasmodium_vivax_PAM | gene_product=conserved Plasmodium protein, unknown function | transcript_product=conserved Plasmodium protein, unknown function | location=CASCJQ010000003:655429-663625(+) | protein_length=2684 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7718202.1         -           2684 341at5820            -           1530         0 2088.8  73.7   5  14   2.1e-12   1.3e-08   31.2   0.0   319   354   647   682   632   697 0.91 | transcript=PVPAM_030020200_t1 | gene=PVPAM_030020200 | organism=Plasmodium_vivax_PAM | gene_product=conserved Plasmodium protein, unknown function | transcript_product=conserved Plasmodium protein, unknown function | location=CASCJQ010000003:655429-663625(+) | protein_length=2684 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7718202.1         -           2684 341at5820            -           1530         0 2088.8  73.7   6  14     3e-78   1.9e-74  249.4   1.6   360   546   882  1109   870  1113 0.84 | transcript=PVPAM_030020200_t1 | gene=PVPAM_030020200 | organism=Plasmodium_vivax_PAM | gene_product=conserved Plasmodium protein, unknown function | transcript_product=conserved Plasmodium protein, unknown function | location=CASCJQ010000003:655429-663625(+) | protein_length=2684 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7718202.1         -           2684 341at5820            -           1530         0 2088.8  73.7   7  14   6.2e-54     4e-50  168.8   6.6   546   647  1168  1269  1163  1274 0.97 | transcript=PVPAM_030020200_t1 | gene=PVPAM_030020200 | organism=Plasmodium_vivax_PAM | gene_product=conserved Plasmodium protein, unknown function | transcript_product=conserved Plasmodium protein, unknown function | location=CASCJQ010000003:655429-663625(+) | protein_length=2684 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7718202.1         -           2684 341at5820            -           1530         0 2088.8  73.7   8  14    0.0016        11    1.7   0.0   648   671  1317  1343  1314  1352 0.80 | transcript=PVPAM_030020200_t1 | gene=PVPAM_030020200 | organism=Plasmodium_vivax_PAM | gene_product=conserved Plasmodium protein, unknown function | transcript_product=conserved Plasmodium protein, unknown function | location=CASCJQ010000003:655429-663625(+) | protein_length=2684 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7718202.1         -           2684 341at5820            -           1530         0 2088.8  73.7   9  14   2.5e-48   1.6e-44  150.3   2.0   674   798  1403  1534  1390  1538 0.93 | transcript=PVPAM_030020200_t1 | gene=PVPAM_030020200 | organism=Plasmodium_vivax_PAM | gene_product=conserved Plasmodium protein, unknown function | transcript_product=conserved Plasmodium protein, unknown function | location=CASCJQ010000003:655429-663625(+) | protein_length=2684 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7718202.1         -           2684 341at5820            -           1530         0 2088.8  73.7  10  14   4.5e-81   2.9e-77  258.8   0.1   805   982  1614  1810  1607  1815 0.90 | transcript=PVPAM_030020200_t1 | gene=PVPAM_030020200 | organism=Plasmodium_vivax_PAM | gene_product=conserved Plasmodium protein, unknown function | transcript_product=conserved Plasmodium protein, unknown function | location=CASCJQ010000003:655429-663625(+) | protein_length=2684 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7718202.1         -           2684 341at5820            -           1530         0 2088.8  73.7  11  14   2.6e-23   1.7e-19   67.4   0.0   987  1042  1901  1956  1892  1963 0.93 | transcript=PVPAM_030020200_t1 | gene=PVPAM_030020200 | organism=Plasmodium_vivax_PAM | gene_product=conserved Plasmodium protein, unknown function | transcript_product=conserved Plasmodium protein, unknown function | location=CASCJQ010000003:655429-663625(+) | protein_length=2684 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
