#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
CAI7722911.1         -            974 4147at5820           -            788         0 1162.7  12.3   1   2  4.6e-228  5.9e-226  750.8   0.0     1   456     1   563     1   584 0.89 | transcript=PVPAM_130041300_t1 | gene=PVPAM_130041300 | organism=Plasmodium_vivax_PAM | gene_product=unspecified product | transcript_product=unspecified product | location=CASCJQ010000013:1607004-1609928(-) | protein_length=974 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7722911.1         -            974 4147at5820           -            788         0 1162.7  12.3   2   2  3.8e-124  4.9e-122  407.1  15.3   447   788   587   974   576   974 0.73 | transcript=PVPAM_130041300_t1 | gene=PVPAM_130041300 | organism=Plasmodium_vivax_PAM | gene_product=unspecified product | transcript_product=unspecified product | location=CASCJQ010000013:1607004-1609928(-) | protein_length=974 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7717927.1         -           1204 4147at5820           -            788   1.2e-06   25.5  32.2   1   2   9.5e-09   1.2e-06   25.5  32.2   487   591   487   605   476   661 0.49 | transcript=PVPAM_020015900_t1 | gene=PVPAM_020015900 | organism=Plasmodium_vivax_PAM | gene_product=small ribosomal subunit assembling AARP2 protein | transcript_product=small ribosomal subunit assembling AARP2 protein | location=CASCJQ010000002:458969-462583(-) | protein_length=1204 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7717927.1         -           1204 4147at5820           -            788   1.2e-06   25.5  32.2   2   2       3.2   4.1e+02   -2.7   0.8   384   423   940   978   937   981 0.84 | transcript=PVPAM_020015900_t1 | gene=PVPAM_020015900 | organism=Plasmodium_vivax_PAM | gene_product=small ribosomal subunit assembling AARP2 protein | transcript_product=small ribosomal subunit assembling AARP2 protein | location=CASCJQ010000002:458969-462583(-) | protein_length=1204 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7720041.1         -           1620 4147at5820           -            788     3e-06   24.2  20.4   1   4    0.0037      0.48    7.0  21.5   490   627   222   359   159   377 0.48 | transcript=PVPAM_080026300_t1 | gene=PVPAM_080026300 | organism=Plasmodium_vivax_PAM | gene_product=merozoite surface protein MSA180 | transcript_product=merozoite surface protein MSA180 | location=CASCJQ010000008:968891-973753(+) | protein_length=1620 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7720041.1         -           1620 4147at5820           -            788     3e-06   24.2  20.4   2   4   2.3e-08     3e-06   24.2  20.4   521   645   466   583   410   586 0.49 | transcript=PVPAM_080026300_t1 | gene=PVPAM_080026300 | organism=Plasmodium_vivax_PAM | gene_product=merozoite surface protein MSA180 | transcript_product=merozoite surface protein MSA180 | location=CASCJQ010000008:968891-973753(+) | protein_length=1620 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7720041.1         -           1620 4147at5820           -            788     3e-06   24.2  20.4   3   4     0.036       4.7    3.7  23.5   531   626   609   718   598   735 0.52 | transcript=PVPAM_080026300_t1 | gene=PVPAM_080026300 | organism=Plasmodium_vivax_PAM | gene_product=merozoite surface protein MSA180 | transcript_product=merozoite surface protein MSA180 | location=CASCJQ010000008:968891-973753(+) | protein_length=1620 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7720041.1         -           1620 4147at5820           -            788     3e-06   24.2  20.4   4   4      0.28        36    0.8   6.7   503   584  1178  1257  1156  1304 0.43 | transcript=PVPAM_080026300_t1 | gene=PVPAM_080026300 | organism=Plasmodium_vivax_PAM | gene_product=merozoite surface protein MSA180 | transcript_product=merozoite surface protein MSA180 | location=CASCJQ010000008:968891-973753(+) | protein_length=1620 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7720736.1         -           2040 4147at5820           -            788   5.6e-05   20.0  30.0   1   2    0.0011      0.15    8.7  50.7   509   621   737   847   704   864 0.34 | transcript=PVPAM_090050100_t1 | gene=PVPAM_090050100 | organism=Plasmodium_vivax_PAM | gene_product=serine/threonine protein kinase, putative | transcript_product=serine/threonine protein kinase, putative | location=CASCJQ010000009:2011314-2017436(-) | protein_length=2040 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7720736.1         -           2040 4147at5820           -            788   5.6e-05   20.0  30.0   2   2   4.3e-07   5.6e-05   20.0  30.0   529   639  1060  1166   998  1174 0.48 | transcript=PVPAM_090050100_t1 | gene=PVPAM_090050100 | organism=Plasmodium_vivax_PAM | gene_product=serine/threonine protein kinase, putative | transcript_product=serine/threonine protein kinase, putative | location=CASCJQ010000009:2011314-2017436(-) | protein_length=2040 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7718995.1         -           2675 4147at5820           -            788   7.6e-05   19.6  62.2   1   2   8.7e-06    0.0011   15.7  39.7   447   589   159   309   141   394 0.51 | transcript=PVPAM_050038700_t1 | gene=PVPAM_050038700 | organism=Plasmodium_vivax_PAM | gene_product=pre-mRNA-splicing helicase BRR2, putative | transcript_product=pre-mRNA-splicing helicase BRR2, putative | location=CASCJQ010000005:1435448-1443475(+) | protein_length=2675 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
