#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
CAI7720982.1         -           1779 1229at5820           -           1016         0 1671.4  73.9   1   9   0.00013      0.42    6.8   0.0     2    25    13    36    12    43 0.92 | transcript=PVPAM_100025000_t1 | gene=PVPAM_100025000 | organism=Plasmodium_vivax_PAM | gene_product=phosphatidylinositol 3-kinase, putative | transcript_product=phosphatidylinositol 3-kinase, putative | location=CASCJQ010000010:881552-886891(-) | protein_length=1779 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7720982.1         -           1779 1229at5820           -           1016         0 1671.4  73.9   2   9    0.0029       9.4    2.3   0.7    24    46   110   132   107   140 0.87 | transcript=PVPAM_100025000_t1 | gene=PVPAM_100025000 | organism=Plasmodium_vivax_PAM | gene_product=phosphatidylinositol 3-kinase, putative | transcript_product=phosphatidylinositol 3-kinase, putative | location=CASCJQ010000010:881552-886891(-) | protein_length=1779 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7720982.1         -           1779 1229at5820           -           1016         0 1671.4  73.9   3   9   7.6e-07    0.0025   14.2   0.0    43    69   208   234   194   246 0.83 | transcript=PVPAM_100025000_t1 | gene=PVPAM_100025000 | organism=Plasmodium_vivax_PAM | gene_product=phosphatidylinositol 3-kinase, putative | transcript_product=phosphatidylinositol 3-kinase, putative | location=CASCJQ010000010:881552-886891(-) | protein_length=1779 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7720982.1         -           1779 1229at5820           -           1016         0 1671.4  73.9   4   9     3e-29   9.7e-26   88.3   0.4    68   166   367   491   359   496 0.85 | transcript=PVPAM_100025000_t1 | gene=PVPAM_100025000 | organism=Plasmodium_vivax_PAM | gene_product=phosphatidylinositol 3-kinase, putative | transcript_product=phosphatidylinositol 3-kinase, putative | location=CASCJQ010000010:881552-886891(-) | protein_length=1779 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7720982.1         -           1779 1229at5820           -           1016         0 1671.4  73.9   5   9   1.7e-14   5.6e-11   39.4   0.1   180   222   687   729   681   732 0.94 | transcript=PVPAM_100025000_t1 | gene=PVPAM_100025000 | organism=Plasmodium_vivax_PAM | gene_product=phosphatidylinositol 3-kinase, putative | transcript_product=phosphatidylinositol 3-kinase, putative | location=CASCJQ010000010:881552-886891(-) | protein_length=1779 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7720982.1         -           1779 1229at5820           -           1016         0 1671.4  73.9   6   9   5.9e-05      0.19    7.9   0.0   219   235   765   781   761   790 0.88 | transcript=PVPAM_100025000_t1 | gene=PVPAM_100025000 | organism=Plasmodium_vivax_PAM | gene_product=phosphatidylinositol 3-kinase, putative | transcript_product=phosphatidylinositol 3-kinase, putative | location=CASCJQ010000010:881552-886891(-) | protein_length=1779 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7720982.1         -           1779 1229at5820           -           1016         0 1671.4  73.9   7   9  4.6e-170  1.5e-166  554.5  20.1   236   538   845  1152   841  1155 0.97 | transcript=PVPAM_100025000_t1 | gene=PVPAM_100025000 | organism=Plasmodium_vivax_PAM | gene_product=phosphatidylinositol 3-kinase, putative | transcript_product=phosphatidylinositol 3-kinase, putative | location=CASCJQ010000010:881552-886891(-) | protein_length=1779 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7720982.1         -           1779 1229at5820           -           1016         0 1671.4  73.9   8   9    8e-100   2.6e-96  322.0  11.8   537   743  1212  1451  1208  1456 0.89 | transcript=PVPAM_100025000_t1 | gene=PVPAM_100025000 | organism=Plasmodium_vivax_PAM | gene_product=phosphatidylinositol 3-kinase, putative | transcript_product=phosphatidylinositol 3-kinase, putative | location=CASCJQ010000010:881552-886891(-) | protein_length=1779 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7720982.1         -           1779 1229at5820           -           1016         0 1671.4  73.9   9   9  1.2e-199  3.9e-196  652.4   8.0   737  1016  1500  1779  1491  1779 0.98 | transcript=PVPAM_100025000_t1 | gene=PVPAM_100025000 | organism=Plasmodium_vivax_PAM | gene_product=phosphatidylinositol 3-kinase, putative | transcript_product=phosphatidylinositol 3-kinase, putative | location=CASCJQ010000010:881552-886891(-) | protein_length=1779 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7721038.1         -           1542 1229at5820           -           1016   9.2e-32  108.3   4.0   1   2      0.19   6.2e+02   -3.7   0.8   362   439   422   498   405   509 0.61 | transcript=PVPAM_100030600_t1 | gene=PVPAM_100030600 | organism=Plasmodium_vivax_PAM | gene_product=phosphatidylinositol 4-kinase beta, putative | transcript_product=phosphatidylinositol 4-kinase beta, putative | location=CASCJQ010000010:1109904-1115354(-) | protein_length=1542 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7721038.1         -           1542 1229at5820           -           1016   9.2e-32  108.3   4.0   2   2   2.9e-35   9.2e-32  108.3   4.0   721  1000  1250  1526  1233  1536 0.82 | transcript=PVPAM_100030600_t1 | gene=PVPAM_100030600 | organism=Plasmodium_vivax_PAM | gene_product=phosphatidylinositol 4-kinase beta, putative | transcript_product=phosphatidylinositol 4-kinase beta, putative | location=CASCJQ010000010:1109904-1115354(-) | protein_length=1542 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
