#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
CAI7720848.1         -            203 11913at5820          -            182  2.5e-115  381.2   6.9   1   1  3.9e-116  2.3e-113  374.7   6.9     1   182     1   201     1   201 0.94 | transcript=PVPAM_100011400_t1 | gene=PVPAM_100011400 | organism=Plasmodium_vivax_PAM | gene_product=peptidyl-prolyl cis-trans isomerase, putative | transcript_product=peptidyl-prolyl cis-trans isomerase, putative | location=CASCJQ010000010:296194-296805(+) | protein_length=203 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7720446.1         -            167 11913at5820          -            182   5.7e-45  151.9   0.6   1   1   1.1e-47   6.3e-45  151.7   0.6    34   175     3   150     1   157 0.91 | transcript=PVPAM_090021100_t1 | gene=PVPAM_090021100 | organism=Plasmodium_vivax_PAM | gene_product=peptidyl-prolyl cis-trans isomerase, putative | transcript_product=peptidyl-prolyl cis-trans isomerase, putative | location=CASCJQ010000009:764777-766319(+) | protein_length=167 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7721034.1         -            737 11913at5820          -            182   8.3e-39  131.8   0.5   1   1   3.5e-41     2e-38  130.5   0.5    27   176   578   732   558   736 0.89 | transcript=PVPAM_100030200_t1 | gene=PVPAM_100030200 | organism=Plasmodium_vivax_PAM | gene_product=peptidyl-prolyl cis-trans isomerase, putative | transcript_product=peptidyl-prolyl cis-trans isomerase, putative | location=CASCJQ010000010:1086375-1088588(-) | protein_length=737 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7720081.1         -            170 11913at5820          -            182   1.9e-33  114.3   0.1   1   1   4.1e-36   2.4e-33  114.0   0.1    44   158    22   148     9   163 0.87 | transcript=PVPAM_080030300_t1 | gene=PVPAM_080030300 | organism=Plasmodium_vivax_PAM | gene_product=peptidyl-prolyl cis-trans isomerase, putative | transcript_product=peptidyl-prolyl cis-trans isomerase, putative | location=CASCJQ010000008:1145010-1145522(+) | protein_length=170 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7720440.1         -            193 11913at5820          -            182   2.1e-29  101.2   0.5   1   1   4.5e-32   2.7e-29  100.8   0.5    45   170    48   183    18   192 0.84 | transcript=PVPAM_090020500_t1 | gene=PVPAM_090020500 | organism=Plasmodium_vivax_PAM | gene_product=peptidyl-prolyl cis-trans isomerase 11, putative | transcript_product=peptidyl-prolyl cis-trans isomerase 11, putative | location=CASCJQ010000009:743151-744335(-) | protein_length=193 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7717776.1         -            262 11913at5820          -            182   2.1e-25   88.1   0.9   1   1   3.5e-28   2.1e-25   88.1   0.9    40   161   106   244    74   260 0.80 | transcript=PVPAM_010029000_t1 | gene=PVPAM_010029000 | organism=Plasmodium_vivax_PAM | gene_product=peptidyl-prolyl cis-trans isomerase precursor, putative | transcript_product=peptidyl-prolyl cis-trans isomerase precursor, putative | location=CASCJQ010000001:1062352-1063140(-) | protein_length=262 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7722906.1         -            433 11913at5820          -            182   1.1e-23   82.5   0.5   1   2   1.8e-26   1.1e-23   82.5   0.5    31   176    12   165     3   169 0.86 | transcript=PVPAM_130040800_t1 | gene=PVPAM_130040800 | organism=Plasmodium_vivax_PAM | gene_product=cyclophilin, putative | transcript_product=cyclophilin, putative | location=CASCJQ010000013:1587047-1589663(-) | protein_length=433 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7722906.1         -            433 11913at5820          -            182   1.1e-23   82.5   0.5   2   2       4.2   2.5e+03   -3.4   0.2     7    29   280   302   278   307 0.75 | transcript=PVPAM_130040800_t1 | gene=PVPAM_130040800 | organism=Plasmodium_vivax_PAM | gene_product=cyclophilin, putative | transcript_product=cyclophilin, putative | location=CASCJQ010000013:1587047-1589663(-) | protein_length=433 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7722667.1         -            226 11913at5820          -            182   8.1e-20   69.9   0.4   1   1     2e-22   1.2e-19   69.4   0.4    44   175    24   169     8   174 0.84 | transcript=PVPAM_130016800_t1 | gene=PVPAM_130016800 | organism=Plasmodium_vivax_PAM | gene_product=peptidyl-prolyl cis-trans isomerase, putative | transcript_product=peptidyl-prolyl cis-trans isomerase, putative | location=CASCJQ010000013:546633-548322(-) | protein_length=226 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7723496.1         -            276 11913at5820          -            182   2.4e-16   58.6   0.7   1   1   6.1e-19   3.6e-16   58.0   0.7    17   176    51   220    41   224 0.76 | transcript=PVPAM_140041900_t1 | gene=PVPAM_140041900 | organism=Plasmodium_vivax_PAM | gene_product=peptidyl-prolyl cis-trans isomerase, putative | transcript_product=peptidyl-prolyl cis-trans isomerase, putative | location=CASCJQ010000014:1573079-1573909(+) | protein_length=276 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7717791.1         -            582 11913at5820          -            182   3.3e-09   35.3   0.1   1   1   1.3e-11   7.5e-09   34.2   0.1    84   160    99   174    58   191 0.82 | transcript=PVPAM_010030500_t1 | gene=PVPAM_010030500 | organism=Plasmodium_vivax_PAM | gene_product=peptidyl-prolyl cis-trans isomerase, putative | transcript_product=peptidyl-prolyl cis-trans isomerase, putative | location=CASCJQ010000001:1138008-1139756(-) | protein_length=582 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
