#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
CAI7723454.1         -            303 8695at5820           -            275    2e-171  566.9   9.3   1   1  3.5e-174  2.3e-171  566.7   9.3     1   275     1   291     1   291 0.97 | transcript=PVPAM_140037600_t1 | gene=PVPAM_140037600 | organism=Plasmodium_vivax_PAM | gene_product=protein phosphatase PPM7, putative | transcript_product=protein phosphatase PPM7, putative | location=CASCJQ010000014:1400671-1403169(+) | protein_length=303 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7722336.1         -            411 8695at5820           -            275   2.5e-22   77.9   5.5   1   1   2.4e-24   1.6e-21   75.2   5.5    39   247    43   258    16   276 0.77 | transcript=PVPAM_120057200_t1 | gene=PVPAM_120057200 | organism=Plasmodium_vivax_PAM | gene_product=protein phosphatase 2C, putative | transcript_product=protein phosphatase 2C, putative | location=CASCJQ010000012:2117673-2120639(+) | protein_length=411 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7718144.1         -            953 8695at5820           -            275   3.4e-17   61.0   1.3   1   1   9.6e-20   6.2e-17   60.2   1.3    54   235   685   877   680   923 0.73 | transcript=PVPAM_030014200_t1 | gene=PVPAM_030014200 | organism=Plasmodium_vivax_PAM | gene_product=protein phosphatase PPM1, putative | transcript_product=protein phosphatase PPM1, putative | location=CASCJQ010000003:407884-410935(-) | protein_length=953 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7720672.1         -            867 8695at5820           -            275   1.3e-16   59.1   1.9   1   2   0.00094      0.61    7.7   0.2    24   109    33   125    24   131 0.66 | transcript=PVPAM_090043700_t1 | gene=PVPAM_090043700 | organism=Plasmodium_vivax_PAM | gene_product=protein phosphatase PPM2, putative | transcript_product=protein phosphatase PPM2, putative | location=CASCJQ010000009:1711150-1713753(+) | protein_length=867 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7720672.1         -            867 8695at5820           -            275   1.3e-16   59.1   1.9   2   2   9.1e-17   5.9e-14   50.4   0.1   108   233   516   649   477   677 0.83 | transcript=PVPAM_090043700_t1 | gene=PVPAM_090043700 | organism=Plasmodium_vivax_PAM | gene_product=protein phosphatase PPM2, putative | transcript_product=protein phosphatase PPM2, putative | location=CASCJQ010000009:1711150-1713753(+) | protein_length=867 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7723258.1         -            782 8695at5820           -            275   1.3e-10   39.4   2.6   1   2       1.7   1.1e+03   -3.0   0.3    56   194   314   328   240   352 0.56 | transcript=PVPAM_140017700_t1 | gene=PVPAM_140017700 | organism=Plasmodium_vivax_PAM | gene_product=protein phosphatase PPM6, putative | transcript_product=protein phosphatase PPM6, putative | location=CASCJQ010000014:599875-602547(+) | protein_length=782 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7723258.1         -            782 8695at5820           -            275   1.3e-10   39.4   2.6   2   2   2.1e-13   1.3e-10   39.4   2.6   106   247   598   753   573   763 0.72 | transcript=PVPAM_140017700_t1 | gene=PVPAM_140017700 | organism=Plasmodium_vivax_PAM | gene_product=protein phosphatase PPM6, putative | transcript_product=protein phosphatase PPM6, putative | location=CASCJQ010000014:599875-602547(+) | protein_length=782 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7723456.1         -            559 8695at5820           -            275   6.6e-10   37.1   1.4   1   2      0.64   4.2e+02   -1.6   0.1    49    74   156   183   145   223 0.72 | transcript=PVPAM_140037800_t1 | gene=PVPAM_140037800 | organism=Plasmodium_vivax_PAM | gene_product=protein phosphatase PPM5, putative | transcript_product=protein phosphatase PPM5, putative | location=CASCJQ010000014:1410342-1413715(+) | protein_length=559 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7723456.1         -            559 8695at5820           -            275   6.6e-10   37.1   1.4   2   2   2.1e-12   1.4e-09   36.1   0.2   105   236   359   509   310   527 0.76 | transcript=PVPAM_140037800_t1 | gene=PVPAM_140037800 | organism=Plasmodium_vivax_PAM | gene_product=protein phosphatase PPM5, putative | transcript_product=protein phosphatase PPM5, putative | location=CASCJQ010000014:1410342-1413715(+) | protein_length=559 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7723829.1         -           1106 8695at5820           -            275   1.3e-08   32.8  10.2   1   1   2.6e-09   1.7e-06   26.0  10.2    16   234   764  1035   753  1067 0.67 | transcript=PVPAM_140075200_t1 | gene=PVPAM_140075200 | organism=Plasmodium_vivax_PAM | gene_product=protein phosphatase PPM4, putative | transcript_product=protein phosphatase PPM4, putative | location=CASCJQ010000014:2948173-2951726(+) | protein_length=1106 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7720636.1         -            852 8695at5820           -            275   0.00027   18.7   5.4   1   2   1.2e-06   0.00077   17.2   0.7    50   167   540   673   519   702 0.68 | transcript=PVPAM_090040000_t1 | gene=PVPAM_090040000 | organism=Plasmodium_vivax_PAM | gene_product=protein phosphatase PPM8, putative | transcript_product=protein phosphatase PPM8, putative | location=CASCJQ010000009:1550068-1552626(-) | protein_length=852 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
