#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
CAI7719256.1         -           1230 1632at5820           -            958         0 2045.7  27.9   1   4   2.2e-25   1.8e-22   77.6   0.7     1    58     4    69     4    79 0.91 | transcript=PVPAM_060026300_t1 | gene=PVPAM_060026300 | organism=Plasmodium_vivax_PAM | gene_product=pre-mRNA-splicing factor ATP-dependent RNA helicase PRP22, putative | transcript_product=pre-mRNA-splicing factor ATP-dependent RNA helicase PRP22, putative | location=CASCJQ010000006:890977-895342(-) | protein_length=1230 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7719256.1         -           1230 1632at5820           -            958         0 2045.7  27.9   2   4   1.1e-06   0.00091   15.7   0.3    53    77   103   127    82   133 0.78 | transcript=PVPAM_060026300_t1 | gene=PVPAM_060026300 | organism=Plasmodium_vivax_PAM | gene_product=pre-mRNA-splicing factor ATP-dependent RNA helicase PRP22, putative | transcript_product=pre-mRNA-splicing factor ATP-dependent RNA helicase PRP22, putative | location=CASCJQ010000006:890977-895342(-) | protein_length=1230 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7719256.1         -           1230 1632at5820           -            958         0 2045.7  27.9   3   4   2.3e-28   1.9e-25   87.4   0.1    76   146   252   337   235   343 0.87 | transcript=PVPAM_060026300_t1 | gene=PVPAM_060026300 | organism=Plasmodium_vivax_PAM | gene_product=pre-mRNA-splicing factor ATP-dependent RNA helicase PRP22, putative | transcript_product=pre-mRNA-splicing factor ATP-dependent RNA helicase PRP22, putative | location=CASCJQ010000006:890977-895342(-) | protein_length=1230 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7719256.1         -           1230 1632at5820           -            958         0 2045.7  27.9   4   4         0         0 1876.0  10.6   132   958   380  1230   353  1230 0.98 | transcript=PVPAM_060026300_t1 | gene=PVPAM_060026300 | organism=Plasmodium_vivax_PAM | gene_product=pre-mRNA-splicing factor ATP-dependent RNA helicase PRP22, putative | transcript_product=pre-mRNA-splicing factor ATP-dependent RNA helicase PRP22, putative | location=CASCJQ010000006:890977-895342(-) | protein_length=1230 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7719618.1         -            840 1632at5820           -            958  7.3e-209  694.5   1.4   1   1  1.2e-211  9.6e-209  694.1   1.4   304   921   184   819   179   834 0.94 | transcript=PVPAM_070023200_t1 | gene=PVPAM_070023200 | organism=Plasmodium_vivax_PAM | gene_product=pre-mRNA-splicing factor ATP-dependent RNA helicase PRP22, putative | transcript_product=pre-mRNA-splicing factor ATP-dependent RNA helicase PRP22, putative | location=CASCJQ010000007:816022-818544(-) | protein_length=840 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7721214.1         -           1127 1632at5820           -            958  1.1e-196  654.1  20.1   1   2   3.6e-87   2.9e-84  282.1   3.3   306   543   429   671   417   679 0.95 | transcript=PVPAM_110011600_t1 | gene=PVPAM_110011600 | organism=Plasmodium_vivax_PAM | gene_product=pre-mRNA-splicing factor ATP-dependent RNA helicase PRP16, putative | transcript_product=pre-mRNA-splicing factor ATP-dependent RNA helicase PRP16, putative | location=CASCJQ010000011:251214-254597(+) | protein_length=1127 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7721214.1         -           1127 1632at5820           -            958  1.1e-196  654.1  20.1   2   2  5.1e-116  4.1e-113  377.6   8.9   549   921   745  1122   731  1126 0.95 | transcript=PVPAM_110011600_t1 | gene=PVPAM_110011600 | organism=Plasmodium_vivax_PAM | gene_product=pre-mRNA-splicing factor ATP-dependent RNA helicase PRP16, putative | transcript_product=pre-mRNA-splicing factor ATP-dependent RNA helicase PRP16, putative | location=CASCJQ010000011:251214-254597(+) | protein_length=1127 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7723655.1         -           1089 1632at5820           -            958  1.7e-161  537.7  21.0   1   2   1.4e-88   1.2e-85  286.7   3.5   299   573   393   666   385   672 0.95 | transcript=PVPAM_140057900_t1 | gene=PVPAM_140057900 | organism=Plasmodium_vivax_PAM | gene_product=pre-mRNA-splicing factor ATP-dependent RNA helicase PRP2, putative | transcript_product=pre-mRNA-splicing factor ATP-dependent RNA helicase PRP2, putative | location=CASCJQ010000014:2282895-2286164(-) | protein_length=1089 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7723655.1         -           1089 1632at5820           -            958  1.7e-161  537.7  21.0   2   2     2e-79   1.6e-76  256.4   9.6   575   921   721  1084   713  1087 0.91 | transcript=PVPAM_140057900_t1 | gene=PVPAM_140057900 | organism=Plasmodium_vivax_PAM | gene_product=pre-mRNA-splicing factor ATP-dependent RNA helicase PRP2, putative | transcript_product=pre-mRNA-splicing factor ATP-dependent RNA helicase PRP2, putative | location=CASCJQ010000014:2282895-2286164(-) | protein_length=1089 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7718811.1         -            849 1632at5820           -            958  5.7e-122  406.9  17.7   1   4   7.8e-52   6.3e-49  165.2   1.2   308   514     3   233     1   273 0.83 | transcript=PVPAM_050020500_t1 | gene=PVPAM_050020500 | organism=Plasmodium_vivax_PAM | gene_product=ATP-dependent RNA helicase DHX36, putative | transcript_product=ATP-dependent RNA helicase DHX36, putative | location=CASCJQ010000005:672376-675247(+) | protein_length=849 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7718811.1         -            849 1632at5820           -            958  5.7e-122  406.9  17.7   2   4   0.00086      0.69    6.1   0.0   518   544   274   300   267   306 0.91 | transcript=PVPAM_050020500_t1 | gene=PVPAM_050020500 | organism=Plasmodium_vivax_PAM | gene_product=ATP-dependent RNA helicase DHX36, putative | transcript_product=ATP-dependent RNA helicase DHX36, putative | location=CASCJQ010000005:672376-675247(+) | protein_length=849 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7718811.1         -            849 1632at5820           -            958  5.7e-122  406.9  17.7   3   4   5.8e-58   4.7e-55  185.4   0.3   552   764   364   575   355   586 0.97 | transcript=PVPAM_050020500_t1 | gene=PVPAM_050020500 | organism=Plasmodium_vivax_PAM | gene_product=ATP-dependent RNA helicase DHX36, putative | transcript_product=ATP-dependent RNA helicase DHX36, putative | location=CASCJQ010000005:672376-675247(+) | protein_length=849 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7718811.1         -            849 1632at5820           -            958  5.7e-122  406.9  17.7   4   4   8.6e-19     7e-16   55.8   1.7   769   923   665   833   661   841 0.80 | transcript=PVPAM_050020500_t1 | gene=PVPAM_050020500 | organism=Plasmodium_vivax_PAM | gene_product=ATP-dependent RNA helicase DHX36, putative | transcript_product=ATP-dependent RNA helicase DHX36, putative | location=CASCJQ010000005:672376-675247(+) | protein_length=849 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7723192.1         -           1608 1632at5820           -            958   4.1e-56  188.9  16.9   1   3   2.7e-45   2.2e-42  143.5   3.5   292   538   406   666   399   676 0.83 | transcript=PVPAM_140011100_t1 | gene=PVPAM_140011100 | organism=Plasmodium_vivax_PAM | gene_product=ATP-dependent RNA helicase DHR1, putative | transcript_product=ATP-dependent RNA helicase DHR1, putative | location=CASCJQ010000014:286403-291550(+) | protein_length=1608 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7723192.1         -           1608 1632at5820           -            958   4.1e-56  188.9  16.9   2   3   4.8e-18   3.9e-15   53.3   0.3   552   712   915  1091   905  1120 0.85 | transcript=PVPAM_140011100_t1 | gene=PVPAM_140011100 | organism=Plasmodium_vivax_PAM | gene_product=ATP-dependent RNA helicase DHR1, putative | transcript_product=ATP-dependent RNA helicase DHR1, putative | location=CASCJQ010000014:286403-291550(+) | protein_length=1608 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7723192.1         -           1608 1632at5820           -            958   4.1e-56  188.9  16.9   3   3     0.082        66   -0.4   0.7   859   923  1398  1466  1294  1491 0.80 | transcript=PVPAM_140011100_t1 | gene=PVPAM_140011100 | organism=Plasmodium_vivax_PAM | gene_product=ATP-dependent RNA helicase DHR1, putative | transcript_product=ATP-dependent RNA helicase DHR1, putative | location=CASCJQ010000014:286403-291550(+) | protein_length=1608 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7722514.1         -            928 1632at5820           -            958   2.8e-41  139.9  20.3   1   2   7.5e-10   6.1e-07   26.2   0.1   401   467   109   175    97   193 0.85 | transcript=PVPAM_120075300_t1 | gene=PVPAM_120075300 | organism=Plasmodium_vivax_PAM | gene_product=unspecified product | transcript_product=unspecified product | location=CASCJQ010000012:2932349-2935135(+) | protein_length=928 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7722514.1         -            928 1632at5820           -            958   2.8e-41  139.9  20.3   2   2   1.2e-36   9.5e-34  114.9  16.5   593   922   576   916   553   926 0.85 | transcript=PVPAM_120075300_t1 | gene=PVPAM_120075300 | organism=Plasmodium_vivax_PAM | gene_product=unspecified product | transcript_product=unspecified product | location=CASCJQ010000012:2932349-2935135(+) | protein_length=928 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7720200.1         -           2078 1632at5820           -            958   1.1e-40  137.9  18.5   1   3   2.2e-31   1.8e-28   97.5   2.5   300   489   405   607   395   614 0.84 | transcript=PVPAM_080042200_t1 | gene=PVPAM_080042200 | organism=Plasmodium_vivax_PAM | gene_product=ATP-dependent RNA helicase DHX57, putative | transcript_product=ATP-dependent RNA helicase DHX57, putative | location=CASCJQ010000008:1635658-1641894(+) | protein_length=2078 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7720200.1         -           2078 1632at5820           -            958   1.1e-40  137.9  18.5   2   3   2.5e-14   2.1e-11   41.0   1.4   498   680   721   900   690   907 0.76 | transcript=PVPAM_080042200_t1 | gene=PVPAM_080042200 | organism=Plasmodium_vivax_PAM | gene_product=ATP-dependent RNA helicase DHX57, putative | transcript_product=ATP-dependent RNA helicase DHX57, putative | location=CASCJQ010000008:1635658-1641894(+) | protein_length=2078 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7720200.1         -           2078 1632at5820           -            958   1.1e-40  137.9  18.5   3   3   9.4e-05     0.076    9.3   0.8   696   763   985  1052   966  1059 0.86 | transcript=PVPAM_080042200_t1 | gene=PVPAM_080042200 | organism=Plasmodium_vivax_PAM | gene_product=ATP-dependent RNA helicase DHX57, putative | transcript_product=ATP-dependent RNA helicase DHX57, putative | location=CASCJQ010000008:1635658-1641894(+) | protein_length=2078 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/1632at5820.hmm
# Target file:     /v3/inputs/annotations/plasmodb-68/PAM.proteins.fa
# Option settings: hmmsearch --domtblout /v3/work/00_inventory/busco/PAM_proteins/run_plasmodium_odb10/hmmer_output/initial_run_results/1632at5820.out --cpu 1 /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/1632at5820.hmm /v3/inputs/annotations/plasmodb-68/PAM.proteins.fa 
# Current dir:     /v3/work/00_inventory/busco
# Date:            Tue May 19 17:31:47 2026
# [ok]
