#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
CAI7723711.1         -            631 4970at5820           -            546         0 1086.3  47.1   1   3  1.3e-171  1.4e-168  560.4  13.7     1   260     1   263     1   270 0.99 | transcript=PVPAM_140063500_t1 | gene=PVPAM_140063500 | organism=Plasmodium_vivax_PAM | gene_product=SUMO-activating enzyme subunit 2, putative | transcript_product=SUMO-activating enzyme subunit 2, putative | location=CASCJQ010000014:2513043-2515063(+) | protein_length=631 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7723711.1         -            631 4970at5820           -            546         0 1086.3  47.1   2   3  3.4e-159  3.6e-156  519.5  15.2   252   521   295   577   284   583 0.97 | transcript=PVPAM_140063500_t1 | gene=PVPAM_140063500 | organism=Plasmodium_vivax_PAM | gene_product=SUMO-activating enzyme subunit 2, putative | transcript_product=SUMO-activating enzyme subunit 2, putative | location=CASCJQ010000014:2513043-2515063(+) | protein_length=631 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7723711.1         -            631 4970at5820           -            546         0 1086.3  47.1   3   3   1.8e-07    0.0002   18.7   2.4   501   546   586   631   582   631 0.90 | transcript=PVPAM_140063500_t1 | gene=PVPAM_140063500 | organism=Plasmodium_vivax_PAM | gene_product=SUMO-activating enzyme subunit 2, putative | transcript_product=SUMO-activating enzyme subunit 2, putative | location=CASCJQ010000014:2513043-2515063(+) | protein_length=631 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7723596.1         -           1143 4970at5820           -            546   5.8e-43  145.8  15.9   1   3   4.1e-06    0.0045   14.2   3.8    12   186    57   230    51   244 0.75 | transcript=PVPAM_140052000_t1 | gene=PVPAM_140052000 | organism=Plasmodium_vivax_PAM | gene_product=ubiquitin-activating enzyme E1, putative | transcript_product=ubiquitin-activating enzyme E1, putative | location=CASCJQ010000014:2024732-2028715(+) | protein_length=1143 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7723596.1         -           1143 4970at5820           -            546   5.8e-43  145.8  15.9   2   3   1.3e-32   1.4e-29  101.7   0.1     7   212   512   731   507   757 0.85 | transcript=PVPAM_140052000_t1 | gene=PVPAM_140052000 | organism=Plasmodium_vivax_PAM | gene_product=ubiquitin-activating enzyme E1, putative | transcript_product=ubiquitin-activating enzyme E1, putative | location=CASCJQ010000014:2024732-2028715(+) | protein_length=1143 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7723596.1         -           1143 4970at5820           -            546   5.8e-43  145.8  15.9   3   3   6.5e-13     7e-10   36.7   0.8   289   363   905   981   862  1002 0.83 | transcript=PVPAM_140052000_t1 | gene=PVPAM_140052000 | organism=Plasmodium_vivax_PAM | gene_product=ubiquitin-activating enzyme E1, putative | transcript_product=ubiquitin-activating enzyme E1, putative | location=CASCJQ010000014:2024732-2028715(+) | protein_length=1143 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7722022.1         -           1673 4970at5820           -            546   5.4e-28   96.4  17.1   1   4   1.7e-09   1.8e-06   25.4   5.2    15   120   210   311   195   358 0.80 | transcript=PVPAM_120026100_t1 | gene=PVPAM_120026100 | organism=Plasmodium_vivax_PAM | gene_product=ubiquitin-activating enzyme, putative | transcript_product=ubiquitin-activating enzyme, putative | location=CASCJQ010000012:836225-841246(-) | protein_length=1673 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7722022.1         -           1673 4970at5820           -            546   5.4e-28   96.4  17.1   2   4     8e-13   8.7e-10   36.4   0.0     9    90   660   750   653   760 0.81 | transcript=PVPAM_120026100_t1 | gene=PVPAM_120026100 | organism=Plasmodium_vivax_PAM | gene_product=ubiquitin-activating enzyme, putative | transcript_product=ubiquitin-activating enzyme, putative | location=CASCJQ010000012:836225-841246(-) | protein_length=1673 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7722022.1         -           1673 4970at5820           -            546   5.4e-28   96.4  17.1   3   4   6.4e-09   6.9e-06   23.5   0.2   113   200   818   908   814   952 0.86 | transcript=PVPAM_120026100_t1 | gene=PVPAM_120026100 | organism=Plasmodium_vivax_PAM | gene_product=ubiquitin-activating enzyme, putative | transcript_product=ubiquitin-activating enzyme, putative | location=CASCJQ010000012:836225-841246(-) | protein_length=1673 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7722022.1         -           1673 4970at5820           -            546   5.4e-28   96.4  17.1   4   4   5.9e-07   0.00064   17.0   0.1   295   355  1197  1260  1191  1265 0.83 | transcript=PVPAM_120026100_t1 | gene=PVPAM_120026100 | organism=Plasmodium_vivax_PAM | gene_product=ubiquitin-activating enzyme, putative | transcript_product=ubiquitin-activating enzyme, putative | location=CASCJQ010000012:836225-841246(-) | protein_length=1673 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7718865.1         -            406 4970at5820           -            546   2.9e-24   84.1   5.1   1   2   1.7e-26   1.8e-23   81.5   2.0    20   220     4   226     1   255 0.78 | transcript=PVPAM_050025900_t1 | gene=PVPAM_050025900 | organism=Plasmodium_vivax_PAM | gene_product=NEDD8-activating enzyme E1 catalytic subunit, putative | transcript_product=NEDD8-activating enzyme E1 catalytic subunit, putative | location=CASCJQ010000005:896633-897853(-) | protein_length=406 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
