#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
CAI7721086.1         -           2385 569at5820            -           1444         0 1769.5  98.3   1  17     3e-83   1.9e-79  266.3   0.4     2   173    34   213    33   222 0.92 | transcript=PVPAM_100035400_t1 | gene=PVPAM_100035400 | organism=Plasmodium_vivax_PAM | gene_product=MMS19-like protein, putative | transcript_product=MMS19-like protein, putative | location=CASCJQ010000010:1300435-1307714(+) | protein_length=2385 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7721086.1         -           2385 569at5820            -           1444         0 1769.5  98.3   2  17   1.1e-61     7e-58  194.8   1.4   162   272   245   355   235   364 0.92 | transcript=PVPAM_100035400_t1 | gene=PVPAM_100035400 | organism=Plasmodium_vivax_PAM | gene_product=MMS19-like protein, putative | transcript_product=MMS19-like protein, putative | location=CASCJQ010000010:1300435-1307714(+) | protein_length=2385 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7721086.1         -           2385 569at5820            -           1444         0 1769.5  98.3   3  17     8e-98   5.2e-94  314.6   1.3   263   443   413   595   407   599 0.96 | transcript=PVPAM_100035400_t1 | gene=PVPAM_100035400 | organism=Plasmodium_vivax_PAM | gene_product=MMS19-like protein, putative | transcript_product=MMS19-like protein, putative | location=CASCJQ010000010:1300435-1307714(+) | protein_length=2385 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7721086.1         -           2385 569at5820            -           1444         0 1769.5  98.3   4  17   1.7e-42   1.1e-38  131.2   1.9   441   527   672   758   668   762 0.96 | transcript=PVPAM_100035400_t1 | gene=PVPAM_100035400 | organism=Plasmodium_vivax_PAM | gene_product=MMS19-like protein, putative | transcript_product=MMS19-like protein, putative | location=CASCJQ010000010:1300435-1307714(+) | protein_length=2385 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7721086.1         -           2385 569at5820            -           1444         0 1769.5  98.3   5  17   1.3e-23   8.7e-20   68.6   0.0   524   597   797   872   792   877 0.95 | transcript=PVPAM_100035400_t1 | gene=PVPAM_100035400 | organism=Plasmodium_vivax_PAM | gene_product=MMS19-like protein, putative | transcript_product=MMS19-like protein, putative | location=CASCJQ010000010:1300435-1307714(+) | protein_length=2385 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7721086.1         -           2385 569at5820            -           1444         0 1769.5  98.3   6  17   0.00032         2    4.4   0.0   598   616   912   930   904   936 0.90 | transcript=PVPAM_100035400_t1 | gene=PVPAM_100035400 | organism=Plasmodium_vivax_PAM | gene_product=MMS19-like protein, putative | transcript_product=MMS19-like protein, putative | location=CASCJQ010000010:1300435-1307714(+) | protein_length=2385 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7721086.1         -           2385 569at5820            -           1444         0 1769.5  98.3   7  17   1.2e-45   7.9e-42  141.6   5.1   616   732   956  1089   952  1095 0.87 | transcript=PVPAM_100035400_t1 | gene=PVPAM_100035400 | organism=Plasmodium_vivax_PAM | gene_product=MMS19-like protein, putative | transcript_product=MMS19-like protein, putative | location=CASCJQ010000010:1300435-1307714(+) | protein_length=2385 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7721086.1         -           2385 569at5820            -           1444         0 1769.5  98.3   8  17   1.7e-07    0.0011   15.2   0.0   740   778  1191  1230  1179  1243 0.86 | transcript=PVPAM_100035400_t1 | gene=PVPAM_100035400 | organism=Plasmodium_vivax_PAM | gene_product=MMS19-like protein, putative | transcript_product=MMS19-like protein, putative | location=CASCJQ010000010:1300435-1307714(+) | protein_length=2385 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7721086.1         -           2385 569at5820            -           1444         0 1769.5  98.3   9  17   8.1e-12   5.2e-08   29.5   0.0   778   814  1254  1290  1248  1292 0.92 | transcript=PVPAM_100035400_t1 | gene=PVPAM_100035400 | organism=Plasmodium_vivax_PAM | gene_product=MMS19-like protein, putative | transcript_product=MMS19-like protein, putative | location=CASCJQ010000010:1300435-1307714(+) | protein_length=2385 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7721086.1         -           2385 569at5820            -           1444         0 1769.5  98.3  10  17   8.6e-09   5.6e-05   19.5   0.1   809   840  1309  1340  1304  1345 0.90 | transcript=PVPAM_100035400_t1 | gene=PVPAM_100035400 | organism=Plasmodium_vivax_PAM | gene_product=MMS19-like protein, putative | transcript_product=MMS19-like protein, putative | location=CASCJQ010000010:1300435-1307714(+) | protein_length=2385 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7721086.1         -           2385 569at5820            -           1444         0 1769.5  98.3  11  17   2.3e-15   1.5e-11   41.3   0.0   848   908  1377  1452  1370  1462 0.84 | transcript=PVPAM_100035400_t1 | gene=PVPAM_100035400 | organism=Plasmodium_vivax_PAM | gene_product=MMS19-like protein, putative | transcript_product=MMS19-like protein, putative | location=CASCJQ010000010:1300435-1307714(+) | protein_length=2385 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
