#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
CAI7720350.1         -            475 5583at5820           -            436  1.9e-287  951.7  14.3   1   1  2.3e-290  2.1e-287  951.5  14.3     1   434    15   473    15   475 0.97 | transcript=PVPAM_090011500_t1 | gene=PVPAM_090011500 | organism=Plasmodium_vivax_PAM | gene_product=RuvB-like helicase 2, putative | transcript_product=RuvB-like helicase 2, putative | location=CASCJQ010000009:381016-382443(-) | protein_length=475 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7723462.1         -            583 5583at5820           -            436  2.3e-130  434.1  20.7   1   2    0.0012       1.1    6.7   0.0     2    23    50    71    49    86 0.82 | transcript=PVPAM_140038400_t1 | gene=PVPAM_140038400 | organism=Plasmodium_vivax_PAM | gene_product=RuvB-like helicase 1, putative | transcript_product=RuvB-like helicase 1, putative | location=CASCJQ010000014:1439506-1442003(+) | protein_length=583 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7723462.1         -            583 5583at5820           -            436  2.3e-130  434.1  20.7   2   2  4.3e-131  3.9e-128  426.7  19.3    28   427   167   570   144   577 0.91 | transcript=PVPAM_140038400_t1 | gene=PVPAM_140038400 | organism=Plasmodium_vivax_PAM | gene_product=RuvB-like helicase 1, putative | transcript_product=RuvB-like helicase 1, putative | location=CASCJQ010000014:1439506-1442003(+) | protein_length=583 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7721235.1         -            483 5583at5820           -            436  2.8e-101  338.2   6.3   1   1  3.9e-104  3.6e-101  337.9   6.3     1   429    11   438    11   445 0.91 | transcript=PVPAM_110013700_t1 | gene=PVPAM_110013700 | organism=Plasmodium_vivax_PAM | gene_product=RuvB-like helicase 3, putative | transcript_product=RuvB-like helicase 3, putative | location=CASCJQ010000011:342633-344084(+) | protein_length=483 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7723005.1         -           1175 5583at5820           -            436   0.00052   17.7   0.1   1   2     0.021        19    2.6   0.0    59    84   381   406   361   427 0.85 | transcript=PVPAM_130051100_t1 | gene=PVPAM_130051100 | organism=Plasmodium_vivax_PAM | gene_product=AAA family ATPase, putative | transcript_product=AAA family ATPase, putative | location=CASCJQ010000013:2025318-2028845(-) | protein_length=1175 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7723005.1         -           1175 5583at5820           -            436   0.00052   17.7   0.1   2   2     2e-05     0.019   12.5   0.0    58   113   802   856   791   871 0.87 | transcript=PVPAM_130051100_t1 | gene=PVPAM_130051100 | organism=Plasmodium_vivax_PAM | gene_product=AAA family ATPase, putative | transcript_product=AAA family ATPase, putative | location=CASCJQ010000013:2025318-2028845(-) | protein_length=1175 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7722309.1         -            442 5583at5820           -            436     0.002   15.8   0.0   1   1   3.3e-06    0.0031   15.1   0.0    11   100   104   191    95   213 0.72 | transcript=PVPAM_120054600_t1 | gene=PVPAM_120054600 | organism=Plasmodium_vivax_PAM | gene_product=vacuolar protein sorting-associated protein 4, putative | transcript_product=vacuolar protein sorting-associated protein 4, putative | location=CASCJQ010000012:1997081-1998409(+) | protein_length=442 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7723739.1         -            896 5583at5820           -            436     0.014   12.9   0.0   1   1   2.7e-05     0.025   12.1   0.0    58    96   194   230   167   256 0.79 | transcript=PVPAM_140066300_t1 | gene=PVPAM_140066300 | organism=Plasmodium_vivax_PAM | gene_product=ATP-dependent zinc metalloprotease FTSH 1, putative | transcript_product=ATP-dependent zinc metalloprotease FTSH 1, putative | location=CASCJQ010000014:2628494-2631184(+) | protein_length=896 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7717729.1         -           1089 5583at5820           -            436     0.018   12.6   0.5   1   2    0.0079       7.3    4.0   0.2    57   113   509   564   502   583 0.84 | transcript=PVPAM_010024300_t1 | gene=PVPAM_010024300 | organism=Plasmodium_vivax_PAM | gene_product=AAA family ATPase, CDC48 subfamily, putative | transcript_product=AAA family ATPase, CDC48 subfamily, putative | location=CASCJQ010000001:887950-891219(-) | protein_length=1089 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7717729.1         -           1089 5583at5820           -            436     0.018   12.6   0.5   2   2    0.0014       1.3    6.5   0.0    58    98   830   868   820   963 0.77 | transcript=PVPAM_010024300_t1 | gene=PVPAM_010024300 | organism=Plasmodium_vivax_PAM | gene_product=AAA family ATPase, CDC48 subfamily, putative | transcript_product=AAA family ATPase, CDC48 subfamily, putative | location=CASCJQ010000001:887950-891219(-) | protein_length=1089 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/5583at5820.hmm
# Target file:     /v3/inputs/annotations/plasmodb-68/PAM.proteins.fa
# Option settings: hmmsearch --domtblout /v3/work/00_inventory/busco/PAM_proteins/run_plasmodium_odb10/hmmer_output/initial_run_results/5583at5820.out --cpu 1 /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/5583at5820.hmm /v3/inputs/annotations/plasmodb-68/PAM.proteins.fa 
# Current dir:     /v3/work/00_inventory/busco
# Date:            Tue May 19 17:42:23 2026
# [ok]
