#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
CAI7718952.1         -           5445 86at5820             -           2862         0 3004.7 206.9   1  35     2e-15   1.3e-11   40.6   0.3     1    47     3    49     3    55 0.95 | transcript=PVPAM_050034400_t1 | gene=PVPAM_050034400 | organism=Plasmodium_vivax_PAM | gene_product=conserved Plasmodium protein, unknown function | transcript_product=conserved Plasmodium protein, unknown function | location=CASCJQ010000005:1204052-1220389(+) | protein_length=5445 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7718952.1         -           5445 86at5820             -           2862         0 3004.7 206.9   2  35   5.6e-10   3.6e-06   22.5   0.0    48    84    80   117    72   121 0.90 | transcript=PVPAM_050034400_t1 | gene=PVPAM_050034400 | organism=Plasmodium_vivax_PAM | gene_product=conserved Plasmodium protein, unknown function | transcript_product=conserved Plasmodium protein, unknown function | location=CASCJQ010000005:1204052-1220389(+) | protein_length=5445 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7718952.1         -           5445 86at5820             -           2862         0 3004.7 206.9   3  35   0.00023       1.5    3.8   0.0    84   104   155   175   150   178 0.91 | transcript=PVPAM_050034400_t1 | gene=PVPAM_050034400 | organism=Plasmodium_vivax_PAM | gene_product=conserved Plasmodium protein, unknown function | transcript_product=conserved Plasmodium protein, unknown function | location=CASCJQ010000005:1204052-1220389(+) | protein_length=5445 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7718952.1         -           5445 86at5820             -           2862         0 3004.7 206.9   4  35   5.4e-32   3.5e-28   95.5   1.0   105   203   230   331   224   343 0.92 | transcript=PVPAM_050034400_t1 | gene=PVPAM_050034400 | organism=Plasmodium_vivax_PAM | gene_product=conserved Plasmodium protein, unknown function | transcript_product=conserved Plasmodium protein, unknown function | location=CASCJQ010000005:1204052-1220389(+) | protein_length=5445 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7718952.1         -           5445 86at5820             -           2862         0 3004.7 206.9   5  35   3.1e-34     2e-30  103.0   0.0   200   299   358   463   349   474 0.91 | transcript=PVPAM_050034400_t1 | gene=PVPAM_050034400 | organism=Plasmodium_vivax_PAM | gene_product=conserved Plasmodium protein, unknown function | transcript_product=conserved Plasmodium protein, unknown function | location=CASCJQ010000005:1204052-1220389(+) | protein_length=5445 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7718952.1         -           5445 86at5820             -           2862         0 3004.7 206.9   6  35     0.013        82   -1.9   0.0   303   323   537   557   532   563 0.88 | transcript=PVPAM_050034400_t1 | gene=PVPAM_050034400 | organism=Plasmodium_vivax_PAM | gene_product=conserved Plasmodium protein, unknown function | transcript_product=conserved Plasmodium protein, unknown function | location=CASCJQ010000005:1204052-1220389(+) | protein_length=5445 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7718952.1         -           5445 86at5820             -           2862         0 3004.7 206.9   7  35   5.2e-15   3.4e-11   39.2   0.0   326   390   612   678   608   682 0.93 | transcript=PVPAM_050034400_t1 | gene=PVPAM_050034400 | organism=Plasmodium_vivax_PAM | gene_product=conserved Plasmodium protein, unknown function | transcript_product=conserved Plasmodium protein, unknown function | location=CASCJQ010000005:1204052-1220389(+) | protein_length=5445 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7718952.1         -           5445 86at5820             -           2862         0 3004.7 206.9   8  35   3.5e-05      0.22    6.6   0.0   386   420   716   753   704   755 0.84 | transcript=PVPAM_050034400_t1 | gene=PVPAM_050034400 | organism=Plasmodium_vivax_PAM | gene_product=conserved Plasmodium protein, unknown function | transcript_product=conserved Plasmodium protein, unknown function | location=CASCJQ010000005:1204052-1220389(+) | protein_length=5445 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7718952.1         -           5445 86at5820             -           2862         0 3004.7 206.9   9  35   3.6e-07    0.0023   13.2   0.4   418   453   805   840   803   864 0.85 | transcript=PVPAM_050034400_t1 | gene=PVPAM_050034400 | organism=Plasmodium_vivax_PAM | gene_product=conserved Plasmodium protein, unknown function | transcript_product=conserved Plasmodium protein, unknown function | location=CASCJQ010000005:1204052-1220389(+) | protein_length=5445 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7718952.1         -           5445 86at5820             -           2862         0 3004.7 206.9  10  35   2.2e-23   1.4e-19   67.0   0.1   450   516   875   945   870   969 0.85 | transcript=PVPAM_050034400_t1 | gene=PVPAM_050034400 | organism=Plasmodium_vivax_PAM | gene_product=conserved Plasmodium protein, unknown function | transcript_product=conserved Plasmodium protein, unknown function | location=CASCJQ010000005:1204052-1220389(+) | protein_length=5445 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7718952.1         -           5445 86at5820             -           2862         0 3004.7 206.9  11  35   6.1e-19   3.9e-15   52.2   1.4   511   578  1001  1075   995  1096 0.83 | transcript=PVPAM_050034400_t1 | gene=PVPAM_050034400 | organism=Plasmodium_vivax_PAM | gene_product=conserved Plasmodium protein, unknown function | transcript_product=conserved Plasmodium protein, unknown function | location=CASCJQ010000005:1204052-1220389(+) | protein_length=5445 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7718952.1         -           5445 86at5820             -           2862         0 3004.7 206.9  12  35   1.1e-12     7e-09   31.5   0.0   576   642  1114  1192  1110  1195 0.82 | transcript=PVPAM_050034400_t1 | gene=PVPAM_050034400 | organism=Plasmodium_vivax_PAM | gene_product=conserved Plasmodium protein, unknown function | transcript_product=conserved Plasmodium protein, unknown function | location=CASCJQ010000005:1204052-1220389(+) | protein_length=5445 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
