#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
CAI7720128.1         -           1388 1563at5820           -            937         0 1355.8  94.1   1   6  1.3e-115  8.6e-113  376.7  14.7     1   168    10   179    10   183 0.98 | transcript=PVPAM_080035000_t1 | gene=PVPAM_080035000 | organism=Plasmodium_vivax_PAM | gene_product=kinesin-5, putative | transcript_product=kinesin-5, putative | location=CASCJQ010000008:1359800-1364145(+) | protein_length=1388 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7720128.1         -           1388 1563at5820           -            937         0 1355.8  94.1   2   6  3.6e-255  2.3e-252  838.6  30.1   166   613   237   707   232   712 0.94 | transcript=PVPAM_080035000_t1 | gene=PVPAM_080035000 | organism=Plasmodium_vivax_PAM | gene_product=kinesin-5, putative | transcript_product=kinesin-5, putative | location=CASCJQ010000008:1359800-1364145(+) | protein_length=1388 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7720128.1         -           1388 1563at5820           -            937         0 1355.8  94.1   3   6   4.1e-31   2.6e-28   97.1  19.4   624   820   801  1051   789  1100 0.77 | transcript=PVPAM_080035000_t1 | gene=PVPAM_080035000 | organism=Plasmodium_vivax_PAM | gene_product=kinesin-5, putative | transcript_product=kinesin-5, putative | location=CASCJQ010000008:1359800-1364145(+) | protein_length=1388 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7720128.1         -           1388 1563at5820           -            937         0 1355.8  94.1   4   6   3.4e-13   2.2e-10   37.8   0.1   842   887  1177  1223  1174  1235 0.89 | transcript=PVPAM_080035000_t1 | gene=PVPAM_080035000 | organism=Plasmodium_vivax_PAM | gene_product=kinesin-5, putative | transcript_product=kinesin-5, putative | location=CASCJQ010000008:1359800-1364145(+) | protein_length=1388 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7720128.1         -           1388 1563at5820           -            937         0 1355.8  94.1   5   6    0.0017       1.1    5.7   0.1   886   910  1312  1336  1305  1346 0.82 | transcript=PVPAM_080035000_t1 | gene=PVPAM_080035000 | organism=Plasmodium_vivax_PAM | gene_product=kinesin-5, putative | transcript_product=kinesin-5, putative | location=CASCJQ010000008:1359800-1364145(+) | protein_length=1388 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7720128.1         -           1388 1563at5820           -            937         0 1355.8  94.1   6   6     6e-08   3.9e-05   20.4   0.2   904   937  1355  1388  1340  1388 0.89 | transcript=PVPAM_080035000_t1 | gene=PVPAM_080035000 | organism=Plasmodium_vivax_PAM | gene_product=kinesin-5, putative | transcript_product=kinesin-5, putative | location=CASCJQ010000008:1359800-1364145(+) | protein_length=1388 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7717884.1         -           1473 1563at5820           -            937   2.5e-68  229.5  20.0   1   3     2e-23   1.3e-20   71.7   1.9     9   113   776   888   769   897 0.89 | transcript=PVPAM_020011600_t1 | gene=PVPAM_020011600 | organism=Plasmodium_vivax_PAM | gene_product=kinesin-8B, putative | transcript_product=kinesin-8B, putative | location=CASCJQ010000002:316567-321596(+) | protein_length=1473 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7717884.1         -           1473 1563at5820           -            937   2.5e-68  229.5  20.0   2   3   4.5e-54   2.9e-51  173.1  10.5   169   417   909  1155   890  1171 0.83 | transcript=PVPAM_020011600_t1 | gene=PVPAM_020011600 | organism=Plasmodium_vivax_PAM | gene_product=kinesin-8B, putative | transcript_product=kinesin-8B, putative | location=CASCJQ010000002:316567-321596(+) | protein_length=1473 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7717884.1         -           1473 1563at5820           -            937   2.5e-68  229.5  20.0   3   3        10   6.5e+03   -8.7  14.1   613   877  1277  1395  1221  1469 0.34 | transcript=PVPAM_020011600_t1 | gene=PVPAM_020011600 | organism=Plasmodium_vivax_PAM | gene_product=kinesin-8B, putative | transcript_product=kinesin-8B, putative | location=CASCJQ010000002:316567-321596(+) | protein_length=1473 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7720108.1         -           1288 1563at5820           -            937   1.5e-45  154.2  16.8   1   2   1.3e-13   8.3e-11   39.2   1.2    14   110   510   608   504   622 0.82 | transcript=PVPAM_080033000_t1 | gene=PVPAM_080033000 | organism=Plasmodium_vivax_PAM | gene_product=kinesin-8X, putative | transcript_product=kinesin-8X, putative | location=CASCJQ010000008:1268333-1272199(-) | protein_length=1288 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7720108.1         -           1288 1563at5820           -            937   1.5e-45  154.2  16.8   2   2   5.8e-38   3.8e-35  119.7   8.7   167   388   630   848   609   877 0.88 | transcript=PVPAM_080033000_t1 | gene=PVPAM_080033000 | organism=Plasmodium_vivax_PAM | gene_product=kinesin-8X, putative | transcript_product=kinesin-8X, putative | location=CASCJQ010000008:1268333-1272199(-) | protein_length=1288 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7722755.1         -           1681 1563at5820           -            937   1.3e-42  144.4  17.4   1   5   5.8e-08   3.8e-05   20.5   0.3    55   112    94   151    69   154 0.91 | transcript=PVPAM_130025600_t1 | gene=PVPAM_130025600 | organism=Plasmodium_vivax_PAM | gene_product=kinesin-X3, putative | transcript_product=kinesin-X3, putative | location=CASCJQ010000013:931940-937370(+) | protein_length=1681 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7722755.1         -           1681 1563at5820           -            937   1.3e-42  144.4  17.4   2   5   2.8e-43   1.8e-40  137.3  11.6   165   461   188   506   181   512 0.87 | transcript=PVPAM_130025600_t1 | gene=PVPAM_130025600 | organism=Plasmodium_vivax_PAM | gene_product=kinesin-X3, putative | transcript_product=kinesin-X3, putative | location=CASCJQ010000013:931940-937370(+) | protein_length=1681 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7722755.1         -           1681 1563at5820           -            937   1.3e-42  144.4  17.4   3   5     0.052        34    0.8   2.6   668   718   853   895   845   905 0.66 | transcript=PVPAM_130025600_t1 | gene=PVPAM_130025600 | organism=Plasmodium_vivax_PAM | gene_product=kinesin-X3, putative | transcript_product=kinesin-X3, putative | location=CASCJQ010000013:931940-937370(+) | protein_length=1681 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7722755.1         -           1681 1563at5820           -            937   1.3e-42  144.4  17.4   4   5        10   6.5e+03  -12.8  34.6   613   875  1100  1360   991  1422 0.57 | transcript=PVPAM_130025600_t1 | gene=PVPAM_130025600 | organism=Plasmodium_vivax_PAM | gene_product=kinesin-X3, putative | transcript_product=kinesin-X3, putative | location=CASCJQ010000013:931940-937370(+) | protein_length=1681 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7722755.1         -           1681 1563at5820           -            937   1.3e-42  144.4  17.4   5   5        10   6.5e+03   -9.5   8.4   384   459  1542  1623  1538  1665 0.66 | transcript=PVPAM_130025600_t1 | gene=PVPAM_130025600 | organism=Plasmodium_vivax_PAM | gene_product=kinesin-X3, putative | transcript_product=kinesin-X3, putative | location=CASCJQ010000013:931940-937370(+) | protein_length=1681 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7723791.1         -           1477 1563at5820           -            937     1e-41  141.4  34.3   1   7   4.9e-35   3.2e-32  110.1  27.7    18   324   100   419    81   423 0.75 | transcript=PVPAM_140071400_t1 | gene=PVPAM_140071400 | organism=Plasmodium_vivax_PAM | gene_product=kinesin-15, putative | transcript_product=kinesin-15, putative | location=CASCJQ010000014:2819539-2823972(-) | protein_length=1477 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
