#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
CAI7722176.1         -            803 3052at5820           -            646         0 1177.0  90.0   1   2   5.5e-76   8.9e-73  244.5  36.6     5   225    28   323    25   340 0.84 | transcript=PVPAM_120041400_t1 | gene=PVPAM_120041400 | organism=Plasmodium_vivax_PAM | gene_product=cGMP-specific 3',5'-cyclic phosphodiesterase delta, putative | transcript_product=cGMP-specific 3',5'-cyclic phosphodiesterase delta, putative | location=CASCJQ010000012:1429403-1432762(-) | protein_length=803 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7722176.1         -            803 3052at5820           -            646         0 1177.0  90.0   2   2  6.7e-285  1.1e-281  934.7  45.4   222   646   345   784   339   784 0.97 | transcript=PVPAM_120041400_t1 | gene=PVPAM_120041400 | organism=Plasmodium_vivax_PAM | gene_product=cGMP-specific 3',5'-cyclic phosphodiesterase delta, putative | transcript_product=cGMP-specific 3',5'-cyclic phosphodiesterase delta, putative | location=CASCJQ010000012:1429403-1432762(-) | protein_length=803 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7722739.1         -           1005 3052at5820           -            646   3.2e-43  146.9  19.3   1   4         4   6.5e+03  -10.9   7.3   113   126   301   314   252   346 0.47 | transcript=PVPAM_130024000_t1 | gene=PVPAM_130024000 | organism=Plasmodium_vivax_PAM | gene_product=cGMP-specific 3',5'-cyclic phosphodiesterase alpha, putative | transcript_product=cGMP-specific 3',5'-cyclic phosphodiesterase alpha, putative | location=CASCJQ010000013:862745-866256(+) | protein_length=1005 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7722739.1         -           1005 3052at5820           -            646   3.2e-43  146.9  19.3   2   4         4   6.5e+03   -7.8  10.1   104   172   398   465   378   469 0.66 | transcript=PVPAM_130024000_t1 | gene=PVPAM_130024000 | organism=Plasmodium_vivax_PAM | gene_product=cGMP-specific 3',5'-cyclic phosphodiesterase alpha, putative | transcript_product=cGMP-specific 3',5'-cyclic phosphodiesterase alpha, putative | location=CASCJQ010000013:862745-866256(+) | protein_length=1005 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7722739.1         -           1005 3052at5820           -            646   3.2e-43  146.9  19.3   3   4     2e-46   3.2e-43  146.9  19.3   243   499   657   912   592   920 0.87 | transcript=PVPAM_130024000_t1 | gene=PVPAM_130024000 | organism=Plasmodium_vivax_PAM | gene_product=cGMP-specific 3',5'-cyclic phosphodiesterase alpha, putative | transcript_product=cGMP-specific 3',5'-cyclic phosphodiesterase alpha, putative | location=CASCJQ010000013:862745-866256(+) | protein_length=1005 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7722739.1         -           1005 3052at5820           -            646   3.2e-43  146.9  19.3   4   4    0.0025       4.1    4.4   0.2   542   604   921   982   914  1000 0.82 | transcript=PVPAM_130024000_t1 | gene=PVPAM_130024000 | organism=Plasmodium_vivax_PAM | gene_product=cGMP-specific 3',5'-cyclic phosphodiesterase alpha, putative | transcript_product=cGMP-specific 3',5'-cyclic phosphodiesterase alpha, putative | location=CASCJQ010000013:862745-866256(+) | protein_length=1005 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7723381.1         -           1164 3052at5820           -            646     2e-38  131.0  25.9   1   4      0.71   1.1e+03   -3.6   0.7   588   620   241   271   226   289 0.57 | transcript=PVPAM_140030000_t1 | gene=PVPAM_140030000 | organism=Plasmodium_vivax_PAM | gene_product=3',5'-cyclic nucleotide phosphodiesterase beta, putative | transcript_product=3',5'-cyclic nucleotide phosphodiesterase beta, putative | location=CASCJQ010000014:1087357-1092596(-) | protein_length=1164 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7723381.1         -           1164 3052at5820           -            646     2e-38  131.0  25.9   2   4         4   6.5e+03   -8.5   8.9   142   167   487   512   437   530 0.62 | transcript=PVPAM_140030000_t1 | gene=PVPAM_140030000 | organism=Plasmodium_vivax_PAM | gene_product=3',5'-cyclic nucleotide phosphodiesterase beta, putative | transcript_product=3',5'-cyclic nucleotide phosphodiesterase beta, putative | location=CASCJQ010000014:1087357-1092596(-) | protein_length=1164 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7723381.1         -           1164 3052at5820           -            646     2e-38  131.0  25.9   3   4   1.3e-41     2e-38  131.0  25.9   193   503   757  1057   716  1062 0.83 | transcript=PVPAM_140030000_t1 | gene=PVPAM_140030000 | organism=Plasmodium_vivax_PAM | gene_product=3',5'-cyclic nucleotide phosphodiesterase beta, putative | transcript_product=3',5'-cyclic nucleotide phosphodiesterase beta, putative | location=CASCJQ010000014:1087357-1092596(-) | protein_length=1164 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7723381.1         -           1164 3052at5820           -            646     2e-38  131.0  25.9   4   4   0.00028      0.45    7.6   2.0   552   625  1073  1148  1065  1160 0.77 | transcript=PVPAM_140030000_t1 | gene=PVPAM_140030000 | organism=Plasmodium_vivax_PAM | gene_product=3',5'-cyclic nucleotide phosphodiesterase beta, putative | transcript_product=3',5'-cyclic nucleotide phosphodiesterase beta, putative | location=CASCJQ010000014:1087357-1092596(-) | protein_length=1164 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7723382.1         -            783 3052at5820           -            646   1.7e-29  101.5  14.9   1   4         4   6.5e+03  -12.9  15.2    62   121    68   122    27   198 0.42 | transcript=PVPAM_140030100_t1 | gene=PVPAM_140030100 | organism=Plasmodium_vivax_PAM | gene_product=cGMP-specific 3',5'-cyclic phosphodiesterase gamma, putative | transcript_product=cGMP-specific 3',5'-cyclic phosphodiesterase gamma, putative | location=CASCJQ010000014:1095927-1099706(+) | protein_length=783 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7723382.1         -            783 3052at5820           -            646   1.7e-29  101.5  14.9   2   4         4   6.5e+03  -17.0  25.3    25   178   121   265   113   362 0.62 | transcript=PVPAM_140030100_t1 | gene=PVPAM_140030100 | organism=Plasmodium_vivax_PAM | gene_product=cGMP-specific 3',5'-cyclic phosphodiesterase gamma, putative | transcript_product=cGMP-specific 3',5'-cyclic phosphodiesterase gamma, putative | location=CASCJQ010000014:1095927-1099706(+) | protein_length=783 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7723382.1         -            783 3052at5820           -            646   1.7e-29  101.5  14.9   3   4     1e-32   1.7e-29  101.5  14.9   277   496   464   677   448   702 0.85 | transcript=PVPAM_140030100_t1 | gene=PVPAM_140030100 | organism=Plasmodium_vivax_PAM | gene_product=cGMP-specific 3',5'-cyclic phosphodiesterase gamma, putative | transcript_product=cGMP-specific 3',5'-cyclic phosphodiesterase gamma, putative | location=CASCJQ010000014:1095927-1099706(+) | protein_length=783 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7723382.1         -            783 3052at5820           -            646   1.7e-29  101.5  14.9   4   4    0.0005      0.81    6.8   0.7   555   602   702   747   685   770 0.86 | transcript=PVPAM_140030100_t1 | gene=PVPAM_140030100 | organism=Plasmodium_vivax_PAM | gene_product=cGMP-specific 3',5'-cyclic phosphodiesterase gamma, putative | transcript_product=cGMP-specific 3',5'-cyclic phosphodiesterase gamma, putative | location=CASCJQ010000014:1095927-1099706(+) | protein_length=783 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/3052at5820.hmm
# Target file:     /v3/inputs/annotations/plasmodb-68/PAM.proteins.fa
# Option settings: hmmsearch --domtblout /v3/work/00_inventory/busco/PAM_proteins/run_plasmodium_odb10/hmmer_output/initial_run_results/3052at5820.out --cpu 1 /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/3052at5820.hmm /v3/inputs/annotations/plasmodb-68/PAM.proteins.fa 
# Current dir:     /v3/work/00_inventory/busco
# Date:            Tue May 19 17:35:32 2026
# [ok]
