#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
CAI7717989.1         -           1796 1454at5820           -            903         0 1257.5 231.5   1  12     1e-26   6.6e-23   79.3   2.9     9    65    19    75     1    92 0.89 | transcript=PVPAM_020022100_t1 | gene=PVPAM_020022100 | organism=Plasmodium_vivax_PAM | gene_product=RING zinc finger protein, putative | transcript_product=RING zinc finger protein, putative | location=CASCJQ010000002:728070-734188(+) | protein_length=1796 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7717989.1         -           1796 1454at5820           -            903         0 1257.5 231.5   2  12   8.9e-55   5.8e-51  172.1  14.8    60   157   108   205   101   207 0.97 | transcript=PVPAM_020022100_t1 | gene=PVPAM_020022100 | organism=Plasmodium_vivax_PAM | gene_product=RING zinc finger protein, putative | transcript_product=RING zinc finger protein, putative | location=CASCJQ010000002:728070-734188(+) | protein_length=1796 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7717989.1         -           1796 1454at5820           -            903         0 1257.5 231.5   3  12  7.3e-106  4.7e-102  341.2  12.9   152   332   276   462   270   467 0.94 | transcript=PVPAM_020022100_t1 | gene=PVPAM_020022100 | organism=Plasmodium_vivax_PAM | gene_product=RING zinc finger protein, putative | transcript_product=RING zinc finger protein, putative | location=CASCJQ010000002:728070-734188(+) | protein_length=1796 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7717989.1         -           1796 1454at5820           -            903         0 1257.5 231.5   4  12         1   6.5e+03   -9.7  12.0   703   752   509   555   494   562 0.49 | transcript=PVPAM_020022100_t1 | gene=PVPAM_020022100 | organism=Plasmodium_vivax_PAM | gene_product=RING zinc finger protein, putative | transcript_product=RING zinc finger protein, putative | location=CASCJQ010000002:728070-734188(+) | protein_length=1796 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7717989.1         -           1796 1454at5820           -            903         0 1257.5 231.5   5  12     0.009        58    0.0  18.8   325   367   564   606   557   609 0.86 | transcript=PVPAM_020022100_t1 | gene=PVPAM_020022100 | organism=Plasmodium_vivax_PAM | gene_product=RING zinc finger protein, putative | transcript_product=RING zinc finger protein, putative | location=CASCJQ010000002:728070-734188(+) | protein_length=1796 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7717989.1         -           1796 1454at5820           -            903         0 1257.5 231.5   6  12   2.1e-08   0.00013   18.7   9.8   325   394   592   679   586   691 0.78 | transcript=PVPAM_020022100_t1 | gene=PVPAM_020022100 | organism=Plasmodium_vivax_PAM | gene_product=RING zinc finger protein, putative | transcript_product=RING zinc finger protein, putative | location=CASCJQ010000002:728070-734188(+) | protein_length=1796 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7717989.1         -           1796 1454at5820           -            903         0 1257.5 231.5   7  12   2.5e-11   1.6e-07   28.4   1.7   398   448   728   782   722   788 0.74 | transcript=PVPAM_020022100_t1 | gene=PVPAM_020022100 | organism=Plasmodium_vivax_PAM | gene_product=RING zinc finger protein, putative | transcript_product=RING zinc finger protein, putative | location=CASCJQ010000002:728070-734188(+) | protein_length=1796 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7717989.1         -           1796 1454at5820           -            903         0 1257.5 231.5   8  12   7.6e-21   4.9e-17   59.9   8.7   396   481   764   853   756   881 0.81 | transcript=PVPAM_020022100_t1 | gene=PVPAM_020022100 | organism=Plasmodium_vivax_PAM | gene_product=RING zinc finger protein, putative | transcript_product=RING zinc finger protein, putative | location=CASCJQ010000002:728070-734188(+) | protein_length=1796 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7717989.1         -           1796 1454at5820           -            903         0 1257.5 231.5   9  12   3.3e-15   2.1e-11   41.2   5.2   472   547   894   975   889   987 0.74 | transcript=PVPAM_020022100_t1 | gene=PVPAM_020022100 | organism=Plasmodium_vivax_PAM | gene_product=RING zinc finger protein, putative | transcript_product=RING zinc finger protein, putative | location=CASCJQ010000002:728070-734188(+) | protein_length=1796 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7717989.1         -           1796 1454at5820           -            903         0 1257.5 231.5  10  12   1.9e-60   1.2e-56  190.9  26.2   517   689  1060  1242  1036  1304 0.71 | transcript=PVPAM_020022100_t1 | gene=PVPAM_020022100 | organism=Plasmodium_vivax_PAM | gene_product=RING zinc finger protein, putative | transcript_product=RING zinc finger protein, putative | location=CASCJQ010000002:728070-734188(+) | protein_length=1796 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7717989.1         -           1796 1454at5820           -            903         0 1257.5 231.5  11  12   9.3e-23     6e-19   66.2  33.8   625   748  1455  1601  1447  1602 0.69 | transcript=PVPAM_020022100_t1 | gene=PVPAM_020022100 | organism=Plasmodium_vivax_PAM | gene_product=RING zinc finger protein, putative | transcript_product=RING zinc finger protein, putative | location=CASCJQ010000002:728070-734188(+) | protein_length=1796 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7717989.1         -           1796 1454at5820           -            903         0 1257.5 231.5  12  12  1.8e-102   1.2e-98  329.9  26.7   696   903  1580  1796  1574  1796 0.86 | transcript=PVPAM_020022100_t1 | gene=PVPAM_020022100 | organism=Plasmodium_vivax_PAM | gene_product=RING zinc finger protein, putative | transcript_product=RING zinc finger protein, putative | location=CASCJQ010000002:728070-734188(+) | protein_length=1796 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/1454at5820.hmm
# Target file:     /v3/inputs/annotations/plasmodb-68/PAM.proteins.fa
# Option settings: hmmsearch --domtblout /v3/work/00_inventory/busco/PAM_proteins/run_plasmodium_odb10/hmmer_output/initial_run_results/1454at5820.out --cpu 1 /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/1454at5820.hmm /v3/inputs/annotations/plasmodb-68/PAM.proteins.fa 
# Current dir:     /v3/work/00_inventory/busco
# Date:            Tue May 19 17:33:48 2026
# [ok]
