#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
CAI7723834.1         -           2552 499at5820            -           1547         0 2441.8 176.0   1  12   1.4e-11   9.1e-08   28.7   0.1     1    41     7    47     7    53 0.96 | transcript=PVPAM_140075700_t1 | gene=PVPAM_140075700 | organism=Plasmodium_vivax_PAM | gene_product=THO complex subunit 2, putative | transcript_product=THO complex subunit 2, putative | location=CASCJQ010000014:2967485-2976477(-) | protein_length=2552 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7723834.1         -           2552 499at5820            -           1547         0 2441.8 176.0   2  12   5.5e-30   3.6e-26   89.7   1.8    40   106   185   251   182   258 0.96 | transcript=PVPAM_140075700_t1 | gene=PVPAM_140075700 | organism=Plasmodium_vivax_PAM | gene_product=THO complex subunit 2, putative | transcript_product=THO complex subunit 2, putative | location=CASCJQ010000014:2967485-2976477(-) | protein_length=2552 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7723834.1         -           2552 499at5820            -           1547         0 2441.8 176.0   3  12   5.4e-20   3.5e-16   56.6   0.1   102   154   285   337   272   344 0.88 | transcript=PVPAM_140075700_t1 | gene=PVPAM_140075700 | organism=Plasmodium_vivax_PAM | gene_product=THO complex subunit 2, putative | transcript_product=THO complex subunit 2, putative | location=CASCJQ010000014:2967485-2976477(-) | protein_length=2552 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7723834.1         -           2552 499at5820            -           1547         0 2441.8 176.0   4  12   1.1e-59   7.3e-56  188.1   3.8   148   262   391   508   384   509 0.94 | transcript=PVPAM_140075700_t1 | gene=PVPAM_140075700 | organism=Plasmodium_vivax_PAM | gene_product=THO complex subunit 2, putative | transcript_product=THO complex subunit 2, putative | location=CASCJQ010000014:2967485-2976477(-) | protein_length=2552 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7723834.1         -           2552 499at5820            -           1547         0 2441.8 176.0   5  12   3.1e-94     2e-90  302.7  19.3   266   461   648   866   642   872 0.92 | transcript=PVPAM_140075700_t1 | gene=PVPAM_140075700 | organism=Plasmodium_vivax_PAM | gene_product=THO complex subunit 2, putative | transcript_product=THO complex subunit 2, putative | location=CASCJQ010000014:2967485-2976477(-) | protein_length=2552 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7723834.1         -           2552 499at5820            -           1547         0 2441.8 176.0   6  12     4e-70   2.6e-66  222.7   7.8   456   624   943  1122   933  1124 0.90 | transcript=PVPAM_140075700_t1 | gene=PVPAM_140075700 | organism=Plasmodium_vivax_PAM | gene_product=THO complex subunit 2, putative | transcript_product=THO complex subunit 2, putative | location=CASCJQ010000014:2967485-2976477(-) | protein_length=2552 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7723834.1         -           2552 499at5820            -           1547         0 2441.8 176.0   7  12   1.3e-21   8.6e-18   61.9   3.7   624   674  1180  1232  1173  1236 0.93 | transcript=PVPAM_140075700_t1 | gene=PVPAM_140075700 | organism=Plasmodium_vivax_PAM | gene_product=THO complex subunit 2, putative | transcript_product=THO complex subunit 2, putative | location=CASCJQ010000014:2967485-2976477(-) | protein_length=2552 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7723834.1         -           2552 499at5820            -           1547         0 2441.8 176.0   8  12   5.7e-24   3.7e-20   69.7   2.5   674   740  1372  1445  1368  1450 0.85 | transcript=PVPAM_140075700_t1 | gene=PVPAM_140075700 | organism=Plasmodium_vivax_PAM | gene_product=THO complex subunit 2, putative | transcript_product=THO complex subunit 2, putative | location=CASCJQ010000014:2967485-2976477(-) | protein_length=2552 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7723834.1         -           2552 499at5820            -           1547         0 2441.8 176.0   9  12   3.1e-16     2e-12   44.1   0.1   739   780  1479  1520  1475  1523 0.92 | transcript=PVPAM_140075700_t1 | gene=PVPAM_140075700 | organism=Plasmodium_vivax_PAM | gene_product=THO complex subunit 2, putative | transcript_product=THO complex subunit 2, putative | location=CASCJQ010000014:2967485-2976477(-) | protein_length=2552 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7723834.1         -           2552 499at5820            -           1547         0 2441.8 176.0  10  12  6.7e-104  4.3e-100  334.7  10.6   778   959  1544  1725  1539  1736 0.96 | transcript=PVPAM_140075700_t1 | gene=PVPAM_140075700 | organism=Plasmodium_vivax_PAM | gene_product=THO complex subunit 2, putative | transcript_product=THO complex subunit 2, putative | location=CASCJQ010000014:2967485-2976477(-) | protein_length=2552 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7723834.1         -           2552 499at5820            -           1547         0 2441.8 176.0  11  12  2.2e-109  1.4e-105  352.9   7.4   954  1145  1772  1965  1763  1972 0.96 | transcript=PVPAM_140075700_t1 | gene=PVPAM_140075700 | organism=Plasmodium_vivax_PAM | gene_product=THO complex subunit 2, putative | transcript_product=THO complex subunit 2, putative | location=CASCJQ010000014:2967485-2976477(-) | protein_length=2552 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
