#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
CAI7720569.1         -           1433 1203at5820           -           1004         0 1497.6  41.4   1   8   9.9e-16   3.2e-12   43.5   3.8     1    41     1    41     1    55 0.91 | transcript=PVPAM_090033400_t1 | gene=PVPAM_090033400 | organism=Plasmodium_vivax_PAM | gene_product=ATP-dependent 6-phosphofructokinase, putative | transcript_product=ATP-dependent 6-phosphofructokinase, putative | location=CASCJQ010000009:1277969-1283202(-) | protein_length=1433 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7720569.1         -           1433 1203at5820           -           1004         0 1497.6  41.4   2   8    0.0015       4.8    3.2   0.0    37    57    63    83    59    90 0.88 | transcript=PVPAM_090033400_t1 | gene=PVPAM_090033400 | organism=Plasmodium_vivax_PAM | gene_product=ATP-dependent 6-phosphofructokinase, putative | transcript_product=ATP-dependent 6-phosphofructokinase, putative | location=CASCJQ010000009:1277969-1283202(-) | protein_length=1433 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7720569.1         -           1433 1203at5820           -           1004         0 1497.6  41.4   3   8     9e-63   2.9e-59  199.2   0.2    54   182   132   278   119   284 0.90 | transcript=PVPAM_090033400_t1 | gene=PVPAM_090033400 | organism=Plasmodium_vivax_PAM | gene_product=ATP-dependent 6-phosphofructokinase, putative | transcript_product=ATP-dependent 6-phosphofructokinase, putative | location=CASCJQ010000009:1277969-1283202(-) | protein_length=1433 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7720569.1         -           1433 1203at5820           -           1004         0 1497.6  41.4   4   8   1.2e-83   3.8e-80  268.4   1.4   182   332   316   477   313   483 0.94 | transcript=PVPAM_090033400_t1 | gene=PVPAM_090033400 | organism=Plasmodium_vivax_PAM | gene_product=ATP-dependent 6-phosphofructokinase, putative | transcript_product=ATP-dependent 6-phosphofructokinase, putative | location=CASCJQ010000009:1277969-1283202(-) | protein_length=1433 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7720569.1         -           1433 1203at5820           -           1004         0 1497.6  41.4   5   8   2.1e-55   6.9e-52  174.8   0.0   332   452   512   638   497   645 0.93 | transcript=PVPAM_090033400_t1 | gene=PVPAM_090033400 | organism=Plasmodium_vivax_PAM | gene_product=ATP-dependent 6-phosphofructokinase, putative | transcript_product=ATP-dependent 6-phosphofructokinase, putative | location=CASCJQ010000009:1277969-1283202(-) | protein_length=1433 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7720569.1         -           1433 1203at5820           -           1004         0 1497.6  41.4   6   8     0.014        46   -0.1   0.0   451   470   684   706   679   728 0.77 | transcript=PVPAM_090033400_t1 | gene=PVPAM_090033400 | organism=Plasmodium_vivax_PAM | gene_product=ATP-dependent 6-phosphofructokinase, putative | transcript_product=ATP-dependent 6-phosphofructokinase, putative | location=CASCJQ010000009:1277969-1283202(-) | protein_length=1433 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7720569.1         -           1433 1203at5820           -           1004         0 1497.6  41.4   7   8     0.011        36    0.3   0.0   475   489   757   771   752   774 0.91 | transcript=PVPAM_090033400_t1 | gene=PVPAM_090033400 | organism=Plasmodium_vivax_PAM | gene_product=ATP-dependent 6-phosphofructokinase, putative | transcript_product=ATP-dependent 6-phosphofructokinase, putative | location=CASCJQ010000009:1277969-1283202(-) | protein_length=1433 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7720569.1         -           1433 1203at5820           -           1004         0 1497.6  41.4   8   8  2.7e-249  8.9e-246  816.7  10.0   489  1004   847  1427   844  1427 0.93 | transcript=PVPAM_090033400_t1 | gene=PVPAM_090033400 | organism=Plasmodium_vivax_PAM | gene_product=ATP-dependent 6-phosphofructokinase, putative | transcript_product=ATP-dependent 6-phosphofructokinase, putative | location=CASCJQ010000009:1277969-1283202(-) | protein_length=1433 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7719596.1         -           1421 1203at5820           -           1004  9.2e-119  396.2  10.5   1   4   6.8e-72   2.2e-68  229.4   4.7     9   434   105   559   100   582 0.79 | transcript=PVPAM_070021000_t1 | gene=PVPAM_070021000 | organism=Plasmodium_vivax_PAM | gene_product=ATP-dependent 6-phosphofructokinase, putative | transcript_product=ATP-dependent 6-phosphofructokinase, putative | location=CASCJQ010000007:735807-740072(-) | protein_length=1421 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7719596.1         -           1421 1203at5820           -           1004  9.2e-119  396.2  10.5   2   4     1e-26   3.4e-23   79.8   1.0   532   710   835  1007   804  1007 0.90 | transcript=PVPAM_070021000_t1 | gene=PVPAM_070021000 | organism=Plasmodium_vivax_PAM | gene_product=ATP-dependent 6-phosphofructokinase, putative | transcript_product=ATP-dependent 6-phosphofructokinase, putative | location=CASCJQ010000007:735807-740072(-) | protein_length=1421 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7719596.1         -           1421 1203at5820           -           1004  9.2e-119  396.2  10.5   3   4   1.2e-17   3.8e-14   49.9   0.0   254   337  1007  1093  1005  1104 0.92 | transcript=PVPAM_070021000_t1 | gene=PVPAM_070021000 | organism=Plasmodium_vivax_PAM | gene_product=ATP-dependent 6-phosphofructokinase, putative | transcript_product=ATP-dependent 6-phosphofructokinase, putative | location=CASCJQ010000007:735807-740072(-) | protein_length=1421 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
