#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
CAI7718832.1         -            662 3997at5820           -            539    8e-277  917.7  14.8   1   3   4.6e-34     6e-31  106.3   0.0     2    71    18    87    17    92 0.96 | transcript=PVPAM_050022600_t1 | gene=PVPAM_050022600 | organism=Plasmodium_vivax_PAM | gene_product=perforin-like protein 5 | transcript_product=perforin-like protein 5 | location=CASCJQ010000005:760367-762355(-) | protein_length=662 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7718832.1         -            662 3997at5820           -            539    8e-277  917.7  14.8   2   3   4.2e-87   5.4e-84  281.3   1.4    63   251   109   329    96   333 0.89 | transcript=PVPAM_050022600_t1 | gene=PVPAM_050022600 | organism=Plasmodium_vivax_PAM | gene_product=perforin-like protein 5 | transcript_product=perforin-like protein 5 | location=CASCJQ010000005:760367-762355(-) | protein_length=662 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7718832.1         -            662 3997at5820           -            539    8e-277  917.7  14.8   3   3  3.3e-164  4.2e-161  535.8   4.3   246   539   351   662   335   662 0.94 | transcript=PVPAM_050022600_t1 | gene=PVPAM_050022600 | organism=Plasmodium_vivax_PAM | gene_product=perforin-like protein 5 | transcript_product=perforin-like protein 5 | location=CASCJQ010000005:760367-762355(-) | protein_length=662 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7723511.1         -           1104 3997at5820           -            539   1.8e-34  117.9  25.8   1   2   1.1e-09   1.4e-06   25.8   0.0    26    69   462   505   450   518 0.82 | transcript=PVPAM_140043400_t1 | gene=PVPAM_140043400 | organism=Plasmodium_vivax_PAM | gene_product=perforin-like protein 2 | transcript_product=perforin-like protein 2 | location=CASCJQ010000014:1613192-1616506(+) | protein_length=1104 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7723511.1         -           1104 3997at5820           -            539   1.8e-34  117.9  25.8   2   2     2e-29   2.5e-26   91.0  23.4    95   517   594  1070   558  1083 0.72 | transcript=PVPAM_140043400_t1 | gene=PVPAM_140043400 | organism=Plasmodium_vivax_PAM | gene_product=perforin-like protein 2 | transcript_product=perforin-like protein 2 | location=CASCJQ010000014:1613192-1616506(+) | protein_length=1104 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7718130.1         -            843 3997at5820           -            539   1.6e-25   88.4   5.3   1   2    0.0027       3.5    4.7   0.0    32    64   247   279   227   299 0.82 | transcript=PVPAM_030012600_t1 | gene=PVPAM_030012600 | organism=Plasmodium_vivax_PAM | gene_product=perforin-like protein 1 | transcript_product=perforin-like protein 1 | location=CASCJQ010000003:352504-356442(-) | protein_length=843 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7718130.1         -            843 3997at5820           -            539   1.6e-25   88.4   5.3   2   2   1.5e-26   1.9e-23   81.5   3.2    93   461   339   755   298   821 0.66 | transcript=PVPAM_030012600_t1 | gene=PVPAM_030012600 | organism=Plasmodium_vivax_PAM | gene_product=perforin-like protein 1 | transcript_product=perforin-like protein 1 | location=CASCJQ010000003:352504-356442(-) | protein_length=843 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7719674.1         -            783 3997at5820           -            539   3.5e-19   67.4  17.6   1   3   7.4e-10   9.6e-07   26.4   0.3     8    64   177   234   170   244 0.73 | transcript=PVPAM_070028800_t1 | gene=PVPAM_070028800 | organism=Plasmodium_vivax_PAM | gene_product=perforin-like protein 3 | transcript_product=perforin-like protein 3 | location=CASCJQ010000007:1041436-1043787(+) | protein_length=783 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7719674.1         -            783 3997at5820           -            539   3.5e-19   67.4  17.6   2   3   3.4e-13   4.4e-10   37.4   2.1    96   207   297   413   246   426 0.84 | transcript=PVPAM_070028800_t1 | gene=PVPAM_070028800 | organism=Plasmodium_vivax_PAM | gene_product=perforin-like protein 3 | transcript_product=perforin-like protein 3 | location=CASCJQ010000007:1041436-1043787(+) | protein_length=783 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7719674.1         -            783 3997at5820           -            539   3.5e-19   67.4  17.6   3   3   9.9e-06     0.013   12.8   2.2   250   450   484   696   459   716 0.69 | transcript=PVPAM_070028800_t1 | gene=PVPAM_070028800 | organism=Plasmodium_vivax_PAM | gene_product=perforin-like protein 3 | transcript_product=perforin-like protein 3 | location=CASCJQ010000007:1041436-1043787(+) | protein_length=783 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7718830.1         -            705 3997at5820           -            539   3.9e-19   67.3  10.3   1   2   3.3e-16   4.3e-13   47.3   0.1    29   210    63   262    54   283 0.73 | transcript=PVPAM_050022400_t1 | gene=PVPAM_050022400 | organism=Plasmodium_vivax_PAM | gene_product=perforin-like protein 4, putative | transcript_product=perforin-like protein 4, putative | location=CASCJQ010000005:754026-756143(-) | protein_length=705 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
