#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
CAI7718446.1         -            715 3576at5820           -            580         0 1081.1  59.8   1   2    5e-101   1.1e-97  326.8  20.9     1   169     1   179     1   185 0.96 | transcript=PVPAM_040019200_t1 | gene=PVPAM_040019200 | organism=Plasmodium_vivax_PAM | gene_product=vacuolar protein sorting-associated protein 45, putative | transcript_product=vacuolar protein sorting-associated protein 45, putative | location=CASCJQ010000004:610690-612837(-) | protein_length=715 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7718446.1         -            715 3576at5820           -            580         0 1081.1  59.8   2   2  1.7e-231  3.6e-228  757.6  31.0   176   580   273   714   255   714 0.94 | transcript=PVPAM_040019200_t1 | gene=PVPAM_040019200 | organism=Plasmodium_vivax_PAM | gene_product=vacuolar protein sorting-associated protein 45, putative | transcript_product=vacuolar protein sorting-associated protein 45, putative | location=CASCJQ010000004:610690-612837(-) | protein_length=715 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7719295.1         -            663 3576at5820           -            580   4.2e-14   50.8  19.7   1   3   8.3e-16   1.8e-12   45.4   8.2    86   297    83   285    38   288 0.80 | transcript=PVPAM_060030200_t1 | gene=PVPAM_060030200 | organism=Plasmodium_vivax_PAM | gene_product=Sec1 family protein, putative | transcript_product=Sec1 family protein, putative | location=CASCJQ010000006:1036124-1038115(-) | protein_length=663 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7719295.1         -            663 3576at5820           -            580   4.2e-14   50.8  19.7   2   3       0.3   6.4e+02   -2.6   0.8   365   420   401   460   386   519 0.57 | transcript=PVPAM_060030200_t1 | gene=PVPAM_060030200 | organism=Plasmodium_vivax_PAM | gene_product=Sec1 family protein, putative | transcript_product=Sec1 family protein, putative | location=CASCJQ010000006:1036124-1038115(-) | protein_length=663 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7719295.1         -            663 3576at5820           -            580   4.2e-14   50.8  19.7   3   3   4.5e-06    0.0097   13.3   0.1   527   573   606   652   599   657 0.89 | transcript=PVPAM_060030200_t1 | gene=PVPAM_060030200 | organism=Plasmodium_vivax_PAM | gene_product=Sec1 family protein, putative | transcript_product=Sec1 family protein, putative | location=CASCJQ010000006:1036124-1038115(-) | protein_length=663 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7721495.1         -            654 3576at5820           -            580   0.00053   17.4  12.6   1   4     0.029        62    0.7   0.0    23    76    18    72     5    88 0.76 | transcript=PVPAM_110040000_t1 | gene=PVPAM_110040000 | organism=Plasmodium_vivax_PAM | gene_product=syntaxin-binding protein, putative | transcript_product=syntaxin-binding protein, putative | location=CASCJQ010000011:1474325-1476289(+) | protein_length=654 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7721495.1         -            654 3576at5820           -            580   0.00053   17.4  12.6   2   4    0.0019         4    4.6   0.2   243   289   205   251   132   261 0.86 | transcript=PVPAM_110040000_t1 | gene=PVPAM_110040000 | organism=Plasmodium_vivax_PAM | gene_product=syntaxin-binding protein, putative | transcript_product=syntaxin-binding protein, putative | location=CASCJQ010000011:1474325-1476289(+) | protein_length=654 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7721495.1         -            654 3576at5820           -            580   0.00053   17.4  12.6   3   4      0.02        42    1.3   3.1   307   434   312   452   291   467 0.66 | transcript=PVPAM_110040000_t1 | gene=PVPAM_110040000 | organism=Plasmodium_vivax_PAM | gene_product=syntaxin-binding protein, putative | transcript_product=syntaxin-binding protein, putative | location=CASCJQ010000011:1474325-1476289(+) | protein_length=654 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7721495.1         -            654 3576at5820           -            580   0.00053   17.4  12.6   4   4     7e-06     0.015   12.7   0.0   529   570   602   643   592   649 0.90 | transcript=PVPAM_110040000_t1 | gene=PVPAM_110040000 | organism=Plasmodium_vivax_PAM | gene_product=syntaxin-binding protein, putative | transcript_product=syntaxin-binding protein, putative | location=CASCJQ010000011:1474325-1476289(+) | protein_length=654 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/3576at5820.hmm
# Target file:     /v3/inputs/annotations/plasmodb-68/PAM.proteins.fa
# Option settings: hmmsearch --domtblout /v3/work/00_inventory/busco/PAM_proteins/run_plasmodium_odb10/hmmer_output/initial_run_results/3576at5820.out --cpu 1 /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/3576at5820.hmm /v3/inputs/annotations/plasmodb-68/PAM.proteins.fa 
# Current dir:     /v3/work/00_inventory/busco
# Date:            Tue May 19 17:37:30 2026
# [ok]
