#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
CAI7723475.1         -           1087 3722at5820           -            653         0 1096.1 121.5   1   4   4.6e-05     0.059   10.5   9.6     1    29    94   122    94   129 0.90 | transcript=PVPAM_140039700_t1 | gene=PVPAM_140039700 | organism=Plasmodium_vivax_PAM | gene_product=bromodomain protein 2, putative | transcript_product=bromodomain protein 2, putative | location=CASCJQ010000014:1506643-1509906(-) | protein_length=1087 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7723475.1         -           1087 3722at5820           -            653         0 1096.1 121.5   2   4   1.9e-61   2.4e-58  196.8  16.8     7   161   179   334   175   347 0.90 | transcript=PVPAM_140039700_t1 | gene=PVPAM_140039700 | organism=Plasmodium_vivax_PAM | gene_product=bromodomain protein 2, putative | transcript_product=bromodomain protein 2, putative | location=CASCJQ010000014:1506643-1509906(-) | protein_length=1087 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7723475.1         -           1087 3722at5820           -            653         0 1096.1 121.5   3   4  2.8e-110  3.6e-107  358.1  26.7   129   367   422   669   394   687 0.80 | transcript=PVPAM_140039700_t1 | gene=PVPAM_140039700 | organism=Plasmodium_vivax_PAM | gene_product=bromodomain protein 2, putative | transcript_product=bromodomain protein 2, putative | location=CASCJQ010000014:1506643-1509906(-) | protein_length=1087 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7723475.1         -           1087 3722at5820           -            653         0 1096.1 121.5   4   4  3.1e-167  4.1e-164  546.3  42.6   330   653   726  1087   703  1087 0.85 | transcript=PVPAM_140039700_t1 | gene=PVPAM_140039700 | organism=Plasmodium_vivax_PAM | gene_product=bromodomain protein 2, putative | transcript_product=bromodomain protein 2, putative | location=CASCJQ010000014:1506643-1509906(-) | protein_length=1087 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7719292.1         -            482 3722at5820           -            653   2.1e-09   35.1   1.0   1   1   2.9e-12   3.7e-09   34.3   1.0   198   276   321   399   315   421 0.93 | transcript=PVPAM_060029900_t1 | gene=PVPAM_060029900 | organism=Plasmodium_vivax_PAM | gene_product=bromodomain protein 1, putative | transcript_product=bromodomain protein 1, putative | location=CASCJQ010000006:1023186-1025027(+) | protein_length=482 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7717889.1         -           1558 3722at5820           -            653    0.0001   19.6   0.5   1   3         5   6.5e+03  -11.3   8.0   136   168    64    96    31   134 0.57 | transcript=PVPAM_020012100_t1 | gene=PVPAM_020012100 | organism=Plasmodium_vivax_PAM | gene_product=bromodomain protein 3, putative | transcript_product=bromodomain protein 3, putative | location=CASCJQ010000002:338947-343782(-) | protein_length=1558 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7717889.1         -           1558 3722at5820           -            653    0.0001   19.6   0.5   2   3   7.8e-08    0.0001   19.6   0.5   230   275   861   906   820   925 0.74 | transcript=PVPAM_020012100_t1 | gene=PVPAM_020012100 | organism=Plasmodium_vivax_PAM | gene_product=bromodomain protein 3, putative | transcript_product=bromodomain protein 3, putative | location=CASCJQ010000002:338947-343782(-) | protein_length=1558 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7717889.1         -           1558 3722at5820           -            653    0.0001   19.6   0.5   3   3      0.28   3.7e+02   -2.1   0.0   605   626   919   940   907   942 0.81 | transcript=PVPAM_020012100_t1 | gene=PVPAM_020012100 | organism=Plasmodium_vivax_PAM | gene_product=bromodomain protein 3, putative | transcript_product=bromodomain protein 3, putative | location=CASCJQ010000002:338947-343782(-) | protein_length=1558 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7718791.1         -           1523 3722at5820           -            653   0.00032   17.9   0.8   1   2       3.4   4.4e+03   -5.6   1.9   119   173   888   942   887   950 0.81 | transcript=PVPAM_050018500_t1 | gene=PVPAM_050018500 | organism=Plasmodium_vivax_PAM | gene_product=histone acetyltransferase GCN5, putative | transcript_product=histone acetyltransferase GCN5, putative | location=CASCJQ010000005:602746-608033(-) | protein_length=1523 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7718791.1         -           1523 3722at5820           -            653   0.00032   17.9   0.8   2   2   2.5e-07   0.00032   17.9   0.8   190   276  1410  1494  1399  1513 0.84 | transcript=PVPAM_050018500_t1 | gene=PVPAM_050018500 | organism=Plasmodium_vivax_PAM | gene_product=histone acetyltransferase GCN5, putative | transcript_product=histone acetyltransferase GCN5, putative | location=CASCJQ010000005:602746-608033(-) | protein_length=1523 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7722567.1         -            403 3722at5820           -            653       4.9    4.1  20.7   1   1    0.0062         8    3.4  20.7   492   541   136   185   125   201 0.79 | transcript=PVPAM_130007000_t1 | gene=PVPAM_130007000 | organism=Plasmodium_vivax_PAM | gene_product=lysophospholipase, putative | transcript_product=lysophospholipase, putative | location=CASCJQ010000013:92823-94034(+) | protein_length=403 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
