#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
CAI7722943.1         -           2086 1125at5820           -            967         0 1227.6 195.8   1  14   5.1e-06     0.033   10.5   0.3     1    22    22    43    22    55 0.88 | transcript=PVPAM_130044500_t1 | gene=PVPAM_130044500 | organism=Plasmodium_vivax_PAM | gene_product=conserved Plasmodium protein, unknown function | transcript_product=conserved Plasmodium protein, unknown function | location=CASCJQ010000013:1711656-1718369(+) | protein_length=2086 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7722943.1         -           2086 1125at5820           -            967         0 1227.6 195.8   2  14   5.1e-08   0.00033   17.1   4.5    22    57   149   190   139   203 0.78 | transcript=PVPAM_130044500_t1 | gene=PVPAM_130044500 | organism=Plasmodium_vivax_PAM | gene_product=conserved Plasmodium protein, unknown function | transcript_product=conserved Plasmodium protein, unknown function | location=CASCJQ010000013:1711656-1718369(+) | protein_length=2086 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7722943.1         -           2086 1125at5820           -            967         0 1227.6 195.8   3  14   4.6e-38   2.9e-34  116.6   5.6    54   145   235   327   226   335 0.89 | transcript=PVPAM_130044500_t1 | gene=PVPAM_130044500 | organism=Plasmodium_vivax_PAM | gene_product=conserved Plasmodium protein, unknown function | transcript_product=conserved Plasmodium protein, unknown function | location=CASCJQ010000013:1711656-1718369(+) | protein_length=2086 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7722943.1         -           2086 1125at5820           -            967         0 1227.6 195.8   4  14   1.5e-17   9.9e-14   48.7   7.1   129   184   368   423   348   431 0.83 | transcript=PVPAM_130044500_t1 | gene=PVPAM_130044500 | organism=Plasmodium_vivax_PAM | gene_product=conserved Plasmodium protein, unknown function | transcript_product=conserved Plasmodium protein, unknown function | location=CASCJQ010000013:1711656-1718369(+) | protein_length=2086 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7722943.1         -           2086 1125at5820           -            967         0 1227.6 195.8   5  14     0.043   2.8e+02   -2.5  12.9   161   267   432   542   422   575 0.70 | transcript=PVPAM_130044500_t1 | gene=PVPAM_130044500 | organism=Plasmodium_vivax_PAM | gene_product=conserved Plasmodium protein, unknown function | transcript_product=conserved Plasmodium protein, unknown function | location=CASCJQ010000013:1711656-1718369(+) | protein_length=2086 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7722943.1         -           2086 1125at5820           -            967         0 1227.6 195.8   6  14   1.8e-06     0.012   12.0   2.1   200   261   722   777   701   794 0.77 | transcript=PVPAM_130044500_t1 | gene=PVPAM_130044500 | organism=Plasmodium_vivax_PAM | gene_product=conserved Plasmodium protein, unknown function | transcript_product=conserved Plasmodium protein, unknown function | location=CASCJQ010000013:1711656-1718369(+) | protein_length=2086 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7722943.1         -           2086 1125at5820           -            967         0 1227.6 195.8   7  14     3e-19   1.9e-15   54.3   2.1   232   298   845   924   837   928 0.87 | transcript=PVPAM_130044500_t1 | gene=PVPAM_130044500 | organism=Plasmodium_vivax_PAM | gene_product=conserved Plasmodium protein, unknown function | transcript_product=conserved Plasmodium protein, unknown function | location=CASCJQ010000013:1711656-1718369(+) | protein_length=2086 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7722943.1         -           2086 1125at5820           -            967         0 1227.6 195.8   8  14   0.00096       6.2    3.0   0.3   295   317  1018  1040  1013  1051 0.86 | transcript=PVPAM_130044500_t1 | gene=PVPAM_130044500 | organism=Plasmodium_vivax_PAM | gene_product=conserved Plasmodium protein, unknown function | transcript_product=conserved Plasmodium protein, unknown function | location=CASCJQ010000013:1711656-1718369(+) | protein_length=2086 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7722943.1         -           2086 1125at5820           -            967         0 1227.6 195.8   9  14   2.5e-59   1.6e-55  187.0  13.9   311   413  1088  1190  1069  1199 0.90 | transcript=PVPAM_130044500_t1 | gene=PVPAM_130044500 | organism=Plasmodium_vivax_PAM | gene_product=conserved Plasmodium protein, unknown function | transcript_product=conserved Plasmodium protein, unknown function | location=CASCJQ010000013:1711656-1718369(+) | protein_length=2086 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7722943.1         -           2086 1125at5820           -            967         0 1227.6 195.8  10  14   7.7e-07     0.005   13.2   1.0   415   450  1281  1317  1270  1327 0.79 | transcript=PVPAM_130044500_t1 | gene=PVPAM_130044500 | organism=Plasmodium_vivax_PAM | gene_product=conserved Plasmodium protein, unknown function | transcript_product=conserved Plasmodium protein, unknown function | location=CASCJQ010000013:1711656-1718369(+) | protein_length=2086 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7722943.1         -           2086 1125at5820           -            967         0 1227.6 195.8  11  14   1.4e-25   9.1e-22   75.3   0.0   441   498  1374  1432  1369  1435 0.94 | transcript=PVPAM_130044500_t1 | gene=PVPAM_130044500 | organism=Plasmodium_vivax_PAM | gene_product=conserved Plasmodium protein, unknown function | transcript_product=conserved Plasmodium protein, unknown function | location=CASCJQ010000013:1711656-1718369(+) | protein_length=2086 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
