#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
CAI7721417.1         -           1636 1628at5820           -           1124         0 1869.3 139.6   1   8   2.9e-28   2.7e-25   87.0  19.4     5   103    94   222    91   225 0.81 | transcript=PVPAM_110032000_t1 | gene=PVPAM_110032000 | organism=Plasmodium_vivax_PAM | gene_product=RAP protein, putative | transcript_product=RAP protein, putative | location=CASCJQ010000011:1169221-1174642(-) | protein_length=1636 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7721417.1         -           1636 1628at5820           -           1124         0 1869.3 139.6   2   8   2.8e-09   2.6e-06   24.2   0.1   102   130   256   284   252   289 0.91 | transcript=PVPAM_110032000_t1 | gene=PVPAM_110032000 | organism=Plasmodium_vivax_PAM | gene_product=RAP protein, putative | transcript_product=RAP protein, putative | location=CASCJQ010000011:1169221-1174642(-) | protein_length=1636 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7721417.1         -           1636 1628at5820           -           1124         0 1869.3 139.6   3   8   7.9e-08   7.3e-05   19.4   0.0   127   182   308   390   303   407 0.74 | transcript=PVPAM_110032000_t1 | gene=PVPAM_110032000 | organism=Plasmodium_vivax_PAM | gene_product=RAP protein, putative | transcript_product=RAP protein, putative | location=CASCJQ010000011:1169221-1174642(-) | protein_length=1636 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7721417.1         -           1636 1628at5820           -           1124         0 1869.3 139.6   4   8  6.4e-270  5.9e-267  887.3  53.6   158   631   425   907   412   910 0.98 | transcript=PVPAM_110032000_t1 | gene=PVPAM_110032000 | organism=Plasmodium_vivax_PAM | gene_product=RAP protein, putative | transcript_product=RAP protein, putative | location=CASCJQ010000011:1169221-1174642(-) | protein_length=1636 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7721417.1         -           1636 1628at5820           -           1124         0 1869.3 139.6   5   8   7.7e-73   7.1e-70  234.6   4.7   632   762   952  1091   950  1095 0.93 | transcript=PVPAM_110032000_t1 | gene=PVPAM_110032000 | organism=Plasmodium_vivax_PAM | gene_product=RAP protein, putative | transcript_product=RAP protein, putative | location=CASCJQ010000011:1169221-1174642(-) | protein_length=1636 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7721417.1         -           1636 1628at5820           -           1124         0 1869.3 139.6   6   8   1.6e-50   1.5e-47  160.7   0.6   762   847  1186  1271  1175  1273 0.96 | transcript=PVPAM_110032000_t1 | gene=PVPAM_110032000 | organism=Plasmodium_vivax_PAM | gene_product=RAP protein, putative | transcript_product=RAP protein, putative | location=CASCJQ010000011:1169221-1174642(-) | protein_length=1636 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7721417.1         -           1636 1628at5820           -           1124         0 1869.3 139.6   7   8   7.2e-55   6.7e-52  175.1   8.3   840   958  1305  1428  1294  1439 0.92 | transcript=PVPAM_110032000_t1 | gene=PVPAM_110032000 | organism=Plasmodium_vivax_PAM | gene_product=RAP protein, putative | transcript_product=RAP protein, putative | location=CASCJQ010000011:1169221-1174642(-) | protein_length=1636 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7721417.1         -           1636 1628at5820           -           1124         0 1869.3 139.6   8   8   2.8e-95   2.6e-92  308.9   9.4   954  1124  1454  1636  1448  1636 0.93 | transcript=PVPAM_110032000_t1 | gene=PVPAM_110032000 | organism=Plasmodium_vivax_PAM | gene_product=RAP protein, putative | transcript_product=RAP protein, putative | location=CASCJQ010000011:1169221-1174642(-) | protein_length=1636 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7720184.1         -            631 1628at5820           -           1124   8.5e-13   45.6  15.3   1   3   1.8e-10   1.7e-07   28.1   0.5   344   430   241   328   234   333 0.91 | transcript=PVPAM_080040600_t1 | gene=PVPAM_080040600 | organism=Plasmodium_vivax_PAM | gene_product=heptatricopeptide repeat-containing protein, putative | transcript_product=heptatricopeptide repeat-containing protein, putative | location=CASCJQ010000008:1578300-1580195(+) | protein_length=631 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7720184.1         -            631 1628at5820           -           1124   8.5e-13   45.6  15.3   2   3   7.7e-08   7.1e-05   19.4   0.4   469   579   330   438   322   467 0.85 | transcript=PVPAM_080040600_t1 | gene=PVPAM_080040600 | organism=Plasmodium_vivax_PAM | gene_product=heptatricopeptide repeat-containing protein, putative | transcript_product=heptatricopeptide repeat-containing protein, putative | location=CASCJQ010000008:1578300-1580195(+) | protein_length=631 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7720184.1         -            631 1628at5820           -           1124   8.5e-13   45.6  15.3   3   3   0.00013      0.12    8.7   5.0   455   551   427   522   427   555 0.81 | transcript=PVPAM_080040600_t1 | gene=PVPAM_080040600 | organism=Plasmodium_vivax_PAM | gene_product=heptatricopeptide repeat-containing protein, putative | transcript_product=heptatricopeptide repeat-containing protein, putative | location=CASCJQ010000008:1578300-1580195(+) | protein_length=631 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
