#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
CAI7720087.1         -            327 9313at5820           -            273  1.6e-127  422.9   8.4   1   1    9e-130    2e-127  422.6   8.4     1   272     1   308     1   315 0.91 | transcript=PVPAM_080030900_t1 | gene=PVPAM_080030900 | organism=Plasmodium_vivax_PAM | gene_product=pseudo protein kinase 1, putative | transcript_product=pseudo protein kinase 1, putative | location=CASCJQ010000008:1179205-1180522(-) | protein_length=327 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7722902.1         -            284 9313at5820           -            273   8.3e-28   95.9  11.7   1   1   4.2e-30   9.4e-28   95.7  11.7    21   255    40   283    11   284 0.86 | transcript=PVPAM_130040400_t1 | gene=PVPAM_130040400 | organism=Plasmodium_vivax_PAM | gene_product=calcium-dependent protein kinase, putative | transcript_product=calcium-dependent protein kinase, putative | location=CASCJQ010000013:1566035-1568262(-) | protein_length=284 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7720511.1         -           1622 9313at5820           -            273   6.7e-19   66.7   4.0   1   1   7.1e-21   1.6e-18   65.5   4.0    40   252  1210  1436  1194  1448 0.77 | transcript=PVPAM_090027600_t1 | gene=PVPAM_090027600 | organism=Plasmodium_vivax_PAM | gene_product=calcium-dependent protein kinase 6, putative | transcript_product=calcium-dependent protein kinase 6, putative | location=CASCJQ010000009:1029730-1035568(+) | protein_length=1622 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7721976.1         -            563 9313at5820           -            273   4.2e-17   60.8  11.3   1   1   3.1e-19     7e-17   60.0  11.3    33   260   141   388   125   401 0.77 | transcript=PVPAM_120021400_t1 | gene=PVPAM_120021400 | organism=Plasmodium_vivax_PAM | gene_product=calcium-dependent protein kinase 5, putative | transcript_product=calcium-dependent protein kinase 5, putative | location=CASCJQ010000012:689468-691159(+) | protein_length=563 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7720514.1         -           1958 9313at5820           -            273   6.5e-17   60.2   5.5   1   1   6.7e-19   1.5e-16   59.0   5.5    33   261  1532  1772  1517  1786 0.81 | transcript=PVPAM_090027900_t1 | gene=PVPAM_090027900 | organism=Plasmodium_vivax_PAM | gene_product=calcium-dependent protein kinase 7, putative | transcript_product=calcium-dependent protein kinase 7, putative | location=CASCJQ010000009:1066933-1072968(+) | protein_length=1958 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7720204.1         -            604 9313at5820           -            273   2.8e-16   58.1   0.2   1   1   2.1e-18   4.6e-16   57.4   0.2    51   253   203   417   173   423 0.75 | transcript=PVPAM_080042600_t1 | gene=PVPAM_080042600 | organism=Plasmodium_vivax_PAM | gene_product=calcium-dependent protein kinase 3, putative | transcript_product=calcium-dependent protein kinase 3, putative | location=CASCJQ010000008:1669784-1672716(-) | protein_length=604 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7720875.1         -            288 9313at5820           -            273     8e-16   56.6   0.5   1   1   4.5e-18   9.9e-16   56.3   0.5    76   254    84   272    30   284 0.83 | transcript=PVPAM_100014300_t1 | gene=PVPAM_100014300 | organism=Plasmodium_vivax_PAM | gene_product=NIMA related kinase 2, putative | transcript_product=NIMA related kinase 2, putative | location=CASCJQ010000010:406454-408600(-) | protein_length=288 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7718179.1         -            529 9313at5820           -            273   1.5e-14   52.4   7.7   1   1     1e-16   2.3e-14   51.8   7.7    36   253   103   331    67   351 0.79 | transcript=PVPAM_030017900_t1 | gene=PVPAM_030017900 | organism=Plasmodium_vivax_PAM | gene_product=calcium-dependent protein kinase 4, putative | transcript_product=calcium-dependent protein kinase 4, putative | location=CASCJQ010000003:539734-541488(+) | protein_length=529 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7722343.1         -            861 9313at5820           -            273   3.2e-14   51.3  10.9   1   1   2.5e-16   5.5e-14   50.5  10.9    42   259   515   742   470   753 0.80 | transcript=PVPAM_120057900_t1 | gene=PVPAM_120057900 | organism=Plasmodium_vivax_PAM | gene_product=SNF1-related serine/threonine protein kinase KIN, putative | transcript_product=SNF1-related serine/threonine protein kinase KIN, putative | location=CASCJQ010000012:2138523-2141108(-) | protein_length=861 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7723804.1         -            755 9313at5820           -            273   3.9e-14   51.0   0.8   1   1     4e-16   8.8e-14   49.9   0.8    27   254   453   689   440   701 0.76 | transcript=PVPAM_140072700_t1 | gene=PVPAM_140072700 | organism=Plasmodium_vivax_PAM | gene_product=rac-beta serine/threonine protein kinase, putative | transcript_product=rac-beta serine/threonine protein kinase, putative | location=CASCJQ010000014:2870308-2872708(-) | protein_length=755 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7722386.1         -            377 9313at5820           -            273   1.7e-13   48.9   7.3   1   1   7.8e-16   1.7e-13   48.9   7.3    28   255    71   313    50   328 0.73 | transcript=PVPAM_120062200_t1 | gene=PVPAM_120062200 | organism=Plasmodium_vivax_PAM | gene_product=protein kinase, putative | transcript_product=protein kinase, putative | location=CASCJQ010000012:2325953-2328570(-) | protein_length=377 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
