#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
CAI7723587.1         -            110 14892at5820          -             86   8.1e-60  197.7   1.7   1   1   4.4e-62   9.5e-60  197.5   1.7     1    86    20   105    20   105 0.99 | transcript=PVPAM_140051100_t1 | gene=PVPAM_140051100 | organism=Plasmodium_vivax_PAM | gene_product=splicing factor 3B subunit 6, putative | transcript_product=splicing factor 3B subunit 6, putative | location=CASCJQ010000014:1989748-1990335(-) | protein_length=110 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7723581.1         -            883 14892at5820          -             86   4.2e-14   51.2   1.2   1   4   3.9e-06   0.00085   18.2   0.0     6    61    27    85    22   100 0.82 | transcript=PVPAM_140050500_t1 | gene=PVPAM_140050500 | organism=Plasmodium_vivax_PAM | gene_product=polyadenylate-binding protein 1, putative | transcript_product=polyadenylate-binding protein 1, putative | location=CASCJQ010000014:1969494-1972145(+) | protein_length=883 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7723581.1         -            883 14892at5820          -             86   4.2e-14   51.2   1.2   2   4   0.00022     0.048   12.6   0.1     1    64   110   175   110   188 0.83 | transcript=PVPAM_140050500_t1 | gene=PVPAM_140050500 | organism=Plasmodium_vivax_PAM | gene_product=polyadenylate-binding protein 1, putative | transcript_product=polyadenylate-binding protein 1, putative | location=CASCJQ010000014:1969494-1972145(+) | protein_length=883 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7723581.1         -            883 14892at5820          -             86   4.2e-14   51.2   1.2   3   4    0.0014       0.3   10.0   0.0     1    60   199   258   199   274 0.82 | transcript=PVPAM_140050500_t1 | gene=PVPAM_140050500 | organism=Plasmodium_vivax_PAM | gene_product=polyadenylate-binding protein 1, putative | transcript_product=polyadenylate-binding protein 1, putative | location=CASCJQ010000014:1969494-1972145(+) | protein_length=883 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7723581.1         -            883 14892at5820          -             86   4.2e-14   51.2   1.2   4   4     0.029       6.3    5.8   0.0     2    54   456   510   455   538 0.77 | transcript=PVPAM_140050500_t1 | gene=PVPAM_140050500 | organism=Plasmodium_vivax_PAM | gene_product=polyadenylate-binding protein 1, putative | transcript_product=polyadenylate-binding protein 1, putative | location=CASCJQ010000014:1969494-1972145(+) | protein_length=883 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7718792.1         -            292 14892at5820          -             86   1.5e-09   36.7   0.1   1   2   6.6e-05     0.014   14.3   0.0     2    63    14    80    13    97 0.80 | transcript=PVPAM_050018600_t1 | gene=PVPAM_050018600 | organism=Plasmodium_vivax_PAM | gene_product=RNA-binding protein, putative | transcript_product=RNA-binding protein, putative | location=CASCJQ010000005:612140-613354(+) | protein_length=292 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7718792.1         -            292 14892at5820          -             86   1.5e-09   36.7   0.1   2   2   9.4e-07    0.0002   20.2   0.0     2    65   162   227   161   234 0.84 | transcript=PVPAM_050018600_t1 | gene=PVPAM_050018600 | organism=Plasmodium_vivax_PAM | gene_product=RNA-binding protein, putative | transcript_product=RNA-binding protein, putative | location=CASCJQ010000005:612140-613354(+) | protein_length=292 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7721248.1         -            392 14892at5820          -             86   2.2e-09   36.1   3.3   1   4       2.6   5.6e+02   -0.4   0.0    36    65    57    86    26    94 0.78 | transcript=PVPAM_110015000_t1 | gene=PVPAM_110015000 | organism=Plasmodium_vivax_PAM | gene_product=RNA-binding protein, putative | transcript_product=RNA-binding protein, putative | location=CASCJQ010000011:398694-401365(+) | protein_length=392 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7721248.1         -            392 14892at5820          -             86   2.2e-09   36.1   3.3   2   4       2.2   4.7e+02   -0.2   0.0    21    40   105   124    85   131 0.78 | transcript=PVPAM_110015000_t1 | gene=PVPAM_110015000 | organism=Plasmodium_vivax_PAM | gene_product=RNA-binding protein, putative | transcript_product=RNA-binding protein, putative | location=CASCJQ010000011:398694-401365(+) | protein_length=392 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7721248.1         -            392 14892at5820          -             86   2.2e-09   36.1   3.3   3   4   2.7e-06   0.00058   18.7   0.1     5    79   128   205   124   208 0.84 | transcript=PVPAM_110015000_t1 | gene=PVPAM_110015000 | organism=Plasmodium_vivax_PAM | gene_product=RNA-binding protein, putative | transcript_product=RNA-binding protein, putative | location=CASCJQ010000011:398694-401365(+) | protein_length=392 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7721248.1         -            392 14892at5820          -             86   2.2e-09   36.1   3.3   4   4   3.7e-05    0.0079   15.1   0.1     2    65   216   281   215   286 0.86 | transcript=PVPAM_110015000_t1 | gene=PVPAM_110015000 | organism=Plasmodium_vivax_PAM | gene_product=RNA-binding protein, putative | transcript_product=RNA-binding protein, putative | location=CASCJQ010000011:398694-401365(+) | protein_length=392 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
