#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
CAI7720327.1         -           3449 198at5820            -           1815         0 3077.9 199.8   1  11  2.8e-129    9e-126  419.4  16.9     1   248     1   257     1   267 0.90 | transcript=PVPAM_090009300_t1 | gene=PVPAM_090009300 | organism=Plasmodium_vivax_PAM | gene_product=CCR4-NOT transcription complex subunit NOT1-G, putative | transcript_product=CCR4-NOT transcription complex subunit NOT1-G, putative | location=CASCJQ010000009:286089-296438(+) | protein_length=3449 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7720327.1         -           3449 198at5820            -           1815         0 3077.9 199.8   2  11   0.00046       1.5    4.2  19.6   211   302   258   353   244   385 0.60 | transcript=PVPAM_090009300_t1 | gene=PVPAM_090009300 | organism=Plasmodium_vivax_PAM | gene_product=CCR4-NOT transcription complex subunit NOT1-G, putative | transcript_product=CCR4-NOT transcription complex subunit NOT1-G, putative | location=CASCJQ010000009:286089-296438(+) | protein_length=3449 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7720327.1         -           3449 198at5820            -           1815         0 3077.9 199.8   3  11     0.031     1e+02   -1.8  11.9   199   302   377   495   366   512 0.57 | transcript=PVPAM_090009300_t1 | gene=PVPAM_090009300 | organism=Plasmodium_vivax_PAM | gene_product=CCR4-NOT transcription complex subunit NOT1-G, putative | transcript_product=CCR4-NOT transcription complex subunit NOT1-G, putative | location=CASCJQ010000009:286089-296438(+) | protein_length=3449 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7720327.1         -           3449 198at5820            -           1815         0 3077.9 199.8   4  11  3.5e-187  1.1e-183  611.4  11.5   309   620   572   888   555   900 0.92 | transcript=PVPAM_090009300_t1 | gene=PVPAM_090009300 | organism=Plasmodium_vivax_PAM | gene_product=CCR4-NOT transcription complex subunit NOT1-G, putative | transcript_product=CCR4-NOT transcription complex subunit NOT1-G, putative | location=CASCJQ010000009:286089-296438(+) | protein_length=3449 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7720327.1         -           3449 198at5820            -           1815         0 3077.9 199.8   5  11   1.8e-14   5.7e-11   38.8   0.2   580   660   909   996   894  1015 0.74 | transcript=PVPAM_090009300_t1 | gene=PVPAM_090009300 | organism=Plasmodium_vivax_PAM | gene_product=CCR4-NOT transcription complex subunit NOT1-G, putative | transcript_product=CCR4-NOT transcription complex subunit NOT1-G, putative | location=CASCJQ010000009:286089-296438(+) | protein_length=3449 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7720327.1         -           3449 198at5820            -           1815         0 3077.9 199.8   6  11  5.5e-146  1.8e-142  474.8  11.3   642   903  1097  1358  1080  1380 0.95 | transcript=PVPAM_090009300_t1 | gene=PVPAM_090009300 | organism=Plasmodium_vivax_PAM | gene_product=CCR4-NOT transcription complex subunit NOT1-G, putative | transcript_product=CCR4-NOT transcription complex subunit NOT1-G, putative | location=CASCJQ010000009:286089-296438(+) | protein_length=3449 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7720327.1         -           3449 198at5820            -           1815         0 3077.9 199.8   7  11   2.2e-69   7.1e-66  220.8   2.8   902  1033  1461  1609  1454  1615 0.92 | transcript=PVPAM_090009300_t1 | gene=PVPAM_090009300 | organism=Plasmodium_vivax_PAM | gene_product=CCR4-NOT transcription complex subunit NOT1-G, putative | transcript_product=CCR4-NOT transcription complex subunit NOT1-G, putative | location=CASCJQ010000009:286089-296438(+) | protein_length=3449 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7720327.1         -           3449 198at5820            -           1815         0 3077.9 199.8   8  11   3.4e-45   1.1e-41  140.6   6.2  1031  1155  1677  1817  1662  1826 0.88 | transcript=PVPAM_090009300_t1 | gene=PVPAM_090009300 | organism=Plasmodium_vivax_PAM | gene_product=CCR4-NOT transcription complex subunit NOT1-G, putative | transcript_product=CCR4-NOT transcription complex subunit NOT1-G, putative | location=CASCJQ010000009:286089-296438(+) | protein_length=3449 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7720327.1         -           3449 198at5820            -           1815         0 3077.9 199.8   9  11   2.9e-74   9.2e-71  237.0   7.5  1147  1280  2015  2149  1942  2174 0.88 | transcript=PVPAM_090009300_t1 | gene=PVPAM_090009300 | organism=Plasmodium_vivax_PAM | gene_product=CCR4-NOT transcription complex subunit NOT1-G, putative | transcript_product=CCR4-NOT transcription complex subunit NOT1-G, putative | location=CASCJQ010000009:286089-296438(+) | protein_length=3449 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7720327.1         -           3449 198at5820            -           1815         0 3077.9 199.8  10  11     1e-11   3.3e-08   29.6   7.5  1282  1355  2291  2376  2281  2382 0.76 | transcript=PVPAM_090009300_t1 | gene=PVPAM_090009300 | organism=Plasmodium_vivax_PAM | gene_product=CCR4-NOT transcription complex subunit NOT1-G, putative | transcript_product=CCR4-NOT transcription complex subunit NOT1-G, putative | location=CASCJQ010000009:286089-296438(+) | protein_length=3449 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7720327.1         -           3449 198at5820            -           1815         0 3077.9 199.8  11  11  1.6e-290  5.1e-287  954.0  38.7  1351  1789  2682  3120  2670  3124 0.99 | transcript=PVPAM_090009300_t1 | gene=PVPAM_090009300 | organism=Plasmodium_vivax_PAM | gene_product=CCR4-NOT transcription complex subunit NOT1-G, putative | transcript_product=CCR4-NOT transcription complex subunit NOT1-G, putative | location=CASCJQ010000009:286089-296438(+) | protein_length=3449 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
