#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
CAI7720083.1         -           2570 551at5820            -           1377         0 1923.8 205.0   1  11   2.8e-09   4.5e-06   23.0   0.1    16    41   143   168   135   183 0.85 | transcript=PVPAM_080030500_t1 | gene=PVPAM_080030500 | organism=Plasmodium_vivax_PAM | gene_product=WD repeat-containing protein, putative | transcript_product=WD repeat-containing protein, putative | location=CASCJQ010000008:1153973-1161685(-) | protein_length=2570 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7720083.1         -           2570 551at5820            -           1377         0 1923.8 205.0   2  11  8.4e-262  1.4e-258  859.7  46.0    46   524   402   927   396   932 0.93 | transcript=PVPAM_080030500_t1 | gene=PVPAM_080030500 | organism=Plasmodium_vivax_PAM | gene_product=WD repeat-containing protein, putative | transcript_product=WD repeat-containing protein, putative | location=CASCJQ010000008:1153973-1161685(-) | protein_length=2570 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7720083.1         -           2570 551at5820            -           1377         0 1923.8 205.0   3  11   1.3e-16   2.1e-13   47.3   1.4   522   559   954   991   945  1007 0.90 | transcript=PVPAM_080030500_t1 | gene=PVPAM_080030500 | organism=Plasmodium_vivax_PAM | gene_product=WD repeat-containing protein, putative | transcript_product=WD repeat-containing protein, putative | location=CASCJQ010000008:1153973-1161685(-) | protein_length=2570 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7720083.1         -           2570 551at5820            -           1377         0 1923.8 205.0   4  11  8.7e-126  1.4e-122  409.0  15.7   569   779  1108  1322  1078  1342 0.95 | transcript=PVPAM_080030500_t1 | gene=PVPAM_080030500 | organism=Plasmodium_vivax_PAM | gene_product=WD repeat-containing protein, putative | transcript_product=WD repeat-containing protein, putative | location=CASCJQ010000008:1153973-1161685(-) | protein_length=2570 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7720083.1         -           2570 551at5820            -           1377         0 1923.8 205.0   5  11   7.9e-12   1.3e-08   31.4   5.4   774   816  1423  1466  1421  1483 0.83 | transcript=PVPAM_080030500_t1 | gene=PVPAM_080030500 | organism=Plasmodium_vivax_PAM | gene_product=WD repeat-containing protein, putative | transcript_product=WD repeat-containing protein, putative | location=CASCJQ010000008:1153973-1161685(-) | protein_length=2570 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7720083.1         -           2570 551at5820            -           1377         0 1923.8 205.0   6  11   3.5e-18   5.7e-15   52.5   6.2   810   878  1490  1567  1479  1588 0.81 | transcript=PVPAM_080030500_t1 | gene=PVPAM_080030500 | organism=Plasmodium_vivax_PAM | gene_product=WD repeat-containing protein, putative | transcript_product=WD repeat-containing protein, putative | location=CASCJQ010000008:1153973-1161685(-) | protein_length=2570 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7720083.1         -           2570 551at5820            -           1377         0 1923.8 205.0   7  11   7.2e-12   1.2e-08   31.6   1.4   883   933  1689  1739  1677  1753 0.82 | transcript=PVPAM_080030500_t1 | gene=PVPAM_080030500 | organism=Plasmodium_vivax_PAM | gene_product=WD repeat-containing protein, putative | transcript_product=WD repeat-containing protein, putative | location=CASCJQ010000008:1153973-1161685(-) | protein_length=2570 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7720083.1         -           2570 551at5820            -           1377         0 1923.8 205.0   8  11   6.2e-39     1e-35  121.2   0.0   931  1030  1844  1944  1812  1950 0.91 | transcript=PVPAM_080030500_t1 | gene=PVPAM_080030500 | organism=Plasmodium_vivax_PAM | gene_product=WD repeat-containing protein, putative | transcript_product=WD repeat-containing protein, putative | location=CASCJQ010000008:1153973-1161685(-) | protein_length=2570 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7720083.1         -           2570 551at5820            -           1377         0 1923.8 205.0   9  11   1.5e-10   2.5e-07   27.2   0.0  1039  1082  2086  2131  2081  2135 0.88 | transcript=PVPAM_080030500_t1 | gene=PVPAM_080030500 | organism=Plasmodium_vivax_PAM | gene_product=WD repeat-containing protein, putative | transcript_product=WD repeat-containing protein, putative | location=CASCJQ010000008:1153973-1161685(-) | protein_length=2570 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7720083.1         -           2570 551at5820            -           1377         0 1923.8 205.0  10  11   3.7e-84     6e-81  271.1  16.5  1079  1248  2163  2334  2157  2367 0.92 | transcript=PVPAM_080030500_t1 | gene=PVPAM_080030500 | organism=Plasmodium_vivax_PAM | gene_product=WD repeat-containing protein, putative | transcript_product=WD repeat-containing protein, putative | location=CASCJQ010000008:1153973-1161685(-) | protein_length=2570 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7720083.1         -           2570 551at5820            -           1377         0 1923.8 205.0  11  11   1.3e-24   2.2e-21   73.7  58.5  1242  1376  2370  2566  2337  2567 0.68 | transcript=PVPAM_080030500_t1 | gene=PVPAM_080030500 | organism=Plasmodium_vivax_PAM | gene_product=WD repeat-containing protein, putative | transcript_product=WD repeat-containing protein, putative | location=CASCJQ010000008:1153973-1161685(-) | protein_length=2570 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
