#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
CAI7722983.1         -           1017 2610at5820           -            719         0 1123.9  41.7   1   5     2e-18   4.3e-15   53.6   0.0     5    64    19    91    15    98 0.82 | transcript=PVPAM_130048900_t1 | gene=PVPAM_130048900 | organism=Plasmodium_vivax_PAM | gene_product=ATP-dependent protease, putative | transcript_product=ATP-dependent protease, putative | location=CASCJQ010000013:1928331-1931384(+) | protein_length=1017 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7722983.1         -           1017 2610at5820           -            719         0 1123.9  41.7   2   5   8.9e-07    0.0019   15.1   0.0    62    93   114   146   106   149 0.91 | transcript=PVPAM_130048900_t1 | gene=PVPAM_130048900 | organism=Plasmodium_vivax_PAM | gene_product=ATP-dependent protease, putative | transcript_product=ATP-dependent protease, putative | location=CASCJQ010000013:1928331-1931384(+) | protein_length=1017 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7722983.1         -           1017 2610at5820           -            719         0 1123.9  41.7   3   5  1.7e-232  3.6e-229  761.3  29.4    90   550   196   691   193   700 0.93 | transcript=PVPAM_130048900_t1 | gene=PVPAM_130048900 | organism=Plasmodium_vivax_PAM | gene_product=ATP-dependent protease, putative | transcript_product=ATP-dependent protease, putative | location=CASCJQ010000013:1928331-1931384(+) | protein_length=1017 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7722983.1         -           1017 2610at5820           -            719         0 1123.9  41.7   4   5     6e-09   1.3e-05   22.3   0.0   547   572   719   744   710   759 0.89 | transcript=PVPAM_130048900_t1 | gene=PVPAM_130048900 | organism=Plasmodium_vivax_PAM | gene_product=ATP-dependent protease, putative | transcript_product=ATP-dependent protease, putative | location=CASCJQ010000013:1928331-1931384(+) | protein_length=1017 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7722983.1         -           1017 2610at5820           -            719         0 1123.9  41.7   5   5   7.4e-86   1.6e-82  276.5   0.3   572   719   862  1009   859  1009 0.99 | transcript=PVPAM_130048900_t1 | gene=PVPAM_130048900 | organism=Plasmodium_vivax_PAM | gene_product=ATP-dependent protease, putative | transcript_product=ATP-dependent protease, putative | location=CASCJQ010000013:1928331-1931384(+) | protein_length=1017 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7717729.1         -           1089 2610at5820           -            719   2.8e-08   31.1   0.8   1   2   5.5e-08   0.00012   19.1   0.2   315   410   496   583   463   592 0.71 | transcript=PVPAM_010024300_t1 | gene=PVPAM_010024300 | organism=Plasmodium_vivax_PAM | gene_product=AAA family ATPase, CDC48 subfamily, putative | transcript_product=AAA family ATPase, CDC48 subfamily, putative | location=CASCJQ010000001:887950-891219(-) | protein_length=1089 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7717729.1         -           1089 2610at5820           -            719   2.8e-08   31.1   0.8   2   2   2.8e-05     0.061   10.1   0.0   306   357   807   858   794   988 0.84 | transcript=PVPAM_010024300_t1 | gene=PVPAM_010024300 | organism=Plasmodium_vivax_PAM | gene_product=AAA family ATPase, CDC48 subfamily, putative | transcript_product=AAA family ATPase, CDC48 subfamily, putative | location=CASCJQ010000001:887950-891219(-) | protein_length=1089 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7720679.1         -            627 2610at5820           -            719   3.4e-05   20.9   2.3   1   2     5e-08   0.00011   19.2   0.2   301   355   309   371   304   423 0.78 | transcript=PVPAM_090044400_t1 | gene=PVPAM_090044400 | organism=Plasmodium_vivax_PAM | gene_product=AAA family ATPase, putative | transcript_product=AAA family ATPase, putative | location=CASCJQ010000009:1776366-1779201(-) | protein_length=627 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7720679.1         -            627 2610at5820           -            719   3.4e-05   20.9   2.3   2   2     0.014        31    1.2   0.1   442   489   468   516   454   525 0.88 | transcript=PVPAM_090044400_t1 | gene=PVPAM_090044400 | organism=Plasmodium_vivax_PAM | gene_product=AAA family ATPase, putative | transcript_product=AAA family ATPase, putative | location=CASCJQ010000009:1776366-1779201(-) | protein_length=627 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/2610at5820.hmm
# Target file:     /v3/inputs/annotations/plasmodb-68/PAM.proteins.fa
# Option settings: hmmsearch --domtblout /v3/work/00_inventory/busco/PAM_proteins/run_plasmodium_odb10/hmmer_output/initial_run_results/2610at5820.out --cpu 1 /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/2610at5820.hmm /v3/inputs/annotations/plasmodb-68/PAM.proteins.fa 
# Current dir:     /v3/work/00_inventory/busco
# Date:            Tue May 19 17:36:53 2026
# [ok]
