#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
CAI7722835.1         -            791 4413at5820           -            552  3.1e-277  919.2  46.6   1   4   6.2e-65   5.7e-62  208.6  13.7     2   147     9   171     5   198 0.87 | transcript=PVPAM_130033700_t1 | gene=PVPAM_130033700 | organism=Plasmodium_vivax_PAM | gene_product=large subunit GTPase 1, putative | transcript_product=large subunit GTPase 1, putative | location=CASCJQ010000013:1306054-1308591(-) | protein_length=791 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7722835.1         -            791 4413at5820           -            552  3.1e-277  919.2  46.6   2   4   2.5e-92   2.4e-89  299.0   9.6   144   302   277   438   264   442 0.95 | transcript=PVPAM_130033700_t1 | gene=PVPAM_130033700 | organism=Plasmodium_vivax_PAM | gene_product=large subunit GTPase 1, putative | transcript_product=large subunit GTPase 1, putative | location=CASCJQ010000013:1306054-1308591(-) | protein_length=791 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7722835.1         -            791 4413at5820           -            552  3.1e-277  919.2  46.6   3   4  7.1e-123  6.5e-120  399.9   3.8   303   526   492   736   484   740 0.91 | transcript=PVPAM_130033700_t1 | gene=PVPAM_130033700 | organism=Plasmodium_vivax_PAM | gene_product=large subunit GTPase 1, putative | transcript_product=large subunit GTPase 1, putative | location=CASCJQ010000013:1306054-1308591(-) | protein_length=791 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7722835.1         -            791 4413at5820           -            552  3.1e-277  919.2  46.6   4   4   6.8e-09   6.3e-06   23.6   0.1   527   552   763   788   755   788 0.94 | transcript=PVPAM_130033700_t1 | gene=PVPAM_130033700 | organism=Plasmodium_vivax_PAM | gene_product=large subunit GTPase 1, putative | transcript_product=large subunit GTPase 1, putative | location=CASCJQ010000013:1306054-1308591(-) | protein_length=791 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7722908.1         -            518 4413at5820           -            552   4.7e-24   83.5  18.9   1   3      0.35   3.3e+02   -1.8   1.5   137   171    29    63     4    85 0.65 | transcript=PVPAM_130041000_t1 | gene=PVPAM_130041000 | organism=Plasmodium_vivax_PAM | gene_product=nucleolar GTP-binding protein 2, putative | transcript_product=nucleolar GTP-binding protein 2, putative | location=CASCJQ010000013:1597635-1599191(+) | protein_length=518 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7722908.1         -            518 4413at5820           -            552   4.7e-24   83.5  18.9   2   3   4.7e-12   4.3e-09   34.1   3.7   138   290   128   295   108   311 0.67 | transcript=PVPAM_130041000_t1 | gene=PVPAM_130041000 | organism=Plasmodium_vivax_PAM | gene_product=nucleolar GTP-binding protein 2, putative | transcript_product=nucleolar GTP-binding protein 2, putative | location=CASCJQ010000013:1597635-1599191(+) | protein_length=518 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7722908.1         -            518 4413at5820           -            552   4.7e-24   83.5  18.9   3   3   5.8e-20   5.4e-17   60.2   0.6   359   519   319   475   297   480 0.86 | transcript=PVPAM_130041000_t1 | gene=PVPAM_130041000 | organism=Plasmodium_vivax_PAM | gene_product=nucleolar GTP-binding protein 2, putative | transcript_product=nucleolar GTP-binding protein 2, putative | location=CASCJQ010000013:1597635-1599191(+) | protein_length=518 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7718148.1         -            780 4413at5820           -            552   6.3e-09   33.5   0.4   1   1   1.4e-11   1.3e-08   32.5   0.4   322   419   511   603   398   620 0.79 | transcript=PVPAM_030014600_t1 | gene=PVPAM_030014600 | organism=Plasmodium_vivax_PAM | gene_product=ribosome biogenesis GTPase A, putative | transcript_product=ribosome biogenesis GTPase A, putative | location=CASCJQ010000003:419503-421845(-) | protein_length=780 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7720847.1         -            533 4413at5820           -            552   9.1e-09   33.0   1.5   1   3         7   6.5e+03   -6.3   3.3    70    79    33    42     8    79 0.48 | transcript=PVPAM_100011300_t1 | gene=PVPAM_100011300 | organism=Plasmodium_vivax_PAM | gene_product=nuclear GTP-binding protein, putative | transcript_product=nuclear GTP-binding protein, putative | location=CASCJQ010000010:293170-294771(+) | protein_length=533 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7720847.1         -            533 4413at5820           -            552   9.1e-09   33.0   1.5   2   3   9.9e-12   9.1e-09   33.0   1.5   212   284   188   258   170   268 0.86 | transcript=PVPAM_100011300_t1 | gene=PVPAM_100011300 | organism=Plasmodium_vivax_PAM | gene_product=nuclear GTP-binding protein, putative | transcript_product=nuclear GTP-binding protein, putative | location=CASCJQ010000010:293170-294771(+) | protein_length=533 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7720847.1         -            533 4413at5820           -            552   9.1e-09   33.0   1.5   3   3      0.77   7.1e+02   -2.9   2.6   109   157   416   465   375   480 0.61 | transcript=PVPAM_100011300_t1 | gene=PVPAM_100011300 | organism=Plasmodium_vivax_PAM | gene_product=nuclear GTP-binding protein, putative | transcript_product=nuclear GTP-binding protein, putative | location=CASCJQ010000010:293170-294771(+) | protein_length=533 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7721000.1         -            288 4413at5820           -            552   1.6e-07   28.9   0.0   1   1   2.6e-10   2.4e-07   28.3   0.0   362   424    85   150    51   181 0.74 | transcript=PVPAM_100026900_t1 | gene=PVPAM_100026900 | organism=Plasmodium_vivax_PAM | gene_product=GTP-binding protein YihA1, putative | transcript_product=GTP-binding protein YihA1, putative | location=CASCJQ010000010:943007-945208(+) | protein_length=288 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7723516.1         -            859 4413at5820           -            552     1e-06   26.3   7.3   1   3   0.00055       0.5    7.4   0.0   362   422   277   343   267   357 0.75 | transcript=PVPAM_140044000_t1 | gene=PVPAM_140044000 | organism=Plasmodium_vivax_PAM | gene_product=GTP-binding protein EngA, putative | transcript_product=GTP-binding protein EngA, putative | location=CASCJQ010000014:1635276-1637855(+) | protein_length=859 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7723516.1         -            859 4413at5820           -            552     1e-06   26.3   7.3   2   3   2.8e-07   0.00026   18.3   0.4   340   396   535   591   521   606 0.82 | transcript=PVPAM_140044000_t1 | gene=PVPAM_140044000 | organism=Plasmodium_vivax_PAM | gene_product=GTP-binding protein EngA, putative | transcript_product=GTP-binding protein EngA, putative | location=CASCJQ010000014:1635276-1637855(+) | protein_length=859 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7723516.1         -            859 4413at5820           -            552     1e-06   26.3   7.3   3   3     0.018        17    2.4   0.9   212   270   637   692   618   758 0.82 | transcript=PVPAM_140044000_t1 | gene=PVPAM_140044000 | organism=Plasmodium_vivax_PAM | gene_product=GTP-binding protein EngA, putative | transcript_product=GTP-binding protein EngA, putative | location=CASCJQ010000014:1635276-1637855(+) | protein_length=859 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7722784.1         -            417 4413at5820           -            552   0.00058   17.2   5.3   1   3   0.00048      0.44    7.6   0.3   216   264   105   153    95   178 0.82 | transcript=PVPAM_130028500_t1 | gene=PVPAM_130028500 | organism=Plasmodium_vivax_PAM | gene_product=GTP-binding protein, putative | transcript_product=GTP-binding protein, putative | location=CASCJQ010000013:1048311-1049564(-) | protein_length=417 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7722784.1         -            417 4413at5820           -            552   0.00058   17.2   5.3   2   3     5e-05     0.046   10.9   0.1   355   380   196   221   164   281 0.85 | transcript=PVPAM_130028500_t1 | gene=PVPAM_130028500 | organism=Plasmodium_vivax_PAM | gene_product=GTP-binding protein, putative | transcript_product=GTP-binding protein, putative | location=CASCJQ010000013:1048311-1049564(-) | protein_length=417 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7722784.1         -            417 4413at5820           -            552   0.00058   17.2   5.3   3   3      0.15   1.4e+02   -0.6   0.1   444   461   337   356   317   366 0.83 | transcript=PVPAM_130028500_t1 | gene=PVPAM_130028500 | organism=Plasmodium_vivax_PAM | gene_product=GTP-binding protein, putative | transcript_product=GTP-binding protein, putative | location=CASCJQ010000013:1048311-1049564(-) | protein_length=417 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/4413at5820.hmm
# Target file:     /v3/inputs/annotations/plasmodb-68/PAM.proteins.fa
# Option settings: hmmsearch --domtblout /v3/work/00_inventory/busco/PAM_proteins/run_plasmodium_odb10/hmmer_output/initial_run_results/4413at5820.out --cpu 1 /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/4413at5820.hmm /v3/inputs/annotations/plasmodb-68/PAM.proteins.fa 
# Current dir:     /v3/work/00_inventory/busco
# Date:            Tue May 19 17:41:31 2026
# [ok]
