#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
CAI7720607.1         -            543 4696at5820           -            156  5.9e-103  339.8   3.0   1   1  1.7e-105  1.1e-102  339.0   3.0     1   156    21   177    21   177 0.99 | transcript=PVPAM_090037100_t1 | gene=PVPAM_090037100 | organism=Plasmodium_vivax_PAM | gene_product=T-complex protein 1 subunit alpha, putative | transcript_product=T-complex protein 1 subunit alpha, putative | location=CASCJQ010000009:1421873-1423746(-) | protein_length=543 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7720099.1         -            535 4696at5820           -            156   5.9e-35  118.9   6.1   1   1   2.2e-37   1.4e-34  117.7   6.1     2   156    35   191    34   191 0.94 | transcript=PVPAM_080032100_t1 | gene=PVPAM_080032100 | organism=Plasmodium_vivax_PAM | gene_product=T-complex protein 1 subunit epsilon, putative | transcript_product=T-complex protein 1 subunit epsilon, putative | location=CASCJQ010000008:1235751-1237358(-) | protein_length=535 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7720221.1         -            540 4696at5820           -            156   1.5e-34  117.6   2.3   1   1   4.6e-37     3e-34  116.7   2.3     2   153    31   185    30   188 0.91 | transcript=PVPAM_080044400_t1 | gene=PVPAM_080044400 | organism=Plasmodium_vivax_PAM | gene_product=T-complex protein 1 subunit eta, putative | transcript_product=T-complex protein 1 subunit eta, putative | location=CASCJQ010000008:1728057-1729848(+) | protein_length=540 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7723633.1         -            544 4696at5820           -            156   2.6e-34  116.8   1.9   1   2   4.1e-37   2.6e-34  116.8   1.9     2   156    30   184    29   184 0.96 | transcript=PVPAM_140055700_t1 | gene=PVPAM_140055700 | organism=Plasmodium_vivax_PAM | gene_product=T-complex protein 1 subunit gamma, putative | transcript_product=T-complex protein 1 subunit gamma, putative | location=CASCJQ010000014:2189697-2191558(+) | protein_length=544 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7723633.1         -            544 4696at5820           -            156   2.6e-34  116.8   1.9   2   2       2.6   1.7e+03   -2.7   0.0    20    43   282   305   271   337 0.67 | transcript=PVPAM_140055700_t1 | gene=PVPAM_140055700 | organism=Plasmodium_vivax_PAM | gene_product=T-complex protein 1 subunit gamma, putative | transcript_product=T-complex protein 1 subunit gamma, putative | location=CASCJQ010000014:2189697-2191558(+) | protein_length=544 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7720234.1         -            532 4696at5820           -            156     1e-33  114.9   0.2   1   1   3.5e-36   2.2e-33  113.8   0.2     5   153    31   188    27   191 0.87 | transcript=PVPAM_080045700_t1 | gene=PVPAM_080045700 | organism=Plasmodium_vivax_PAM | gene_product=T-complex protein 1 subunit beta, putative | transcript_product=T-complex protein 1 subunit beta, putative | location=CASCJQ010000008:1782375-1783973(+) | protein_length=532 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7721279.1         -            529 4696at5820           -            156   3.4e-30  103.5   3.2   1   1   1.4e-32   9.1e-30  102.1   3.2     2   153    29   180    28   183 0.93 | transcript=PVPAM_110018100_t1 | gene=PVPAM_110018100 | organism=Plasmodium_vivax_PAM | gene_product=T-complex protein 1, delta subunit, putative | transcript_product=T-complex protein 1, delta subunit, putative | location=CASCJQ010000011:558026-560321(-) | protein_length=529 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7718470.1         -            544 4696at5820           -            156   8.2e-19   66.5   2.8   1   1     5e-21   3.3e-18   64.5   2.8     3   153    33   186    31   189 0.83 | transcript=PVPAM_040021600_t1 | gene=PVPAM_040021600 | organism=Plasmodium_vivax_PAM | gene_product=T-complex protein 1 subunit theta, putative | transcript_product=T-complex protein 1 subunit theta, putative | location=CASCJQ010000004:707280-709172(-) | protein_length=544 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7721544.1         -            543 4696at5820           -            156   1.3e-18   65.8   1.6   1   1   6.6e-21   4.3e-18   64.2   1.6     4   146    27   173    24   183 0.86 | transcript=PVPAM_110044900_t1 | gene=PVPAM_110044900 | organism=Plasmodium_vivax_PAM | gene_product=T-complex protein 1 subunit zeta, putative | transcript_product=T-complex protein 1 subunit zeta, putative | location=CASCJQ010000011:1669251-1671098(-) | protein_length=543 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7723660.1         -            710 4696at5820           -            156   1.3e-10   39.8   1.4   1   4       0.2   1.3e+02    0.9   0.5   100   125    49    74    44    80 0.86 | transcript=PVPAM_140058400_t1 | gene=PVPAM_140058400 | organism=Plasmodium_vivax_PAM | gene_product=60 kDa chaperonin, putative | transcript_product=60 kDa chaperonin, putative | location=CASCJQ010000014:2315160-2317685(-) | protein_length=710 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7723660.1         -            710 4696at5820           -            156   1.3e-10   39.8   1.4   2   4     2e-13   1.3e-10   39.8   1.4     5   131    89   217    85   241 0.85 | transcript=PVPAM_140058400_t1 | gene=PVPAM_140058400 | organism=Plasmodium_vivax_PAM | gene_product=60 kDa chaperonin, putative | transcript_product=60 kDa chaperonin, putative | location=CASCJQ010000014:2315160-2317685(-) | protein_length=710 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
