#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
CAI7718995.1         -           2675 270at5820            -           1986         0 3538.2 150.6   1  10   1.5e-30   1.3e-27   94.3   0.7     1    56     1    57     1    64 0.95 | transcript=PVPAM_050038700_t1 | gene=PVPAM_050038700 | organism=Plasmodium_vivax_PAM | gene_product=pre-mRNA-splicing helicase BRR2, putative | transcript_product=pre-mRNA-splicing helicase BRR2, putative | location=CASCJQ010000005:1435448-1443475(+) | protein_length=2675 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7718995.1         -           2675 270at5820            -           1986         0 3538.2 150.6   2  10   9.5e-54   7.7e-51  171.2   2.8    56   173    95   222    83   237 0.91 | transcript=PVPAM_050038700_t1 | gene=PVPAM_050038700 | organism=Plasmodium_vivax_PAM | gene_product=pre-mRNA-splicing helicase BRR2, putative | transcript_product=pre-mRNA-splicing helicase BRR2, putative | location=CASCJQ010000005:1435448-1443475(+) | protein_length=2675 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7718995.1         -           2675 270at5820            -           1986         0 3538.2 150.6   3  10   1.1e-68   9.2e-66  220.7   9.9   180   309   375   507   351   512 0.95 | transcript=PVPAM_050038700_t1 | gene=PVPAM_050038700 | organism=Plasmodium_vivax_PAM | gene_product=pre-mRNA-splicing helicase BRR2, putative | transcript_product=pre-mRNA-splicing helicase BRR2, putative | location=CASCJQ010000005:1435448-1443475(+) | protein_length=2675 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7718995.1         -           2675 270at5820            -           1986         0 3538.2 150.6   4  10  4.1e-129  3.3e-126  421.1   6.1   261   546   540   863   535   872 0.85 | transcript=PVPAM_050038700_t1 | gene=PVPAM_050038700 | organism=Plasmodium_vivax_PAM | gene_product=pre-mRNA-splicing helicase BRR2, putative | transcript_product=pre-mRNA-splicing helicase BRR2, putative | location=CASCJQ010000005:1435448-1443475(+) | protein_length=2675 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7718995.1         -           2675 270at5820            -           1986         0 3538.2 150.6   5  10  1.5e-184  1.2e-181  605.0   5.2   545   830   937  1226   930  1230 0.98 | transcript=PVPAM_050038700_t1 | gene=PVPAM_050038700 | organism=Plasmodium_vivax_PAM | gene_product=pre-mRNA-splicing helicase BRR2, putative | transcript_product=pre-mRNA-splicing helicase BRR2, putative | location=CASCJQ010000005:1435448-1443475(+) | protein_length=2675 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7718995.1         -           2675 270at5820            -           1986         0 3538.2 150.6   6  10  3.8e-178  3.1e-175  583.8  26.1   830  1121  1264  1561  1261  1568 0.98 | transcript=PVPAM_050038700_t1 | gene=PVPAM_050038700 | organism=Plasmodium_vivax_PAM | gene_product=pre-mRNA-splicing helicase BRR2, putative | transcript_product=pre-mRNA-splicing helicase BRR2, putative | location=CASCJQ010000005:1435448-1443475(+) | protein_length=2675 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7718995.1         -           2675 270at5820            -           1986         0 3538.2 150.6   7  10  1.1e-100   8.6e-98  326.9   0.4  1120  1346  1587  1859  1575  1865 0.90 | transcript=PVPAM_050038700_t1 | gene=PVPAM_050038700 | organism=Plasmodium_vivax_PAM | gene_product=pre-mRNA-splicing helicase BRR2, putative | transcript_product=pre-mRNA-splicing helicase BRR2, putative | location=CASCJQ010000005:1435448-1443475(+) | protein_length=2675 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7718995.1         -           2675 270at5820            -           1986         0 3538.2 150.6   8  10  3.5e-182  2.8e-179  597.1  18.4  1347  1660  1916  2252  1913  2256 0.96 | transcript=PVPAM_050038700_t1 | gene=PVPAM_050038700 | organism=Plasmodium_vivax_PAM | gene_product=pre-mRNA-splicing helicase BRR2, putative | transcript_product=pre-mRNA-splicing helicase BRR2, putative | location=CASCJQ010000005:1435448-1443475(+) | protein_length=2675 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7718995.1         -           2675 270at5820            -           1986         0 3538.2 150.6   9  10   1.9e-40   1.6e-37  127.1   1.8  1662  1747  2290  2378  2286  2383 0.95 | transcript=PVPAM_050038700_t1 | gene=PVPAM_050038700 | organism=Plasmodium_vivax_PAM | gene_product=pre-mRNA-splicing helicase BRR2, putative | transcript_product=pre-mRNA-splicing helicase BRR2, putative | location=CASCJQ010000005:1435448-1443475(+) | protein_length=2675 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7718995.1         -           2675 270at5820            -           1986         0 3538.2 150.6  10  10  2.3e-135  1.9e-132  441.9  11.4  1738  1986  2413  2671  2399  2671 0.96 | transcript=PVPAM_050038700_t1 | gene=PVPAM_050038700 | organism=Plasmodium_vivax_PAM | gene_product=pre-mRNA-splicing helicase BRR2, putative | transcript_product=pre-mRNA-splicing helicase BRR2, putative | location=CASCJQ010000005:1435448-1443475(+) | protein_length=2675 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7722494.1         -           2439 270at5820            -           1986  1.2e-223  744.3 141.4   1   8   1.5e-11   1.2e-08   31.3  11.5   224   428   207   406   174   416 0.64 | transcript=PVPAM_120073100_t1 | gene=PVPAM_120073100 | organism=Plasmodium_vivax_PAM | gene_product=DEAD/DEAH box helicase, putative | transcript_product=DEAD/DEAH box helicase, putative | location=CASCJQ010000012:2822438-2830753(-) | protein_length=2439 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7722494.1         -           2439 270at5820            -           1986  1.2e-223  744.3 141.4   2   8  3.7e-123    3e-120  401.4  37.6   435   986   522  1096   515  1142 0.88 | transcript=PVPAM_120073100_t1 | gene=PVPAM_120073100 | organism=Plasmodium_vivax_PAM | gene_product=DEAD/DEAH box helicase, putative | transcript_product=DEAD/DEAH box helicase, putative | location=CASCJQ010000012:2822438-2830753(-) | protein_length=2439 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7722494.1         -           2439 270at5820            -           1986  1.2e-223  744.3 141.4   3   8   2.3e-13   1.9e-10   37.3  19.8  1012  1216  1207  1419  1200  1419 0.89 | transcript=PVPAM_120073100_t1 | gene=PVPAM_120073100 | organism=Plasmodium_vivax_PAM | gene_product=DEAD/DEAH box helicase, putative | transcript_product=DEAD/DEAH box helicase, putative | location=CASCJQ010000012:2822438-2830753(-) | protein_length=2439 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7722494.1         -           2439 270at5820            -           1986  1.2e-223  744.3 141.4   4   8   1.4e-50   1.1e-47  160.7   9.1   385   649  1400  1663  1399  1683 0.89 | transcript=PVPAM_120073100_t1 | gene=PVPAM_120073100 | organism=Plasmodium_vivax_PAM | gene_product=DEAD/DEAH box helicase, putative | transcript_product=DEAD/DEAH box helicase, putative | location=CASCJQ010000012:2822438-2830753(-) | protein_length=2439 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7722494.1         -           2439 270at5820            -           1986  1.2e-223  744.3 141.4   5   8   6.7e-38   5.4e-35  118.7   0.2   653   770  1758  1876  1744  1880 0.89 | transcript=PVPAM_120073100_t1 | gene=PVPAM_120073100 | organism=Plasmodium_vivax_PAM | gene_product=DEAD/DEAH box helicase, putative | transcript_product=DEAD/DEAH box helicase, putative | location=CASCJQ010000012:2822438-2830753(-) | protein_length=2439 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7722494.1         -           2439 270at5820            -           1986  1.2e-223  744.3 141.4   6   8   2.3e-13   1.9e-10   37.3  14.3  1566  1689  1877  2019  1875  2026 0.79 | transcript=PVPAM_120073100_t1 | gene=PVPAM_120073100 | organism=Plasmodium_vivax_PAM | gene_product=DEAD/DEAH box helicase, putative | transcript_product=DEAD/DEAH box helicase, putative | location=CASCJQ010000012:2822438-2830753(-) | protein_length=2439 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
