#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
CAI7718244.1         -           1612 1624at5820           -            953         0 1156.0  45.9   1  11   3.2e-07   8.5e-05   19.4   0.0     1    25     1    25     1    36 0.90 | transcript=PVPAM_030024400_t1 | gene=PVPAM_030024400 | organism=Plasmodium_vivax_PAM | gene_product=Rab GTPase activator and protein kinase, putative | transcript_product=Rab GTPase activator and protein kinase, putative | location=CASCJQ010000003:785271-790109(+) | protein_length=1612 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7718244.1         -           1612 1624at5820           -            953         0 1156.0  45.9   2  11   6.8e-28   1.8e-25   87.8   0.0    23    91    48   116    44   119 0.95 | transcript=PVPAM_030024400_t1 | gene=PVPAM_030024400 | organism=Plasmodium_vivax_PAM | gene_product=Rab GTPase activator and protein kinase, putative | transcript_product=Rab GTPase activator and protein kinase, putative | location=CASCJQ010000003:785271-790109(+) | protein_length=1612 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7718244.1         -           1612 1624at5820           -            953         0 1156.0  45.9   3  11   5.2e-27   1.4e-24   84.9   0.0    93   153   149   209   143   214 0.96 | transcript=PVPAM_030024400_t1 | gene=PVPAM_030024400 | organism=Plasmodium_vivax_PAM | gene_product=Rab GTPase activator and protein kinase, putative | transcript_product=Rab GTPase activator and protein kinase, putative | location=CASCJQ010000003:785271-790109(+) | protein_length=1612 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7718244.1         -           1612 1624at5820           -            953         0 1156.0  45.9   4  11     4e-16   1.1e-13   48.9   0.0   159   211   276   337   272   342 0.90 | transcript=PVPAM_030024400_t1 | gene=PVPAM_030024400 | organism=Plasmodium_vivax_PAM | gene_product=Rab GTPase activator and protein kinase, putative | transcript_product=Rab GTPase activator and protein kinase, putative | location=CASCJQ010000003:785271-790109(+) | protein_length=1612 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7718244.1         -           1612 1624at5820           -            953         0 1156.0  45.9   5  11   4.4e-11   1.2e-08   32.1   0.0   212   264   382   440   378   443 0.83 | transcript=PVPAM_030024400_t1 | gene=PVPAM_030024400 | organism=Plasmodium_vivax_PAM | gene_product=Rab GTPase activator and protein kinase, putative | transcript_product=Rab GTPase activator and protein kinase, putative | location=CASCJQ010000003:785271-790109(+) | protein_length=1612 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7718244.1         -           1612 1624at5820           -            953         0 1156.0  45.9   6  11   3.4e-27   9.2e-25   85.5   0.0   264   343   477   565   473   568 0.89 | transcript=PVPAM_030024400_t1 | gene=PVPAM_030024400 | organism=Plasmodium_vivax_PAM | gene_product=Rab GTPase activator and protein kinase, putative | transcript_product=Rab GTPase activator and protein kinase, putative | location=CASCJQ010000003:785271-790109(+) | protein_length=1612 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7718244.1         -           1612 1624at5820           -            953         0 1156.0  45.9   7  11   1.1e-27   3.1e-25   87.1   3.9   344   433   618   720   602   738 0.85 | transcript=PVPAM_030024400_t1 | gene=PVPAM_030024400 | organism=Plasmodium_vivax_PAM | gene_product=Rab GTPase activator and protein kinase, putative | transcript_product=Rab GTPase activator and protein kinase, putative | location=CASCJQ010000003:785271-790109(+) | protein_length=1612 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7718244.1         -           1612 1624at5820           -            953         0 1156.0  45.9   8  11   1.1e-39     3e-37  126.8   0.0   435   562   829   968   816   978 0.85 | transcript=PVPAM_030024400_t1 | gene=PVPAM_030024400 | organism=Plasmodium_vivax_PAM | gene_product=Rab GTPase activator and protein kinase, putative | transcript_product=Rab GTPase activator and protein kinase, putative | location=CASCJQ010000003:785271-790109(+) | protein_length=1612 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7718244.1         -           1612 1624at5820           -            953         0 1156.0  45.9   9  11     1e-89   2.7e-87  292.4  11.1   550   749  1040  1249  1030  1252 0.93 | transcript=PVPAM_030024400_t1 | gene=PVPAM_030024400 | organism=Plasmodium_vivax_PAM | gene_product=Rab GTPase activator and protein kinase, putative | transcript_product=Rab GTPase activator and protein kinase, putative | location=CASCJQ010000003:785271-790109(+) | protein_length=1612 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7718244.1         -           1612 1624at5820           -            953         0 1156.0  45.9  10  11   1.6e-13   4.4e-11   40.2   0.0   748   780  1278  1310  1271  1320 0.92 | transcript=PVPAM_030024400_t1 | gene=PVPAM_030024400 | organism=Plasmodium_vivax_PAM | gene_product=Rab GTPase activator and protein kinase, putative | transcript_product=Rab GTPase activator and protein kinase, putative | location=CASCJQ010000003:785271-790109(+) | protein_length=1612 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7718244.1         -           1612 1624at5820           -            953         0 1156.0  45.9  11  11   2.5e-76   6.7e-74  248.1  12.5   779   953  1411  1612  1408  1612 0.86 | transcript=PVPAM_030024400_t1 | gene=PVPAM_030024400 | organism=Plasmodium_vivax_PAM | gene_product=Rab GTPase activator and protein kinase, putative | transcript_product=Rab GTPase activator and protein kinase, putative | location=CASCJQ010000003:785271-790109(+) | protein_length=1612 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7721288.1         -            288 1624at5820           -            953   2.1e-10   38.0   0.0   1   1   1.4e-12   3.7e-10   37.1   0.0    68   199    63   197    29   209 0.88 | transcript=PVPAM_110019000_t1 | gene=PVPAM_110019000 | organism=Plasmodium_vivax_PAM | gene_product=protein kinase 5 | transcript_product=protein kinase 5 | location=CASCJQ010000011:587643-589375(+) | protein_length=288 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7718435.1         -            526 1624at5820           -            953   1.9e-08   31.5   9.8   1   1   4.6e-10   1.3e-07   28.8   9.8    23   216   107   287    95   322 0.72 | transcript=PVPAM_040018100_t1 | gene=PVPAM_040018100 | organism=Plasmodium_vivax_PAM | gene_product=calcium-dependent protein kinase 1, putative | transcript_product=calcium-dependent protein kinase 1, putative | location=CASCJQ010000004:566628-569175(-) | protein_length=526 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7719701.1         -           1180 1624at5820           -            953   6.9e-08   29.6   0.2   1   2       2.3   6.2e+02   -3.3   0.4   780   799   148   167   137   176 0.78 | transcript=PVPAM_070031500_t1 | gene=PVPAM_070031500 | organism=Plasmodium_vivax_PAM | gene_product=protein kinase, putative | transcript_product=protein kinase, putative | location=CASCJQ010000007:1141777-1145852(+) | protein_length=1180 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7719701.1         -           1180 1624at5820           -            953   6.9e-08   29.6   0.2   2   2   5.6e-10   1.5e-07   28.5   0.0    38   158   834   965   815   972 0.72 | transcript=PVPAM_070031500_t1 | gene=PVPAM_070031500 | organism=Plasmodium_vivax_PAM | gene_product=protein kinase, putative | transcript_product=protein kinase, putative | location=CASCJQ010000007:1141777-1145852(+) | protein_length=1180 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7718956.1         -            613 1624at5820           -            953   7.8e-08   29.5   4.1   1   2   2.9e-10   7.8e-08   29.5   4.1    96   197   365   465   283   479 0.80 | transcript=PVPAM_050034800_t1 | gene=PVPAM_050034800 | organism=Plasmodium_vivax_PAM | gene_product=cdc2-related protein kinase 1, putative | transcript_product=cdc2-related protein kinase 1, putative | location=CASCJQ010000005:1231892-1233733(-) | protein_length=613 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7718956.1         -            613 1624at5820           -            953   7.8e-08   29.5   4.1   2   2       4.4   1.2e+03   -4.3   0.4   865   882   507   525   498   541 0.53 | transcript=PVPAM_050034800_t1 | gene=PVPAM_050034800 | organism=Plasmodium_vivax_PAM | gene_product=cdc2-related protein kinase 1, putative | transcript_product=cdc2-related protein kinase 1, putative | location=CASCJQ010000005:1231892-1233733(-) | protein_length=613 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7721982.1         -            305 1624at5820           -            953   1.1e-07   28.9   0.4   1   1   7.5e-10     2e-07   28.1   0.3    93   199   111   212    59   217 0.83 | transcript=PVPAM_120022100_t1 | gene=PVPAM_120022100 | organism=Plasmodium_vivax_PAM | gene_product=CDK-related protein kinase 6, putative | transcript_product=CDK-related protein kinase 6, putative | location=CASCJQ010000012:719734-721835(-) | protein_length=305 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7722833.1         -            710 1624at5820           -            953     3e-07   27.5   0.9   1   2     3e-09     8e-07   26.1   0.6    69   199    82   220    72   298 0.75 | transcript=PVPAM_130033500_t1 | gene=PVPAM_130033500 | organism=Plasmodium_vivax_PAM | gene_product=mitogen-activated protein kinase 1, putative | transcript_product=mitogen-activated protein kinase 1, putative | location=CASCJQ010000013:1298190-1300322(+) | protein_length=710 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7722833.1         -            710 1624at5820           -            953     3e-07   27.5   0.9   2   2      0.51   1.4e+02   -1.1   0.1   291   347   256   314   221   327 0.73 | transcript=PVPAM_130033500_t1 | gene=PVPAM_130033500 | organism=Plasmodium_vivax_PAM | gene_product=mitogen-activated protein kinase 1, putative | transcript_product=mitogen-activated protein kinase 1, putative | location=CASCJQ010000013:1298190-1300322(+) | protein_length=710 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7722343.1         -            861 1624at5820           -            953   3.6e-07   27.2  19.1   1   1   3.4e-09   9.2e-07   25.9  19.1    82   341   562   829   500   835 0.67 | transcript=PVPAM_120057900_t1 | gene=PVPAM_120057900 | organism=Plasmodium_vivax_PAM | gene_product=SNF1-related serine/threonine protein kinase KIN, putative | transcript_product=SNF1-related serine/threonine protein kinase KIN, putative | location=CASCJQ010000012:2138523-2141108(-) | protein_length=861 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7718179.1         -            529 1624at5820           -            953   3.9e-07   27.1   8.3   1   1     1e-08   2.7e-06   24.3   8.3    23   204   108   272    90   324 0.74 | transcript=PVPAM_030017900_t1 | gene=PVPAM_030017900 | organism=Plasmodium_vivax_PAM | gene_product=calcium-dependent protein kinase 4, putative | transcript_product=calcium-dependent protein kinase 4, putative | location=CASCJQ010000003:539734-541488(+) | protein_length=529 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7720875.1         -            288 1624at5820           -            953   1.6e-06   25.1   0.6   1   1     7e-09   1.9e-06   24.9   0.6    85   198    98   207    44   228 0.90 | transcript=PVPAM_100014300_t1 | gene=PVPAM_100014300 | organism=Plasmodium_vivax_PAM | gene_product=NIMA related kinase 2, putative | transcript_product=NIMA related kinase 2, putative | location=CASCJQ010000010:406454-408600(-) | protein_length=288 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7720179.1         -            494 1624at5820           -            953   1.7e-06   25.0   0.4   1   1   1.1e-08     3e-06   24.2   0.4    83   200   204   319   171   336 0.85 | transcript=PVPAM_080040100_t1 | gene=PVPAM_080040100 | organism=Plasmodium_vivax_PAM | gene_product=glycogen synthase kinase 3, putative | transcript_product=glycogen synthase kinase 3, putative | location=CASCJQ010000008:1564136-1566591(+) | protein_length=494 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7723327.1         -            341 1624at5820           -            953   2.4e-06   24.5   0.3   1   1   1.3e-08   3.5e-06   24.0   0.3    80   198   115   233    56   251 0.83 | transcript=PVPAM_140024600_t1 | gene=PVPAM_140024600 | organism=Plasmodium_vivax_PAM | gene_product=protein kinase, putative | transcript_product=protein kinase, putative | location=CASCJQ010000014:854740-857658(-) | protein_length=341 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7723318.1         -            368 1624at5820           -            953     4e-06   23.8   8.6   1   2      0.19        52    0.2   2.3   556   654    95   201    85   207 0.63 | transcript=PVPAM_140023700_t1 | gene=PVPAM_140023700 | organism=Plasmodium_vivax_PAM | gene_product=serine/threonine protein kinase PK9, putative | transcript_product=serine/threonine protein kinase PK9, putative | location=CASCJQ010000014:822225-823331(+) | protein_length=368 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7723318.1         -            368 1624at5820           -            953     4e-06   23.8   8.6   2   2   1.5e-08     4e-06   23.8   8.6    90   212   197   318   171   345 0.78 | transcript=PVPAM_140023700_t1 | gene=PVPAM_140023700 | organism=Plasmodium_vivax_PAM | gene_product=serine/threonine protein kinase PK9, putative | transcript_product=serine/threonine protein kinase PK9, putative | location=CASCJQ010000014:822225-823331(+) | protein_length=368 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7722783.1         -            854 1624at5820           -            953   7.1e-06   23.0   0.2   1   2     0.048        13    2.2   0.1    66   125   173   235   159   239 0.71 | transcript=PVPAM_130028400_t1 | gene=PVPAM_130028400 | organism=Plasmodium_vivax_PAM | gene_product=cGMP-dependent protein kinase | transcript_product=cGMP-dependent protein kinase | location=CASCJQ010000013:1044052-1047856(+) | protein_length=854 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
