#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
CAI7722375.1         -            832 2097at5820           -            830         0 2007.8   4.5   1   1         0         0 2007.6   4.5     1   830     1   832     1   832 1.00 | transcript=PVPAM_120061100_t1 | gene=PVPAM_120061100 | organism=Plasmodium_vivax_PAM | gene_product=elongation factor 2, putative | transcript_product=elongation factor 2, putative | location=CASCJQ010000012:2280969-2283467(-) | protein_length=832 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7719934.1         -           1247 2097at5820           -            830  1.3e-140  468.1   7.6   1   4    0.0034       1.6    4.7   0.0     4    40   164   200   162   208 0.88 | transcript=PVPAM_080015700_t1 | gene=PVPAM_080015700 | organism=Plasmodium_vivax_PAM | gene_product=U5 small nuclear ribonucleoprotein component, putative | transcript_product=U5 small nuclear ribonucleoprotein component, putative | location=CASCJQ010000008:529541-533284(-) | protein_length=1247 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7719934.1         -           1247 2097at5820           -            830  1.3e-140  468.1   7.6   2   4   1.3e-62   6.2e-60  201.2   3.6    54   464   269   706   255   735 0.89 | transcript=PVPAM_080015700_t1 | gene=PVPAM_080015700 | organism=Plasmodium_vivax_PAM | gene_product=U5 small nuclear ribonucleoprotein component, putative | transcript_product=U5 small nuclear ribonucleoprotein component, putative | location=CASCJQ010000008:529541-533284(-) | protein_length=1247 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7719934.1         -           1247 2097at5820           -            830  1.3e-140  468.1   7.6   3   4   6.1e-30   2.8e-27   93.2   0.1   475   596   804   925   793   942 0.93 | transcript=PVPAM_080015700_t1 | gene=PVPAM_080015700 | organism=Plasmodium_vivax_PAM | gene_product=U5 small nuclear ribonucleoprotein component, putative | transcript_product=U5 small nuclear ribonucleoprotein component, putative | location=CASCJQ010000008:529541-533284(-) | protein_length=1247 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7719934.1         -           1247 2097at5820           -            830  1.3e-140  468.1   7.6   4   4   2.8e-52   1.3e-49  167.1   0.0   609   799   998  1192   976  1197 0.93 | transcript=PVPAM_080015700_t1 | gene=PVPAM_080015700 | organism=Plasmodium_vivax_PAM | gene_product=U5 small nuclear ribonucleoprotein component, putative | transcript_product=U5 small nuclear ribonucleoprotein component, putative | location=CASCJQ010000008:529541-533284(-) | protein_length=1247 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7721876.1         -           1389 2097at5820           -            830   4.1e-78  261.4  15.5   1   4   1.7e-18   7.9e-16   55.3   0.2    12    77     6    71     1    81 0.91 | transcript=PVPAM_120011000_t1 | gene=PVPAM_120011000 | organism=Plasmodium_vivax_PAM | gene_product=elongation factor Tu, putative | transcript_product=elongation factor Tu, putative | location=CASCJQ010000012:247695-252310(+) | protein_length=1389 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7721876.1         -           1389 2097at5820           -            830   4.1e-78  261.4  15.5   2   4   6.9e-37   3.2e-34  116.2   3.7    88   378   171   496   157   535 0.77 | transcript=PVPAM_120011000_t1 | gene=PVPAM_120011000 | organism=Plasmodium_vivax_PAM | gene_product=elongation factor Tu, putative | transcript_product=elongation factor Tu, putative | location=CASCJQ010000012:247695-252310(+) | protein_length=1389 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7721876.1         -           1389 2097at5820           -            830   4.1e-78  261.4  15.5   3   4   5.2e-13   2.4e-10   37.2   0.3   454   573   704   824   690   837 0.85 | transcript=PVPAM_120011000_t1 | gene=PVPAM_120011000 | organism=Plasmodium_vivax_PAM | gene_product=elongation factor Tu, putative | transcript_product=elongation factor Tu, putative | location=CASCJQ010000012:247695-252310(+) | protein_length=1389 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7721876.1         -           1389 2097at5820           -            830   4.1e-78  261.4  15.5   4   4   2.1e-19   9.6e-17   58.4   0.0   661   804  1199  1342  1189  1356 0.94 | transcript=PVPAM_120011000_t1 | gene=PVPAM_120011000 | organism=Plasmodium_vivax_PAM | gene_product=elongation factor Tu, putative | transcript_product=elongation factor Tu, putative | location=CASCJQ010000012:247695-252310(+) | protein_length=1389 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7721609.1         -            920 2097at5820           -            830     2e-35  120.1   3.6   1   4   6.6e-26   3.1e-23   79.9   0.6    18   181    98   261    88   288 0.84 | transcript=PVPAM_110051300_t1 | gene=PVPAM_110051300 | organism=Plasmodium_vivax_PAM | gene_product=elongation factor G, putative | transcript_product=elongation factor G, putative | location=CASCJQ010000011:1932145-1935382(+) | protein_length=920 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7721609.1         -            920 2097at5820           -            830     2e-35  120.1   3.6   2   4       1.4   6.5e+02   -3.9   0.0   322   346   363   388   358   393 0.78 | transcript=PVPAM_110051300_t1 | gene=PVPAM_110051300 | organism=Plasmodium_vivax_PAM | gene_product=elongation factor G, putative | transcript_product=elongation factor G, putative | location=CASCJQ010000011:1932145-1935382(+) | protein_length=920 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
