#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
CAI7721387.1         -           2935 313at5820            -           2082         0 3979.7 292.8   1   5         0         0 1917.7  71.7     1   883     1   931     1   960 0.89 | transcript=PVPAM_110029000_t1 | gene=PVPAM_110029000 | organism=Plasmodium_vivax_PAM | gene_product=ISWI chromatin-remodeling complex ATPase, putative | transcript_product=ISWI chromatin-remodeling complex ATPase, putative | location=CASCJQ010000011:1033216-1042023(-) | protein_length=2935 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7721387.1         -           2935 313at5820            -           2082         0 3979.7 292.8   2   5   8.8e-14   4.4e-11   39.2  26.6   820   919  1027  1129  1012  1135 0.62 | transcript=PVPAM_110029000_t1 | gene=PVPAM_110029000 | organism=Plasmodium_vivax_PAM | gene_product=ISWI chromatin-remodeling complex ATPase, putative | transcript_product=ISWI chromatin-remodeling complex ATPase, putative | location=CASCJQ010000011:1033216-1042023(-) | protein_length=2935 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7721387.1         -           2935 313at5820            -           2082         0 3979.7 292.8   3   5         0         0 1434.6  55.7   841  1613  1132  1963  1126  1974 0.84 | transcript=PVPAM_110029000_t1 | gene=PVPAM_110029000 | organism=Plasmodium_vivax_PAM | gene_product=ISWI chromatin-remodeling complex ATPase, putative | transcript_product=ISWI chromatin-remodeling complex ATPase, putative | location=CASCJQ010000011:1033216-1042023(-) | protein_length=2935 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7721387.1         -           2935 313at5820            -           2082         0 3979.7 292.8   4   5  1.3e-183  6.3e-181  602.4  63.5  1566  2047  2098  2729  2038  2739 0.84 | transcript=PVPAM_110029000_t1 | gene=PVPAM_110029000 | organism=Plasmodium_vivax_PAM | gene_product=ISWI chromatin-remodeling complex ATPase, putative | transcript_product=ISWI chromatin-remodeling complex ATPase, putative | location=CASCJQ010000011:1033216-1042023(-) | protein_length=2935 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7721387.1         -           2935 313at5820            -           2082         0 3979.7 292.8   5   5   2.3e-09   1.2e-06   24.5   7.7  2005  2081  2863  2932  2748  2933 0.68 | transcript=PVPAM_110029000_t1 | gene=PVPAM_110029000 | organism=Plasmodium_vivax_PAM | gene_product=ISWI chromatin-remodeling complex ATPase, putative | transcript_product=ISWI chromatin-remodeling complex ATPase, putative | location=CASCJQ010000011:1033216-1042023(-) | protein_length=2935 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7720331.1         -           1402 313at5820            -           2082     1e-83  280.1   8.7   1   8      0.49   2.4e+02   -3.1   0.9   833   880   209   253   180   308 0.31 | transcript=PVPAM_090009700_t1 | gene=PVPAM_090009700 | organism=Plasmodium_vivax_PAM | gene_product=chromatin remodeling protein, putative | transcript_product=chromatin remodeling protein, putative | location=CASCJQ010000009:305443-310409(-) | protein_length=1402 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7720331.1         -           1402 313at5820            -           2082     1e-83  280.1   8.7   2   8   1.9e-45   9.2e-43  144.2   1.4   322   535   311   521   302   529 0.89 | transcript=PVPAM_090009700_t1 | gene=PVPAM_090009700 | organism=Plasmodium_vivax_PAM | gene_product=chromatin remodeling protein, putative | transcript_product=chromatin remodeling protein, putative | location=CASCJQ010000009:305443-310409(-) | protein_length=1402 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7720331.1         -           1402 313at5820            -           2082     1e-83  280.1   8.7   3   8    0.0038       1.9    3.9   0.6   555   645   509   602   508   610 0.80 | transcript=PVPAM_090009700_t1 | gene=PVPAM_090009700 | organism=Plasmodium_vivax_PAM | gene_product=chromatin remodeling protein, putative | transcript_product=chromatin remodeling protein, putative | location=CASCJQ010000009:305443-310409(-) | protein_length=1402 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7720331.1         -           1402 313at5820            -           2082     1e-83  280.1   8.7   4   8     0.066        33   -0.2   0.0   682   710   613   641   606   642 0.93 | transcript=PVPAM_090009700_t1 | gene=PVPAM_090009700 | organism=Plasmodium_vivax_PAM | gene_product=chromatin remodeling protein, putative | transcript_product=chromatin remodeling protein, putative | location=CASCJQ010000009:305443-310409(-) | protein_length=1402 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7720331.1         -           1402 313at5820            -           2082     1e-83  280.1   8.7   5   8   4.1e-47   2.1e-44  149.7   1.0   925  1059   641   775   634   784 0.97 | transcript=PVPAM_090009700_t1 | gene=PVPAM_090009700 | organism=Plasmodium_vivax_PAM | gene_product=chromatin remodeling protein, putative | transcript_product=chromatin remodeling protein, putative | location=CASCJQ010000009:305443-310409(-) | protein_length=1402 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7720331.1         -           1402 313at5820            -           2082     1e-83  280.1   8.7   6   8     0.069        34   -0.3   0.7  1939  1979   800   840   777   854 0.81 | transcript=PVPAM_090009700_t1 | gene=PVPAM_090009700 | organism=Plasmodium_vivax_PAM | gene_product=chromatin remodeling protein, putative | transcript_product=chromatin remodeling protein, putative | location=CASCJQ010000009:305443-310409(-) | protein_length=1402 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
