#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
CAI7723553.1         -            836 3491at5820           -            604  7.3e-302 1001.1  71.4   1   4  4.2e-271  1.6e-268  891.0  42.7     1   464    31   522    31   533 0.96 | transcript=PVPAM_140047700_t1 | gene=PVPAM_140047700 | organism=Plasmodium_vivax_PAM | gene_product=heptatricopeptide repeat-containing protein, putative | transcript_product=heptatricopeptide repeat-containing protein, putative | location=CASCJQ010000014:1815230-1817740(+) | protein_length=836 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7723553.1         -            836 3491at5820           -            604  7.3e-302 1001.1  71.4   2   4   3.4e-05     0.013   12.8   0.1   461   486   543   568   535   571 0.89 | transcript=PVPAM_140047700_t1 | gene=PVPAM_140047700 | organism=Plasmodium_vivax_PAM | gene_product=heptatricopeptide repeat-containing protein, putative | transcript_product=heptatricopeptide repeat-containing protein, putative | location=CASCJQ010000014:1815230-1817740(+) | protein_length=836 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7723553.1         -            836 3491at5820           -            604  7.3e-302 1001.1  71.4   3   4   0.00073      0.28    8.4   0.4   484   501   597   614   588   620 0.85 | transcript=PVPAM_140047700_t1 | gene=PVPAM_140047700 | organism=Plasmodium_vivax_PAM | gene_product=heptatricopeptide repeat-containing protein, putative | transcript_product=heptatricopeptide repeat-containing protein, putative | location=CASCJQ010000014:1815230-1817740(+) | protein_length=836 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7723553.1         -            836 3491at5820           -            604  7.3e-302 1001.1  71.4   4   4   4.6e-29   1.8e-26   91.6  11.3   499   604   673   830   658   830 0.78 | transcript=PVPAM_140047700_t1 | gene=PVPAM_140047700 | organism=Plasmodium_vivax_PAM | gene_product=heptatricopeptide repeat-containing protein, putative | transcript_product=heptatricopeptide repeat-containing protein, putative | location=CASCJQ010000014:1815230-1817740(+) | protein_length=836 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7720184.1         -            631 3491at5820           -            604   8.9e-23   79.3  20.3   1   3   1.7e-19   6.5e-17   60.0   5.7    53   251   160   363   143   373 0.88 | transcript=PVPAM_080040600_t1 | gene=PVPAM_080040600 | organism=Plasmodium_vivax_PAM | gene_product=heptatricopeptide repeat-containing protein, putative | transcript_product=heptatricopeptide repeat-containing protein, putative | location=CASCJQ010000008:1578300-1580195(+) | protein_length=631 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7720184.1         -            631 3491at5820           -            604   8.9e-23   79.3  20.3   2   3     3e-11   1.1e-08   32.7   1.8    89   214   352   477   345   483 0.97 | transcript=PVPAM_080040600_t1 | gene=PVPAM_080040600 | organism=Plasmodium_vivax_PAM | gene_product=heptatricopeptide repeat-containing protein, putative | transcript_product=heptatricopeptide repeat-containing protein, putative | location=CASCJQ010000008:1578300-1580195(+) | protein_length=631 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7720184.1         -            631 3491at5820           -            604   8.9e-23   79.3  20.3   3   3      0.33   1.2e+02   -0.4   0.9   391   437   483   529   477   551 0.83 | transcript=PVPAM_080040600_t1 | gene=PVPAM_080040600 | organism=Plasmodium_vivax_PAM | gene_product=heptatricopeptide repeat-containing protein, putative | transcript_product=heptatricopeptide repeat-containing protein, putative | location=CASCJQ010000008:1578300-1580195(+) | protein_length=631 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7723603.1         -           1230 3491at5820           -            604     4e-18   64.0  33.1   1   3       3.8   1.4e+03   -3.9   0.5   457   508    87   142    79   156 0.72 | transcript=PVPAM_140052700_t1 | gene=PVPAM_140052700 | organism=Plasmodium_vivax_PAM | gene_product=heptatricopeptide repeat and RAP domain-containing protein, putative | transcript_product=heptatricopeptide repeat and RAP domain-containing protein, putative | location=CASCJQ010000014:2053095-2056787(+) | protein_length=1230 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7723603.1         -           1230 3491at5820           -            604     4e-18   64.0  33.1   2   3   4.8e-05     0.018   12.3   0.1   108   183   237   312   203   324 0.82 | transcript=PVPAM_140052700_t1 | gene=PVPAM_140052700 | organism=Plasmodium_vivax_PAM | gene_product=heptatricopeptide repeat and RAP domain-containing protein, putative | transcript_product=heptatricopeptide repeat and RAP domain-containing protein, putative | location=CASCJQ010000014:2053095-2056787(+) | protein_length=1230 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7723603.1         -           1230 3491at5820           -            604     4e-18   64.0  33.1   3   3   1.1e-18   4.1e-16   57.4  22.9    89   452   401   788   397   883 0.77 | transcript=PVPAM_140052700_t1 | gene=PVPAM_140052700 | organism=Plasmodium_vivax_PAM | gene_product=heptatricopeptide repeat and RAP domain-containing protein, putative | transcript_product=heptatricopeptide repeat and RAP domain-containing protein, putative | location=CASCJQ010000014:2053095-2056787(+) | protein_length=1230 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7719595.1         -            719 3491at5820           -            604   6.9e-13   46.7  13.7   1   3   3.6e-08   1.4e-05   22.6   3.5    72   150    64   143    52   213 0.86 | transcript=PVPAM_070020900_t1 | gene=PVPAM_070020900 | organism=Plasmodium_vivax_PAM | gene_product=heptatricopeptide repeat-containing protein, putative | transcript_product=heptatricopeptide repeat-containing protein, putative | location=CASCJQ010000007:732429-734588(-) | protein_length=719 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
