#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
CAI7722784.1         -            417 7633at5820           -            353  3.1e-204  676.4  12.3   1   2   1.7e-09   2.8e-06   25.2   0.0     1    26    11    36    11    44 0.93 | transcript=PVPAM_130028500_t1 | gene=PVPAM_130028500 | organism=Plasmodium_vivax_PAM | gene_product=GTP-binding protein, putative | transcript_product=GTP-binding protein, putative | location=CASCJQ010000013:1048311-1049564(-) | protein_length=417 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7722784.1         -            417 7633at5820           -            353  3.1e-204  676.4  12.3   2   2  1.2e-199    2e-196  650.7  10.9    26   353    72   417    66   417 0.96 | transcript=PVPAM_130028500_t1 | gene=PVPAM_130028500 | organism=Plasmodium_vivax_PAM | gene_product=GTP-binding protein, putative | transcript_product=GTP-binding protein, putative | location=CASCJQ010000013:1048311-1049564(-) | protein_length=417 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7722908.1         -            518 7633at5820           -            353     2e-11   42.1   0.6   1   3      0.75   1.2e+03   -3.2   0.1   111   145    39    73    28   168 0.61 | transcript=PVPAM_130041000_t1 | gene=PVPAM_130041000 | organism=Plasmodium_vivax_PAM | gene_product=nucleolar GTP-binding protein 2, putative | transcript_product=nucleolar GTP-binding protein 2, putative | location=CASCJQ010000013:1597635-1599191(+) | protein_length=518 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7722908.1         -            518 7633at5820           -            353     2e-11   42.1   0.6   2   3   1.3e-14     2e-11   42.1   0.6    56   170   218   343   211   356 0.76 | transcript=PVPAM_130041000_t1 | gene=PVPAM_130041000 | organism=Plasmodium_vivax_PAM | gene_product=nucleolar GTP-binding protein 2, putative | transcript_product=nucleolar GTP-binding protein 2, putative | location=CASCJQ010000013:1597635-1599191(+) | protein_length=518 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7722908.1         -            518 7633at5820           -            353     2e-11   42.1   0.6   3   3     0.015        24    2.4   0.1   202   239   355   390   346   425 0.65 | transcript=PVPAM_130041000_t1 | gene=PVPAM_130041000 | organism=Plasmodium_vivax_PAM | gene_product=nucleolar GTP-binding protein 2, putative | transcript_product=nucleolar GTP-binding protein 2, putative | location=CASCJQ010000013:1597635-1599191(+) | protein_length=518 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7718148.1         -            780 7633at5820           -            353   1.7e-05   22.6  12.2   1   3   1.6e-05     0.027   12.1   0.6    34    95   390   459   364   465 0.71 | transcript=PVPAM_030014600_t1 | gene=PVPAM_030014600 | organism=Plasmodium_vivax_PAM | gene_product=ribosome biogenesis GTPase A, putative | transcript_product=ribosome biogenesis GTPase A, putative | location=CASCJQ010000003:419503-421845(-) | protein_length=780 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7718148.1         -            780 7633at5820           -            353   1.7e-05   22.6  12.2   2   3   4.7e-06    0.0076   13.9   1.1   135   172   531   568   488   585 0.70 | transcript=PVPAM_030014600_t1 | gene=PVPAM_030014600 | organism=Plasmodium_vivax_PAM | gene_product=ribosome biogenesis GTPase A, putative | transcript_product=ribosome biogenesis GTPase A, putative | location=CASCJQ010000003:419503-421845(-) | protein_length=780 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7718148.1         -            780 7633at5820           -            353   1.7e-05   22.6  12.2   3   3     0.011        18    2.9   0.2   212   270   585   646   575   684 0.68 | transcript=PVPAM_030014600_t1 | gene=PVPAM_030014600 | organism=Plasmodium_vivax_PAM | gene_product=ribosome biogenesis GTPase A, putative | transcript_product=ribosome biogenesis GTPase A, putative | location=CASCJQ010000003:419503-421845(-) | protein_length=780 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7722791.1         -            499 7633at5820           -            353    0.0023   15.7   7.6   1   4   0.00084       1.4    6.5   0.1   150   171   107   128    98   137 0.83 | transcript=PVPAM_130029200_t1 | gene=PVPAM_130029200 | organism=Plasmodium_vivax_PAM | gene_product=GTPase Era, putative | transcript_product=GTPase Era, putative | location=CASCJQ010000013:1083619-1085118(-) | protein_length=499 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7722791.1         -            499 7633at5820           -            353    0.0023   15.7   7.6   2   4      0.14   2.2e+02   -0.7   0.0   201   235   139   172   131   182 0.71 | transcript=PVPAM_130029200_t1 | gene=PVPAM_130029200 | organism=Plasmodium_vivax_PAM | gene_product=GTPase Era, putative | transcript_product=GTPase Era, putative | location=CASCJQ010000013:1083619-1085118(-) | protein_length=499 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7722791.1         -            499 7633at5820           -            353    0.0023   15.7   7.6   3   4      0.83   1.3e+03   -3.3   0.2   189   208   291   310   270   314 0.65 | transcript=PVPAM_130029200_t1 | gene=PVPAM_130029200 | organism=Plasmodium_vivax_PAM | gene_product=GTPase Era, putative | transcript_product=GTPase Era, putative | location=CASCJQ010000013:1083619-1085118(-) | protein_length=499 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
