#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
CAI7719473.1         -           2446 289at5820            -           1989         0 3774.2 193.3   1   3  6.4e-219  1.4e-215  717.3  56.7     1   452     1   572     1   583 0.92 | transcript=PVPAM_070008700_t1 | gene=PVPAM_070008700 | organism=Plasmodium_vivax_PAM | gene_product=ATP-dependent RNA helicase DDX60, putative | transcript_product=ATP-dependent RNA helicase DDX60, putative | location=CASCJQ010000007:207160-214685(-) | protein_length=2446 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7719473.1         -           2446 289at5820            -           1989         0 3774.2 193.3   2   3  6.6e-174  1.4e-170  568.0  36.7   452   792   633  1037   629  1054 0.94 | transcript=PVPAM_070008700_t1 | gene=PVPAM_070008700 | organism=Plasmodium_vivax_PAM | gene_product=ATP-dependent RNA helicase DDX60, putative | transcript_product=ATP-dependent RNA helicase DDX60, putative | location=CASCJQ010000007:207160-214685(-) | protein_length=2446 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7719473.1         -           2446 289at5820            -           1989         0 3774.2 193.3   3   3         0         0 2501.1  83.9   789  1989  1116  2440  1091  2440 0.98 | transcript=PVPAM_070008700_t1 | gene=PVPAM_070008700 | organism=Plasmodium_vivax_PAM | gene_product=ATP-dependent RNA helicase DDX60, putative | transcript_product=ATP-dependent RNA helicase DDX60, putative | location=CASCJQ010000007:207160-214685(-) | protein_length=2446 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7721612.1         -           1390 289at5820            -           1989   1.5e-19   67.2  11.8   1   3   9.8e-14   2.1e-10   36.9   0.2   846  1032   260   423   221   445 0.85 | transcript=PVPAM_110051600_t1 | gene=PVPAM_110051600 | organism=Plasmodium_vivax_PAM | gene_product=ATP-dependent RNA helicase MTR4, putative | transcript_product=ATP-dependent RNA helicase MTR4, putative | location=CASCJQ010000011:1941165-1945520(-) | protein_length=1390 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7721612.1         -           1390 289at5820            -           1989   1.5e-19   67.2  11.8   2   3   6.3e-14   1.4e-10   37.5   0.1  1396  1481   576   668   547   707 0.82 | transcript=PVPAM_110051600_t1 | gene=PVPAM_110051600 | organism=Plasmodium_vivax_PAM | gene_product=ATP-dependent RNA helicase MTR4, putative | transcript_product=ATP-dependent RNA helicase MTR4, putative | location=CASCJQ010000011:1941165-1945520(-) | protein_length=1390 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7721612.1         -           1390 289at5820            -           1989   1.5e-19   67.2  11.8   3   3      0.18   3.8e+02   -3.8   2.4  1942  1971  1065  1095  1011  1140 0.60 | transcript=PVPAM_110051600_t1 | gene=PVPAM_110051600 | organism=Plasmodium_vivax_PAM | gene_product=ATP-dependent RNA helicase MTR4, putative | transcript_product=ATP-dependent RNA helicase MTR4, putative | location=CASCJQ010000011:1941165-1945520(-) | protein_length=1390 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7719539.1         -           1405 289at5820            -           1989   7.4e-16   55.0  15.1   1   4     3e-09   6.4e-06   22.0   6.3   848  1031   298   458   286   511 0.81 | transcript=PVPAM_070015300_t1 | gene=PVPAM_070015300 | organism=Plasmodium_vivax_PAM | gene_product=helicase SKI2W, putative | transcript_product=helicase SKI2W, putative | location=CASCJQ010000007:525117-529334(+) | protein_length=1405 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7719539.1         -           1405 289at5820            -           1989   7.4e-16   55.0  15.1   2   4    0.0031       6.6    2.1   0.3  1236  1268   592   624   571   651 0.81 | transcript=PVPAM_070015300_t1 | gene=PVPAM_070015300 | organism=Plasmodium_vivax_PAM | gene_product=helicase SKI2W, putative | transcript_product=helicase SKI2W, putative | location=CASCJQ010000007:525117-529334(+) | protein_length=1405 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7719539.1         -           1405 289at5820            -           1989   7.4e-16   55.0  15.1   3   4   4.7e-17     1e-13   47.9   1.5  1391  1483   663   762   632   806 0.80 | transcript=PVPAM_070015300_t1 | gene=PVPAM_070015300 | organism=Plasmodium_vivax_PAM | gene_product=helicase SKI2W, putative | transcript_product=helicase SKI2W, putative | location=CASCJQ010000007:525117-529334(+) | protein_length=1405 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7719539.1         -           1405 289at5820            -           1989   7.4e-16   55.0  15.1   4   4      0.67   1.4e+03   -5.7   3.2  1575  1683  1154  1260  1149  1275 0.63 | transcript=PVPAM_070015300_t1 | gene=PVPAM_070015300 | organism=Plasmodium_vivax_PAM | gene_product=helicase SKI2W, putative | transcript_product=helicase SKI2W, putative | location=CASCJQ010000007:525117-529334(+) | protein_length=1405 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/289at5820.hmm
# Target file:     /v3/inputs/annotations/plasmodb-68/PAM.proteins.fa
# Option settings: hmmsearch --domtblout /v3/work/00_inventory/busco/PAM_proteins/run_plasmodium_odb10/hmmer_output/initial_run_results/289at5820.out --cpu 1 /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/289at5820.hmm /v3/inputs/annotations/plasmodb-68/PAM.proteins.fa 
# Current dir:     /v3/work/00_inventory/busco
# Date:            Tue May 19 17:38:26 2026
# [ok]
