#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
CAI7721596.1         -            495 6834at5820           -            382  8.4e-203  672.4  21.9   1   3  9.8e-107  2.1e-103  345.2   9.8     2   204     5   222     4   228 0.93 | transcript=PVPAM_110050000_t1 | gene=PVPAM_110050000 | organism=Plasmodium_vivax_PAM | gene_product=phenylalanine--tRNA ligase, putative | transcript_product=phenylalanine--tRNA ligase, putative | location=CASCJQ010000011:1881620-1883107(-) | protein_length=495 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7721596.1         -            495 6834at5820           -            382  8.4e-203  672.4  21.9   2   3   9.2e-16     2e-12   45.8   0.0   197   231   248   282   246   288 0.95 | transcript=PVPAM_110050000_t1 | gene=PVPAM_110050000 | organism=Plasmodium_vivax_PAM | gene_product=phenylalanine--tRNA ligase, putative | transcript_product=phenylalanine--tRNA ligase, putative | location=CASCJQ010000011:1881620-1883107(-) | protein_length=495 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7721596.1         -            495 6834at5820           -            382  8.4e-203  672.4  21.9   3   3   3.6e-89   7.8e-86  287.4   2.0   230   382   331   490   323   490 0.96 | transcript=PVPAM_110050000_t1 | gene=PVPAM_110050000 | organism=Plasmodium_vivax_PAM | gene_product=phenylalanine--tRNA ligase, putative | transcript_product=phenylalanine--tRNA ligase, putative | location=CASCJQ010000011:1881620-1883107(-) | protein_length=495 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7723659.1         -            539 6834at5820           -            382   8.8e-16   56.8  11.9   1   4   0.00069       1.5    6.7   0.2    14    72    62   124    50   137 0.82 | transcript=PVPAM_140058300_t1 | gene=PVPAM_140058300 | organism=Plasmodium_vivax_PAM | gene_product=phenylalanine--tRNA ligase, putative | transcript_product=phenylalanine--tRNA ligase, putative | location=CASCJQ010000014:2312275-2314101(-) | protein_length=539 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7723659.1         -            539 6834at5820           -            382   8.8e-16   56.8  11.9   2   4   2.4e-17   5.2e-14   51.0   2.0   118   212   200   299   196   311 0.82 | transcript=PVPAM_140058300_t1 | gene=PVPAM_140058300 | organism=Plasmodium_vivax_PAM | gene_product=phenylalanine--tRNA ligase, putative | transcript_product=phenylalanine--tRNA ligase, putative | location=CASCJQ010000014:2312275-2314101(-) | protein_length=539 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7723659.1         -            539 6834at5820           -            382   8.8e-16   56.8  11.9   3   4     0.007        15    3.4   0.2   258   280   311   333   301   340 0.85 | transcript=PVPAM_140058300_t1 | gene=PVPAM_140058300 | organism=Plasmodium_vivax_PAM | gene_product=phenylalanine--tRNA ligase, putative | transcript_product=phenylalanine--tRNA ligase, putative | location=CASCJQ010000014:2312275-2314101(-) | protein_length=539 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7723659.1         -            539 6834at5820           -            382   8.8e-16   56.8  11.9   4   4      0.11   2.5e+02   -0.6   0.0   331   378   479   530   419   533 0.55 | transcript=PVPAM_140058300_t1 | gene=PVPAM_140058300 | organism=Plasmodium_vivax_PAM | gene_product=phenylalanine--tRNA ligase, putative | transcript_product=phenylalanine--tRNA ligase, putative | location=CASCJQ010000014:2312275-2314101(-) | protein_length=539 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7717896.1         -            569 6834at5820           -            382   1.1e-10   40.1   1.5   1   3       0.4   8.6e+02   -2.4   1.8    77   137   228   291   221   294 0.65 | transcript=PVPAM_020012800_t1 | gene=PVPAM_020012800 | organism=Plasmodium_vivax_PAM | gene_product=phenylalanine--tRNA ligase alpha subunit, putative | transcript_product=phenylalanine--tRNA ligase alpha subunit, putative | location=CASCJQ010000002:357262-358971(-) | protein_length=569 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7717896.1         -            569 6834at5820           -            382   1.1e-10   40.1   1.5   2   3   4.9e-14   1.1e-10   40.1   1.5     8   211   298   528   293   540 0.74 | transcript=PVPAM_020012800_t1 | gene=PVPAM_020012800 | organism=Plasmodium_vivax_PAM | gene_product=phenylalanine--tRNA ligase alpha subunit, putative | transcript_product=phenylalanine--tRNA ligase alpha subunit, putative | location=CASCJQ010000002:357262-358971(-) | protein_length=569 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7717896.1         -            569 6834at5820           -            382   1.1e-10   40.1   1.5   3   3    0.0061        13    3.6   0.0   258   281   540   563   536   567 0.88 | transcript=PVPAM_020012800_t1 | gene=PVPAM_020012800 | organism=Plasmodium_vivax_PAM | gene_product=phenylalanine--tRNA ligase alpha subunit, putative | transcript_product=phenylalanine--tRNA ligase alpha subunit, putative | location=CASCJQ010000002:357262-358971(-) | protein_length=569 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
#
