#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
CAI7722365.1         -            361 10298at5820          -            272  2.4e-145  481.5  41.6   1   1  5.1e-148    3e-145  481.2  41.6     1   271    14   291    14   292 0.98 | transcript=PVPAM_120060100_t1 | gene=PVPAM_120060100 | organism=Plasmodium_vivax_PAM | gene_product=leucine-rich repeat protein | transcript_product=leucine-rich repeat protein | location=CASCJQ010000012:2228762-2229847(-) | protein_length=361 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7719283.1         -            317 10298at5820          -            272   1.4e-30  105.1  47.4   1   3   2.6e-13   1.5e-10   39.4  18.4    96   192    23   119     3   120 0.64 | transcript=PVPAM_060029000_t1 | gene=PVPAM_060029000 | organism=Plasmodium_vivax_PAM | gene_product=leucine-rich repeat protein | transcript_product=leucine-rich repeat protein | location=CASCJQ010000006:984401-985891(-) | protein_length=317 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7719283.1         -            317 10298at5820          -            272   1.4e-30  105.1  47.4   2   3   5.7e-15   3.3e-12   44.9   7.9    81   169    96   183    95   187 0.89 | transcript=PVPAM_060029000_t1 | gene=PVPAM_060029000 | organism=Plasmodium_vivax_PAM | gene_product=leucine-rich repeat protein | transcript_product=leucine-rich repeat protein | location=CASCJQ010000006:984401-985891(-) | protein_length=317 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7719283.1         -            317 10298at5820          -            272   1.4e-30  105.1  47.4   3   3   5.5e-14   3.2e-11   41.6  11.5    81   168   185   276   182   289 0.87 | transcript=PVPAM_060029000_t1 | gene=PVPAM_060029000 | organism=Plasmodium_vivax_PAM | gene_product=leucine-rich repeat protein | transcript_product=leucine-rich repeat protein | location=CASCJQ010000006:984401-985891(-) | protein_length=317 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7722825.1         -           1493 10298at5820          -            272   1.6e-15   55.7  73.9   1   7    0.0011      0.67    7.8   8.1    45   122    28   105     9   108 0.73 | transcript=PVPAM_130032700_t1 | gene=PVPAM_130032700 | organism=Plasmodium_vivax_PAM | gene_product=leucine-rich repeat protein | transcript_product=leucine-rich repeat protein | location=CASCJQ010000013:1261016-1268241(+) | protein_length=1493 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7722825.1         -           1493 10298at5820          -            272   1.6e-15   55.7  73.9   2   7     1e-07     6e-05   21.1   0.4    40   111   112   183   106   198 0.77 | transcript=PVPAM_130032700_t1 | gene=PVPAM_130032700 | organism=Plasmodium_vivax_PAM | gene_product=leucine-rich repeat protein | transcript_product=leucine-rich repeat protein | location=CASCJQ010000013:1261016-1268241(+) | protein_length=1493 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7722825.1         -           1493 10298at5820          -            272   1.6e-15   55.7  73.9   3   7       4.8   2.8e+03   -4.1   0.2    88   118   687   717   676   728 0.60 | transcript=PVPAM_130032700_t1 | gene=PVPAM_130032700 | organism=Plasmodium_vivax_PAM | gene_product=leucine-rich repeat protein | transcript_product=leucine-rich repeat protein | location=CASCJQ010000013:1261016-1268241(+) | protein_length=1493 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7722825.1         -           1493 10298at5820          -            272   1.6e-15   55.7  73.9   4   7   6.1e-05     0.036   12.0   0.1    66   153   804   899   786   917 0.75 | transcript=PVPAM_130032700_t1 | gene=PVPAM_130032700 | organism=Plasmodium_vivax_PAM | gene_product=leucine-rich repeat protein | transcript_product=leucine-rich repeat protein | location=CASCJQ010000013:1261016-1268241(+) | protein_length=1493 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7722825.1         -           1493 10298at5820          -            272   1.6e-15   55.7  73.9   5   7     8e-05     0.047   11.6  16.5    45   166   981  1105   975  1106 0.62 | transcript=PVPAM_130032700_t1 | gene=PVPAM_130032700 | organism=Plasmodium_vivax_PAM | gene_product=leucine-rich repeat protein | transcript_product=leucine-rich repeat protein | location=CASCJQ010000013:1261016-1268241(+) | protein_length=1493 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7722825.1         -           1493 10298at5820          -            272   1.6e-15   55.7  73.9   6   7      0.26   1.5e+02    0.1  13.3    88   232  1068  1217  1063  1225 0.57 | transcript=PVPAM_130032700_t1 | gene=PVPAM_130032700 | organism=Plasmodium_vivax_PAM | gene_product=leucine-rich repeat protein | transcript_product=leucine-rich repeat protein | location=CASCJQ010000013:1261016-1268241(+) | protein_length=1493 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7722825.1         -           1493 10298at5820          -            272   1.6e-15   55.7  73.9   7   7   5.8e-10   3.4e-07   28.4   5.2    42   162  1235  1358  1228  1402 0.72 | transcript=PVPAM_130032700_t1 | gene=PVPAM_130032700 | organism=Plasmodium_vivax_PAM | gene_product=leucine-rich repeat protein | transcript_product=leucine-rich repeat protein | location=CASCJQ010000013:1261016-1268241(+) | protein_length=1493 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7720749.1         -            340 10298at5820          -            272   8.1e-12   43.6  28.5   1   1   2.4e-14   1.4e-11   42.8  28.5    25   193   106   275    97   321 0.86 | transcript=PVPAM_090051300_t1 | gene=PVPAM_090051300 | organism=Plasmodium_vivax_PAM | gene_product=leucine-rich repeat protein | transcript_product=leucine-rich repeat protein | location=CASCJQ010000009:2058046-2059068(+) | protein_length=340 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7721044.1         -            371 10298at5820          -            272   1.7e-09   36.0  23.7   1   3   1.4e-07   8.2e-05   20.6   3.0    84   146    32    92    14    95 0.83 | transcript=PVPAM_100031200_t1 | gene=PVPAM_100031200 | organism=Plasmodium_vivax_PAM | gene_product=leucine-rich repeat protein | transcript_product=leucine-rich repeat protein | location=CASCJQ010000010:1136254-1137982(-) | protein_length=371 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7721044.1         -            371 10298at5820          -            272   1.7e-09   36.0  23.7   2   3   9.8e-09   5.8e-06   24.4   3.2    83   145    92   159    89   165 0.80 | transcript=PVPAM_100031200_t1 | gene=PVPAM_100031200 | organism=Plasmodium_vivax_PAM | gene_product=leucine-rich repeat protein | transcript_product=leucine-rich repeat protein | location=CASCJQ010000010:1136254-1137982(-) | protein_length=371 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7721044.1         -            371 10298at5820          -            272   1.7e-09   36.0  23.7   3   3     0.072        42    1.9   2.8   102   129   273   301   248   361 0.45 | transcript=PVPAM_100031200_t1 | gene=PVPAM_100031200 | organism=Plasmodium_vivax_PAM | gene_product=leucine-rich repeat protein | transcript_product=leucine-rich repeat protein | location=CASCJQ010000010:1136254-1137982(-) | protein_length=371 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7718799.1         -            198 10298at5820          -            272   8.4e-09   33.7   9.0   1   1   8.1e-11   4.8e-08   31.3   8.8    40   145    48   157     4   175 0.71 | transcript=PVPAM_050019300_t1 | gene=PVPAM_050019300 | organism=Plasmodium_vivax_PAM | gene_product=dynein light chain 1, putative | transcript_product=dynein light chain 1, putative | location=CASCJQ010000005:638781-640263(+) | protein_length=198 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7719748.1         -            635 10298at5820          -            272   4.9e-08   31.2  24.2   1   3   8.4e-11   4.9e-08   31.2  24.2    49   158    80   189    68   196 0.88 | transcript=PVPAM_070036200_t1 | gene=PVPAM_070036200 | organism=Plasmodium_vivax_PAM | gene_product=leucine-rich repeat protein | transcript_product=leucine-rich repeat protein | location=CASCJQ010000007:1300627-1303268(-) | protein_length=635 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7719748.1         -            635 10298at5820          -            272   4.9e-08   31.2  24.2   2   3      0.14        81    1.0   0.4    80   106   180   206   178   223 0.74 | transcript=PVPAM_070036200_t1 | gene=PVPAM_070036200 | organism=Plasmodium_vivax_PAM | gene_product=leucine-rich repeat protein | transcript_product=leucine-rich repeat protein | location=CASCJQ010000007:1300627-1303268(-) | protein_length=635 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7719748.1         -            635 10298at5820          -            272   4.9e-08   31.2  24.2   3   3       2.8   1.6e+03   -3.3   2.2   158   166   520   528   462   578 0.51 | transcript=PVPAM_070036200_t1 | gene=PVPAM_070036200 | organism=Plasmodium_vivax_PAM | gene_product=leucine-rich repeat protein | transcript_product=leucine-rich repeat protein | location=CASCJQ010000007:1300627-1303268(-) | protein_length=635 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7723619.1         -            438 10298at5820          -            272   2.2e-06   25.8  14.6   1   2   3.7e-09   2.2e-06   25.8  14.6    33   135    11   112     3   144 0.80 | transcript=PVPAM_140054300_t1 | gene=PVPAM_140054300 | organism=Plasmodium_vivax_PAM | gene_product=leucine-rich repeat protein | transcript_product=leucine-rich repeat protein | location=CASCJQ010000014:2119853-2121416(-) | protein_length=438 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7723619.1         -            438 10298at5820          -            272   2.2e-06   25.8  14.6   2   2       3.5   2.1e+03   -3.6   0.1   227   248   281   302   265   318 0.53 | transcript=PVPAM_140054300_t1 | gene=PVPAM_140054300 | organism=Plasmodium_vivax_PAM | gene_product=leucine-rich repeat protein | transcript_product=leucine-rich repeat protein | location=CASCJQ010000014:2119853-2121416(-) | protein_length=438 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7721881.1         -            250 10298at5820          -            272   3.9e-06   25.0  19.5   1   2   6.7e-09   3.9e-06   25.0  19.5    31   144    11   125     1   132 0.89 | transcript=PVPAM_120011500_t1 | gene=PVPAM_120011500 | organism=Plasmodium_vivax_PAM | gene_product=centrosomal protein CEP72, putative | transcript_product=centrosomal protein CEP72, putative | location=CASCJQ010000012:270052-271785(-) | protein_length=250 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7721881.1         -            250 10298at5820          -            272   3.9e-06   25.0  19.5   2   2     0.019        11    3.8   6.2    93   153   118   185   118   204 0.75 | transcript=PVPAM_120011500_t1 | gene=PVPAM_120011500 | organism=Plasmodium_vivax_PAM | gene_product=centrosomal protein CEP72, putative | transcript_product=centrosomal protein CEP72, putative | location=CASCJQ010000012:270052-271785(-) | protein_length=250 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7721160.1         -            176 10298at5820          -            272   4.6e-06   24.7  16.3   1   1   1.2e-08   7.3e-06   24.1  15.3    67   165    19   123     5   142 0.80 | transcript=PVPAM_110006200_t1 | gene=PVPAM_110006200 | organism=Plasmodium_vivax_PAM | gene_product=U2 small nuclear ribonucleoprotein A', putative | transcript_product=U2 small nuclear ribonucleoprotein A', putative | location=CASCJQ010000011:47761-49104(+) | protein_length=176 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7719507.1         -            414 10298at5820          -            272   0.00051   18.0   9.3   1   2    0.0055       3.2    5.6   0.8    37   126   133   221    98   225 0.73 | transcript=PVPAM_070012100_t1 | gene=PVPAM_070012100 | organism=Plasmodium_vivax_PAM | gene_product=leucine-rich repeat protein | transcript_product=leucine-rich repeat protein | location=CASCJQ010000007:406377-407621(-) | protein_length=414 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7719507.1         -            414 10298at5820          -            272   0.00051   18.0   9.3   2   2   2.4e-06    0.0014   16.6   2.2    67   120   274   331   268   336 0.85 | transcript=PVPAM_070012100_t1 | gene=PVPAM_070012100 | organism=Plasmodium_vivax_PAM | gene_product=leucine-rich repeat protein | transcript_product=leucine-rich repeat protein | location=CASCJQ010000007:406377-407621(-) | protein_length=414 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/10298at5820.hmm
# Target file:     /v3/inputs/annotations/plasmodb-68/PAM.proteins.fa
# Option settings: hmmsearch --domtblout /v3/work/00_inventory/busco/PAM_proteins/run_plasmodium_odb10/hmmer_output/initial_run_results/10298at5820.out --cpu 1 /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/10298at5820.hmm /v3/inputs/annotations/plasmodb-68/PAM.proteins.fa 
# Current dir:     /v3/work/00_inventory/busco
# Date:            Tue May 19 17:25:31 2026
# [ok]
