#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
CAI7720588.1         -            441 6608at5820           -            402  1.8e-275  911.6   5.1   1   1  7.4e-278  2.3e-275  911.3   5.1     1   402    22   441    22   441 0.99 | transcript=PVPAM_090035300_t1 | gene=PVPAM_090035300 | organism=Plasmodium_vivax_PAM | gene_product=26S protease regulatory subunit 6A, putative | transcript_product=26S protease regulatory subunit 6A, putative | location=CASCJQ010000009:1347152-1348477(+) | protein_length=441 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7721437.1         -            822 6608at5820           -            402  5.4e-118  393.1   0.1   1   2   3.7e-63   1.1e-60  204.3   0.1   146   384   204   439   156   455 0.90 | transcript=PVPAM_110034300_t1 | gene=PVPAM_110034300 | organism=Plasmodium_vivax_PAM | gene_product=AAA family ATPase, CDC48 subfamily, putative | transcript_product=AAA family ATPase, CDC48 subfamily, putative | location=CASCJQ010000011:1241062-1243697(+) | protein_length=822 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7721437.1         -            822 6608at5820           -            402  5.4e-118  393.1   0.1   2   2   8.9e-58   2.7e-55  186.5   0.0   139   374   470   705   465   716 0.97 | transcript=PVPAM_110034300_t1 | gene=PVPAM_110034300 | organism=Plasmodium_vivax_PAM | gene_product=AAA family ATPase, CDC48 subfamily, putative | transcript_product=AAA family ATPase, CDC48 subfamily, putative | location=CASCJQ010000011:1241062-1243697(+) | protein_length=822 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7717729.1         -           1089 6608at5820           -            402  5.7e-110  366.6   0.5   1   2   1.6e-61   4.9e-59  198.9   0.2   127   385   456   711   445   721 0.91 | transcript=PVPAM_010024300_t1 | gene=PVPAM_010024300 | organism=Plasmodium_vivax_PAM | gene_product=AAA family ATPase, CDC48 subfamily, putative | transcript_product=AAA family ATPase, CDC48 subfamily, putative | location=CASCJQ010000001:887950-891219(-) | protein_length=1089 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7717729.1         -           1089 6608at5820           -            402  5.7e-110  366.6   0.5   2   2   1.9e-51     6e-49  165.7   0.0   142   371   789  1016   783  1024 0.94 | transcript=PVPAM_010024300_t1 | gene=PVPAM_010024300 | organism=Plasmodium_vivax_PAM | gene_product=AAA family ATPase, CDC48 subfamily, putative | transcript_product=AAA family ATPase, CDC48 subfamily, putative | location=CASCJQ010000001:887950-891219(-) | protein_length=1089 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7719980.1         -            447 6608at5820           -            402  1.1e-100  336.1   1.0   1   1  4.7e-103  1.4e-100  335.7   1.0    81   395   127   438    63   442 0.95 | transcript=PVPAM_080020200_t1 | gene=PVPAM_080020200 | organism=Plasmodium_vivax_PAM | gene_product=26S protease regulatory subunit 4, putative | transcript_product=26S protease regulatory subunit 4, putative | location=CASCJQ010000008:717094-718726(-) | protein_length=447 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7723825.1         -            424 6608at5820           -            402   4.3e-95  317.6   1.0   1   1   1.7e-97   5.3e-95  317.3   1.0    95   393   114   411    48   420 0.95 | transcript=PVPAM_140074800_t1 | gene=PVPAM_140074800 | organism=Plasmodium_vivax_PAM | gene_product=26S protease regulatory subunit 8, putative | transcript_product=26S protease regulatory subunit 8, putative | location=CASCJQ010000014:2935721-2936995(-) | protein_length=424 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7718885.1         -            392 6608at5820           -            402   5.2e-94  314.1   0.3   1   2      0.42   1.3e+02   -0.1   2.0    10    33    33    56    15    70 0.67 | transcript=PVPAM_050027700_t1 | gene=PVPAM_050027700 | organism=Plasmodium_vivax_PAM | gene_product=26S protease regulatory subunit 6B, putative | transcript_product=26S protease regulatory subunit 6B, putative | location=CASCJQ010000005:947308-948671(-) | protein_length=392 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7718885.1         -            392 6608at5820           -            402   5.2e-94  314.1   0.3   2   2   1.7e-96   5.2e-94  314.1   0.3    93   394    82   383    61   391 0.95 | transcript=PVPAM_050027700_t1 | gene=PVPAM_050027700 | organism=Plasmodium_vivax_PAM | gene_product=26S protease regulatory subunit 6B, putative | transcript_product=26S protease regulatory subunit 6B, putative | location=CASCJQ010000005:947308-948671(-) | protein_length=392 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7723281.1         -            420 6608at5820           -            402   4.1e-92  307.8   0.3   1   1   1.8e-94   5.5e-92  307.4   0.3   101   392   114   405    86   416 0.95 | transcript=PVPAM_140020000_t1 | gene=PVPAM_140020000 | organism=Plasmodium_vivax_PAM | gene_product=26S protease regulatory subunit 7, putative | transcript_product=26S protease regulatory subunit 7, putative | location=CASCJQ010000014:667717-669210(-) | protein_length=420 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7723229.1         -            393 6608at5820           -            402   1.9e-87  292.4   1.8   1   1   8.7e-90   2.7e-87  292.0   1.8    84   393    66   381     3   388 0.90 | transcript=PVPAM_140014800_t1 | gene=PVPAM_140014800 | organism=Plasmodium_vivax_PAM | gene_product=26S protease regulatory subunit 10B, putative | transcript_product=26S protease regulatory subunit 10B, putative | location=CASCJQ010000014:461124-462305(-) | protein_length=393 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7723005.1         -           1175 6608at5820           -            402   1.6e-66  223.6   1.9   1   4   1.5e-10   4.5e-08   31.1   0.1   147   216   344   413   328   429 0.84 | transcript=PVPAM_130051100_t1 | gene=PVPAM_130051100 | organism=Plasmodium_vivax_PAM | gene_product=AAA family ATPase, putative | transcript_product=AAA family ATPase, putative | location=CASCJQ010000013:2025318-2028845(-) | protein_length=1175 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7723005.1         -           1175 6608at5820           -            402   1.6e-66  223.6   1.9   2   4     2e-12   6.3e-10   37.2   0.2   239   363   494   613   482   636 0.80 | transcript=PVPAM_130051100_t1 | gene=PVPAM_130051100 | organism=Plasmodium_vivax_PAM | gene_product=AAA family ATPase, putative | transcript_product=AAA family ATPase, putative | location=CASCJQ010000013:2025318-2028845(-) | protein_length=1175 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7723005.1         -           1175 6608at5820           -            402   1.6e-66  223.6   1.9   3   4   5.1e-45   1.6e-42  144.5   0.0   142   331   761   947   750   961 0.94 | transcript=PVPAM_130051100_t1 | gene=PVPAM_130051100 | organism=Plasmodium_vivax_PAM | gene_product=AAA family ATPase, putative | transcript_product=AAA family ATPase, putative | location=CASCJQ010000013:2025318-2028845(-) | protein_length=1175 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7723005.1         -           1175 6608at5820           -            402   1.6e-66  223.6   1.9   4   4    0.0036       1.1    6.7   0.0   347   376  1092  1121  1079  1131 0.80 | transcript=PVPAM_130051100_t1 | gene=PVPAM_130051100 | organism=Plasmodium_vivax_PAM | gene_product=AAA family ATPase, putative | transcript_product=AAA family ATPase, putative | location=CASCJQ010000013:2025318-2028845(-) | protein_length=1175 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7723739.1         -            896 6608at5820           -            402   2.6e-55  186.6   0.1   1   1   1.5e-57   4.5e-55  185.8   0.1   148   376   160   390   155   407 0.93 | transcript=PVPAM_140066300_t1 | gene=PVPAM_140066300 | organism=Plasmodium_vivax_PAM | gene_product=ATP-dependent zinc metalloprotease FTSH 1, putative | transcript_product=ATP-dependent zinc metalloprotease FTSH 1, putative | location=CASCJQ010000014:2628494-2631184(+) | protein_length=896 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7722234.1         -            702 6608at5820           -            402   4.8e-54  182.4   0.6   1   1   2.9e-56   8.9e-54  181.6   0.6   141   384   242   481   224   499 0.90 | transcript=PVPAM_120047100_t1 | gene=PVPAM_120047100 | organism=Plasmodium_vivax_PAM | gene_product=ATP-dependent zinc metalloprotease FTSH, putative | transcript_product=ATP-dependent zinc metalloprotease FTSH, putative | location=CASCJQ010000012:1695818-1697926(+) | protein_length=702 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
