#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
CAI7720879.1         -           1619 1487at5820           -            996         0 1431.3  89.5   1   9   3.9e-45     5e-42  142.6   4.9     1    96    24   130    24   135 0.93 | transcript=PVPAM_100014700_t1 | gene=PVPAM_100014700 | organism=Plasmodium_vivax_PAM | gene_product=WD repeat-containing protein, putative | transcript_product=WD repeat-containing protein, putative | location=CASCJQ010000010:417201-422060(+) | protein_length=1619 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7720879.1         -           1619 1487at5820           -            996         0 1431.3  89.5   2   9   9.4e-58   1.2e-54  184.3   1.4    97   211   156   282   152   288 0.89 | transcript=PVPAM_100014700_t1 | gene=PVPAM_100014700 | organism=Plasmodium_vivax_PAM | gene_product=WD repeat-containing protein, putative | transcript_product=WD repeat-containing protein, putative | location=CASCJQ010000010:417201-422060(+) | protein_length=1619 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7720879.1         -           1619 1487at5820           -            996         0 1431.3  89.5   3   9   2.3e-38     3e-35  120.2   0.3   210   296   325   418   315   423 0.90 | transcript=PVPAM_100014700_t1 | gene=PVPAM_100014700 | organism=Plasmodium_vivax_PAM | gene_product=WD repeat-containing protein, putative | transcript_product=WD repeat-containing protein, putative | location=CASCJQ010000010:417201-422060(+) | protein_length=1619 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7720879.1         -           1619 1487at5820           -            996         0 1431.3  89.5   4   9   1.9e-55   2.4e-52  176.7   5.2   289   421   505   669   495   671 0.82 | transcript=PVPAM_100014700_t1 | gene=PVPAM_100014700 | organism=Plasmodium_vivax_PAM | gene_product=WD repeat-containing protein, putative | transcript_product=WD repeat-containing protein, putative | location=CASCJQ010000010:417201-422060(+) | protein_length=1619 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7720879.1         -           1619 1487at5820           -            996         0 1431.3  89.5   5   9   4.6e-71     6e-68  228.4  11.6   431   582   729   904   722   905 0.89 | transcript=PVPAM_100014700_t1 | gene=PVPAM_100014700 | organism=Plasmodium_vivax_PAM | gene_product=WD repeat-containing protein, putative | transcript_product=WD repeat-containing protein, putative | location=CASCJQ010000010:417201-422060(+) | protein_length=1619 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7720879.1         -           1619 1487at5820           -            996         0 1431.3  89.5   6   9     4e-59   5.2e-56  188.9   9.1   581   690   960  1079   957  1089 0.91 | transcript=PVPAM_100014700_t1 | gene=PVPAM_100014700 | organism=Plasmodium_vivax_PAM | gene_product=WD repeat-containing protein, putative | transcript_product=WD repeat-containing protein, putative | location=CASCJQ010000010:417201-422060(+) | protein_length=1619 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7720879.1         -           1619 1487at5820           -            996         0 1431.3  89.5   7   9   1.4e-74   1.8e-71  240.1   3.1   692   845  1163  1323  1156  1332 0.94 | transcript=PVPAM_100014700_t1 | gene=PVPAM_100014700 | organism=Plasmodium_vivax_PAM | gene_product=WD repeat-containing protein, putative | transcript_product=WD repeat-containing protein, putative | location=CASCJQ010000010:417201-422060(+) | protein_length=1619 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7720879.1         -           1619 1487at5820           -            996         0 1431.3  89.5   8   9   1.4e-55   1.9e-52  177.1   1.2   847   976  1403  1560  1398  1565 0.87 | transcript=PVPAM_100014700_t1 | gene=PVPAM_100014700 | organism=Plasmodium_vivax_PAM | gene_product=WD repeat-containing protein, putative | transcript_product=WD repeat-containing protein, putative | location=CASCJQ010000010:417201-422060(+) | protein_length=1619 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7720879.1         -           1619 1487at5820           -            996         0 1431.3  89.5   9   9   3.1e-05      0.04   10.5   0.0   976   996  1596  1616  1590  1616 0.92 | transcript=PVPAM_100014700_t1 | gene=PVPAM_100014700 | organism=Plasmodium_vivax_PAM | gene_product=WD repeat-containing protein, putative | transcript_product=WD repeat-containing protein, putative | location=CASCJQ010000010:417201-422060(+) | protein_length=1619 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7718796.1         -            324 1487at5820           -            996   1.5e-07   28.4   6.4   1   3   4.9e-10   6.3e-07   26.4   3.6   141   296    40   189    26   196 0.81 | transcript=PVPAM_050019000_t1 | gene=PVPAM_050019000 | organism=Plasmodium_vivax_PAM | gene_product=U5 small nuclear ribonucleoprotein 40 kDa protein, putative | transcript_product=U5 small nuclear ribonucleoprotein 40 kDa protein, putative | location=CASCJQ010000005:627988-628962(-) | protein_length=324 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7718796.1         -            324 1487at5820           -            996   1.5e-07   28.4   6.4   2   3     0.055        71   -0.3   0.0   910   945   199   234   167   255 0.83 | transcript=PVPAM_050019000_t1 | gene=PVPAM_050019000 | organism=Plasmodium_vivax_PAM | gene_product=U5 small nuclear ribonucleoprotein 40 kDa protein, putative | transcript_product=U5 small nuclear ribonucleoprotein 40 kDa protein, putative | location=CASCJQ010000005:627988-628962(-) | protein_length=324 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
