#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
CAI7720049.1         -           2415 682at5820            -           1021  6.5e-252  837.3 204.2   1  15         1   6.5e+03  -10.3  16.0   438   865    53   185    16   282 0.48 | transcript=PVPAM_080027100_t1 | gene=PVPAM_080027100 | organism=Plasmodium_vivax_PAM | gene_product=protein KIC8, putative | transcript_product=protein KIC8, putative | location=CASCJQ010000008:1019952-1027199(-) | protein_length=2415 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7720049.1         -           2415 682at5820            -           1021  6.5e-252  837.3 204.2   2  15   1.4e-21   9.2e-18   62.1   4.7    10    93   295   385   284   391 0.85 | transcript=PVPAM_080027100_t1 | gene=PVPAM_080027100 | organism=Plasmodium_vivax_PAM | gene_product=protein KIC8, putative | transcript_product=protein KIC8, putative | location=CASCJQ010000008:1019952-1027199(-) | protein_length=2415 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7720049.1         -           2415 682at5820            -           1021  6.5e-252  837.3 204.2   3  15   3.3e-19   2.1e-15   54.3   0.1   110   149   441   480   408   501 0.85 | transcript=PVPAM_080027100_t1 | gene=PVPAM_080027100 | organism=Plasmodium_vivax_PAM | gene_product=protein KIC8, putative | transcript_product=protein KIC8, putative | location=CASCJQ010000008:1019952-1027199(-) | protein_length=2415 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7720049.1         -           2415 682at5820            -           1021  6.5e-252  837.3 204.2   4  15   1.3e-36   8.7e-33  111.8   0.3   154   237   530   616   516   619 0.92 | transcript=PVPAM_080027100_t1 | gene=PVPAM_080027100 | organism=Plasmodium_vivax_PAM | gene_product=protein KIC8, putative | transcript_product=protein KIC8, putative | location=CASCJQ010000008:1019952-1027199(-) | protein_length=2415 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7720049.1         -           2415 682at5820            -           1021  6.5e-252  837.3 204.2   5  15   6.5e-76   4.2e-72  242.0  12.2   230   366   636   785   632   798 0.91 | transcript=PVPAM_080027100_t1 | gene=PVPAM_080027100 | organism=Plasmodium_vivax_PAM | gene_product=protein KIC8, putative | transcript_product=protein KIC8, putative | location=CASCJQ010000008:1019952-1027199(-) | protein_length=2415 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7720049.1         -           2415 682at5820            -           1021  6.5e-252  837.3 204.2   6  15   1.4e-15   8.7e-12   42.3   3.8   364   405   837   878   828   886 0.87 | transcript=PVPAM_080027100_t1 | gene=PVPAM_080027100 | organism=Plasmodium_vivax_PAM | gene_product=protein KIC8, putative | transcript_product=protein KIC8, putative | location=CASCJQ010000008:1019952-1027199(-) | protein_length=2415 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7720049.1         -           2415 682at5820            -           1021  6.5e-252  837.3 204.2   7  15         1   6.5e+03   -8.1  28.6   395   480   954  1042   944  1060 0.69 | transcript=PVPAM_080027100_t1 | gene=PVPAM_080027100 | organism=Plasmodium_vivax_PAM | gene_product=protein KIC8, putative | transcript_product=protein KIC8, putative | location=CASCJQ010000008:1019952-1027199(-) | protein_length=2415 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7720049.1         -           2415 682at5820            -           1021  6.5e-252  837.3 204.2   8  15     8e-07    0.0052   13.3   1.6   407   476  1060  1130  1040  1156 0.77 | transcript=PVPAM_080027100_t1 | gene=PVPAM_080027100 | organism=Plasmodium_vivax_PAM | gene_product=protein KIC8, putative | transcript_product=protein KIC8, putative | location=CASCJQ010000008:1019952-1027199(-) | protein_length=2415 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7720049.1         -           2415 682at5820            -           1021  6.5e-252  837.3 204.2   9  15   0.00034       2.2    4.6   0.2   497   534  1266  1303  1212  1317 0.69 | transcript=PVPAM_080027100_t1 | gene=PVPAM_080027100 | organism=Plasmodium_vivax_PAM | gene_product=protein KIC8, putative | transcript_product=protein KIC8, putative | location=CASCJQ010000008:1019952-1027199(-) | protein_length=2415 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7720049.1         -           2415 682at5820            -           1021  6.5e-252  837.3 204.2  10  15   2.1e-16   1.3e-12   45.0  11.5   500   621  1434  1555  1424  1568 0.76 | transcript=PVPAM_080027100_t1 | gene=PVPAM_080027100 | organism=Plasmodium_vivax_PAM | gene_product=protein KIC8, putative | transcript_product=protein KIC8, putative | location=CASCJQ010000008:1019952-1027199(-) | protein_length=2415 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7720049.1         -           2415 682at5820            -           1021  6.5e-252  837.3 204.2  11  15     3e-22     2e-18   64.3   5.8   616   724  1608  1714  1591  1721 0.74 | transcript=PVPAM_080027100_t1 | gene=PVPAM_080027100 | organism=Plasmodium_vivax_PAM | gene_product=protein KIC8, putative | transcript_product=protein KIC8, putative | location=CASCJQ010000008:1019952-1027199(-) | protein_length=2415 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
