#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
CAI7722804.1         -           7306 40at5820             -           4729         0 6837.3 400.9   1  29   1.6e-22     1e-18   63.5   0.2    33    86   165   218   161   223 0.95 | transcript=PVPAM_130030500_t1 | gene=PVPAM_130030500 | organism=Plasmodium_vivax_PAM | gene_product=dynein-related AAA-type ATPase, putative | transcript_product=dynein-related AAA-type ATPase, putative | location=CASCJQ010000013:1138494-1160414(+) | protein_length=7306 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7722804.1         -           7306 40at5820             -           4729         0 6837.3 400.9   2  29   9.4e-35   6.1e-31  104.1   0.7    87   160   273   346   261   350 0.92 | transcript=PVPAM_130030500_t1 | gene=PVPAM_130030500 | organism=Plasmodium_vivax_PAM | gene_product=dynein-related AAA-type ATPase, putative | transcript_product=dynein-related AAA-type ATPase, putative | location=CASCJQ010000013:1138494-1160414(+) | protein_length=7306 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7722804.1         -           7306 40at5820             -           4729         0 6837.3 400.9   3  29     4e-18   2.6e-14   48.9   0.4   156   209   374   429   371   445 0.92 | transcript=PVPAM_130030500_t1 | gene=PVPAM_130030500 | organism=Plasmodium_vivax_PAM | gene_product=dynein-related AAA-type ATPase, putative | transcript_product=dynein-related AAA-type ATPase, putative | location=CASCJQ010000013:1138494-1160414(+) | protein_length=7306 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7722804.1         -           7306 40at5820             -           4729         0 6837.3 400.9   4  29   7.9e-90   5.1e-86  286.9   3.6   213   391   486   686   476   693 0.89 | transcript=PVPAM_130030500_t1 | gene=PVPAM_130030500 | organism=Plasmodium_vivax_PAM | gene_product=dynein-related AAA-type ATPase, putative | transcript_product=dynein-related AAA-type ATPase, putative | location=CASCJQ010000013:1138494-1160414(+) | protein_length=7306 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7722804.1         -           7306 40at5820             -           4729         0 6837.3 400.9   5  29  3.6e-159  2.3e-155  517.1  14.3   396   711   725  1063   717  1069 0.96 | transcript=PVPAM_130030500_t1 | gene=PVPAM_130030500 | organism=Plasmodium_vivax_PAM | gene_product=dynein-related AAA-type ATPase, putative | transcript_product=dynein-related AAA-type ATPase, putative | location=CASCJQ010000013:1138494-1160414(+) | protein_length=7306 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7722804.1         -           7306 40at5820             -           4729         0 6837.3 400.9   6  29   2.4e-55   1.6e-51  172.4   0.1   725   815  1131  1221  1117  1243 0.88 | transcript=PVPAM_130030500_t1 | gene=PVPAM_130030500 | organism=Plasmodium_vivax_PAM | gene_product=dynein-related AAA-type ATPase, putative | transcript_product=dynein-related AAA-type ATPase, putative | location=CASCJQ010000013:1138494-1160414(+) | protein_length=7306 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7722804.1         -           7306 40at5820             -           4729         0 6837.3 400.9   7  29   7.8e-95     5e-91  303.5   0.2   810   995  1257  1456  1254  1467 0.92 | transcript=PVPAM_130030500_t1 | gene=PVPAM_130030500 | organism=Plasmodium_vivax_PAM | gene_product=dynein-related AAA-type ATPase, putative | transcript_product=dynein-related AAA-type ATPase, putative | location=CASCJQ010000013:1138494-1160414(+) | protein_length=7306 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7722804.1         -           7306 40at5820             -           4729         0 6837.3 400.9   8  29  3.3e-219  2.1e-215  716.4   4.9   986  1311  1490  1815  1484  1821 0.99 | transcript=PVPAM_130030500_t1 | gene=PVPAM_130030500 | organism=Plasmodium_vivax_PAM | gene_product=dynein-related AAA-type ATPase, putative | transcript_product=dynein-related AAA-type ATPase, putative | location=CASCJQ010000013:1138494-1160414(+) | protein_length=7306 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7722804.1         -           7306 40at5820             -           4729         0 6837.3 400.9   9  29         0         0 1298.1  14.3  1311  1988  1844  2599  1837  2618 0.91 | transcript=PVPAM_130030500_t1 | gene=PVPAM_130030500 | organism=Plasmodium_vivax_PAM | gene_product=dynein-related AAA-type ATPase, putative | transcript_product=dynein-related AAA-type ATPase, putative | location=CASCJQ010000013:1138494-1160414(+) | protein_length=7306 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7722804.1         -           7306 40at5820             -           4729         0 6837.3 400.9  10  29  4.3e-137  2.8e-133  443.8   8.5  1997  2272  2667  2979  2657  2984 0.91 | transcript=PVPAM_130030500_t1 | gene=PVPAM_130030500 | organism=Plasmodium_vivax_PAM | gene_product=dynein-related AAA-type ATPase, putative | transcript_product=dynein-related AAA-type ATPase, putative | location=CASCJQ010000013:1138494-1160414(+) | protein_length=7306 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7722804.1         -           7306 40at5820             -           4729         0 6837.3 400.9  11  29   3.1e-08    0.0002   16.0   0.0  2248  2302  3042  3096  3037  3100 0.91 | transcript=PVPAM_130030500_t1 | gene=PVPAM_130030500 | organism=Plasmodium_vivax_PAM | gene_product=dynein-related AAA-type ATPase, putative | transcript_product=dynein-related AAA-type ATPase, putative | location=CASCJQ010000013:1138494-1160414(+) | protein_length=7306 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
