#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
CAI7718763.1         -           8560 24at5820             -           4512         0 7727.1 818.2   1  39   1.5e-49   1.1e-46  156.3   2.1     1    81     1    81     1    88 0.98 | transcript=PVPAM_050015700_t1 | gene=PVPAM_050015700 | organism=Plasmodium_vivax_PAM | gene_product=HECT-like E3 ubiquitin ligase, putative | transcript_product=HECT-like E3 ubiquitin ligase, putative | location=CASCJQ010000005:489771-515453(+) | protein_length=8560 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7718763.1         -           8560 24at5820             -           4512         0 7727.1 818.2   2  39  1.4e-199    1e-196  654.3  33.9    80   421   137   484   133   489 0.98 | transcript=PVPAM_050015700_t1 | gene=PVPAM_050015700 | organism=Plasmodium_vivax_PAM | gene_product=HECT-like E3 ubiquitin ligase, putative | transcript_product=HECT-like E3 ubiquitin ligase, putative | location=CASCJQ010000005:489771-515453(+) | protein_length=8560 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7718763.1         -           8560 24at5820             -           4512         0 7727.1 818.2   3  39   1.5e-99   1.1e-96  322.2  11.7   426   592   748   917   742   928 0.97 | transcript=PVPAM_050015700_t1 | gene=PVPAM_050015700 | organism=Plasmodium_vivax_PAM | gene_product=HECT-like E3 ubiquitin ligase, putative | transcript_product=HECT-like E3 ubiquitin ligase, putative | location=CASCJQ010000005:489771-515453(+) | protein_length=8560 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7718763.1         -           8560 24at5820             -           4512         0 7727.1 818.2   4  39  1.7e-227  1.2e-224  746.9  37.5   598   963   975  1356   963  1361 0.96 | transcript=PVPAM_050015700_t1 | gene=PVPAM_050015700 | organism=Plasmodium_vivax_PAM | gene_product=HECT-like E3 ubiquitin ligase, putative | transcript_product=HECT-like E3 ubiquitin ligase, putative | location=CASCJQ010000005:489771-515453(+) | protein_length=8560 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7718763.1         -           8560 24at5820             -           4512         0 7727.1 818.2   5  39  9.9e-129  7.1e-126  419.1  18.5   956  1184  1385  1613  1382  1615 0.99 | transcript=PVPAM_050015700_t1 | gene=PVPAM_050015700 | organism=Plasmodium_vivax_PAM | gene_product=HECT-like E3 ubiquitin ligase, putative | transcript_product=HECT-like E3 ubiquitin ligase, putative | location=CASCJQ010000005:489771-515453(+) | protein_length=8560 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7718763.1         -           8560 24at5820             -           4512         0 7727.1 818.2   6  39     5e-66   3.6e-63  211.0   0.7  1187  1304  1723  1854  1697  1864 0.91 | transcript=PVPAM_050015700_t1 | gene=PVPAM_050015700 | organism=Plasmodium_vivax_PAM | gene_product=HECT-like E3 ubiquitin ligase, putative | transcript_product=HECT-like E3 ubiquitin ligase, putative | location=CASCJQ010000005:489771-515453(+) | protein_length=8560 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7718763.1         -           8560 24at5820             -           4512         0 7727.1 818.2   7  39   6.3e-24   4.5e-21   71.2   0.3  1303  1357  1920  1975  1909  1991 0.92 | transcript=PVPAM_050015700_t1 | gene=PVPAM_050015700 | organism=Plasmodium_vivax_PAM | gene_product=HECT-like E3 ubiquitin ligase, putative | transcript_product=HECT-like E3 ubiquitin ligase, putative | location=CASCJQ010000005:489771-515453(+) | protein_length=8560 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7718763.1         -           8560 24at5820             -           4512         0 7727.1 818.2   8  39   2.4e-91   1.7e-88  295.0  16.5  1370  1533  2123  2300  2112  2305 0.92 | transcript=PVPAM_050015700_t1 | gene=PVPAM_050015700 | organism=Plasmodium_vivax_PAM | gene_product=HECT-like E3 ubiquitin ligase, putative | transcript_product=HECT-like E3 ubiquitin ligase, putative | location=CASCJQ010000005:489771-515453(+) | protein_length=8560 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7718763.1         -           8560 24at5820             -           4512         0 7727.1 818.2   9  39   5.6e-60     4e-57  190.9   9.4  1528  1640  2449  2561  2444  2569 0.96 | transcript=PVPAM_050015700_t1 | gene=PVPAM_050015700 | organism=Plasmodium_vivax_PAM | gene_product=HECT-like E3 ubiquitin ligase, putative | transcript_product=HECT-like E3 ubiquitin ligase, putative | location=CASCJQ010000005:489771-515453(+) | protein_length=8560 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7718763.1         -           8560 24at5820             -           4512         0 7727.1 818.2  10  39   6.7e-33   4.8e-30  101.0   4.7  1621  1694  2574  2647  2562  2655 0.92 | transcript=PVPAM_050015700_t1 | gene=PVPAM_050015700 | organism=Plasmodium_vivax_PAM | gene_product=HECT-like E3 ubiquitin ligase, putative | transcript_product=HECT-like E3 ubiquitin ligase, putative | location=CASCJQ010000005:489771-515453(+) | protein_length=8560 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7718763.1         -           8560 24at5820             -           4512         0 7727.1 818.2  11  39  4.6e-126  3.3e-123  410.3  25.7  1696  1910  2745  2959  2738  2981 0.94 | transcript=PVPAM_050015700_t1 | gene=PVPAM_050015700 | organism=Plasmodium_vivax_PAM | gene_product=HECT-like E3 ubiquitin ligase, putative | transcript_product=HECT-like E3 ubiquitin ligase, putative | location=CASCJQ010000005:489771-515453(+) | protein_length=8560 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
