#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
CAI7718904.1         -            236 12453at5820          -            188    1e-110  366.2  13.1   1   1    7e-112  3.5e-109  361.2  13.1     1   188     1   218     1   218 0.94 | transcript=PVPAM_050029600_t1 | gene=PVPAM_050029600 | organism=Plasmodium_vivax_PAM | gene_product=nuclear cap-binding protein subunit 2, putative | transcript_product=nuclear cap-binding protein subunit 2, putative | location=CASCJQ010000005:1023050-1023894(+) | protein_length=236 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7719963.1         -            250 12453at5820          -            188   1.6e-08   33.0   6.1   1   2   7.7e-11   3.8e-08   31.8   3.5    35   159    22   150    10   163 0.71 | transcript=PVPAM_080018600_t1 | gene=PVPAM_080018600 | organism=Plasmodium_vivax_PAM | gene_product=G-strand-binding protein 2, putative | transcript_product=G-strand-binding protein 2, putative | location=CASCJQ010000008:638144-639816(+) | protein_length=250 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7719963.1         -            250 12453at5820          -            188   1.6e-08   33.0   6.1   2   2      0.13        65    1.7   0.0    78   108   215   245   158   248 0.68 | transcript=PVPAM_080018600_t1 | gene=PVPAM_080018600 | organism=Plasmodium_vivax_PAM | gene_product=G-strand-binding protein 2, putative | transcript_product=G-strand-binding protein 2, putative | location=CASCJQ010000008:638144-639816(+) | protein_length=250 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7723581.1         -            883 12453at5820          -            188   2.2e-08   32.6   2.5   1   4     1e-05    0.0052   15.1   0.0    35   124    17   106     9   122 0.84 | transcript=PVPAM_140050500_t1 | gene=PVPAM_140050500 | organism=Plasmodium_vivax_PAM | gene_product=polyadenylate-binding protein 1, putative | transcript_product=polyadenylate-binding protein 1, putative | location=CASCJQ010000014:1969494-1972145(+) | protein_length=883 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7723581.1         -            883 12453at5820          -            188   2.2e-08   32.6   2.5   2   4      0.59     3e+02   -0.5   0.0    36   101   106   170    89   181 0.75 | transcript=PVPAM_140050500_t1 | gene=PVPAM_140050500 | organism=Plasmodium_vivax_PAM | gene_product=polyadenylate-binding protein 1, putative | transcript_product=polyadenylate-binding protein 1, putative | location=CASCJQ010000014:1969494-1972145(+) | protein_length=883 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7723581.1         -            883 12453at5820          -            188   2.2e-08   32.6   2.5   3   4    0.0024       1.2    7.4   0.1    35    98   194   254   172   267 0.80 | transcript=PVPAM_140050500_t1 | gene=PVPAM_140050500 | organism=Plasmodium_vivax_PAM | gene_product=polyadenylate-binding protein 1, putative | transcript_product=polyadenylate-binding protein 1, putative | location=CASCJQ010000014:1969494-1972145(+) | protein_length=883 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7723581.1         -            883 12453at5820          -            188   2.2e-08   32.6   2.5   4   4    0.0031       1.5    7.0   0.0    33   105   448   519   425   527 0.82 | transcript=PVPAM_140050500_t1 | gene=PVPAM_140050500 | organism=Plasmodium_vivax_PAM | gene_product=polyadenylate-binding protein 1, putative | transcript_product=polyadenylate-binding protein 1, putative | location=CASCJQ010000014:1969494-1972145(+) | protein_length=883 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7723375.1         -            124 12453at5820          -            188   4.4e-07   28.3   0.3   1   1   1.4e-09   6.9e-07   27.7   0.2    34   108     8    82     3    88 0.94 | transcript=PVPAM_140029400_t1 | gene=PVPAM_140029400 | organism=Plasmodium_vivax_PAM | gene_product=RNA-binding protein, putative | transcript_product=RNA-binding protein, putative | location=CASCJQ010000014:1055808-1056679(-) | protein_length=124 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7720107.1         -            299 12453at5820          -            188   6.4e-06   24.5   0.1   1   3   1.3e-08   6.4e-06   24.5   0.1    20   113    22   115     5   129 0.84 | transcript=PVPAM_080032900_t1 | gene=PVPAM_080032900 | organism=Plasmodium_vivax_PAM | gene_product=RNA-binding protein, putative | transcript_product=RNA-binding protein, putative | location=CASCJQ010000008:1265540-1266874(-) | protein_length=299 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7720107.1         -            299 12453at5820          -            188   6.4e-06   24.5   0.1   2   3      0.57   2.8e+02   -0.4   0.5   132   161   160   188   152   209 0.58 | transcript=PVPAM_080032900_t1 | gene=PVPAM_080032900 | organism=Plasmodium_vivax_PAM | gene_product=RNA-binding protein, putative | transcript_product=RNA-binding protein, putative | location=CASCJQ010000008:1265540-1266874(-) | protein_length=299 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7720107.1         -            299 12453at5820          -            188   6.4e-06   24.5   0.1   3   3       1.1   5.5e+02   -1.3   6.6   116   158   213   255   200   267 0.75 | transcript=PVPAM_080032900_t1 | gene=PVPAM_080032900 | organism=Plasmodium_vivax_PAM | gene_product=RNA-binding protein, putative | transcript_product=RNA-binding protein, putative | location=CASCJQ010000008:1265540-1266874(-) | protein_length=299 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
