#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
CAI7718864.1         -            761 4626at5820           -            498  2.5e-220  730.7  22.8   1   6   2.3e-20   3.7e-17   60.5   0.0     7    55    97   145    93   151 0.94 | transcript=PVPAM_050025800_t1 | gene=PVPAM_050025800 | organism=Plasmodium_vivax_PAM | gene_product=tRNA modification GTPase, putative | transcript_product=tRNA modification GTPase, putative | location=CASCJQ010000005:894008-896293(-) | protein_length=761 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7718864.1         -            761 4626at5820           -            498  2.5e-220  730.7  22.8   2   6   2.8e-46   4.6e-43  145.9   2.4    55   148   192   285   189   296 0.96 | transcript=PVPAM_050025800_t1 | gene=PVPAM_050025800 | organism=Plasmodium_vivax_PAM | gene_product=tRNA modification GTPase, putative | transcript_product=tRNA modification GTPase, putative | location=CASCJQ010000005:894008-896293(-) | protein_length=761 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7718864.1         -            761 4626at5820           -            498  2.5e-220  730.7  22.8   3   6  1.5e-101   2.4e-98  328.3   0.6   145   336   309   500   293   508 0.95 | transcript=PVPAM_050025800_t1 | gene=PVPAM_050025800 | organism=Plasmodium_vivax_PAM | gene_product=tRNA modification GTPase, putative | transcript_product=tRNA modification GTPase, putative | location=CASCJQ010000005:894008-896293(-) | protein_length=761 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7718864.1         -            761 4626at5820           -            498  2.5e-220  730.7  22.8   4   6   0.00052      0.83    6.5   0.0   331   350   518   537   503   539 0.89 | transcript=PVPAM_050025800_t1 | gene=PVPAM_050025800 | organism=Plasmodium_vivax_PAM | gene_product=tRNA modification GTPase, putative | transcript_product=tRNA modification GTPase, putative | location=CASCJQ010000005:894008-896293(-) | protein_length=761 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7718864.1         -            761 4626at5820           -            498  2.5e-220  730.7  22.8   5   6   2.2e-28   3.6e-25   86.9   1.7   331   430   535   669   534   672 0.76 | transcript=PVPAM_050025800_t1 | gene=PVPAM_050025800 | organism=Plasmodium_vivax_PAM | gene_product=tRNA modification GTPase, putative | transcript_product=tRNA modification GTPase, putative | location=CASCJQ010000005:894008-896293(-) | protein_length=761 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7718864.1         -            761 4626at5820           -            498  2.5e-220  730.7  22.8   6   6   1.6e-34   2.5e-31  107.2   0.1   430   498   693   761   687   761 0.98 | transcript=PVPAM_050025800_t1 | gene=PVPAM_050025800 | organism=Plasmodium_vivax_PAM | gene_product=tRNA modification GTPase, putative | transcript_product=tRNA modification GTPase, putative | location=CASCJQ010000005:894008-896293(-) | protein_length=761 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7723516.1         -            859 4626at5820           -            498     5e-12   43.6  20.0   1   3   0.00061      0.99    6.3   0.1   275   361   278   364   264   391 0.81 | transcript=PVPAM_140044000_t1 | gene=PVPAM_140044000 | organism=Plasmodium_vivax_PAM | gene_product=GTP-binding protein EngA, putative | transcript_product=GTP-binding protein EngA, putative | location=CASCJQ010000014:1635276-1637855(+) | protein_length=859 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7723516.1         -            859 4626at5820           -            498     5e-12   43.6  20.0   2   3      0.21   3.4e+02   -2.1   0.1   381   392   486   497   479   503 0.81 | transcript=PVPAM_140044000_t1 | gene=PVPAM_140044000 | organism=Plasmodium_vivax_PAM | gene_product=GTP-binding protein EngA, putative | transcript_product=GTP-binding protein EngA, putative | location=CASCJQ010000014:1635276-1637855(+) | protein_length=859 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7723516.1         -            859 4626at5820           -            498     5e-12   43.6  20.0   3   3   1.8e-14   2.9e-11   41.1  12.6   248   401   529   693   524   742 0.71 | transcript=PVPAM_140044000_t1 | gene=PVPAM_140044000 | organism=Plasmodium_vivax_PAM | gene_product=GTP-binding protein EngA, putative | transcript_product=GTP-binding protein EngA, putative | location=CASCJQ010000014:1635276-1637855(+) | protein_length=859 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7722791.1         -            499 4626at5820           -            498   3.2e-08   31.0   0.3   1   2     5e-08   8.1e-05   19.8   0.0   273   377   105   211    96   218 0.73 | transcript=PVPAM_130029200_t1 | gene=PVPAM_130029200 | organism=Plasmodium_vivax_PAM | gene_product=GTPase Era, putative | transcript_product=GTPase Era, putative | location=CASCJQ010000013:1083619-1085118(-) | protein_length=499 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7722791.1         -            499 4626at5820           -            498   3.2e-08   31.0   0.3   2   2   9.7e-05      0.16    8.9   0.2   378   431   328   386   324   419 0.69 | transcript=PVPAM_130029200_t1 | gene=PVPAM_130029200 | organism=Plasmodium_vivax_PAM | gene_product=GTPase Era, putative | transcript_product=GTPase Era, putative | location=CASCJQ010000013:1083619-1085118(-) | protein_length=499 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
