#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
CAI7723701.1         -            511 10096at5820          -            271  2.3e-147  488.4  26.5   1   4   3.4e-58   9.7e-56  187.9   3.7     1   110     1   114     1   120 0.96 | transcript=PVPAM_140062500_t1 | gene=PVPAM_140062500 | organism=Plasmodium_vivax_PAM | gene_product=clustered-asparagine-rich protein, putative | transcript_product=clustered-asparagine-rich protein, putative | location=CASCJQ010000014:2486249-2487784(-) | protein_length=511 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7723701.1         -            511 10096at5820          -            271  2.3e-147  488.4  26.5   2   4       7.8   2.2e+03   -3.4  12.7   108   141   159   205   149   210 0.67 | transcript=PVPAM_140062500_t1 | gene=PVPAM_140062500 | organism=Plasmodium_vivax_PAM | gene_product=clustered-asparagine-rich protein, putative | transcript_product=clustered-asparagine-rich protein, putative | location=CASCJQ010000014:2486249-2487784(-) | protein_length=511 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7723701.1         -            511 10096at5820          -            271  2.3e-147  488.4  26.5   3   4      0.48   1.4e+02    0.6   1.1   115   148   212   245   206   249 0.80 | transcript=PVPAM_140062500_t1 | gene=PVPAM_140062500 | organism=Plasmodium_vivax_PAM | gene_product=clustered-asparagine-rich protein, putative | transcript_product=clustered-asparagine-rich protein, putative | location=CASCJQ010000014:2486249-2487784(-) | protein_length=511 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7723701.1         -            511 10096at5820          -            271  2.3e-147  488.4  26.5   4   4   9.2e-97   2.6e-94  314.4  14.9   126   271   362   507   347   507 0.94 | transcript=PVPAM_140062500_t1 | gene=PVPAM_140062500 | organism=Plasmodium_vivax_PAM | gene_product=clustered-asparagine-rich protein, putative | transcript_product=clustered-asparagine-rich protein, putative | location=CASCJQ010000014:2486249-2487784(-) | protein_length=511 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7721248.1         -            392 10096at5820          -            271     2e-44  150.9  12.1   1   3     1e-08   2.9e-06   25.7   0.8   190   268    16    90     3    93 0.88 | transcript=PVPAM_110015000_t1 | gene=PVPAM_110015000 | organism=Plasmodium_vivax_PAM | gene_product=RNA-binding protein, putative | transcript_product=RNA-binding protein, putative | location=CASCJQ010000011:398694-401365(+) | protein_length=392 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7721248.1         -            392 10096at5820          -            271     2e-44  150.9  12.1   2   3   3.4e-16   9.4e-14   50.3   0.1   182   268   107   195    98   198 0.89 | transcript=PVPAM_110015000_t1 | gene=PVPAM_110015000 | organism=Plasmodium_vivax_PAM | gene_product=RNA-binding protein, putative | transcript_product=RNA-binding protein, putative | location=CASCJQ010000011:398694-401365(+) | protein_length=392 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7721248.1         -            392 10096at5820          -            271     2e-44  150.9  12.1   3   3   3.9e-26   1.1e-23   82.8   1.5   175   270   192   287   190   288 0.96 | transcript=PVPAM_110015000_t1 | gene=PVPAM_110015000 | organism=Plasmodium_vivax_PAM | gene_product=RNA-binding protein, putative | transcript_product=RNA-binding protein, putative | location=CASCJQ010000011:398694-401365(+) | protein_length=392 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7718792.1         -            292 10096at5820          -            271     8e-42  142.3   0.3   1   2     0.028         8    4.6   0.0   189   252     4    67     1    78 0.79 | transcript=PVPAM_050018600_t1 | gene=PVPAM_050018600 | organism=Plasmodium_vivax_PAM | gene_product=RNA-binding protein, putative | transcript_product=RNA-binding protein, putative | location=CASCJQ010000005:612140-613354(+) | protein_length=292 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7718792.1         -            292 10096at5820          -            271     8e-42  142.3   0.3   2   2   5.1e-42   1.4e-39  134.9   0.9   142   270   102   233    86   234 0.87 | transcript=PVPAM_050018600_t1 | gene=PVPAM_050018600 | organism=Plasmodium_vivax_PAM | gene_product=RNA-binding protein, putative | transcript_product=RNA-binding protein, putative | location=CASCJQ010000005:612140-613354(+) | protein_length=292 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7723034.1         -            507 10096at5820          -            271   1.7e-39  134.7  56.3   1   3   2.6e-06   0.00072   17.9  12.2   106   257     2   152     1   163 0.77 | transcript=PVPAM_130054000_t1 | gene=PVPAM_130054000 | organism=Plasmodium_vivax_PAM | gene_product=CUGBP Elav-like family member 2, putative | transcript_product=CUGBP Elav-like family member 2, putative | location=CASCJQ010000013:2166321-2167844(-) | protein_length=507 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7723034.1         -            507 10096at5820          -            271   1.7e-39  134.7  56.3   2   3     0.052        15    3.7  21.9    15   136   183   305   174   322 0.71 | transcript=PVPAM_130054000_t1 | gene=PVPAM_130054000 | organism=Plasmodium_vivax_PAM | gene_product=CUGBP Elav-like family member 2, putative | transcript_product=CUGBP Elav-like family member 2, putative | location=CASCJQ010000013:2166321-2167844(-) | protein_length=507 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7723034.1         -            507 10096at5820          -            271   1.7e-39  134.7  56.3   3   3   1.9e-38   5.5e-36  123.2   8.8   113   270   320   477   307   478 0.87 | transcript=PVPAM_130054000_t1 | gene=PVPAM_130054000 | organism=Plasmodium_vivax_PAM | gene_product=CUGBP Elav-like family member 2, putative | transcript_product=CUGBP Elav-like family member 2, putative | location=CASCJQ010000013:2166321-2167844(-) | protein_length=507 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
