#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
CAI7718239.1         -            267 11629at5820          -            188    1e-104  346.5   7.7   1   2   1.8e-52   2.3e-49  166.0   0.2     1    89    11    99    11   102 0.99 | transcript=PVPAM_030023900_t1 | gene=PVPAM_030023900 | organism=Plasmodium_vivax_PAM | gene_product=dynactin subunit 5, putative | transcript_product=dynactin subunit 5, putative | location=CASCJQ010000003:764532-765335(-) | protein_length=267 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7718239.1         -            267 11629at5820          -            188    1e-104  346.5   7.7   2   2     8e-58     1e-54  183.5   2.6    87   188   164   265   163   265 0.98 | transcript=PVPAM_030023900_t1 | gene=PVPAM_030023900 | organism=Plasmodium_vivax_PAM | gene_product=dynactin subunit 5, putative | transcript_product=dynactin subunit 5, putative | location=CASCJQ010000003:764532-765335(-) | protein_length=267 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7722928.1         -            452 11629at5820          -            188   4.4e-07   28.2   5.4   1   2   4.7e-07   0.00061   17.9   2.3   100   142   344   387   332   392 0.54 | transcript=PVPAM_130043000_t1 | gene=PVPAM_130043000 | organism=Plasmodium_vivax_PAM | gene_product=mannose-1-phosphate guanyltransferase, putative | transcript_product=mannose-1-phosphate guanyltransferase, putative | location=CASCJQ010000013:1655895-1657594(+) | protein_length=452 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7722928.1         -            452 11629at5820          -            188   4.4e-07   28.2   5.4   2   2     2e-05     0.026   12.6   0.1    96   148   387   439   385   449 0.84 | transcript=PVPAM_130043000_t1 | gene=PVPAM_130043000 | organism=Plasmodium_vivax_PAM | gene_product=mannose-1-phosphate guanyltransferase, putative | transcript_product=mannose-1-phosphate guanyltransferase, putative | location=CASCJQ010000013:1655895-1657594(+) | protein_length=452 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7723483.1         -           1065 11629at5820          -            188   0.00014   20.1  11.5   1   2   5.2e-06    0.0068   14.5   7.4    87   139   388   437   368   442 0.74 | transcript=PVPAM_140040600_t1 | gene=PVPAM_140040600 | organism=Plasmodium_vivax_PAM | gene_product=W2 domain-containing protein, putative | transcript_product=W2 domain-containing protein, putative | location=CASCJQ010000014:1538057-1541527(-) | protein_length=1065 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7723483.1         -           1065 11629at5820          -            188   0.00014   20.1  11.5   2   2   0.00079         1    7.4   0.2   119   158   440   479   437   487 0.86 | transcript=PVPAM_140040600_t1 | gene=PVPAM_140040600 | organism=Plasmodium_vivax_PAM | gene_product=W2 domain-containing protein, putative | transcript_product=W2 domain-containing protein, putative | location=CASCJQ010000014:1538057-1541527(-) | protein_length=1065 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7722089.1         -            479 11629at5820          -            188   0.00015   20.0   8.3   1   3      0.51   6.6e+02   -1.7   0.0   106   126   228   248   218   254 0.83 | transcript=PVPAM_120032700_t1 | gene=PVPAM_120032700 | organism=Plasmodium_vivax_PAM | gene_product=translation initiation factor eIF-2B subunit gamma, putative | transcript_product=translation initiation factor eIF-2B subunit gamma, putative | location=CASCJQ010000012:1105283-1108113(+) | protein_length=479 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7722089.1         -            479 11629at5820          -            188   0.00015   20.0   8.3   2   3   0.00046      0.59    8.2   0.3   103   146   383   426   364   429 0.69 | transcript=PVPAM_120032700_t1 | gene=PVPAM_120032700 | organism=Plasmodium_vivax_PAM | gene_product=translation initiation factor eIF-2B subunit gamma, putative | transcript_product=translation initiation factor eIF-2B subunit gamma, putative | location=CASCJQ010000012:1105283-1108113(+) | protein_length=479 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7722089.1         -            479 11629at5820          -            188   0.00015   20.0   8.3   3   3   4.3e-06    0.0056   14.8   3.5    98   147   424   472   416   476 0.84 | transcript=PVPAM_120032700_t1 | gene=PVPAM_120032700 | organism=Plasmodium_vivax_PAM | gene_product=translation initiation factor eIF-2B subunit gamma, putative | transcript_product=translation initiation factor eIF-2B subunit gamma, putative | location=CASCJQ010000012:1105283-1108113(+) | protein_length=479 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7723244.1         -            907 11629at5820          -            188   0.00098   17.3   4.4   1   3   8.1e-05      0.11   10.7   1.2   102   145   238   281   204   315 0.55 | transcript=PVPAM_140016300_t1 | gene=PVPAM_140016300 | organism=Plasmodium_vivax_PAM | gene_product=conserved Plasmodium protein, unknown function | transcript_product=conserved Plasmodium protein, unknown function | location=CASCJQ010000014:516657-519380(-) | protein_length=907 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7723244.1         -            907 11629at5820          -            188   0.00098   17.3   4.4   2   3     0.078     1e+02    0.9   0.0   116   149   324   357   312   372 0.80 | transcript=PVPAM_140016300_t1 | gene=PVPAM_140016300 | organism=Plasmodium_vivax_PAM | gene_product=conserved Plasmodium protein, unknown function | transcript_product=conserved Plasmodium protein, unknown function | location=CASCJQ010000014:516657-519380(-) | protein_length=907 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
